DATE,VWAP,VOLUME
2024-01-25,4709.81,114581
2024-01-24,4725.77,293735
2024-01-23,4830.68,348426
2024-01-20,4790.02,49467
2024-01-19,4815.14,132723
2024-01-18,4726.34,151382
2024-01-17,4802.61,163852
2024-01-16,4799.33,192280
2024-01-15,4758.06,104057
2024-01-12,4803.71,145377
2024-01-11,4916.86,87455
2024-01-10,4918.92,241276
2024-01-09,4917.64,571239
2024-01-08,4777.82,60882
2024-01-05,4848.87,118877
2024-01-04,4831.17,266936
2024-01-03,4784.06,291954
2024-01-02,4661.04,178550
2024-01-01,4683.19,84544
2023-12-29,4657.38,147991
2023-12-28,4662.21,478064
2023-12-27,4769.81,165313
2023-12-26,4781.44,121004
2023-12-22,4735.44,155535
2023-12-21,4645.24,191984
2023-12-20,4746.49,347680
2023-12-19,4842.82,223298
2023-12-18,4887.29,356079
2023-12-15,4844.08,371899
2023-12-14,4794.76,150017
2023-12-13,4729.76,166968
2023-12-12,4728.93,201663
2023-12-11,4795.42,148181
2023-12-08,4774.92,231897
2023-12-07,4736.04,177991
2023-12-06,4810.63,248801
2023-12-05,4752.69,860640
2023-12-04,4602.6,798523
2023-12-01,4405.22,150704
2023-11-30,4377.77,558962
2023-11-29,4257.51,78223
2023-11-28,4233.66,184551
2023-11-24,4254.38,116246
2023-11-23,4254.71,82762
2023-11-22,4265.55,176385
2023-11-21,4368.95,345900
2023-11-20,4338.35,243547
2023-11-17,4272.56,121481
2023-11-16,4230.15,130755
2023-11-15,4267.94,95758
2023-11-13,4266.99,157036
2023-11-12,4244.79,31594
2023-11-10,4306.25,640836
2023-11-09,4292.23,522498
2023-11-08,4255.81,216669
2023-11-07,4203.95,122172
2023-11-06,4191.21,231433
2023-11-03,4134.15,183990
2023-11-02,4086.06,170196
2023-11-01,4096.89,187184
2023-10-31,4077.04,205697
2023-10-30,4066.61,114014
2023-10-27,4036.65,262816
2023-10-26,3913.71,302100
2023-10-25,3937.89,261645
2023-10-23,3976.22,162161
2023-10-20,4028.33,204827
2023-10-19,4073.55,388946
2023-10-18,4170.18,621225
2023-10-17,4285.14,130579
2023-10-16,4274.46,264960
2023-10-13,4221.11,149733
2023-10-12,4217.81,246829
2023-10-11,4194.58,158952
2023-10-10,4168.16,244817
2023-10-09,4093.93,122211
2023-10-06,4114.37,207353
2023-10-05,4051.1,310894
2023-10-04,4023.34,438394
2023-10-03,4096.87,303772
2023-09-29,4113.52,270878
2023-09-28,4151.82,259081
2023-09-27,4213.43,217834
2023-09-26,4192.07,179832
2023-09-25,4155.68,274277
2023-09-22,4198.83,250138
2023-09-21,4291.08,146287
2023-09-20,4363.47,275335
2023-09-18,4329.23,105351
2023-09-15,4368.9,223156
2023-09-14,4353.49,138301
2023-09-13,4319.58,362583
2023-09-12,4447.0,433279
2023-09-11,4627.19,684497
2023-09-08,4469.93,231272
2023-09-07,4463.66,193416
2023-09-06,4493.19,504897
2023-09-05,4406.3,306152
2023-09-04,4282.89,298303
2023-09-01,4308.71,164901
2023-08-31,4378.43,432110
2023-08-30,4344.81,187244
2023-08-29,4294.86,187724
2023-08-28,4274.78,197684
2023-08-25,4266.65,220479
2023-08-24,4354.09,233683
2023-08-23,4322.77,144208
2023-08-22,4309.67,216566
2023-08-21,4289.24,294745
2023-08-18,4297.1,230500
2023-08-17,4308.68,183884
2023-08-16,4300.02,295770
2023-08-14,4347.41,753925
2023-08-11,4526.54,212151
2023-08-10,4518.18,169628
2023-08-09,4497.22,392322
2023-08-08,4481.29,151125
2023-08-07,4501.86,235866
2023-08-04,4398.27,199490
2023-08-03,4362.92,195937
2023-08-02,4453.36,217964
2023-08-01,4521.68,119691
2023-07-31,4565.66,254120
2023-07-28,4504.1,415070
2023-07-27,4418.18,334733
2023-07-26,4387.42,214947
2023-07-25,4311.78,230780
2023-07-24,4313.75,291808
2023-07-21,4260.27,413021
2023-07-20,4220.8,1566115
2023-07-19,4545.34,422756
2023-07-18,4484.81,350377
2023-07-17,4412.15,194300
2023-07-14,4389.09,273514
2023-07-13,4452.92,226427
2023-07-12,4518.17,204362
2023-07-11,4485.44,300170
2023-07-10,4377.26,117305
2023-07-07,4397.42,121844
2023-07-06,4416.92,159465
2023-07-05,4397.91,89263
2023-07-04,4388.21,103281
2023-07-03,4439.26,247575
2023-06-30,4411.17,209317
2023-06-28,4370.4,339541
2023-06-27,4312.97,217841
2023-06-26,4266.78,138748
2023-06-23,4255.68,204714
2023-06-22,4296.01,188292
2023-06-21,4385.52,304147
2023-06-20,4349.9,231190
2023-06-19,4351.65,177825
2023-06-16,4329.58,153331
2023-06-15,4309.4,144416
2023-06-14,4338.1,282696
2023-06-13,4268.6,484212
2023-06-12,4135.35,197995
2023-06-09,4142.12,140674
2023-06-08,4113.2,171143
2023-06-07,4117.92,241488
2023-06-06,4063.2,240261
2023-06-05,4012.31,316713
2023-06-02,3995.28,397566
2023-06-01,4000.27,421490
2023-05-31,4111.14,1169176
2023-05-30,4031.86,179306
2023-05-29,4033.53,277673
2023-05-26,3993.54,327697
2023-05-25,3923.96,339853
2023-05-24,3910.43,205631
2023-05-23,3919.7,279818
2023-05-22,3853.71,275112
2023-05-19,3893.24,154467
2023-05-18,3915.98,141795
2023-05-17,3913.41,187846
2023-05-16,3908.16,268910
2023-05-15,3879.74,227276
2023-05-12,3922.78,404269
2023-05-11,3845.62,221052
2023-05-10,3814.96,253030
2023-05-09,3791.77,395444
2023-05-08,3770.49,321297
2023-05-05,3716.8,978769
2023-05-04,3604.22,1282221
2023-05-03,3450.65,359375
2023-05-02,3431.31,331768
2023-04-28,3411.72,251132
2023-04-27,3397.72,327674
2023-04-26,3378.94,361730
2023-04-25,3304.9,690245
2023-04-24,3211.51,314556
2023-04-21,3159.0,267054
2023-04-20,3199.12,276392
2023-04-19,3221.72,266982
2023-04-18,3222.16,277893
2023-04-17,3236.02,286059
2023-04-13,3213.21,402975
2023-04-12,3221.77,498526
2023-04-11,3305.3,493329
2023-04-10,3391.88,193423
2023-04-06,3416.11,733361
2023-04-05,3367.88,221406
2023-04-03,3377.01,323147
2023-03-31,3382.75,329944
2023-03-29,3390.34,1031003
2023-03-28,3337.52,184543
2023-03-27,3341.61,171779
2023-03-24,3367.59,180779
2023-03-23,3355.52,369001
2023-03-22,3346.32,288396
2023-03-21,3361.95,278420
2023-03-20,3295.48,175472
2023-03-17,3322.42,256724
2023-03-16,3297.6,257895
2023-03-15,3311.26,228737
2023-03-14,3270.75,330853
2023-03-13,3321.83,276376
2023-03-10,3366.87,194714
2023-03-09,3406.2,333450
2023-03-08,3343.79,448991
2023-03-06,3333.39,294806
2023-03-03,3330.29,446442
2023-03-02,3312.79,351509
2023-03-01,3269.54,556560
2023-02-28,3196.23,923123
2023-02-27,3105.75,220001
2023-02-24,3150.66,141718
2023-02-23,3149.63,155736
2023-02-22,3160.22,218407
2023-02-21,3181.31,314522
2023-02-20,3186.67,305386
2023-02-17,3185.12,353966
2023-02-16,3173.52,252897
2023-02-15,3149.56,619722
2023-02-14,3118.41,613928
2023-02-13,3121.24,1255147
2023-02-10,3145.95,300374
2023-02-09,3116.6,262690
2023-02-08,3063.73,408409
2023-02-07,2987.32,370039
2023-02-06,2881.4,197958
2023-02-03,2812.98,194330
2023-02-02,2804.46,236358
2023-02-01,2862.17,623110
2023-01-31,2839.08,236077
2023-01-30,2827.51,176771
