DATE,VWAP,VOLUME
2024-01-25,1059.91,1505572
2024-01-24,1037.05,5163858
2024-01-23,1087.07,2133688
2024-01-20,1107.11,1689974
2024-01-19,1054.52,1485408
2024-01-18,1066.72,1168724
2024-01-17,1097.64,1456313
2024-01-16,1129.9,3851854
2024-01-15,1137.86,3399085
2024-01-12,1160.75,729133
2024-01-11,1167.59,689920
2024-01-10,1173.04,1302889
2024-01-09,1174.54,1347686
2024-01-08,1150.87,896113
2024-01-05,1169.29,1343094
2024-01-04,1189.68,2693790
2024-01-03,1183.1,13493682
2024-01-02,1054.85,2716805
2024-01-01,1055.49,676574
2023-12-29,1045.7,2752398
2023-12-28,1045.19,2617618
2023-12-27,1056.69,2801997
2023-12-26,1040.98,2391693
2023-12-22,1033.55,2494643
2023-12-21,1016.18,1449502
2023-12-20,1057.64,4060611
2023-12-19,1068.28,3356750
2023-12-18,1052.96,3042841
2023-12-15,1071.42,3821111
2023-12-14,1068.94,3933857
2023-12-13,1036.86,2756868
2023-12-12,1103.02,3107531
2023-12-11,1123.31,3107570
2023-12-08,1144.46,9599418
2023-12-07,1203.56,13902767
2023-12-06,1195.47,29839084
2023-12-05,1011.62,24514379
2023-12-04,915.02,4277939
2023-12-01,871.71,2088092
2023-11-30,861.09,3418249
2023-11-29,913.61,13627653
2023-11-28,836.23,9792184
2023-11-24,728.43,479763
2023-11-23,725.04,180553
2023-11-22,727.86,151126
2023-11-21,737.02,383315
2023-11-20,728.85,406832
2023-11-17,742.5,318597
2023-11-16,750.49,388858
2023-11-15,757.66,273699
2023-11-13,759.38,179475
2023-11-12,769.8,85391
2023-11-10,756.91,278461
2023-11-09,754.81,226089
2023-11-08,759.56,338861
2023-11-07,770.13,515017
2023-11-06,772.42,299026
2023-11-03,766.13,351531
2023-11-02,756.54,247056
2023-11-01,755.93,405088
2023-10-31,766.34,327996
2023-10-30,763.39,414510
2023-10-27,757.84,741463
2023-10-26,715.31,1134296
2023-10-25,731.8,455111
2023-10-23,745.59,485683
2023-10-20,765.84,516923
2023-10-19,759.45,356701
2023-10-18,769.35,346049
2023-10-17,779.69,351835
2023-10-16,777.08,312993
2023-10-13,786.97,269417
2023-10-12,797.02,230980
2023-10-11,798.62,655215
2023-10-10,785.3,360806
2023-10-09,784.82,559255
2023-10-06,808.9,265517
2023-10-05,810.12,252701
2023-10-04,814.39,711980
2023-10-03,810.07,506021
2023-09-29,813.79,1106739
2023-09-28,828.79,861650
2023-09-27,817.68,443309
2023-09-26,824.75,584558
2023-09-25,834.6,404295
2023-09-22,844.66,543417
2023-09-21,851.42,771656
2023-09-20,852.29,4608210
2023-09-18,855.94,6408916
2023-09-15,847.63,7152425
2023-09-14,845.56,4528205
2023-09-13,840.67,703403
2023-09-12,860.7,5946118
2023-09-11,856.55,6691473
2023-09-08,839.13,937304
2023-09-07,846.62,6099751
2023-09-06,835.89,8646350
2023-09-05,817.29,684436
2023-09-04,821.59,825805
2023-09-01,817.05,1204025
2023-08-31,818.32,1636383
2023-08-30,849.86,857053
2023-08-29,863.11,1218219
2023-08-28,873.78,995290
2023-08-25,879.53,983333
2023-08-24,909.75,1134578
2023-08-23,920.6,4192309
2023-08-22,949.71,11493001
2023-08-21,913.64,8978809
2023-08-18,862.2,7798779
2023-08-17,826.89,3958662
2023-08-16,813.98,7337822
2023-08-14,807.4,8277053
2023-08-11,828.58,9078389
2023-08-10,818.78,6591528
2023-08-09,816.03,6911943
2023-08-08,824.06,7282138
2023-08-07,814.59,8408122
2023-08-04,797.24,5454846
2023-08-03,793.95,4534652
2023-08-02,797.29,1070171
2023-08-01,809.66,1156013
2023-07-31,826.07,1646282
2023-07-28,817.43,1236699
2023-07-27,809.66,1035949
2023-07-26,823.63,3352443
2023-07-25,815.57,5042334
2023-07-24,774.73,373079
2023-07-21,775.85,425530
2023-07-20,784.36,873507
2023-07-19,787.26,933327
2023-07-18,788.46,2625423
2023-07-17,762.95,1546015
2023-07-14,741.87,598454
2023-07-13,749.27,507356
2023-07-12,750.95,589252
2023-07-11,757.06,810898
2023-07-10,751.71,1064100
2023-07-07,763.21,707804
2023-07-06,770.17,620475
2023-07-05,770.2,827680
2023-07-04,772.71,1052355
2023-07-03,777.03,1414668
2023-06-30,786.07,46087335
2023-06-28,806.46,2141952
2023-06-27,777.16,514889
2023-06-26,767.7,1379942
2023-06-23,764.74,2777512
2023-06-22,809.72,656852
2023-06-21,807.1,647258
2023-06-20,810.87,574281
2023-06-19,812.36,1441750
2023-06-16,813.59,6361369
2023-06-15,825.55,1550381
2023-06-14,813.93,748746
2023-06-13,825.55,511120
2023-06-12,833.64,712441
2023-06-09,832.45,853082
2023-06-08,833.33,1362345
2023-06-07,835.57,3089395
2023-06-06,820.69,2007196
2023-06-05,828.8,6191271
2023-06-02,808.58,2933000
2023-06-01,814.0,4042939
2023-05-31,779.51,26167155
2023-05-30,807.3,3543724
2023-05-29,839.31,2450856
2023-05-26,861.82,2968440
2023-05-25,895.12,3616129
2023-05-24,906.46,4911947
2023-05-23,868.0,180617
2023-05-22,826.6,581156
2023-05-19,747.08,4723254
2023-05-18,761.43,2361332
2023-05-17,790.17,1932226
2023-05-16,821.43,1616433
2023-05-15,852.89,1603066
2023-05-12,878.72,2928143
2023-05-11,911.96,783286
2023-05-10,893.61,825113
2023-05-09,908.31,2595054
2023-05-08,949.05,574862
2023-05-05,1004.95,267732
2023-05-04,1002.86,247361
2023-05-03,1009.94,694882
2023-05-02,1047.02,1329916
2023-04-28,1016.03,914154
2023-04-27,982.24,236845
2023-04-26,996.96,528831
2023-04-25,1007.05,742228
2023-04-24,973.79,290276
2023-04-21,996.79,253759
2023-04-20,1015.1,296621
2023-04-19,1018.37,320995
2023-04-18,1041.74,372989
2023-04-17,1033.76,581250
2023-04-13,1033.47,773311
2023-04-12,1063.81,2431677
2023-04-11,1045.36,409783
2023-04-10,998.7,1048207
2023-04-06,935.8,797149
2023-04-05,913.56,1123682
2023-04-03,957.16,818446
2023-03-31,1009.07,1096793
2023-03-29,997.09,3344811
2023-03-28,1019.61,265756
2023-03-27,1100.48,1910352
2023-03-24,1110.77,3875691
2023-03-23,1075.37,1814692
2023-03-22,1030.08,1714719
2023-03-21,1015.39,2265181
2023-03-20,1006.12,2491229
2023-03-17,1014.44,2455413
2023-03-16,956.82,3151991
2023-03-15,909.39,2706203
2023-03-14,919.57,2540765
2023-03-13,949.65,589390
2023-03-10,894.1,1038717
2023-03-09,861.4,957485
2023-03-08,817.93,1812185
2023-03-06,781.35,1187948
2023-03-03,744.15,1014976
2023-03-02,704.73,1300464
2023-03-01,669.27,2628313
2023-02-28,653.42,4607943
2023-02-27,676.7,73016
2023-02-24,712.3,111971
2023-02-23,749.75,46327
2023-02-22,789.2,57508
2023-02-21,830.7,105101
2023-02-20,877.69,968551
2023-02-17,940.26,1596131
2023-02-16,1018.32,3689508
2023-02-15,1017.45,75876
2023-02-14,1071.0,47784
2023-02-13,1127.35,30886
2023-02-10,1186.65,84888
2023-02-09,1253.51,831921
2023-02-08,1309.91,1521910
2023-02-07,1281.74,2833960
2023-02-06,1256.45,134165
2023-02-03,1396.05,108189
2023-02-02,1559.42,758683
2023-02-01,1687.39,2147989
2023-01-31,1714.62,3693584
2023-01-30,1686.86,5208061
