DATE,VWAP,VOLUME
2024-01-25,2860.14,2601969
2024-01-24,2891.63,5807940
2024-01-23,2945.88,1827002
2024-01-20,2939.51,1878793
2024-01-19,2926.36,2014096
2024-01-18,2923.25,2552342
2024-01-17,2994.68,2897218
2024-01-16,3066.6,2515564
2024-01-15,3095.46,1407007
2024-01-12,3100.07,1795933
2024-01-11,3089.22,2008103
2024-01-10,3077.75,3590297
2024-01-09,3029.63,2885706
2024-01-08,2990.76,1849061
2024-01-05,3026.08,3219949
2024-01-04,3011.56,2975620
2024-01-03,3060.56,19725411
2024-01-02,2903.97,2671368
2024-01-01,2914.54,2898619
2023-12-29,2838.38,1507086
2023-12-28,2818.51,4102912
2023-12-27,2854.23,1698325
2023-12-26,2859.55,2048484
2023-12-22,2819.62,1513956
2023-12-21,2788.43,2678577
2023-12-20,2870.07,3417739
2023-12-19,2950.36,1741493
2023-12-18,2993.07,2315922
2023-12-15,2962.62,4921484
2023-12-14,2908.68,3224681
2023-12-13,2854.75,2805832
2023-12-12,2864.57,2017772
2023-12-11,2867.92,5064123
2023-12-08,2839.19,6959428
2023-12-07,2898.6,6325887
2023-12-06,2987.51,19355777
2023-12-05,2804.15,22879079
2023-12-04,2529.8,5681516
2023-12-01,2372.38,1792983
2023-11-30,2361.69,2983879
2023-11-29,2429.99,4561574
2023-11-28,2416.12,11972275
2023-11-24,2206.04,1946259
2023-11-23,2176.85,729114
2023-11-22,2175.45,1247205
2023-11-21,2207.07,1839502
2023-11-20,2173.7,1577213
2023-11-17,2216.32,916518
2023-11-16,2211.42,1307584
2023-11-15,2228.39,696475
2023-11-13,2212.76,853633
2023-11-12,2215.9,148320
2023-11-10,2214.55,1072597
2023-11-09,2231.38,1267890
2023-11-08,2263.84,1169180
2023-11-07,2240.69,641554
2023-11-06,2244.88,770061
2023-11-03,2244.27,1853300
2023-11-02,2247.07,2340997
2023-11-01,2253.36,1666579
2023-10-31,2294.76,1155280
2023-10-30,2286.43,996448
2023-10-27,2246.49,1244293
2023-10-26,2202.63,2226073
2023-10-25,2287.32,1540819
2023-10-23,2339.84,1483549
2023-10-20,2403.46,1240350
2023-10-19,2399.0,1168822
2023-10-18,2417.18,776977
2023-10-17,2441.19,707543
2023-10-16,2447.48,803856
2023-10-13,2446.51,2278682
2023-10-12,2506.49,1804818
2023-10-11,2512.68,1627836
2023-10-10,2492.25,1771910
2023-10-09,2435.04,1408224
2023-10-06,2491.17,1510035
2023-10-05,2464.12,1132455
2023-10-04,2451.95,2857377
2023-10-03,2395.35,2019899
2023-09-29,2430.24,1689201
2023-09-28,2478.59,2225560
2023-09-27,2475.27,1077373
2023-09-26,2474.46,698863
2023-09-25,2460.35,1216898
2023-09-22,2474.07,865589
2023-09-21,2482.4,1279908
2023-09-20,2489.13,1203019
2023-09-18,2521.46,861677
2023-09-15,2539.2,1547001
2023-09-14,2524.05,1218481
2023-09-13,2528.52,1780068
2023-09-12,2555.52,5658774
2023-09-11,2581.13,9148241
2023-09-08,2526.49,5640973
2023-09-07,2506.0,4298988
2023-09-06,2493.74,7416248
2023-09-05,2488.19,6489319
2023-09-04,2470.54,5998454
2023-09-01,2441.84,6764397
2023-08-31,2437.26,6230369
2023-08-30,2525.87,6484593
2023-08-29,2503.76,4802150
2023-08-28,2499.94,4457038
2023-08-25,2511.47,2808721
2023-08-24,2574.82,4558367
2023-08-23,2603.2,5251316
2023-08-22,2696.4,10291468
2023-08-21,2630.61,10479200
2023-08-18,2562.98,14679923
2023-08-17,2462.66,7769452
2023-08-16,2450.99,7084828
2023-08-14,2450.44,9786919
2023-08-11,2552.42,7157372
2023-08-10,2549.54,8140756
2023-08-09,2500.07,5781400
2023-08-08,2496.62,6127920
2023-08-07,2545.71,4684333
2023-08-04,2535.26,3294056
2023-08-03,2516.19,4720470
2023-08-02,2486.61,2506971
2023-08-01,2480.87,1575727
2023-07-31,2490.25,3359974
2023-07-28,2461.29,2339800
2023-07-27,2445.56,2243944
2023-07-26,2479.6,4021773
2023-07-25,2446.15,3017555
2023-07-24,2424.7,1113193
2023-07-21,2432.97,2280563
2023-07-20,2419.72,1564275
2023-07-19,2428.08,1637260
2023-07-18,2446.49,5978272
2023-07-17,2425.15,3090373
2023-07-14,2363.27,1353535
2023-07-13,2381.02,1247741
2023-07-12,2400.74,1445282
2023-07-11,2423.62,2247776
2023-07-10,2411.32,3771285
2023-07-07,2386.37,1823645
2023-07-06,2406.35,2476366
2023-07-05,2395.05,2198481
2023-07-04,2395.02,2308684
2023-07-03,2392.89,2662358
2023-06-30,2390.92,5125497
2023-06-28,2330.9,28353193
2023-06-27,2305.44,3361053
2023-06-26,2283.14,7847341
2023-06-23,2245.65,15213238
2023-06-22,2404.13,8459191
2023-06-21,2403.11,7418013
2023-06-20,2413.71,2479711
2023-06-19,2414.19,11475674
2023-06-16,2509.05,7999982
2023-06-15,2497.56,3744029
2023-06-14,2466.03,1364403
2023-06-13,2477.69,2210990
2023-06-12,2475.91,2804898
2023-06-09,2446.22,1948506
2023-06-08,2432.48,3781621
2023-06-07,2449.14,2522516
2023-06-06,2446.03,6473608
2023-06-05,2465.5,2956768
2023-06-02,2459.27,5543791
2023-06-01,2507.49,1704946
2023-05-31,2506.49,4268439
2023-05-30,2522.15,1736953
2023-05-29,2549.41,2779432
2023-05-26,2559.29,3963515
2023-05-25,2470.91,8434009
2023-05-24,2554.26,23465761
2023-05-23,2636.02,28432888
2023-05-22,2212.95,26311368
2023-05-19,1933.65,7541150
2023-05-18,1900.73,2437396
2023-05-17,1889.86,3632797
2023-05-16,1907.38,3058799
2023-05-15,1910.98,4836782
2023-05-12,1972.68,3816201
2023-05-11,1973.81,8835941
2023-05-10,1900.91,1970906
2023-05-09,1910.03,2700563
2023-05-08,1893.79,2835197
2023-05-05,1930.87,6137744
2023-05-04,1886.78,4842127
2023-05-03,1856.55,5849432
2023-05-02,1932.34,3813963
2023-04-28,1912.3,6159130
2023-04-27,1849.97,1782360
2023-04-26,1854.78,2422711
2023-04-25,1865.2,5364841
2023-04-24,1799.23,1963582
2023-04-21,1816.0,2090833
2023-04-20,1853.8,2016823
2023-04-19,1857.49,2455884
2023-04-18,1864.1,2542401
2023-04-17,1877.52,2983032
2023-04-13,1858.75,3402280
2023-04-12,1840.31,4809035
2023-04-11,1809.04,2883672
2023-04-10,1792.77,4197975
2023-04-06,1750.41,6012473
2023-04-05,1700.22,3690559
2023-04-03,1717.59,3445796
2023-03-31,1773.0,4893249
2023-03-29,1692.55,9332702
2023-03-28,1631.04,8144878
2023-03-27,1723.26,5053055
2023-03-24,1756.97,6187968
2023-03-23,1806.17,4108804
2023-03-22,1825.77,3248124
2023-03-21,1829.3,4094018
2023-03-20,1805.76,5168139
2023-03-17,1870.8,5969594
2023-03-16,1838.73,6509495
2023-03-15,1809.83,12296703
2023-03-14,1742.93,12679663
2023-03-13,1922.43,7572604
2023-03-10,1889.62,9419942
2023-03-09,1970.16,12627794
2023-03-08,2029.34,13568243
2023-03-06,2021.04,27180456
2023-03-03,1806.68,22888891
2023-03-02,1564.51,26970925
2023-03-01,1511.37,20114340
2023-02-28,1307.03,33948366
2023-02-27,1222.37,10271008
2023-02-24,1321.15,8736727
2023-02-23,1394.0,8907540
2023-02-22,1439.33,10606476
2023-02-21,1598.62,5571915
2023-02-20,1623.91,6762330
2023-02-17,1747.8,5392513
2023-02-16,1818.58,5578515
2023-02-15,1788.18,7636578
2023-02-14,1736.55,14579030
2023-02-13,1753.0,12210940
2023-02-10,1891.35,11334878
2023-02-09,1972.72,18279862
2023-02-08,2023.24,19173006
2023-02-07,1764.46,19188072
2023-02-06,1539.88,19308603
2023-02-03,1354.92,43885579
2023-02-02,1827.68,34474080
2023-02-01,2540.21,13525314
2023-01-31,2984.79,11568020
2023-01-30,2865.44,20947906
