DATE,VWAP,VOLUME
2024-01-25,1657.85,1088872
2024-01-24,1648.33,9489231
2024-01-23,1680.36,1594674
2024-01-20,1651.86,1094274
2024-01-19,1585.48,796187
2024-01-18,1593.16,994211
2024-01-17,1630.64,1151828
2024-01-16,1677.6,961314
2024-01-15,1701.05,687285
2024-01-12,1723.92,620508
2024-01-11,1730.18,985473
2024-01-10,1729.31,2417233
2024-01-09,1699.09,939531
2024-01-08,1689.68,1137776
2024-01-05,1685.43,871729
2024-01-04,1696.28,1492988
2024-01-03,1697.81,8064214
2024-01-02,1596.31,1031651
2024-01-01,1604.08,912757
2023-12-29,1580.88,1160954
2023-12-28,1579.89,1156469
2023-12-27,1619.31,2120712
2023-12-26,1586.48,2810862
2023-12-22,1525.81,1062643
2023-12-21,1482.25,2134995
2023-12-20,1504.8,2233664
2023-12-19,1531.53,965109
2023-12-18,1526.46,1077675
2023-12-15,1528.49,1698622
2023-12-14,1499.52,3437936
2023-12-13,1412.38,2826807
2023-12-12,1494.91,2007520
2023-12-11,1523.56,2705685
2023-12-08,1562.14,5410307
2023-12-07,1626.27,10884637
2023-12-06,1550.95,19688066
2023-12-05,1271.32,16961888
2023-12-04,1120.84,5999345
2023-12-01,1032.94,1181792
2023-11-30,1021.09,4253647
2023-11-29,1077.36,6654207
2023-11-28,1042.05,11565049
2023-11-24,936.66,738018
2023-11-23,922.33,350091
2023-11-22,919.14,288736
2023-11-21,929.08,377892
2023-11-20,923.18,472979
2023-11-17,936.87,341144
2023-11-16,942.4,353018
2023-11-15,946.22,412643
2023-11-13,937.68,341112
2023-11-12,949.08,152098
2023-11-10,939.04,311274
2023-11-09,941.21,359924
2023-11-08,942.18,492815
2023-11-07,934.34,919787
2023-11-06,921.73,619386
2023-11-03,902.28,286930
2023-11-02,895.75,510410
2023-11-01,897.02,551732
2023-10-31,919.56,713136
2023-10-30,914.03,2041633
2023-10-27,879.61,902416
2023-10-26,840.13,1138154
2023-10-25,882.89,464127
2023-10-23,897.5,695285
2023-10-20,930.4,625755
2023-10-19,934.68,291740
2023-10-18,944.04,281564
2023-10-17,950.47,363315
2023-10-16,944.1,376852
2023-10-13,946.35,290187
2023-10-12,954.49,353632
2023-10-11,964.93,775846
2023-10-10,942.21,356178
2023-10-09,944.11,574852
2023-10-06,962.78,359021
2023-10-05,967.29,451208
2023-10-04,978.71,755636
2023-10-03,980.07,500850
2023-09-29,993.49,895626
2023-09-28,1017.01,3914462
2023-09-27,1014.73,5379612
2023-09-26,1012.45,5535950
2023-09-25,1011.34,4649263
2023-09-22,1016.1,6840537
2023-09-21,1015.79,8252497
2023-09-20,1001.21,7657175
2023-09-18,1006.53,5210864
2023-09-15,1003.5,1393292
2023-09-14,986.92,466895
2023-09-13,983.61,962195
2023-09-12,1002.02,7833978
2023-09-11,1010.36,7208880
2023-09-08,1005.06,5254899
2023-09-07,1005.11,5105272
2023-09-06,983.07,7453688
2023-09-05,960.1,5108072
2023-09-04,956.05,4893856
2023-09-01,937.28,4096797
2023-08-31,936.04,4440751
2023-08-30,971.07,705104
2023-08-29,973.11,1469569
2023-08-28,981.05,650632
2023-08-25,981.03,589826
2023-08-24,989.63,949991
2023-08-23,992.44,1549871
2023-08-22,1024.41,1863617
2023-08-21,1021.71,2525140
2023-08-18,992.68,5524623
2023-08-17,938.45,1203944
2023-08-16,950.0,812634
2023-08-14,950.94,1039901
2023-08-11,973.42,816244
2023-08-10,979.04,1202964
2023-08-09,977.17,1692921
2023-08-08,994.86,3855260
2023-08-07,951.65,9340727
2023-08-04,1028.54,924378
2023-08-03,1039.89,2555083
2023-08-02,1066.29,1245613
2023-08-01,1102.2,2143083
2023-07-31,1102.61,3152824
2023-07-28,1110.79,1524478
2023-07-27,1137.98,2025025
2023-07-26,1145.67,6346278
2023-07-25,1049.81,3645365
2023-07-24,994.89,479401
2023-07-21,995.03,729192
2023-07-20,985.38,821313
2023-07-19,978.34,735702
2023-07-18,988.21,2254479
2023-07-17,969.55,754573
2023-07-14,957.59,618578
2023-07-13,958.78,542919
2023-07-12,956.15,550399
2023-07-11,965.97,603865
2023-07-10,956.63,828417
2023-07-07,954.86,585951
2023-07-06,958.01,799351
2023-07-05,949.27,567900
2023-07-04,946.81,572039
2023-07-03,946.25,634378
2023-06-30,949.23,1326330
2023-06-28,923.04,55121312
2023-06-27,963.15,415940
2023-06-26,961.52,6002771
2023-06-23,955.8,5559363
2023-06-22,973.66,4562722
2023-06-21,975.3,4202611
2023-06-20,959.24,320086
2023-06-19,967.98,430174
2023-06-16,973.86,1954444
2023-06-15,974.82,969057
2023-06-14,954.44,381844
2023-06-13,953.87,476248
2023-06-12,961.8,431395
2023-06-09,967.94,416990
2023-06-08,981.02,636876
2023-06-07,991.12,1247714
2023-06-06,989.3,4003295
2023-06-05,989.38,3596959
2023-06-02,983.41,3707803
2023-06-01,993.16,4639202
2023-05-31,963.53,6233565
2023-05-30,969.63,2694114
2023-05-29,976.74,3177944
2023-05-26,968.74,866198
2023-05-25,968.89,1892394
2023-05-24,1005.92,7440008
2023-05-23,988.8,228535
2023-05-22,939.91,460730
2023-05-19,872.68,2849747
2023-05-18,870.61,646071
2023-05-17,875.97,781898
2023-05-16,884.61,822421
2023-05-15,877.9,868695
2023-05-12,899.57,749875
2023-05-11,915.37,1061641
2023-05-10,899.15,3682237
2023-05-09,910.45,3476977
2023-05-08,915.22,3406153
2023-05-05,940.93,3266241
2023-05-04,944.67,3394830
2023-05-03,953.46,1870972
2023-05-02,984.49,3323308
2023-04-28,941.86,2759309
2023-04-27,916.29,695987
2023-04-26,933.97,1626606
2023-04-25,922.61,2314534
2023-04-24,890.53,1450872
2023-04-21,920.07,727246
2023-04-20,936.39,1181812
2023-04-19,935.9,1177133
2023-04-18,960.01,1378704
2023-04-17,958.45,2317568
2023-04-13,942.53,2585526
2023-04-12,965.49,8203268
2023-04-11,942.15,1163105
2023-04-10,898.5,1891503
2023-04-06,842.14,3002370
2023-04-05,815.92,3818321
2023-04-03,852.11,2788282
2023-03-31,899.74,3833232
2023-03-29,922.3,8902722
2023-03-28,940.49,1057688
2023-03-27,1021.66,7656812
2023-03-24,1013.04,12923291
2023-03-23,982.08,1170710
2023-03-22,934.11,1825044
2023-03-21,884.84,3819655
2023-03-20,824.97,6908589
2023-03-17,815.39,3378276
2023-03-16,772.93,3038749
2023-03-15,730.48,3892260
2023-03-14,699.93,9935463
2023-03-13,716.8,854810
2023-03-10,677.24,2561407
2023-03-09,650.2,784131
2023-03-08,619.25,133344
2023-03-06,589.8,155806
2023-03-03,561.75,58629
2023-03-02,535.0,206751
2023-03-01,508.94,387360
2023-02-28,465.5,8613869
2023-02-27,464.71,1064159
2023-02-24,488.07,1417656
2023-02-23,512.1,223957
2023-02-22,540.11,861922
2023-02-21,570.98,1657718
2023-02-20,604.08,2080050
2023-02-17,629.15,3686567
2023-02-16,632.95,13543834
2023-02-15,621.0,307402
2023-02-14,653.65,206263
2023-02-13,688.05,294782
2023-02-10,727.36,2074917
2023-02-09,769.57,4729491
2023-02-08,826.68,11524691
2023-02-07,883.71,14239086
2023-02-06,889.1,290650
2023-02-03,935.9,369006
2023-02-02,1039.85,509110
2023-02-01,1165.27,5928882
2023-01-31,1157.94,11356550
2023-01-30,1284.46,12185306
