DATE,VWAP,VOLUME
2024-01-25,1131.49,4305042
2024-01-24,1123.24,18373913
2024-01-23,1171.83,7201014
2024-01-20,1177.57,2521107
2024-01-19,1156.65,2732559
2024-01-18,1159.02,5918594
2024-01-17,1180.1,5268593
2024-01-16,1198.1,3173587
2024-01-15,1203.36,2825654
2024-01-12,1209.7,3912779
2024-01-11,1209.03,3721202
2024-01-10,1209.01,7036728
2024-01-09,1205.17,14701104
2024-01-08,1169.58,8760094
2024-01-05,1146.58,10622789
2024-01-04,1116.97,9771995
2024-01-03,1106.85,33060778
2024-01-02,1062.31,6344621
2024-01-01,1046.35,3989711
2023-12-29,1026.41,2429250
2023-12-28,1019.24,4865603
2023-12-27,1026.87,2803997
2023-12-26,1031.97,2176775
2023-12-22,1033.87,5252106
2023-12-21,1016.45,5352057
2023-12-20,1049.86,8467564
2023-12-19,1080.85,5993252
2023-12-18,1090.52,5448342
2023-12-15,1078.18,11672787
2023-12-14,1072.87,8004131
2023-12-13,1047.81,8151639
2023-12-12,1038.57,4902289
2023-12-11,1032.23,7889666
2023-12-08,1023.19,12202462
2023-12-07,1041.54,14840081
2023-12-06,1039.65,41008947
2023-12-05,967.15,46564412
2023-12-04,872.49,11064795
2023-12-01,829.12,2932775
2023-11-30,828.73,5998210
2023-11-29,838.73,8057644
2023-11-28,836.47,15929818
2023-11-24,790.29,4421350
2023-11-23,796.26,3776615
2023-11-22,793.33,3212329
2023-11-21,806.6,3643664
2023-11-20,808.53,3227659
2023-11-17,813.09,3218979
2023-11-16,813.91,1689762
2023-11-15,812.3,1694698
2023-11-13,811.05,1050882
2023-11-12,813.44,265239
2023-11-10,811.58,3903183
2023-11-09,812.47,4982049
2023-11-08,816.11,5123208
2023-11-07,799.94,2394891
2023-11-06,802.96,2270316
2023-11-03,793.22,4310765
2023-11-02,777.07,1741799
2023-11-01,773.7,2693768
2023-10-31,785.96,2825760
2023-10-30,784.65,3522068
2023-10-27,780.14,2995404
2023-10-26,765.03,3855358
2023-10-25,772.8,2581498
2023-10-23,779.65,2002377
2023-10-20,794.17,2434862
2023-10-19,792.96,2862500
2023-10-18,799.9,2271927
2023-10-17,807.64,2162192
2023-10-16,808.32,2664794
2023-10-13,813.08,3801000
2023-10-12,815.66,2563606
2023-10-11,819.05,3281387
2023-10-10,815.04,7591327
2023-10-09,798.65,5994282
2023-10-06,831.14,1877058
2023-10-05,825.31,2083505
2023-10-04,829.77,4096647
2023-10-03,830.34,2453090
2023-09-29,827.03,1468496
2023-09-28,828.91,5057959
2023-09-27,828.63,2463842
2023-09-26,824.52,1569635
2023-09-25,825.88,2395763
2023-09-22,831.27,3156509
2023-09-21,833.57,6437320
2023-09-20,823.76,3016411
2023-09-18,838.64,2801202
2023-09-15,846.95,4013431
2023-09-14,848.36,6234825
2023-09-13,851.07,7180448
2023-09-12,865.41,8036897
2023-09-11,869.5,20638175
2023-09-08,821.94,11683222
2023-09-07,808.17,9787939
2023-09-06,805.04,6729598
2023-09-05,804.95,10483413
2023-09-04,800.64,12522148
2023-09-01,798.21,11900199
2023-08-31,795.94,9998925
2023-08-30,827.2,8592012
2023-08-29,818.96,5935085
2023-08-28,808.04,5067265
2023-08-25,813.43,4442243
2023-08-24,833.08,4692796
2023-08-23,839.14,4748732
2023-08-22,860.53,8037324
2023-08-21,855.44,17432300
2023-08-18,831.26,22502392
2023-08-17,796.5,14011644
2023-08-16,776.3,11481440
2023-08-14,782.74,17841454
2023-08-11,803.54,9040236
2023-08-10,806.52,8064730
2023-08-09,792.93,7007648
2023-08-08,783.96,11993737
2023-08-07,784.02,4175164
2023-08-04,775.37,2758619
2023-08-03,766.21,4135776
2023-08-02,762.71,3017482
2023-08-01,769.42,2590545
2023-07-31,772.88,5854918
2023-07-28,754.54,3257195
