DATE,VWAP,VOLUME
2023-12-13,505.1,9267133
2023-12-12,521.01,5130118
2023-12-11,527.81,9890200
2023-12-08,542.97,16500676
2023-12-07,563.29,16013868
2023-12-06,568.21,46431996
2023-12-05,508.41,59296372
2023-12-04,468.72,15084875
2023-12-01,445.71,13761200
2023-11-30,425.78,11540019
2023-11-29,450.05,44215572
2023-11-28,440.4,67482614
2023-11-24,392.02,9134805
2023-11-23,385.03,2759240
2023-11-22,389.82,10626256
2023-11-21,393.94,14188472
2023-11-20,389.39,13657211
2023-11-17,389.58,12790695
2023-11-16,391.25,13220902
2023-11-15,391.45,12279448
2023-11-13,393.75,11454280
2023-11-12,401.22,1792783
2023-11-10,402.32,16574959
2023-11-09,402.53,28389177
2023-11-08,389.42,20042521
2023-11-07,390.3,18526329
2023-11-06,389.42,17431088
2023-11-03,384.62,12233091
2023-11-02,378.79,21100773
2023-11-01,365.16,5572625
2023-10-31,364.35,7080271
2023-10-30,353.97,9014732
2023-10-27,347.77,14877588
2023-10-26,309.06,12759045
2023-10-25,318.52,5402798
2023-10-23,323.84,6075498
2023-10-20,342.12,3464389
2023-10-19,340.28,5032636
2023-10-18,335.57,2269766
2023-10-17,338.46,4646955
2023-10-16,333.81,5569553
2023-10-13,342.89,2285167
2023-10-12,349.59,2062648
2023-10-11,354.08,3488974
2023-10-10,349.82,3720710
2023-10-09,346.41,7353001
2023-10-06,366.31,2349309
2023-10-05,369.75,2382554
2023-10-04,370.76,7760046
2023-10-03,370.64,3312991
2023-09-29,376.1,17989437
2023-09-28,375.08,19409168
2023-09-27,375.0,16473986
2023-09-26,378.73,17002538
2023-09-25,381.46,17125016
2023-09-22,384.42,12000168
2023-09-21,378.46,24721306
2023-09-20,369.47,17656850
2023-09-18,376.36,20351913
2023-09-15,379.17,18213490
2023-09-14,378.77,6898172
2023-09-13,377.55,14536761
2023-09-12,388.35,33894520
2023-09-11,391.82,44839639
2023-09-08,367.7,26073229
2023-09-07,352.9,24935097
2023-09-06,346.39,9482430
2023-09-05,344.24,16443461
2023-09-04,339.29,15935199
2023-09-01,324.34,24863644
2023-08-31,318.79,21870905
2023-08-30,332.0,9128939
2023-08-29,329.27,25217118
2023-08-28,324.35,14579011
2023-08-25,326.09,16028515
2023-08-24,333.07,23268024
2023-08-23,340.22,49358727
2023-08-22,340.75,36573300
2023-08-21,320.65,35884689
2023-08-18,305.11,58120641
2023-08-17,285.87,18159548
2023-08-16,281.4,33737517
2023-08-14,282.97,10660571
2023-08-11,286.32,10008733
2023-08-10,284.16,13815594
2023-08-09,279.6,7433237
2023-08-08,275.48,11629958
2023-08-07,275.69,5331796
2023-08-04,279.38,10293961
2023-08-03,273.37,17323631
2023-08-02,269.13,6899383
2023-08-01,275.16,7924194
2023-07-31,270.13,15925979
2023-07-28,257.28,6180690
2023-07-27,253.98,3251677
2023-07-26,259.67,14364433
2023-07-25,254.55,16455999
2023-07-24,239.87,2445770
2023-07-21,242.67,2001794
2023-07-20,244.77,1364692
2023-07-19,246.52,1554790
2023-07-18,249.05,5590646
2023-07-17,246.61,3871997
2023-07-14,239.21,2505497
2023-07-13,239.15,2138783
2023-07-12,241.48,2057207
2023-07-11,244.15,2080819
2023-07-10,242.28,4409516
2023-07-07,244.89,1903403
2023-07-06,246.78,2188169
2023-07-05,246.89,2211677
2023-07-04,248.63,2360805
2023-07-03,249.58,2501293
2023-06-30,252.02,2722288
2023-06-28,255.35,4523418
2023-06-27,254.26,2774315
2023-06-26,247.39,8107191
2023-06-23,245.77,7292829
2023-06-22,259.25,2706152
2023-06-21,261.87,2666965
2023-06-20,262.22,1958707
2023-06-19,265.2,2782345
2023-06-16,268.23,3777293
2023-06-15,270.52,4817968
2023-06-14,266.98,3529920
2023-06-13,270.61,2998067
2023-06-12,272.65,4056299
2023-06-09,277.87,4207318
2023-06-08,279.99,11017620
2023-06-07,274.75,17632425
2023-06-06,261.76,4579408
2023-06-05,259.7,5985089
2023-06-02,256.42,4140222
2023-06-01,254.92,4241162
2023-05-31,250.22,8595331
2023-05-30,252.21,2767227
2023-05-29,257.87,2581847
2023-05-26,260.04,3436434
2023-05-25,258.64,7465428
2023-05-24,263.9,25402451
2023-05-23,260.25,891496
2023-05-22,246.98,2264418
2023-05-19,227.18,15387039
2023-05-18,228.68,4530928
2023-05-17,234.28,2729228
2023-05-16,237.61,2958928
2023-05-15,236.0,3734399
2023-05-12,240.62,3106404
2023-05-11,242.61,5550783
2023-05-10,237.25,3832037
2023-05-09,240.64,4510073
2023-05-08,239.69,6805988
2023-05-05,239.71,5879771
2023-05-04,236.92,7562540
2023-05-03,234.82,19375629
2023-05-02,234.34,15316767
2023-04-28,221.66,7457724
2023-04-27,213.69,6881701
2023-04-26,209.17,8721982
2023-04-25,206.89,11876735
2023-04-24,199.12,6274761
2023-04-21,197.67,11239848
2023-04-20,193.82,11055623
2023-04-19,187.26,3119628
2023-04-18,189.32,2348374
2023-04-17,189.62,3092968
2023-04-13,190.86,3351950
2023-04-12,193.88,6182146
2023-04-11,195.56,5731535
2023-04-10,194.78,6052568
2023-04-06,192.72,11740797
2023-04-05,189.9,6249626
2023-04-03,191.27,8826718
2023-03-31,191.36,7735789
2023-03-29,178.38,16463799
2023-03-28,174.98,5385184
2023-03-27,185.9,8057710
2023-03-24,196.48,13774170
2023-03-23,205.97,14688196
2023-03-22,204.6,10063003
2023-03-21,195.58,12141316
2023-03-20,191.89,12119227
2023-03-17,201.6,11391354
2023-03-16,200.63,17003632
2023-03-15,204.49,45364592
2023-03-14,205.61,14455921
2023-03-13,214.69,22286761
2023-03-10,198.77,34315072
2023-03-09,194.9,43138384
2023-03-08,183.83,19786702
2023-03-06,177.75,2877047
2023-03-03,169.3,648028
2023-03-02,161.25,1030431
2023-03-01,153.27,1372548
2023-02-28,140.71,27171503
2023-02-27,141.22,9057254
2023-02-24,149.66,12016838
2023-02-23,155.01,22738196
2023-02-22,167.94,25913753
2023-02-21,169.0,6646310
2023-02-20,161.26,29505822
2023-02-17,154.42,3197811
2023-02-16,146.66,20084998
2023-02-15,140.8,1576621
2023-02-14,148.2,940729
2023-02-13,156.4,5574579
2023-02-10,164.2,2082042
2023-02-09,172.8,4471756
2023-02-08,179.17,27906893
2023-02-07,176.37,122308732
2023-02-06,182.35,993619
2023-02-03,191.95,990679
2023-02-02,202.05,768655
2023-02-01,215.57,14476793
2023-01-31,223.8,1489382
2023-01-30,235.55,1475925
