DATE,VWAP,VOLUME
2024-01-25,548.93,8019238
2024-01-24,522.77,3893697
2024-01-23,529.52,2682760
2024-01-20,540.61,2579032
2024-01-19,533.38,2661086
2024-01-18,520.85,2084710
2024-01-17,527.6,6229815
2024-01-16,529.7,2732941
2024-01-15,532.06,1838608
2024-01-12,536.63,2315342
2024-01-11,533.8,2505937
2024-01-10,524.28,1792977
2024-01-09,532.21,2741683
2024-01-08,533.37,3333769
2024-01-05,549.96,5130749
2024-01-04,545.97,6112049
2024-01-03,540.02,13711402
2024-01-02,528.3,2655551
2024-01-01,532.29,4251624
2023-12-29,519.15,2686563
2023-12-28,515.61,1945694
2023-12-27,517.95,5618393
2023-12-26,505.87,1869260
2023-12-22,503.52,2571515
2023-12-21,497.05,3610387
2023-12-20,502.64,5434428
2023-12-19,522.3,2762093
2023-12-18,528.19,2875095
2023-12-15,524.05,5777967
2023-12-14,518.46,5858223
2023-12-13,507.63,3481573
2023-12-12,503.64,3392736
2023-12-11,499.99,4277828
2023-12-08,494.18,4085720
2023-12-07,504.14,3608185
2023-12-06,511.04,13223984
2023-12-05,501.96,22838581
2023-12-04,467.23,13146040
2023-12-01,441.34,2478791
2023-11-30,437.85,6906477
2023-11-29,433.43,4081524
2023-11-28,430.01,7654493
2023-11-24,413.37,1929621
2023-11-23,413.55,1212949
2023-11-22,415.65,1457858
2023-11-21,421.1,1003554
2023-11-20,421.35,1481395
2023-11-17,423.32,2116735
2023-11-16,418.94,1724084
2023-11-15,420.16,2736651
2023-11-13,419.86,698694
2023-11-12,420.87,244482
2023-11-10,417.53,1025880
2023-11-09,419.69,882283
2023-11-08,422.01,1055490
2023-11-07,419.97,662939
2023-11-06,421.91,1061040
2023-11-03,420.32,1579359
2023-11-02,418.58,3289570
2023-11-01,412.66,5188883
2023-10-31,424.1,1078687
2023-10-30,420.87,1290400
2023-10-27,418.29,1693364
2023-10-26,412.19,2296586
2023-10-25,419.4,3289897
2023-10-23,421.08,1925177
2023-10-20,431.29,2066618
2023-10-19,435.12,1131689
2023-10-18,436.55,1919224
2023-10-17,442.44,1043674
2023-10-16,442.53,1353905
2023-10-13,442.19,950920
2023-10-12,446.61,1700298
2023-10-11,443.94,3228077
2023-10-10,435.55,3288646
2023-10-09,432.1,4370429
2023-10-06,434.65,1547935
2023-10-05,432.63,1287179
2023-10-04,430.35,3214525
2023-10-03,430.72,2833284
2023-09-29,425.79,2835399
2023-09-28,423.64,3461405
2023-09-27,429.28,1952178
2023-09-26,430.19,6162665
2023-09-25,421.09,3913804
2023-09-22,421.11,2666687
2023-09-21,426.54,2680700
2023-09-20,429.75,2289507
2023-09-18,439.3,3707587
2023-09-15,444.82,2963506
2023-09-14,444.2,2000637
2023-09-13,443.72,2583760
2023-09-12,445.05,5467782
2023-09-11,447.59,5287778
2023-09-08,439.24,1913450
2023-09-07,438.4,2211370
2023-09-06,437.49,2410656
2023-09-05,440.75,2261743
2023-09-04,440.74,4347480
2023-09-01,431.52,3846763
2023-08-31,431.13,12006942
2023-08-30,443.65,2230876
2023-08-29,442.97,4051913
2023-08-28,437.44,3347943
2023-08-25,437.81,5518417
2023-08-24,453.53,4316497
2023-08-23,459.27,3474824
2023-08-22,465.15,3093757
2023-08-21,460.78,3554493
2023-08-18,451.9,4745941
2023-08-17,441.18,2130151
2023-08-16,436.43,1740262
2023-08-14,442.12,4208119
2023-08-11,458.42,2572588
2023-08-10,459.63,2526713
2023-08-09,462.33,2483919
2023-08-08,463.57,5371066
2023-08-07,472.02,2245398
2023-08-04,473.82,2994518
2023-08-03,471.54,12633488
2023-08-02,458.0,8819107
2023-08-01,461.11,3111674
2023-07-31,463.54,5162855
2023-07-28,452.78,4573656
2023-07-27,446.5,4479151
2023-07-26,443.18,5027847
2023-07-25,434.7,6432788
2023-07-24,423.84,3203223
2023-07-21,417.45,1990506
2023-07-20,421.36,2876080
2023-07-19,418.98,2260225
2023-07-18,418.29,3809061
2023-07-17,417.37,5100742
2023-07-14,416.43,7579025
2023-07-13,418.97,2744632
2023-07-12,419.05,2231762
2023-07-11,420.34,2512215
2023-07-10,419.04,3524816
2023-07-07,420.94,3734746
2023-07-06,432.21,2151838
2023-07-05,431.11,2057486
2023-07-04,434.21,1585173
2023-07-03,433.81,3025642
2023-06-30,430.1,6318237
2023-06-28,435.71,6405277
2023-06-27,436.49,3022273
2023-06-26,426.9,3401951
2023-06-23,431.74,4859137
2023-06-22,445.62,2318198
2023-06-21,448.15,2653187
2023-06-20,449.15,3007712
2023-06-19,455.36,2390979
2023-06-16,461.32,4270855
2023-06-15,463.48,2606044
2023-06-14,463.75,4260531
2023-06-13,459.63,2313541
2023-06-12,455.36,2768142
2023-06-09,455.04,4370589
2023-06-08,452.67,4925548
2023-06-07,455.46,4545088
2023-06-06,455.11,15043392
2023-06-05,439.82,3391422
2023-06-02,436.58,5425758
2023-06-01,428.92,3422014
2023-05-31,425.01,6180317
2023-05-30,430.22,3733902
2023-05-29,426.44,7799828
2023-05-26,422.28,3769455
2023-05-25,419.38,4130074
2023-05-24,424.9,6096592
2023-05-23,431.83,18654251
2023-05-22,423.37,17691079
2023-05-19,401.56,4401094
2023-05-18,402.79,4266534
2023-05-17,404.28,4399478
2023-05-16,403.38,3189110
2023-05-15,407.27,2396533
2023-05-12,410.4,5365495
2023-05-11,411.59,5043085
2023-05-10,406.87,3823364
2023-05-09,408.87,7401793
2023-05-08,406.01,6282119
2023-05-05,398.6,11844907
2023-05-04,386.15,6828148
2023-05-03,389.21,13078081
2023-05-02,394.81,7419371
2023-04-28,395.41,11030482
2023-04-27,388.08,5093452
2023-04-26,385.58,4369712
2023-04-25,383.71,4790001
2023-04-24,378.08,3030412
2023-04-21,376.63,4286701
2023-04-20,379.97,4345525
2023-04-19,382.72,3600019
2023-04-18,385.84,3986619
2023-04-17,390.73,4916449
2023-04-13,392.85,6239974
2023-04-12,393.43,9415387
2023-04-11,384.37,3415299
2023-04-10,385.57,3153982
2023-04-06,383.08,5658596
2023-04-05,376.46,6528840
2023-04-03,371.9,6083504
