DATE,VWAP,VOLUME
2024-01-25,6177.18,337391
2024-01-24,6159.29,435151
2024-01-23,6217.08,982889
2024-01-20,6162.68,249694
2024-01-19,6029.03,326813
2024-01-18,5961.47,591170
2024-01-17,5931.35,378205
2024-01-16,5918.29,347797
2024-01-15,5880.64,375458
2024-01-12,5813.44,250919
2024-01-11,5851.69,213210
2024-01-10,5771.05,239740
2024-01-09,5792.02,329437
2024-01-08,5683.95,157009
2024-01-05,5772.24,144894
2024-01-04,5775.75,220702
2024-01-03,5727.53,198997
2024-01-02,5733.17,166449
2024-01-01,5739.62,127030
2023-12-29,5701.32,325682
2023-12-28,5737.55,568149
2023-12-27,5677.14,307177
2023-12-26,5613.61,243281
2023-12-22,5510.02,220537
2023-12-21,5447.45,487514
2023-12-20,5524.63,437044
2023-12-19,5582.11,682732
2023-12-18,5529.3,428321
2023-12-15,5543.6,349758
2023-12-14,5493.34,490550
2023-12-13,5399.35,476781
2023-12-12,5473.9,615205
2023-12-11,5532.09,238128
2023-12-08,5505.24,456382
2023-12-07,5467.71,510609
2023-12-06,5558.73,574427
2023-12-05,5592.64,787929
2023-12-04,5619.87,936113
2023-12-01,5595.55,546990
2023-11-30,5504.94,775261
2023-11-29,5406.73,277119
2023-11-28,5363.24,362746
2023-11-24,5430.21,270183
2023-11-23,5505.39,234584
2023-11-22,5504.8,302473
2023-11-21,5463.17,382979
2023-11-20,5513.94,526567
2023-11-17,5443.61,735541
2023-11-16,5305.38,449045
2023-11-15,5229.88,356675
2023-11-13,5227.28,150128
2023-11-12,5278.0,18707
2023-11-10,5271.8,696409
2023-11-09,5234.16,1032216
2023-11-08,5115.58,400498
2023-11-07,5139.04,222204
2023-11-06,5180.95,399720
2023-11-03,5109.22,1262458
2023-11-02,4869.98,214035
2023-11-01,4823.78,281746
2023-10-31,4844.09,276660
2023-10-30,4834.53,234759
2023-10-27,4839.4,333727
2023-10-26,4772.54,836962
2023-10-25,4893.48,894230
2023-10-23,4982.64,363474
2023-10-20,4968.95,252447
2023-10-19,4988.22,231958
2023-10-18,4981.33,341459
2023-10-17,5037.48,217907
2023-10-16,5026.94,259806
2023-10-13,4982.95,410013
2023-10-12,4992.58,1029595
2023-10-11,5114.96,336099
2023-10-10,5061.59,202645
2023-10-09,5039.35,176296
2023-10-06,5050.69,407753
2023-10-05,5054.27,363289
2023-10-04,5037.27,442482
2023-10-03,5117.89,268482
2023-09-29,5137.95,410567
2023-09-28,5079.46,407714
2023-09-27,5087.49,460768
2023-09-26,5061.87,267102
2023-09-25,5064.45,386746
2023-09-22,4989.37,348459
2023-09-21,5010.43,422586
2023-09-20,4981.58,509910
2023-09-18,5112.92,371912
2023-09-15,5107.56,658355
2023-09-14,5070.64,414391
2023-09-13,4994.82,232238
2023-09-12,5009.95,483061
2023-09-11,5083.75,543287
2023-09-08,4997.56,292671
2023-09-07,5016.12,334709
2023-09-06,5003.69,535407
2023-09-05,4950.52,800554
2023-09-04,4830.14,354446
2023-09-01,4825.74,206097
2023-08-31,4837.38,488260
2023-08-30,4866.89,396122
2023-08-29,4892.43,591619
2023-08-28,4886.78,204098
2023-08-25,4871.75,249504
2023-08-24,4942.68,534065
2023-08-23,4960.18,597123
2023-08-22,4934.16,175172
2023-08-21,4892.88,243126
2023-08-18,4858.42,336848
2023-08-17,4899.24,375779
2023-08-16,4894.64,667417
2023-08-14,4808.15,832136
2023-08-11,4940.46,1066479
2023-08-10,4928.11,370166
2023-08-09,4986.3,268668
2023-08-08,5025.18,519420
2023-08-07,4997.22,608113
2023-08-04,4988.57,358846
2023-08-03,4994.62,412037
2023-08-02,5001.12,1016605
2023-08-01,5068.4,1044095
2023-07-31,5207.19,689230
2023-07-28,5286.69,453505
2023-07-27,5209.35,363050
2023-07-26,5178.28,297720
2023-07-25,5194.66,547945
2023-07-24,5197.4,249814
2023-07-21,5214.0,313184
2023-07-20,5179.84,276787
2023-07-19,5188.45,265631
2023-07-18,5194.2,511024
2023-07-17,5245.01,469609
2023-07-14,5137.38,508041
2023-07-13,5218.2,338327
2023-07-12,5245.85,263391
2023-07-11,5250.07,503174
2023-07-10,5168.38,271366
2023-07-07,5194.78,559765
2023-07-06,5247.08,1251554
2023-07-05,5090.9,279982
2023-07-04,5088.03,233404
2023-07-03,5090.02,150815
2023-06-30,5092.08,411015
2023-06-28,5138.91,362944
2023-06-27,5114.04,556456
2023-06-26,5029.32,430106
2023-06-23,5039.5,335552
2023-06-22,5099.05,329800
2023-06-21,5121.84,410174
2023-06-20,5159.43,334154
2023-06-19,5188.33,327818
2023-06-16,5208.67,797312
2023-06-15,5146.07,1712253
2023-06-14,4995.49,360156
2023-06-13,4955.08,308751
2023-06-12,4947.48,343835
2023-06-09,4934.88,249400
2023-06-08,4948.78,411502
2023-06-07,5016.86,552840
2023-06-06,4927.74,382992
2023-06-05,4973.58,698352
2023-06-02,4922.37,1326161
2023-06-01,4797.84,1692479
2023-05-31,4637.99,1655511
2023-05-30,4671.33,1298380
2023-05-29,4620.52,332364
2023-05-26,4602.11,289579
2023-05-25,4558.6,202680
2023-05-24,4565.46,225979
2023-05-23,4570.43,433331
2023-05-22,4554.58,361967
2023-05-19,4438.09,177405
2023-05-18,4478.95,167057
2023-05-17,4499.71,266803
2023-05-16,4592.96,310725
2023-05-15,4652.61,401847
2023-05-12,4606.75,427837
2023-05-11,4614.1,409446
2023-05-10,4607.26,293523
2023-05-09,4610.46,207566
2023-05-08,4631.69,274255
2023-05-05,4582.12,332169
2023-05-04,4538.27,391146
2023-05-03,4501.57,287955
2023-05-02,4511.58,384900
2023-04-28,4494.9,713399
2023-04-27,4398.32,400508
2023-04-26,4440.27,438486
2023-04-25,4417.1,252655
2023-04-24,4418.59,571150
2023-04-21,4383.39,485292
2023-04-20,4312.83,484517
2023-04-19,4289.09,517278
2023-04-18,4329.88,409038
2023-04-17,4383.36,334963
2023-04-13,4433.03,1257056
2023-04-12,4309.33,304498
2023-04-11,4256.11,284178
2023-04-10,4212.35,323560
2023-04-06,4203.17,286725
2023-04-05,4196.69,622533
2023-04-03,4257.57,493574
2023-03-31,4333.41,465663
2023-03-29,4352.48,250790
2023-03-28,4298.52,343628
2023-03-27,4349.76,495895
2023-03-24,4310.84,354933
2023-03-23,4272.32,233054
2023-03-22,4255.0,302705
2023-03-21,4302.07,239304
2023-03-20,4265.95,563835
2023-03-17,4339.37,368653
2023-03-16,4320.22,300181
2023-03-15,4339.88,279479
2023-03-14,4306.6,279237
2023-03-13,4369.93,496455
2023-03-10,4321.22,328154
2023-03-09,4458.54,684685
2023-03-08,4387.15,246734
2023-03-06,4443.59,242661
2023-03-03,4418.76,168868
2023-03-02,4419.37,313250
2023-03-01,4407.24,287008
2023-02-28,4410.16,312308
2023-02-27,4450.53,215703
2023-02-24,4448.62,358946
2023-02-23,4460.62,443522
2023-02-22,4476.52,333978
2023-02-21,4542.6,490637
2023-02-20,4614.39,232327
2023-02-17,4611.66,408098
2023-02-16,4621.13,1419679
2023-02-15,4392.38,2724361
2023-02-14,4300.61,339582
2023-02-13,4391.25,272935
2023-02-10,4397.0,359807
2023-02-09,4378.53,284239
2023-02-08,4373.35,250175
2023-02-07,4321.48,319090
2023-02-06,4267.44,257669
2023-02-03,4197.42,413966
2023-02-02,4221.52,479256
2023-02-01,4290.95,321331
2023-01-31,4230.04,671038
2023-01-30,4202.4,623069
