DATE,VWAP,VOLUME
2024-01-25,2961.59,2001961
2024-01-24,2999.09,2665932
2024-01-23,3061.31,2365225
2024-01-20,3156.45,275937
2024-01-19,3171.07,936201
2024-01-18,3147.43,1979174
2024-01-17,3264.05,2239241
2024-01-16,3300.41,748215
2024-01-15,3268.89,728116
2024-01-12,3265.68,673004
2024-01-11,3285.11,537469
2024-01-10,3276.23,691087
2024-01-09,3288.37,670704
2024-01-08,3322.1,545884
2024-01-05,3364.27,416956
2024-01-04,3385.28,777127
2024-01-03,3384.56,379131
2024-01-02,3375.92,552394
2024-01-01,3397.12,283951
2023-12-29,3401.15,615676
2023-12-28,3392.66,779250
2023-12-27,3376.34,837182
2023-12-26,3370.47,600190
2023-12-22,3331.17,930563
2023-12-21,3296.07,1585879
2023-12-20,3327.79,979762
2023-12-19,3329.54,780448
2023-12-18,3322.04,911936
2023-12-15,3288.17,1631687
2023-12-14,3237.43,923107
2023-12-13,3221.45,1052079
2023-12-12,3231.72,1019030
2023-12-11,3210.75,910426
2023-12-08,3241.09,895852
2023-12-07,3267.33,1071725
2023-12-06,3266.13,1229158
2023-12-05,3217.52,1005550
2023-12-04,3186.39,1018189
2023-12-01,3169.94,960196
2023-11-30,3124.04,1793116
2023-11-29,3158.69,620725
2023-11-28,3150.01,647883
2023-11-24,3126.55,756329
2023-11-23,3139.03,792460
2023-11-22,3139.35,489889
2023-11-21,3135.93,409069
2023-11-20,3146.59,406431
2023-11-17,3196.91,1430175
2023-11-16,3125.99,675454
2023-11-15,3101.22,700017
2023-11-13,3079.6,405941
2023-11-12,3097.92,85178
2023-11-10,3063.01,364232
2023-11-09,3092.43,849702
2023-11-08,3081.68,783400
2023-11-07,3022.8,757998
2023-11-06,3014.43,620959
2023-11-03,2969.9,715997
2023-11-02,2948.93,900125
2023-11-01,2954.56,1029990
2023-10-31,2994.91,1152306
2023-10-30,2966.44,878885
2023-10-27,2954.69,1708185
2023-10-26,2985.38,1834111
2023-10-25,3081.66,669290
2023-10-23,3090.96,374476
2023-10-20,3098.44,711434
2023-10-19,3095.68,568124
2023-10-18,3104.55,481985
2023-10-17,3110.94,792640
2023-10-16,3113.39,853011
2023-10-13,3147.26,854688
2023-10-12,3159.03,992531
2023-10-11,3167.68,1025317
2023-10-10,3150.31,847367
2023-10-09,3152.84,700012
2023-10-06,3200.44,814257
2023-10-05,3200.15,1002610
2023-10-04,3171.84,892584
2023-10-03,3188.43,1219145
2023-09-29,3160.04,1550585
2023-09-28,3196.13,2104381
2023-09-27,3294.21,516326
2023-09-26,3286.83,834560
2023-09-25,3315.09,1422084
2023-09-22,3262.19,896521
2023-09-21,3215.04,845739
2023-09-20,3205.78,901084
2023-09-18,3217.2,673602
2023-09-15,3198.14,1568607
2023-09-14,3245.86,1102554
2023-09-13,3258.31,880907
2023-09-12,3262.63,554905
2023-09-11,3253.7,359345
2023-09-08,3247.55,395918
2023-09-07,3230.65,923108
2023-09-06,3215.62,754106
2023-09-05,3232.74,597022
2023-09-04,3232.96,696213
2023-09-01,3244.7,650131
2023-08-31,3264.35,1601967
2023-08-30,3289.66,599080
2023-08-29,3278.37,533163
2023-08-28,3258.59,707315
2023-08-25,3245.82,1363431
2023-08-24,3214.61,1167742
2023-08-23,3177.5,370811
2023-08-22,3182.59,377068
2023-08-21,3172.66,353330
2023-08-18,3168.75,592652
2023-08-17,3181.16,873392
2023-08-16,3190.21,597686
2023-08-14,3185.32,815534
2023-08-11,3199.9,919023
2023-08-10,3253.22,1253219
2023-08-09,3325.96,643222
2023-08-08,3346.67,500258
2023-08-07,3337.51,360358
2023-08-04,3345.05,519248
2023-08-03,3339.06,711067
2023-08-02,3352.75,857218
2023-08-01,3349.67,698667
2023-07-31,3361.7,933890
2023-07-28,3382.56,553750
2023-07-27,3376.86,874078
2023-07-26,3389.23,959076
2023-07-25,3427.15,2555630
2023-07-24,3533.43,680246
2023-07-21,3517.09,857975
2023-07-20,3520.14,589848
2023-07-19,3503.97,620289
2023-07-18,3495.91,962485
2023-07-17,3449.54,817694
2023-07-14,3412.09,832843
2023-07-13,3399.81,750126
2023-07-12,3393.64,1025127
2023-07-11,3383.36,772158
2023-07-10,3332.34,548838
2023-07-07,3370.36,620761
2023-07-06,3390.45,693995
2023-07-05,3375.15,632406
2023-07-04,3348.6,473663
2023-07-03,3356.07,474224
2023-06-30,3385.19,1436363
2023-06-28,3343.88,713110
2023-06-27,3325.11,914141
2023-06-26,3301.9,592801
2023-06-23,3286.45,1260659
2023-06-22,3280.9,871640
2023-06-21,3311.91,742456
2023-06-20,3300.28,866290
2023-06-19,3318.54,516915
2023-06-16,3307.13,984671
2023-06-15,3291.01,806994
2023-06-14,3270.11,741615
2023-06-13,3256.54,1598821
2023-06-12,3180.24,1029156
2023-06-09,3198.83,1239045
2023-06-08,3216.2,561161
2023-06-07,3220.53,470038
2023-06-06,3216.85,577698
2023-06-05,3208.79,492565
2023-06-02,3237.82,781973
2023-06-01,3236.48,1104861
2023-05-31,3190.32,2349066
2023-05-30,3143.77,506026
2023-05-29,3129.99,535712
2023-05-26,3126.59,568249
2023-05-25,3110.46,500313
2023-05-24,3112.96,439465
2023-05-23,3116.44,581204
2023-05-22,3083.2,659425
2023-05-19,3090.74,633262
2023-05-18,3111.03,498067
2023-05-17,3100.01,835371
2023-05-16,3147.85,822404
2023-05-15,3149.9,810281
2023-05-12,3142.08,1998170
2023-05-11,3096.23,3229605
2023-05-10,3038.43,751851
2023-05-09,3047.51,1025850
2023-05-08,3017.67,941879
2023-05-05,2994.76,1326561
2023-05-04,2966.3,1008540
