DATE,VWAP,VOLUME
2024-01-25,1003.6,824946
2024-01-24,1000.73,1122020
2024-01-23,1017.58,1670762
2024-01-20,1023.77,2604323
2024-01-19,995.87,852306
2024-01-18,987.83,1849733
2024-01-17,1006.97,1250880
2024-01-16,1032.47,2307540
2024-01-15,1044.32,1119817
2024-01-12,1062.3,946547
2024-01-11,1067.87,854630
2024-01-10,1070.83,1731962
2024-01-09,1078.45,2151595
2024-01-08,1071.41,2060675
2024-01-05,1096.4,2558514
2024-01-04,1126.05,6280871
2024-01-03,1087.94,17295243
2024-01-02,1004.39,2907798
2024-01-01,999.94,1726490
2023-12-29,986.46,2495693
2023-12-28,990.09,2406672
2023-12-27,1004.39,941495
2023-12-26,993.1,1187517
2023-12-22,1000.07,1390011
2023-12-21,967.65,2578772
2023-12-20,997.15,3827565
2023-12-19,1030.21,4049083
2023-12-18,1038.13,4836390
2023-12-15,1056.65,5567847
2023-12-14,1050.43,7505312
2023-12-13,1026.6,8702879
2023-12-12,1132.6,6185074
2023-12-11,1172.26,6202921
2023-12-08,1177.69,17553553
2023-12-07,1143.83,13942558
2023-12-06,1025.62,25868267
2023-12-05,825.3,25680410
2023-12-04,745.55,3797072
2023-12-01,710.08,2295605
2023-11-30,710.45,6181309
2023-11-29,731.72,15476039
2023-11-28,627.61,13383917
2023-11-24,536.68,645918
2023-11-23,531.43,245027
2023-11-22,534.93,311802
2023-11-21,542.79,628363
2023-11-20,530.09,425124
2023-11-17,533.79,346869
2023-11-16,537.57,299925
2023-11-15,542.9,305793
2023-11-13,541.87,221120
2023-11-12,546.62,93526
2023-11-10,538.72,292745
2023-11-09,537.38,457780
2023-11-08,543.42,370025
2023-11-07,546.1,484208
2023-11-06,552.99,337716
2023-11-03,556.78,295170
2023-11-02,556.68,402265
2023-11-01,558.21,539277
2023-10-31,569.86,465372
2023-10-30,565.89,1062861
2023-10-27,551.93,2354557
2023-10-26,530.99,1111655
2023-10-25,561.56,2129935
2023-10-23,575.76,1653095
2023-10-20,591.96,2119632
2023-10-19,589.12,1654142
2023-10-18,594.69,266362
2023-10-17,598.07,259223
2023-10-16,597.02,327251
2023-10-13,603.25,367972
2023-10-12,611.02,252296
2023-10-11,613.14,606346
2023-10-10,595.98,2808380
2023-10-09,592.05,572730
2023-10-06,605.91,326953
2023-10-05,607.23,669666
2023-10-04,615.86,1347949
2023-10-03,612.44,491826
2023-09-29,615.59,792596
2023-09-28,625.1,377764
2023-09-27,629.31,509378
