DATE,VWAP,VOLUME
2024-01-25,1037.96,20835434
2024-01-24,1050.55,20884046
2024-01-23,1101.48,18924087
2024-01-20,1115.57,5055594
2024-01-19,1118.44,12303696
2024-01-18,1095.78,11473135
2024-01-17,1095.23,24913719
2024-01-16,1121.84,5229753
2024-01-15,1121.23,6719079
2024-01-12,1122.27,5616755
2024-01-11,1122.67,4683035
2024-01-10,1106.11,5934163
2024-01-09,1124.29,6359362
2024-01-08,1131.56,4735538
2024-01-05,1131.22,8025466
2024-01-04,1120.15,11411683
2024-01-03,1093.81,10225290
2024-01-02,1091.41,7895577
2024-01-01,1099.75,4083732
2023-12-29,1100.75,8786731
2023-12-28,1106.86,14097667
2023-12-27,1098.8,6132936
2023-12-26,1095.43,5687517
2023-12-22,1096.23,10600025
2023-12-21,1087.0,10914682
2023-12-20,1112.15,9848057
2023-12-19,1120.3,6824641
2023-12-18,1114.04,7922468
2023-12-15,1117.59,12048410
2023-12-14,1127.35,9421193
2023-12-13,1120.12,8184523
2023-12-12,1123.69,9044111
2023-12-11,1121.41,6924589
2023-12-08,1121.13,7300989
2023-12-07,1118.93,6439419
2023-12-06,1127.72,7342767
2023-12-05,1138.1,15804808
2023-12-04,1115.24,14043213
2023-12-01,1097.61,14428758
2023-11-30,1070.34,24755589
2023-11-29,1044.1,9422396
2023-11-28,1017.14,6173384
2023-11-24,1006.79,6956281
2023-11-23,999.79,3112891
2023-11-22,994.21,6103988
2023-11-21,992.04,7061614
2023-11-20,988.02,8215656
2023-11-17,999.54,13268353
2023-11-16,1034.32,6908825
2023-11-15,1038.3,7240388
2023-11-13,1027.36,5985481
2023-11-12,1029.99,461834
2023-11-10,1024.38,3294063
2023-11-09,1022.76,4407935
2023-11-08,1020.58,7643314
2023-11-07,1012.62,6559859
2023-11-06,1008.78,6552178
2023-11-03,987.32,4268048
2023-11-02,981.85,5193982
2023-11-01,973.48,5703984
2023-10-31,984.46,7816805
2023-10-30,987.85,5270567
2023-10-27,988.83,13443016
