DATE,VWAP,VOLUME
2024-01-25,7471.03,2065788
2024-01-24,7155.28,467134
2024-01-23,7096.28,953921
2024-01-20,7131.89,91479
2024-01-19,7143.59,327976
2024-01-18,7108.34,557084
2024-01-17,7156.19,619338
2024-01-16,7301.21,272181
2024-01-15,7342.9,440410
2024-01-12,7299.15,434753
2024-01-11,7238.27,1031594
2024-01-10,7073.25,721432
2024-01-09,7165.81,2125908
2024-01-08,7007.46,312733
2024-01-05,6986.79,659306
2024-01-04,6933.59,619987
2024-01-03,6901.14,1256275
2024-01-02,6638.95,361379
2024-01-01,6730.96,253274
2023-12-29,6745.54,345626
2023-12-28,6702.04,406228
2023-12-27,6627.21,1017894
2023-12-26,6449.07,302139
2023-12-22,6335.16,237213
2023-12-21,6271.37,397717
2023-12-20,6410.72,385863
2023-12-19,6421.81,377109
2023-12-18,6437.37,851061
2023-12-15,6309.07,553522
2023-12-14,6321.1,419212
2023-12-13,6284.25,373989
2023-12-12,6241.24,810900
2023-12-11,6103.64,175955
2023-12-08,6075.34,233266
2023-12-07,6106.81,427407
2023-12-06,6039.47,699201
2023-12-05,6139.9,565826
2023-12-04,6148.28,359158
2023-12-01,6046.61,439023
2023-11-30,6084.43,501833
2023-11-29,6040.78,406974
2023-11-28,5951.01,380535
2023-11-24,5918.53,297211
2023-11-23,5909.67,1118718
2023-11-22,5721.27,497403
2023-11-21,5682.65,746193
2023-11-20,5642.56,679425
2023-11-17,5632.67,531539
2023-11-16,5552.7,324712
2023-11-15,5504.38,640468
2023-11-13,5419.76,93497
2023-11-12,5426.54,29055
2023-11-10,5385.69,149325
2023-11-09,5432.81,232773
2023-11-08,5414.08,202145
2023-11-07,5421.25,202689
2023-11-06,5411.69,394137
2023-11-03,5359.89,448715
2023-11-02,5327.52,304362
2023-11-01,5374.97,619765
2023-10-31,5326.56,400987
2023-10-30,5325.37,360967
2023-10-27,5370.18,843465
2023-10-26,5286.15,746266
2023-10-25,5373.25,620266
2023-10-23,5426.57,451167
2023-10-20,5485.96,763919
2023-10-19,5396.97,2838352
2023-10-18,5165.93,360985
2023-10-17,5124.5,318565
2023-10-16,5074.43,158560
2023-10-13,5067.81,387366
2023-10-12,5114.93,472168
2023-10-11,5062.38,575680
2023-10-10,5041.52,307502
2023-10-09,5016.9,244083
2023-10-06,5031.27,279352
2023-10-05,4964.26,657876
2023-10-04,4948.31,256544
2023-10-03,5038.28,464531
2023-09-29,5053.9,248079
2023-09-28,5054.47,580065
2023-09-27,5037.88,257406
2023-09-26,5075.22,450923
2023-09-25,5019.96,539731
2023-09-22,5034.26,498375
2023-09-21,5118.1,640829
2023-09-20,5214.98,622924
2023-09-18,5195.82,804973
2023-09-15,5079.12,1689829
2023-09-14,4823.89,249498
2023-09-13,4825.17,207142
2023-09-12,4820.83,305478
2023-09-11,4791.96,151600
2023-09-08,4751.21,209769
2023-09-07,4691.53,319934
2023-09-06,4685.6,224928
2023-09-05,4695.34,353620
2023-09-04,4643.64,328037
2023-09-01,4676.46,456071
2023-08-31,4637.74,479472
2023-08-30,4695.21,370694
2023-08-29,4637.62,320941
2023-08-28,4603.62,283469
2023-08-25,4595.42,293384
2023-08-24,4683.27,433867
2023-08-23,4649.13,263771
2023-08-22,4621.2,96290
2023-08-21,4613.99,118491
2023-08-18,4621.3,243546
2023-08-17,4627.48,311184
2023-08-16,4582.35,188763
2023-08-14,4589.68,154258
2023-08-11,4613.62,274197
2023-08-10,4657.93,330123
2023-08-09,4653.71,282034
2023-08-08,4656.29,487053
2023-08-07,4686.68,436583
2023-08-04,4747.59,451353
2023-08-03,4857.13,418377
2023-08-02,4862.99,249850
2023-08-01,4936.22,391794
2023-07-31,4914.31,325463
2023-07-28,4875.39,255158
2023-07-27,4864.76,321326
2023-07-26,4872.2,387130
2023-07-25,4850.98,743269
2023-07-24,4882.49,288534
2023-07-21,4854.56,367833
2023-07-20,4834.79,450566
2023-07-19,4838.41,247325
2023-07-18,4860.67,270028
2023-07-17,4858.72,250127
2023-07-14,4866.95,419873
2023-07-13,4920.12,501038
2023-07-12,4893.56,295827
2023-07-11,4933.99,400593
2023-07-10,4914.58,659388
2023-07-07,4861.81,405959
2023-07-06,4887.67,888595
2023-07-05,4794.41,891033
2023-07-04,4641.92,286373
2023-07-03,4620.54,457367
2023-06-30,4692.85,587936
2023-06-28,4676.24,769406
2023-06-27,4640.21,444793
2023-06-26,4615.22,298624
2023-06-23,4626.19,348409
2023-06-22,4626.26,180102
2023-06-21,4666.17,274821
2023-06-20,4640.84,453523
2023-06-19,4610.19,193043
2023-06-16,4647.28,658995
2023-06-15,4731.56,178304
2023-06-14,4729.69,191238
2023-06-13,4763.55,247078
2023-06-12,4762.11,137778
2023-06-09,4774.43,208197
2023-06-08,4802.65,295499
2023-06-07,4765.26,239491
2023-06-06,4725.23,353149
2023-06-05,4700.21,234925
2023-06-02,4676.25,606833
2023-06-01,4644.52,698733
2023-05-31,4581.91,719613
2023-05-30,4606.34,229574
2023-05-29,4631.74,301343
2023-05-26,4634.39,484972
2023-05-25,4611.31,1016606
2023-05-24,4526.72,395343
2023-05-23,4513.31,239196
2023-05-22,4537.01,368479
2023-05-19,4487.04,398571
2023-05-18,4533.17,194233
2023-05-17,4546.5,346510
2023-05-16,4571.03,321308
2023-05-15,4580.16,534604
2023-05-12,4578.98,620213
2023-05-11,4553.43,293197
2023-05-10,4554.25,229527
2023-05-09,4545.41,329083
2023-05-08,4535.41,365732
2023-05-05,4467.66,180033
2023-05-04,4457.32,191019
2023-05-03,4451.83,351550
2023-05-02,4483.11,522701
2023-04-28,4422.28,457064
2023-04-27,4366.33,667011
2023-04-26,4318.72,964051
2023-04-25,4346.66,367525
2023-04-24,4327.99,279716
2023-04-21,4308.37,237639
2023-04-20,4297.83,409146
2023-04-19,4265.51,406755
2023-04-18,4209.51,235015
2023-04-17,4259.09,718984
2023-04-13,4283.8,371608
2023-04-12,4259.78,992142
2023-04-11,4139.96,685931
2023-04-10,4059.94,218632
2023-04-06,4040.67,321813
2023-04-05,4003.32,584697
2023-04-03,3964.85,497915
2023-03-31,3885.97,248433
2023-03-29,3856.95,429300
2023-03-28,3793.57,144400
2023-03-27,3820.02,198811
2023-03-24,3855.91,281359
2023-03-23,3879.11,256313
2023-03-22,3918.7,311063
2023-03-21,3884.18,803886
2023-03-20,3805.25,331370
2023-03-17,3811.45,396793
2023-03-16,3784.29,377544
2023-03-15,3752.75,317890
2023-03-14,3762.72,278919
2023-03-13,3797.18,247745
2023-03-10,3821.11,530973
2023-03-09,3822.19,295897
2023-03-08,3785.7,478922
2023-03-06,3745.93,186747
2023-03-03,3723.01,281411
2023-03-02,3722.74,276614
2023-03-01,3713.07,432887
2023-02-28,3677.58,723245
2023-02-27,3678.01,822866
2023-02-24,3855.0,263732
2023-02-23,3836.23,299446
2023-02-22,3857.73,477992
2023-02-21,3856.42,177954
2023-02-20,3916.48,169828
2023-02-17,3901.24,167844
2023-02-16,3908.11,166844
2023-02-15,3883.5,214072
2023-02-14,3882.63,251160
2023-02-13,3884.22,372862
2023-02-10,3827.74,170034
2023-02-09,3853.54,249061
2023-02-08,3874.32,309039
2023-02-07,3867.08,246673
2023-02-06,3842.93,205412
2023-02-03,3815.71,242350
2023-02-02,3774.9,309024
2023-02-01,3826.66,328212
2023-01-31,3825.64,359118
2023-01-30,3862.46,654472
