DATE,VWAP,VOLUME
2024-01-25,1625.57,1744604
2024-01-24,1607.93,1393463
2024-01-23,1591.37,3028946
2024-01-20,1592.47,404125
2024-01-19,1596.56,1139473
2024-01-18,1575.13,1133236
2024-01-17,1593.5,1488186
2024-01-16,1631.99,1063676
2024-01-15,1639.0,1089891
2024-01-12,1653.32,1314964
2024-01-11,1680.13,861924
2024-01-10,1668.9,607010
2024-01-09,1696.51,1235008
2024-01-08,1704.24,684254
2024-01-05,1708.4,835592
2024-01-04,1707.14,2268009
2024-01-03,1689.49,804258
2024-01-02,1679.5,1099965
2024-01-01,1679.14,692280
2023-12-29,1684.35,738203
2023-12-28,1680.15,1360425
2023-12-27,1664.56,1181177
2023-12-26,1656.79,1296291
2023-12-22,1675.35,1279614
2023-12-21,1670.73,988034
2023-12-20,1713.93,1540009
2023-12-19,1708.22,1214352
2023-12-18,1728.86,696124
2023-12-15,1728.27,1486079
2023-12-14,1725.41,2130836
2023-12-13,1681.03,1168629
2023-12-12,1707.9,1390539
2023-12-11,1705.81,1003371
2023-12-08,1705.6,1376050
2023-12-07,1708.58,941890
2023-12-06,1702.49,737176
2023-12-05,1693.02,1778602
2023-12-04,1698.71,1419178
2023-12-01,1681.46,1101136
2023-11-30,1667.35,1577522
2023-11-29,1655.3,746796
2023-11-28,1642.45,1564478
2023-11-24,1618.25,625345
2023-11-23,1627.96,695592
2023-11-22,1618.91,807316
2023-11-21,1605.79,1714833
2023-11-20,1596.74,1256179
2023-11-17,1606.38,1783393
2023-11-16,1597.14,3213352
2023-11-15,1596.12,1684967
2023-11-13,1584.53,853825
2023-11-12,1597.57,148384
2023-11-10,1589.13,672720
2023-11-09,1578.44,1108425
2023-11-08,1570.75,831310
2023-11-07,1570.78,2532282
2023-11-06,1553.43,917415
2023-11-03,1562.32,2519096
2023-11-02,1577.35,1020303
2023-11-01,1573.08,770557
2023-10-31,1567.6,1592788
2023-10-30,1551.32,850025
2023-10-27,1571.89,2003579
2023-10-26,1570.44,1780025
2023-10-25,1611.38,1490405
2023-10-23,1624.21,1093182
2023-10-20,1629.62,1191783
2023-10-19,1620.71,1429935
2023-10-18,1634.38,1230439
2023-10-17,1658.65,1689224
2023-10-16,1642.41,859548
2023-10-13,1639.23,1212989
2023-10-12,1632.89,1052767
2023-10-11,1641.67,952433
2023-10-10,1631.88,1453653
2023-10-09,1616.38,1712235
2023-10-06,1607.7,7384628
2023-10-05,1545.01,1153064
2023-10-04,1532.74,1614123
2023-10-03,1549.36,1083086
2023-09-29,1544.37,1109857
2023-09-28,1549.81,831496
2023-09-27,1562.65,964400
2023-09-26,1568.56,2472382
2023-09-25,1579.75,2962182
2023-09-22,1543.57,1321743
2023-09-21,1525.49,1772341
2023-09-20,1554.25,1076887
2023-09-18,1553.19,1403635
2023-09-15,1542.96,3116428
2023-09-14,1551.25,920905
2023-09-13,1543.17,1193072
2023-09-12,1541.89,1444688
2023-09-11,1547.71,841557
2023-09-08,1546.23,2168354
2023-09-07,1516.77,647590
2023-09-06,1513.6,712220
2023-09-05,1511.6,1298151
2023-09-04,1512.49,685689
2023-09-01,1505.86,904596
2023-08-31,1493.68,1542837
2023-08-30,1510.9,700372
2023-08-29,1503.8,1377001
2023-08-28,1497.44,1066459
2023-08-25,1493.22,3624097
2023-08-24,1480.23,847606
2023-08-23,1466.79,961649
2023-08-22,1478.39,1557523
2023-08-21,1471.87,1498685
2023-08-18,1463.78,1053734
2023-08-17,1474.38,1048714
2023-08-16,1468.57,834135
2023-08-14,1479.76,1549409
2023-08-11,1512.44,792201
2023-08-10,1518.78,900666
2023-08-09,1514.32,1065831
2023-08-08,1508.95,1409271
2023-08-07,1500.85,1228780
2023-08-04,1484.61,2703607
2023-08-03,1501.09,2785017
2023-08-02,1538.99,2170178
2023-08-01,1579.81,1641917
2023-07-31,1592.75,1323373
2023-07-28,1584.46,3285744
2023-07-27,1636.24,3402069
2023-07-26,1637.32,2225230
2023-07-25,1647.92,1378736
2023-07-24,1649.01,1455663
2023-07-21,1633.32,1149031
2023-07-20,1637.58,1159938
2023-07-19,1634.03,1920501
2023-07-18,1615.42,2077115
2023-07-17,1610.92,823296
2023-07-14,1615.34,1088010
2023-07-13,1613.45,1136620
2023-07-12,1592.3,1281286
2023-07-11,1609.51,1500679
2023-07-10,1598.64,1731894
2023-07-07,1613.14,1456642
2023-07-06,1618.06,937466
2023-07-05,1620.27,2006206
2023-07-04,1620.19,7337423
2023-07-03,1536.0,1068533
2023-06-30,1527.49,934639
2023-06-28,1525.35,1158136
2023-06-27,1515.15,763062
2023-06-26,1503.65,647496
2023-06-23,1502.57,1237464
2023-06-22,1514.94,966522
2023-06-21,1522.42,799052
2023-06-20,1516.42,1943763
2023-06-19,1536.72,3446484
2023-06-16,1502.69,2090874
2023-06-15,1475.55,853566
2023-06-14,1477.19,763762
