DATE,VWAP,VOLUME
2024-01-25,8170.19,14926
2024-01-24,8125.09,21964
2024-01-23,8236.78,38548
2024-01-20,8318.27,32340
2024-01-19,8359.99,135675
2024-01-18,7985.74,33821
2024-01-17,8098.62,21311
2024-01-16,8175.58,14829
2024-01-15,8203.49,33759
2024-01-12,8069.98,9367
2024-01-11,8069.04,19415
2024-01-10,8042.86,21386
2024-01-09,8111.9,38473
2024-01-08,8057.27,11458
2024-01-05,8138.78,26527
2024-01-04,8147.3,46150
2024-01-03,8028.33,86219
2024-01-02,7804.98,30786
2024-01-01,7757.18,17080
2023-12-29,7739.35,52509
2023-12-28,7897.89,87310
2023-12-27,7934.58,11177
2023-12-26,7886.72,19122
2023-12-22,7838.32,17659
2023-12-21,7741.96,29668
2023-12-20,7860.92,27757
2023-12-19,7836.74,54892
2023-12-18,7944.06,39141
2023-12-15,8051.42,75533
2023-12-14,8275.15,41327
2023-12-13,8122.92,53366
2023-12-12,7816.0,26619
2023-12-11,7816.74,64180
2023-12-08,7968.92,27621
2023-12-07,8149.1,151760
2023-12-06,7856.13,43794
2023-12-05,7711.89,65891
2023-12-04,7749.02,157847
2023-12-01,7317.57,30157
2023-11-30,7324.44,57191
2023-11-29,7330.89,17133
2023-11-28,7354.18,19597
2023-11-24,7439.23,14344
2023-11-23,7400.27,15089
2023-11-22,7399.05,27197
2023-11-21,7314.9,11430
2023-11-20,7281.4,12074
2023-11-17,7318.26,62674
2023-11-16,7118.62,21153
2023-11-15,7162.62,21269
2023-11-13,7118.08,23008
2023-11-12,7134.43,2003
2023-11-10,7120.72,14493
2023-11-09,7107.1,17729
2023-11-08,7114.83,14575
2023-11-07,7052.36,28285
2023-11-06,6994.22,31959
2023-11-03,6929.27,17745
2023-11-02,6856.3,56156
2023-11-01,6800.46,28739
2023-10-31,6892.7,19889
2023-10-30,6721.71,19034
2023-10-27,6730.76,13991
2023-10-26,6694.02,21099
2023-10-25,6930.82,28693
2023-10-23,7120.21,53413
2023-10-20,7030.91,101039
2023-10-19,6848.9,16188
2023-10-18,6854.41,30829
2023-10-17,6828.14,25456
2023-10-16,6840.86,25560
2023-10-13,6819.34,15812
2023-10-12,6832.55,29503
2023-10-11,6977.85,70547
2023-10-10,6852.91,17024
2023-10-09,6844.78,15307
2023-10-06,6802.15,41262
2023-10-05,6726.07,42162
2023-10-04,6870.39,31137
2023-10-03,6991.54,33983
2023-09-29,7071.03,33287
2023-09-28,7150.7,52319
2023-09-27,7302.82,39279
