DATE,VWAP,VOLUME
2024-01-25,7075.3,1168349
2024-01-24,7049.02,2063675
2024-01-23,7180.32,2533297
2024-01-20,7332.58,219358
2024-01-19,7313.97,830810
2024-01-18,7281.49,1686996
2024-01-17,7388.41,1380271
2024-01-16,7518.19,1194723
2024-01-15,7524.95,997220
2024-01-12,7660.78,808638
2024-01-11,7720.83,651741
2024-01-10,7688.85,559072
2024-01-09,7758.94,1247083
2024-01-08,7737.07,1121209
2024-01-05,7722.15,1052601
2024-01-04,7667.97,2911879
2024-01-03,7414.09,553405
2024-01-02,7372.68,1112990
2024-01-01,7304.06,331489
2023-12-29,7289.44,912802
2023-12-28,7258.91,1856064
2023-12-27,7237.64,1605279
2023-12-26,7211.83,1225844
2023-12-22,7328.87,1129485
2023-12-21,7402.52,913082
2023-12-20,7583.08,874546
2023-12-19,7597.28,791408
2023-12-18,7581.14,1082798
2023-12-15,7488.15,1173938
2023-12-14,7450.68,1729567
2023-12-13,7247.77,682955
2023-12-12,7318.67,633312
2023-12-11,7306.16,590055
2023-12-08,7316.01,1144388
2023-12-07,7391.22,668862
2023-12-06,7416.37,701800
2023-12-05,7372.13,1522242
2023-12-04,7387.32,1101426
2023-12-01,7218.92,900477
2023-11-30,7116.0,1271934
2023-11-29,7134.1,682430
2023-11-28,7086.59,728158
2023-11-24,7047.75,726499
2023-11-23,7106.81,606158
2023-11-22,7119.5,1041404
2023-11-21,7087.44,1666225
2023-11-20,7118.34,1902940
2023-11-17,7214.11,2080034
2023-11-16,7177.29,4557043
2023-11-15,7310.01,1923440
2023-11-13,7364.51,732240
2023-11-12,7465.6,79745
2023-11-10,7425.27,496261
2023-11-09,7403.36,771791
2023-11-08,7455.13,916717
2023-11-07,7519.46,1563007
2023-11-06,7513.51,634043
2023-11-03,7428.96,1138755
2023-11-02,7492.79,855030
2023-11-01,7510.31,462778
2023-10-31,7511.26,749410
2023-10-30,7460.27,799276
2023-10-27,7492.7,911944
2023-10-26,7470.75,1324630
2023-10-25,7741.94,708774
2023-10-23,7830.64,882230
2023-10-20,7773.63,771153
2023-10-19,7822.27,1061453
2023-10-18,7950.12,1544642
2023-10-17,8100.95,838283
2023-10-16,8029.01,438246
2023-10-13,8036.74,662282
2023-10-12,8037.95,764092
2023-10-11,8131.8,712372
2023-10-10,8076.49,965024
2023-10-09,8068.79,747800
2023-10-06,8064.18,2145034
2023-10-05,7875.66,795061
2023-10-04,7915.04,1176384
2023-10-03,7888.51,944555
2023-09-29,7805.28,573005
2023-09-28,7774.5,777505
2023-09-27,7804.75,744110
2023-09-26,7853.77,1246820
2023-09-25,7761.39,2347533
2023-09-22,7519.12,526304
2023-09-21,7485.59,675725
2023-09-20,7583.18,844190
2023-09-18,7530.92,706618
2023-09-15,7509.86,787494
2023-09-14,7471.78,650372
2023-09-13,7446.31,579846
2023-09-12,7399.48,963517
2023-09-11,7395.89,406849
2023-09-08,7410.57,624642
