DATE,VWAP,VOLUME
2024-01-25,226.72,20473287
2024-01-24,225.99,36236660
2024-01-23,225.34,36926359
2024-01-20,231.19,10482470
2024-01-19,229.97,9445978
2024-01-18,226.87,16224153
2024-01-17,228.68,34099113
2024-01-16,232.14,13977706
2024-01-15,230.68,12678381
2024-01-12,229.72,17600195
2024-01-11,225.63,11247115
2024-01-10,222.63,13503894
2024-01-09,224.64,13420799
2024-01-08,226.03,27673291
2024-01-05,235.51,14545656
2024-01-04,237.16,14698523
2024-01-03,232.06,21410875
2024-01-02,232.24,12803886
2024-01-01,234.84,13199707
2023-12-29,230.94,11051281
2023-12-28,233.61,35086844
2023-12-27,231.27,27861855
2023-12-26,225.03,9215256
2023-12-22,224.57,11469899
2023-12-21,221.07,16908481
2023-12-20,223.47,24608319
2023-12-19,225.5,17582770
2023-12-18,225.12,12657351
2023-12-15,223.21,23378701
2023-12-14,221.59,18247186
2023-12-13,219.27,34720253
2023-12-12,215.53,18271153
2023-12-11,215.58,16170438
2023-12-08,212.19,29505509
2023-12-07,210.93,14842658
2023-12-06,209.61,22088409
2023-12-05,211.62,24365491
2023-12-04,208.47,35929143
2023-12-01,201.93,21923402
2023-11-30,198.59,21558187
2023-11-29,197.3,7617440
2023-11-28,196.2,12382178
2023-11-24,194.04,5469063
2023-11-23,195.02,5846991
2023-11-22,194.97,15231149
2023-11-21,196.14,8970682
2023-11-20,197.9,10307666
2023-11-17,196.27,16351676
2023-11-16,198.86,13256095
2023-11-15,198.49,18154099
2023-11-13,195.89,14626408
2023-11-12,195.48,1787373
2023-11-10,193.88,10091704
2023-11-09,193.37,13121704
2023-11-08,192.57,22372624
2023-11-07,192.28,51310933
2023-11-06,196.15,37345564
2023-11-03,202.97,19177688
2023-11-02,199.13,14242502
2023-11-01,196.24,7915346
2023-10-31,197.31,9074535
2023-10-30,197.53,11946838
2023-10-27,195.16,14885363
2023-10-26,190.14,29658835
2023-10-25,196.03,14959554
2023-10-23,198.59,15784543
2023-10-20,202.86,17030658
2023-10-19,204.26,12922522
2023-10-18,205.35,20282190
2023-10-17,207.29,12501262
2023-10-16,204.89,15730299
2023-10-13,203.8,27835260
2023-10-12,208.41,14176014
2023-10-11,208.19,43037191
2023-10-10,213.45,12358739
2023-10-09,212.86,12102991
2023-10-06,214.56,14552427
2023-10-05,212.69,11700848
2023-10-04,213.58,21610557
2023-10-03,215.46,12939332
2023-09-29,213.83,9613748
2023-09-28,213.08,26793595
2023-09-27,214.2,14556599
2023-09-26,215.2,11773544
2023-09-25,217.08,22756990
2023-09-22,214.53,37302904
2023-09-21,211.37,22066890
2023-09-20,215.27,29729690
2023-09-18,216.86,36322604
2023-09-15,210.85,16238012
2023-09-14,211.49,29826455
2023-09-13,205.11,38949196
2023-09-12,200.76,21077042
2023-09-11,202.09,22766508
2023-09-08,198.15,15379639
2023-09-07,195.65,10535198
2023-09-06,195.52,15607001
2023-09-05,196.56,14710293
