DATE,VWAP,VOLUME
2024-01-25,189.85,12592882
2024-01-24,188.14,14742783
2024-01-23,188.97,26628471
2024-01-20,193.3,12654436
2024-01-19,191.64,22303305
2024-01-18,185.47,24831623
2024-01-17,186.03,16350370
2024-01-16,187.87,16471601
2024-01-15,187.59,24570393
2024-01-12,183.95,8853157
2024-01-11,185.38,10942508
2024-01-10,184.15,8701594
2024-01-09,185.34,11550790
2024-01-08,184.67,11472441
2024-01-05,186.91,22023938
2024-01-04,185.53,25403124
2024-01-03,182.6,18738690
2024-01-02,181.85,22790965
2024-01-01,185.65,18008785
2023-12-29,183.35,19305150
2023-12-28,182.61,20453485
2023-12-27,181.93,26206240
2023-12-26,182.12,52736391
2023-12-22,172.89,19640046
2023-12-21,169.52,22646625
2023-12-20,172.31,24511237
2023-12-19,172.89,14732129
2023-12-18,172.17,35901409
2023-12-15,168.33,39766631
2023-12-14,163.5,13887946
2023-12-13,162.04,16804086
2023-12-12,161.28,16306341
2023-12-11,161.46,22941648
2023-12-08,159.18,22869782
2023-12-07,159.92,51346222
2023-12-06,155.17,26688698
2023-12-05,151.95,29109123
2023-12-04,154.42,51416976
2023-12-01,148.27,34466616
2023-11-30,144.49,27591484
2023-11-29,141.05,14680789
2023-11-28,141.18,8595693
2023-11-24,140.21,19614754
2023-11-23,139.97,13138745
2023-11-22,141.71,7445272
2023-11-21,143.12,9972235
2023-11-20,144.49,7741502
2023-11-17,144.54,13496261
2023-11-16,143.07,11453235
2023-11-15,143.5,11440473
2023-11-13,143.01,20245049
2023-11-12,139.73,1362464
2023-11-10,138.35,5781314
2023-11-09,138.3,5481774
2023-11-08,140.2,9755483
2023-11-07,138.11,8587321
2023-11-06,137.04,7070089
2023-11-03,136.01,9154983
2023-11-02,134.28,4885035
2023-11-01,133.57,10431945
2023-10-31,132.44,8098744
2023-10-30,131.97,9052085
2023-10-27,131.81,8761931
2023-10-26,128.23,18167694
2023-10-25,132.02,10225867
2023-10-23,133.39,19333777
2023-10-20,134.77,8982112
2023-10-19,136.39,7775836
2023-10-18,137.42,6806231
2023-10-17,138.4,6076896
2023-10-16,137.36,7785480
2023-10-13,137.2,8303230
2023-10-12,138.13,7567439
2023-10-11,138.45,10778916
2023-10-10,139.67,15593722
2023-10-09,136.13,10489249
2023-10-06,139.14,4987359
2023-10-05,139.55,15996620
2023-10-04,137.81,14912053
2023-10-03,139.24,19010910
2023-09-29,137.57,8504659
2023-09-28,135.8,22012674
2023-09-27,136.47,8713378
2023-09-26,137.6,12315581
2023-09-25,135.08,14984591
2023-09-22,135.61,12604969
2023-09-21,136.23,9531884
2023-09-20,137.79,19080613
2023-09-18,140.39,51859825
2023-09-15,136.01,9651337
2023-09-14,136.99,13197189
2023-09-13,135.19,19282289
2023-09-12,136.77,48752780
2023-09-11,144.69,19902175
2023-09-08,142.98,16579557
2023-09-07,139.51,18438943
2023-09-06,138.79,10151022
2023-09-05,140.51,11695197
2023-09-04,140.55,28262276
2023-09-01,136.76,23415545
2023-08-31,133.42,14954352
2023-08-30,134.92,12555619
2023-08-29,134.87,11118400
2023-08-28,135.52,13346571
2023-08-25,135.26,33919926
2023-08-24,134.46,17543374
2023-08-23,134.17,19426832
2023-08-22,132.54,20596242
2023-08-21,128.4,5063202
2023-08-18,128.09,8997702
2023-08-17,129.57,7162118
2023-08-16,130.85,7062446
2023-08-14,130.59,8529502
2023-08-11,132.2,10967883
2023-08-10,131.45,11116731
2023-08-09,131.05,13111006
2023-08-08,129.05,12505272
2023-08-07,127.99,8339894
2023-08-04,126.83,10589274
2023-08-03,125.01,12415922
2023-08-02,126.33,20816954
2023-08-01,131.43,17079508
2023-07-31,130.18,16197160
2023-07-28,129.88,37245053
2023-07-27,127.28,11597763
2023-07-26,126.15,12681896
2023-07-25,126.5,7151050
2023-07-24,126.37,13121674
2023-07-21,125.36,9926528
2023-07-20,126.1,10187180
2023-07-19,127.03,8975718
2023-07-18,126.85,8994063
2023-07-17,127.31,9411535
2023-07-14,125.83,9577719
2023-07-13,126.99,12374030
2023-07-12,127.49,18031857
2023-07-11,127.11,46215137
2023-07-10,123.2,9068813
2023-07-07,124.68,22837962
2023-07-06,123.96,16906327
2023-07-05,121.96,15615891
2023-07-04,122.69,7595425
2023-07-03,124.04,15492508
2023-06-30,123.71,27973500
2023-06-28,120.02,61890385
2023-06-27,119.29,19093714
2023-06-26,121.16,17369553
2023-06-23,121.56,12413343
2023-06-22,124.85,25032998
2023-06-21,124.62,14141162
2023-06-20,125.03,15471361
2023-06-19,125.53,10053869
2023-06-16,124.96,32649860
2023-06-15,121.78,13948239
2023-06-14,121.93,8660080
2023-06-13,121.12,16552079
2023-06-12,121.27,24331332
2023-06-09,119.65,19873573
2023-06-08,117.49,11188999
2023-06-07,118.11,11262532
2023-06-06,117.37,18999553
2023-06-05,116.98,35214281
2023-06-02,112.77,9939324
2023-06-01,112.91,9185292
2023-05-31,111.64,15741522
2023-05-30,111.73,7803617
2023-05-29,111.12,10330215
2023-05-26,110.3,7958341
2023-05-25,109.79,11158044
2023-05-24,108.68,10722681
2023-05-23,108.84,15214733
2023-05-22,110.3,27946526
2023-05-19,106.85,9255095
2023-05-18,108.32,7220608
2023-05-17,108.71,9456088
2023-05-16,108.27,9051577
2023-05-15,107.9,7833289
2023-05-12,107.32,6855025
2023-05-11,108.31,9435021
2023-05-10,107.96,10360986
2023-05-09,107.41,10063354
2023-05-08,107.06,6721354
2023-05-05,106.96,9315810
2023-05-04,107.29,15414305
2023-05-03,105.75,16034319
2023-05-02,104.33,13598952
2023-04-28,102.87,11812226
2023-04-27,101.54,5362153
2023-04-26,101.2,4576455
2023-04-25,101.25,5696053
2023-04-24,101.89,5994078
2023-04-21,102.82,5625649
2023-04-20,102.82,13241812
2023-04-19,102.33,11271768
2023-04-18,102.81,19758227
2023-04-17,100.98,8323162
2023-04-13,101.07,9153834
2023-04-12,100.38,8938731
2023-04-11,99.91,8458648
2023-04-10,99.72,10870304
2023-04-06,98.26,11440418
2023-04-05,97.51,24875169
2023-04-03,96.86,24154016
2023-03-31,97.43,64455094
2023-03-29,91.2,36103221
2023-03-28,90.74,14999850
2023-03-27,92.41,15959308
2023-03-24,92.62,16650432
2023-03-23,91.92,9969670
2023-03-22,92.95,6096408
2023-03-21,93.09,5886671
2023-03-20,92.42,6579446
2023-03-17,93.91,13158718
2023-03-16,91.26,12278142
2023-03-15,93.37,8318506
2023-03-14,92.09,14285446
2023-03-13,93.43,11482697
2023-03-10,94.82,9620249
2023-03-09,96.03,7884249
2023-03-08,95.85,14292676
2023-03-06,96.79,8289319
2023-03-03,96.61,7938348
2023-03-02,96.7,10048980
2023-03-01,96.54,14285091
2023-02-28,95.17,10965145
2023-02-27,94.48,13928820
2023-02-24,95.36,8061923
2023-02-23,94.95,16196352
2023-02-22,95.33,14589841
2023-02-21,95.52,11933886
2023-02-20,94.67,17505922
2023-02-17,97.28,20383244
2023-02-16,96.4,32927840
2023-02-15,93.91,11575131
2023-02-14,94.29,9624926
2023-02-13,95.97,13582939
2023-02-10,96.27,10685751
