DATE,VWAP,VOLUME
2024-01-25,1176.91,11424697
2024-01-24,1172.54,9546592
2024-01-23,1156.03,18194595
2024-01-20,1129.39,1919442
2024-01-19,1120.26,11753391
2024-01-18,1088.47,4407330
2024-01-17,1090.81,4568700
2024-01-16,1101.81,5025540
2024-01-15,1090.04,3312897
2024-01-12,1068.68,3394013
2024-01-11,1065.35,2604325
2024-01-10,1062.44,3111573
2024-01-09,1059.42,3371125
2024-01-08,1052.62,4489695
2024-01-05,1048.15,4008221
2024-01-04,1040.16,4664043
2024-01-03,1031.21,3604276
2024-01-02,1020.81,6865791
2024-01-01,1014.62,3804406
2023-12-29,1032.66,4631749
2023-12-28,1031.76,5288328
2023-12-27,1013.91,4791379
2023-12-26,998.13,2460643
2023-12-22,990.12,4605120
2023-12-21,972.82,4294277
2023-12-20,981.68,3990591
2023-12-19,992.86,3912964
2023-12-18,988.52,5750263
2023-12-15,995.66,10119597
2023-12-14,1005.11,6541673
2023-12-13,997.8,4153219
2023-12-12,993.73,7119331
2023-12-11,997.15,6195119
2023-12-08,996.53,6630766
2023-12-07,1004.52,13805235
2023-12-06,1021.29,4121251
2023-12-05,1032.79,4266159
2023-12-04,1035.4,5164902
2023-12-01,1014.37,5544950
2023-11-30,1009.47,9934052
2023-11-29,996.66,5647918
2023-11-28,977.69,5096984
2023-11-24,974.51,2322104
2023-11-23,974.7,2749555
2023-11-22,970.8,3309732
2023-11-21,968.99,5704644
2023-11-20,954.65,4646962
2023-11-17,949.33,3249469
2023-11-16,949.15,5310736
2023-11-15,946.47,4816316
2023-11-13,936.18,1656368
2023-11-12,937.66,174810
2023-11-10,933.91,1345614
2023-11-09,933.69,3914416
2023-11-08,937.72,1808553
2023-11-07,935.35,3616946
2023-11-06,934.67,2760800
2023-11-03,928.32,3895154
2023-11-02,922.75,6611573
2023-11-01,909.16,4821458
2023-10-31,916.51,5697563
2023-10-30,925.91,3686773
2023-10-27,913.56,3508393
2023-10-26,909.54,6595332
2023-10-25,927.45,6365249
2023-10-23,941.8,2180066
2023-10-20,942.68,3125104
2023-10-19,944.6,4306963
2023-10-18,954.52,2334392
2023-10-17,954.25,3863410
2023-10-16,952.31,1881721
2023-10-13,951.27,4421671
2023-10-12,950.0,5544735
2023-10-11,953.82,5645289
2023-10-10,945.12,7897875
2023-10-09,923.49,2248103
2023-10-06,925.75,2420855
2023-10-05,926.88,7063132
2023-10-04,922.74,5603669
2023-10-03,923.24,4338272
2023-09-29,925.69,5608557
2023-09-28,922.68,7386917
2023-09-27,917.27,4713145
2023-09-26,915.3,5355047
2023-09-25,908.1,5278045
2023-09-22,912.71,6112928
2023-09-21,913.21,4896202
2023-09-20,910.39,5241903
2023-09-18,926.64,2977375
2023-09-15,931.69,14003428
2023-09-14,914.32,5513106
2023-09-13,906.17,5222561
2023-09-12,890.33,4106031
2023-09-11,888.31,2733894
2023-09-08,886.14,3741470
2023-09-07,877.08,4532834
2023-09-06,874.79,4235096
2023-09-05,863.57,2216754
2023-09-04,864.14,3102649
2023-09-01,862.18,4427899
2023-08-31,856.37,12528190
2023-08-30,859.54,3261665
2023-08-29,855.42,14064286
2023-08-28,869.82,3094455
2023-08-25,869.73,3124339
2023-08-24,869.01,2842728
2023-08-23,870.01,1860153
2023-08-22,875.98,3333869
2023-08-21,869.55,3220142
2023-08-18,856.74,4929835
2023-08-17,855.06,3013019
2023-08-16,858.21,3962408
2023-08-14,863.35,2665905
2023-08-11,870.15,2812690
2023-08-10,876.27,3439922
2023-08-09,889.34,3185159
2023-08-08,886.26,3282856
2023-08-07,894.35,4086452
2023-08-04,880.76,7066276
2023-08-03,872.61,4642067
2023-08-02,880.23,3328903
2023-08-01,892.35,2087412
2023-07-31,890.4,4424817
2023-07-28,894.92,2314339
2023-07-27,895.24,3445446
2023-07-26,891.66,2845581
