DATE,VWAP,VOLUME
2024-01-25,479.12,10673337
2024-01-24,469.34,7580656
2024-01-23,470.66,9209775
2024-01-20,483.64,3811138
2024-01-19,479.66,6486928
2024-01-18,473.9,9901151
2024-01-17,472.92,11214642
2024-01-16,472.79,21184750
2024-01-15,459.97,5204191
2024-01-12,458.07,5995406
2024-01-11,457.44,7875626
2024-01-10,448.89,7630996
2024-01-09,459.82,6150645
2024-01-08,458.59,9116305
2024-01-05,455.3,4040234
2024-01-04,453.41,8952458
2024-01-03,461.57,7529442
2024-01-02,454.47,4729409
2024-01-01,454.35,3503144
2023-12-29,452.72,8544220
2023-12-28,463.54,22591668
2023-12-27,453.47,6199044
2023-12-26,453.04,11488225
2023-12-22,447.64,5779632
2023-12-21,444.35,9277207
2023-12-20,448.26,8673989
2023-12-19,448.95,6322336
2023-12-18,446.7,8415532
2023-12-15,449.29,11039574
2023-12-14,444.88,6277784
2023-12-13,449.6,13332009
2023-12-12,448.6,9970160
2023-12-11,466.29,13846554
2023-12-08,471.1,9470239
2023-12-07,474.74,11925282
2023-12-06,473.89,13704413
2023-12-05,470.98,19188032
2023-12-04,456.41,20741397
2023-12-01,437.86,9639421
2023-11-30,433.84,16360654
2023-11-29,428.01,12604406
2023-11-28,421.92,11593428
2023-11-24,410.21,5487773
2023-11-23,406.57,8119546
2023-11-22,399.69,12865332
2023-11-21,389.41,2238607
2023-11-20,390.89,2253441
2023-11-17,400.19,8190348
2023-11-16,398.72,7708086
2023-11-15,390.92,5633125
2023-11-13,386.54,2419453
2023-11-12,384.48,388405
2023-11-10,383.9,2466243
2023-11-09,386.15,6421948
2023-11-08,384.12,12010456
2023-11-07,370.8,5351088
2023-11-06,365.95,4536010
2023-11-03,362.16,2813950
2023-11-02,360.45,5065216
2023-11-01,356.6,6964890
2023-10-31,348.84,5336593
2023-10-30,344.18,10936594
2023-10-27,335.96,1498044
2023-10-26,334.05,3871939
2023-10-25,342.63,2714887
2023-10-23,343.28,3906900
2023-10-20,347.44,2200345
2023-10-19,352.6,2871594
2023-10-18,351.66,4581114
2023-10-17,354.68,5221864
2023-10-16,346.0,1631235
2023-10-13,348.76,1990902
2023-10-12,348.51,3851901
2023-10-11,343.66,2399756
2023-10-10,340.6,1786489
2023-10-09,339.2,4370040
2023-10-06,346.23,1858538
2023-10-05,344.89,3557753
2023-10-04,342.43,3024880
2023-10-03,343.15,5257277
2023-09-29,346.9,1334935
2023-09-28,345.63,4850989
2023-09-27,348.89,2984523
2023-09-26,352.91,1894180
2023-09-25,350.87,2479876
2023-09-22,353.53,1991051
2023-09-21,355.27,4939771
2023-09-20,353.55,9146076
2023-09-18,358.45,5003744
2023-09-15,353.25,6191704
2023-09-14,358.86,5058369
2023-09-13,353.72,4856859
2023-09-12,351.71,9084111
2023-09-11,363.9,5226425
2023-09-08,360.11,5172065
2023-09-07,354.82,3624673
2023-09-06,351.43,3375527
2023-09-05,349.72,4181589
2023-09-04,345.86,3449286
2023-09-01,342.91,4990376
2023-08-31,343.5,6787825
2023-08-30,352.16,4854716
2023-08-29,356.6,3126869
2023-08-28,355.98,5492785
2023-08-25,351.96,2556881
2023-08-24,350.27,4370878
2023-08-23,345.88,3207105
2023-08-22,349.35,4007669
2023-08-21,352.43,2590382
2023-08-18,354.41,2388652
2023-08-17,356.58,2389303
2023-08-16,358.33,1932044
2023-08-14,354.75,2555534
2023-08-11,358.85,2789401
2023-08-10,362.59,4068688
2023-08-09,359.95,3221858
2023-08-08,358.37,3153990
2023-08-07,359.87,2001128
2023-08-04,363.19,3278751
2023-08-03,367.92,3202444
2023-08-02,370.76,4764120
2023-08-01,376.74,4561422
2023-07-31,376.17,5017674
2023-07-28,374.55,3629722
2023-07-27,380.25,8229692
2023-07-26,390.19,6393917
2023-07-25,387.16,2128093
2023-07-24,389.72,1498884
2023-07-21,390.22,2338785
2023-07-20,387.16,2895054
2023-07-19,382.87,2447431
2023-07-18,382.4,2272930
2023-07-17,381.43,1972353
2023-07-14,379.39,3179458
2023-07-13,383.28,2278056
2023-07-12,388.06,1689852
2023-07-11,388.95,3124657
2023-07-10,386.36,3632269
2023-07-07,392.57,3263989
2023-07-06,392.63,6540267
2023-07-05,383.63,6282683
2023-07-04,376.37,2695164
2023-07-03,375.01,6214981
2023-06-30,364.5,4195830
2023-06-28,363.81,3583386
2023-06-27,360.77,3392266
2023-06-26,357.87,2640640
2023-06-23,362.45,5467448
2023-06-22,375.17,2012064
2023-06-21,373.09,1340149
2023-06-20,372.63,1207938
2023-06-19,376.17,1517385
2023-06-16,376.21,2139294
2023-06-15,378.44,6105440
2023-06-14,375.47,3357184
2023-06-13,374.57,3987317
2023-06-12,367.92,4717149
2023-06-09,361.41,1542985
2023-06-08,362.46,3582191
2023-06-07,365.64,6415428
2023-06-06,356.69,2106537
2023-06-05,356.71,2929068
2023-06-02,362.85,3466237
2023-06-01,366.23,1768641
2023-05-31,363.67,11607240
2023-05-30,361.46,1361344
2023-05-29,363.12,1170519
2023-05-26,364.44,1092796
2023-05-25,362.23,1676285
2023-05-24,365.7,1875480
2023-05-23,368.17,5971589
2023-05-22,360.94,1603444
2023-05-19,359.84,1157763
2023-05-18,362.99,1713445
2023-05-17,366.61,3879878
2023-05-16,361.7,3786371
2023-05-15,359.04,2404765
2023-05-12,362.12,3895907
2023-05-11,373.42,1693684
2023-05-10,370.41,2780978
2023-05-09,367.17,2089839
2023-05-08,367.25,1200364
2023-05-05,366.93,1650115
2023-05-04,367.06,4141143
2023-05-03,362.6,4356479
2023-05-02,361.58,3212980
2023-04-28,356.18,3371468
2023-04-27,353.42,3635526
2023-04-26,348.19,1319897
2023-04-25,347.61,1542196
2023-04-24,345.33,2122912
2023-04-21,346.96,3276344
2023-04-20,343.4,2432509
2023-04-19,337.24,4926432
2023-04-18,334.95,2903211
2023-04-17,333.71,1452781
2023-04-13,332.83,4173647
2023-04-12,336.56,2130087
2023-04-11,337.9,1364947
2023-04-10,335.45,2465309
2023-04-06,331.44,2383915
2023-04-05,328.56,4124579
2023-04-03,332.01,9432372
2023-03-31,344.35,5068755
2023-03-29,339.33,2985920
2023-03-28,338.73,3427158
2023-03-27,345.33,2122963
2023-03-24,346.45,2937744
2023-03-23,349.25,2573088
2023-03-22,352.68,5967027
2023-03-21,358.68,5125281
2023-03-20,357.54,9246173
2023-03-17,350.16,11694506
2023-03-16,346.3,18287315
2023-03-15,331.01,2755973
2023-03-14,326.01,2947326
2023-03-13,323.81,1955447
2023-03-10,325.05,1758519
2023-03-09,324.86,1947766
2023-03-08,325.23,2392531
2023-03-06,324.33,1814962
2023-03-03,321.55,2113101
2023-03-02,319.28,3384360
2023-03-01,317.75,3495717
2023-02-28,317.18,3926329
2023-02-27,318.14,1981001
2023-02-24,318.08,1897377
2023-02-23,321.53,2745391
2023-02-22,318.95,4089274
2023-02-21,325.89,1481249
2023-02-20,328.35,1773126
2023-02-17,330.08,3351189
2023-02-16,326.99,3753835
2023-02-15,330.65,1764650
2023-02-14,331.78,1192673
2023-02-13,334.73,1793783
2023-02-10,333.59,1275841
2023-02-09,334.7,2137703
2023-02-08,332.56,1249590
2023-02-07,333.4,1740354
2023-02-06,330.9,3305900
2023-02-03,325.98,2826909
2023-02-02,332.82,4514664
2023-02-01,337.83,4179113
2023-01-31,345.16,8994162
2023-01-30,335.35,3197605
