DATE,VWAP,VOLUME
2024-01-25,5156.12,342129
2024-01-24,5118.03,611741
2024-01-23,5035.25,491135
2024-01-20,5198.91,221679
2024-01-19,5110.84,329252
2024-01-18,5034.26,514119
2024-01-17,5083.81,270672
2024-01-16,5163.34,203028
2024-01-15,5169.65,400069
2024-01-12,5188.98,462298
2024-01-11,5140.23,277823
2024-01-10,5082.9,191450
2024-01-09,5148.46,194434
2024-01-08,5194.84,236628
2024-01-05,5283.94,299017
2024-01-04,5323.87,413391
2024-01-03,5277.71,123303
2024-01-02,5268.84,193517
2024-01-01,5312.05,130032
2023-12-29,5319.77,535691
2023-12-28,5279.39,655367
2023-12-27,5195.34,241944
2023-12-26,5211.2,574310
2023-12-22,5151.42,582688
2023-12-21,5040.02,796081
2023-12-20,4981.11,457942
2023-12-19,4896.48,200718
2023-12-18,4875.31,223278
2023-12-15,4910.06,216579
2023-12-14,4930.72,174503
2023-12-13,4899.01,153558
2023-12-12,4918.86,184238
2023-12-11,4928.37,147976
2023-12-08,4991.79,282713
2023-12-07,5007.22,268095
2023-12-06,4996.55,295686
2023-12-05,4952.3,280497
2023-12-04,4937.1,310152
2023-12-01,4929.7,485597
2023-11-30,4840.14,961054
2023-11-29,4789.36,363702
2023-11-28,4691.69,182790
2023-11-24,4663.61,123628
2023-11-23,4696.02,109775
2023-11-22,4688.06,72533
2023-11-21,4692.36,129602
2023-11-20,4710.25,126069
2023-11-17,4719.66,138652
2023-11-16,4709.04,178375
2023-11-15,4696.68,269650
2023-11-13,4681.71,260394
2023-11-12,4684.87,23883
2023-11-10,4663.33,142336
2023-11-09,4649.64,208210
2023-11-08,4661.65,385727
2023-11-07,4628.76,282612
2023-11-06,4601.37,205763
2023-11-03,4548.88,335012
2023-11-02,4515.01,822845
2023-11-01,4393.94,395359
2023-10-31,4429.24,504625
2023-10-30,4469.84,450526
2023-10-27,4520.05,382794
2023-10-26,4504.94,488909
2023-10-25,4548.35,330082
2023-10-23,4576.28,203004
2023-10-20,4579.13,351045
2023-10-19,4598.11,228881
2023-10-18,4605.85,217179
2023-10-17,4594.39,196669
2023-10-16,4577.94,292118
2023-10-13,4557.18,445822
2023-10-12,4550.35,518582
2023-10-11,4545.36,368192
2023-10-10,4525.68,222750
2023-10-09,4518.75,255764
2023-10-06,4531.35,238131
2023-10-05,4522.49,302015
2023-10-04,4514.67,318564
2023-10-03,4516.56,543482
2023-09-29,4534.08,230125
2023-09-28,4554.01,390490
2023-09-27,4614.52,358156
2023-09-26,4576.95,330231
2023-09-25,4553.08,498354
2023-09-22,4556.81,210753
2023-09-21,4532.74,367638
2023-09-20,4526.1,357295
2023-09-18,4579.68,304844
2023-09-15,4534.81,408326
2023-09-14,4585.56,473085
2023-09-13,4601.99,435792
2023-09-12,4551.45,321129
2023-09-11,4554.75,302448
2023-09-08,4531.53,278293
2023-09-07,4535.82,479124
2023-09-06,4552.43,300673
2023-09-05,4515.29,453349
2023-09-04,4482.87,394391
2023-09-01,4462.07,383124
2023-08-31,4495.91,874564
2023-08-30,4540.42,367571
2023-08-29,4514.73,340257
2023-08-28,4505.45,343698
2023-08-25,4524.68,333873
2023-08-24,4533.66,357303
2023-08-23,4509.61,346764
2023-08-22,4508.37,217446
2023-08-21,4524.79,244783
2023-08-18,4519.19,423415
2023-08-17,4503.16,394002
2023-08-16,4453.55,518358
2023-08-14,4485.41,557851
2023-08-11,4506.26,1112908
2023-08-10,4550.8,587011
2023-08-09,4601.62,912658
2023-08-08,4615.43,533341
2023-08-07,4677.7,1079453
2023-08-04,4797.79,401478
2023-08-03,4794.72,239070
2023-08-02,4798.16,395487
2023-08-01,4809.71,413904
2023-07-31,4808.87,800189
2023-07-28,4895.58,357681
2023-07-27,4872.76,558492
2023-07-26,4948.25,231869
2023-07-25,4906.69,396810
2023-07-24,4988.77,224646
2023-07-21,5055.31,438176
2023-07-20,5049.42,327126
2023-07-19,5077.32,353528
2023-07-18,5089.8,189358
2023-07-17,5150.11,272290
2023-07-14,5123.85,220335
2023-07-13,5110.58,232034
2023-07-12,5070.33,180640
2023-07-11,5104.1,385742
2023-07-10,5020.01,308544
2023-07-07,5097.93,224712
2023-07-06,5198.71,966410
2023-07-05,5056.65,186513
2023-07-04,5000.47,121493
2023-07-03,5006.02,139105
2023-06-30,5005.9,196106
2023-06-28,4993.63,253814
2023-06-27,4975.28,175475
2023-06-26,4986.66,179192
2023-06-23,4965.79,191942
2023-06-22,5019.82,145196
2023-06-21,5069.98,272200
