DATE,VWAP,VOLUME
2024-01-25,464.42,12355761
2024-01-24,453.04,20807636
2024-01-23,461.77,13555912
2024-01-20,473.35,5187720
2024-01-19,464.26,6451009
2024-01-18,454.26,6984884
2024-01-17,460.55,6733674
2024-01-16,466.63,5208291
2024-01-15,465.34,3470549
2024-01-12,461.77,9041865
2024-01-11,452.89,4349511
2024-01-10,447.22,5328213
2024-01-09,454.29,5632708
2024-01-08,455.56,5801166
2024-01-05,462.27,6910476
2024-01-04,462.39,8796821
2024-01-03,455.69,19401080
2024-01-02,445.56,6633634
2024-01-01,442.92,4340269
2023-12-29,438.3,4172955
2023-12-28,442.45,14230016
2023-12-27,431.79,5269888
2023-12-26,427.65,3498287
2023-12-22,429.21,5469650
2023-12-21,423.73,7752149
2023-12-20,436.88,7808602
2023-12-19,445.72,6952918
2023-12-18,445.09,6302607
2023-12-15,447.31,11049526
2023-12-14,450.96,4360785
2023-12-13,449.0,6602455
2023-12-12,446.11,5113481
2023-12-11,445.69,7034375
2023-12-08,435.88,8015793
2023-12-07,435.15,5740979
2023-12-06,433.18,7841840
2023-12-05,432.22,9696939
2023-12-04,425.37,11068052
2023-12-01,412.5,9940229
2023-11-30,402.71,7898329
2023-11-29,401.34,5498966
2023-11-28,395.29,4626113
2023-11-24,392.02,2615380
2023-11-23,394.6,2596514
2023-11-22,395.75,3138570
2023-11-21,397.3,3970392
2023-11-20,401.4,4411488
2023-11-17,397.93,7797752
2023-11-16,406.69,3499762
2023-11-15,408.4,6863624
2023-11-13,399.61,12386692
2023-11-12,388.78,730703
2023-11-10,385.66,3213479
2023-11-09,386.59,5132798
2023-11-08,386.18,4464502
2023-11-07,386.72,4751044
2023-11-06,386.28,4339512
2023-11-03,389.59,5032067
2023-11-02,388.49,6292204
2023-11-01,383.32,6438456
2023-10-31,387.28,9887787
2023-10-30,382.05,7619529
2023-10-27,381.17,27201958
2023-10-26,352.36,12237292
2023-10-25,355.66,6278105
2023-10-23,362.33,9497007
2023-10-20,369.21,7621955
2023-10-19,373.41,4828534
2023-10-18,373.45,3632494
2023-10-17,376.98,7101320
2023-10-16,371.98,6301261
2023-10-13,364.96,6481528
2023-10-12,370.41,3770114
2023-10-11,371.32,7271140
2023-10-10,370.72,4800511
2023-10-09,366.97,6243682
2023-10-06,375.84,6948282
2023-10-05,374.39,7313210
2023-10-04,375.42,10623172
2023-10-03,380.13,8663129
2023-09-29,376.78,9556659
2023-09-28,378.31,15995038
2023-09-27,370.73,10680414
2023-09-26,371.99,9778851
2023-09-25,376.36,13715793
2023-09-22,380.43,32802763
2023-09-21,368.17,14802024
2023-09-20,371.98,9138188
2023-09-18,372.22,18069348
2023-09-15,365.06,7514308
2023-09-14,364.59,10663824
2023-09-13,357.82,14701345
2023-09-12,353.97,12805258
2023-09-11,355.01,26571751
2023-09-08,339.75,7260594
2023-09-07,337.26,5716713
2023-09-06,334.95,4505165
2023-09-05,337.73,6995992
2023-09-04,333.81,9300691
2023-09-01,326.33,7224028
2023-08-31,322.42,6435321
2023-08-30,327.18,3351166
2023-08-29,327.22,3152872
2023-08-28,327.22,3003980
2023-08-25,327.34,6112706
2023-08-24,334.39,6073830
2023-08-23,330.87,10502380
2023-08-22,327.9,5084690
2023-08-21,329.13,5406223
2023-08-18,330.15,6144696
2023-08-17,329.99,6624578
2023-08-16,327.83,4567410
2023-08-14,327.37,8901369
2023-08-11,334.83,8916824
2023-08-10,333.2,8343599
2023-08-09,334.85,7294768
2023-08-08,334.75,8423589
2023-08-07,329.35,5806926
