DATE,VWAP,VOLUME
2024-01-25,1244.18,1302157
2024-01-24,1231.79,1810867
2024-01-23,1250.33,2858244
2024-01-20,1257.73,274689
2024-01-19,1270.53,1372449
2024-01-18,1279.27,1912562
2024-01-17,1297.94,2378717
2024-01-16,1296.62,2510614
2024-01-15,1278.12,2266938
2024-01-12,1238.18,1453561
2024-01-11,1231.35,674707
2024-01-10,1215.99,1003899
2024-01-09,1231.7,1439320
2024-01-08,1237.79,985554
2024-01-05,1269.3,1075135
2024-01-04,1274.5,2922785
2024-01-03,1239.59,1378408
2024-01-02,1223.69,2240606
2024-01-01,1233.61,726699
2023-12-29,1252.36,1366337
2023-12-28,1247.07,3153634
2023-12-27,1256.08,1763459
2023-12-26,1245.71,1135900
2023-12-22,1246.62,1114151
2023-12-21,1226.93,1781569
2023-12-20,1242.91,2525322
2023-12-19,1247.03,1940755
2023-12-18,1248.63,2129177
2023-12-15,1241.47,2123755
2023-12-14,1219.74,2353918
2023-12-13,1178.58,1409772
2023-12-12,1178.88,2154453
2023-12-11,1176.44,3251789
2023-12-08,1151.67,2802274
2023-12-07,1140.4,1857781
2023-12-06,1152.25,1216230
2023-12-05,1138.48,1382427
2023-12-04,1147.92,2340871
2023-12-01,1127.12,1040604
2023-11-30,1111.05,4152570
2023-11-29,1111.11,967327
2023-11-28,1095.9,2445247
2023-11-24,1100.63,1350899
2023-11-23,1118.73,696088
2023-11-22,1122.43,1708687
2023-11-21,1112.09,3119172
2023-11-20,1128.03,2168137
2023-11-17,1129.5,2028903
2023-11-16,1167.52,848317
2023-11-15,1165.44,1514890
2023-11-13,1146.58,979664
2023-11-12,1154.34,50964
2023-11-10,1144.2,650284
2023-11-09,1148.68,806956
2023-11-08,1141.14,784749
2023-11-07,1135.27,2579066
2023-11-06,1141.3,1566013
2023-11-03,1163.68,4353899
2023-11-02,1165.55,1331739
2023-11-01,1146.16,1196729
2023-10-31,1140.51,1506570
2023-10-30,1154.38,872127
2023-10-27,1171.35,2141573
2023-10-26,1126.59,1472625
2023-10-25,1151.72,1758063
2023-10-23,1174.59,1121828
2023-10-20,1191.67,1725399
2023-10-19,1200.01,2532926
2023-10-18,1220.13,1993050
2023-10-17,1244.41,1228315
2023-10-16,1246.75,1301523
2023-10-13,1255.64,843324
2023-10-12,1249.55,607389
2023-10-11,1265.47,2083878
2023-10-10,1246.87,2009992
2023-10-09,1213.69,1641174
2023-10-06,1214.08,2503438
2023-10-05,1197.94,2974607
2023-10-04,1226.09,4231028
2023-10-03,1238.8,3584950
2023-09-29,1218.44,1374721
2023-09-28,1226.26,3303876
2023-09-27,1196.65,791892
2023-09-26,1188.72,1981333
2023-09-25,1187.68,2145513
2023-09-22,1199.41,2166139
2023-09-21,1192.84,1528387
2023-09-20,1200.72,1903238
2023-09-18,1203.45,3265543
2023-09-15,1226.43,4663976
2023-09-14,1193.0,3511627
2023-09-13,1151.19,1529374
2023-09-12,1159.2,4153703
2023-09-11,1179.25,3363778
2023-09-08,1164.12,4004318
2023-09-07,1118.0,1855634
2023-09-06,1104.2,2224003
2023-09-05,1097.36,2236203
2023-09-04,1109.82,1221908
2023-09-01,1125.95,881841
2023-08-31,1122.32,2611207
2023-08-30,1113.53,1368163
2023-08-29,1088.97,2051824
2023-08-28,1089.25,1401965
2023-08-25,1074.92,1337630
2023-08-24,1092.2,1591659
2023-08-23,1077.25,1946131
2023-08-22,1055.43,1345173
2023-08-21,1042.13,2226515
2023-08-18,1009.62,2064231
2023-08-17,1025.34,875661
2023-08-16,1018.89,1521299
2023-08-14,1031.29,899825
2023-08-11,1051.44,1319743
2023-08-10,1049.76,2808684
2023-08-09,1055.95,847254
2023-08-08,1059.72,1948626
2023-08-07,1070.43,1332355
2023-08-04,1081.86,1562887
2023-08-03,1070.46,2445500
2023-08-02,1101.77,9033508
2023-08-01,1130.64,1034376
2023-07-31,1132.98,1153814
2023-07-28,1140.0,1541596
2023-07-27,1141.4,1048117
2023-07-26,1142.81,1192657
