DATE,VWAP,VOLUME
2024-01-25,1374.73,1801468
2024-01-24,1411.0,1808713
2024-01-23,1404.44,7556815
2024-01-20,1322.97,353704
2024-01-19,1324.97,1135846
2024-01-18,1306.9,1723297
2024-01-17,1292.84,2073596
2024-01-16,1306.24,1030845
2024-01-15,1316.74,762036
2024-01-12,1308.79,2051301
2024-01-11,1332.3,1097204
2024-01-10,1317.03,3625567
2024-01-09,1286.96,1133466
2024-01-08,1275.81,740848
2024-01-05,1285.19,1013196
2024-01-04,1298.63,1248143
2024-01-03,1294.32,2357093
2024-01-02,1274.44,2589484
2024-01-01,1251.3,343584
2023-12-29,1250.48,1794218
2023-12-28,1251.95,2592699
2023-12-27,1241.58,2528609
2023-12-26,1244.09,820163
2023-12-22,1233.46,1969524
2023-12-21,1221.02,1580136
2023-12-20,1238.33,2484819
2023-12-19,1225.84,1738507
2023-12-18,1213.17,1995091
2023-12-15,1209.93,1976112
2023-12-14,1208.47,1809248
2023-12-13,1209.51,1809563
2023-12-12,1202.61,899911
2023-12-11,1201.92,1565455
2023-12-08,1215.87,1453955
2023-12-07,1218.33,1269290
2023-12-06,1208.62,1416770
2023-12-05,1222.28,2132150
2023-12-04,1212.87,2097408
2023-12-01,1208.2,1078680
2023-11-30,1206.62,3219799
2023-11-29,1200.2,2173427
2023-11-28,1195.31,1691543
2023-11-24,1195.63,5331201
2023-11-23,1193.45,7643376
2023-11-22,1273.26,1735497
2023-11-21,1250.42,594738
2023-11-20,1247.1,848916
2023-11-17,1248.28,992848
2023-11-16,1238.54,1251094
2023-11-15,1242.64,1323010
2023-11-13,1236.67,689808
2023-11-12,1245.79,119172
2023-11-10,1236.48,576673
2023-11-09,1239.63,751433
2023-11-08,1234.73,1107006
2023-11-07,1213.43,1210644
2023-11-06,1203.64,1262938
2023-11-03,1211.91,772013
2023-11-02,1205.98,1556467
2023-11-01,1198.43,1051902
2023-10-31,1198.3,1720955
2023-10-30,1199.59,2853500
2023-10-27,1176.32,1775011
2023-10-26,1143.17,2016469
2023-10-25,1164.41,1433911
2023-10-23,1191.36,957929
2023-10-20,1205.13,692067
2023-10-19,1211.2,2157683
2023-10-18,1206.49,7367540
2023-10-17,1173.05,877856
2023-10-16,1166.03,802207
2023-10-13,1164.97,940547
2023-10-12,1161.13,2533930
2023-10-11,1168.81,1465239
2023-10-10,1154.56,822199
2023-10-09,1160.13,822110
2023-10-06,1167.68,928951
