DATE,VWAP,VOLUME
2024-01-25,388.82,13440949
2024-01-24,380.97,22938994
2024-01-23,385.89,16406737
2024-01-20,397.26,26121433
2024-01-19,381.93,15893456
2024-01-18,375.8,12493835
2024-01-17,381.88,10996538
2024-01-16,382.4,10165133
2024-01-15,384.37,7490747
2024-01-12,381.46,7471050
2024-01-11,385.49,9163771
2024-01-10,379.7,9670366
2024-01-09,385.25,9473743
2024-01-08,382.32,9424716
2024-01-05,385.71,8369460
2024-01-04,386.72,11039940
2024-01-03,386.93,12903439
2024-01-02,390.97,28363847
2024-01-01,383.7,11124690
2023-12-29,376.71,8859317
2023-12-28,376.82,28310022
2023-12-27,365.72,7890042
2023-12-26,368.06,11910267
2023-12-22,363.3,13916380
2023-12-21,353.19,10028664
2023-12-20,364.23,23224408
2023-12-19,360.91,28937243
2023-12-18,345.64,7959685
2023-12-15,350.29,14331890
2023-12-14,348.43,13142466
2023-12-13,345.57,8091533
2023-12-12,349.78,8789103
2023-12-11,354.96,11420609
2023-12-08,353.57,13444251
2023-12-07,350.71,8507659
2023-12-06,354.17,14817158
2023-12-05,354.06,15782945
2023-12-04,355.93,22705896
2023-12-01,347.03,15105221
2023-11-30,341.17,11959336
2023-11-29,341.44,14149513
2023-11-28,338.49,10791886
2023-11-24,334.59,7054445
2023-11-23,332.65,6186567
2023-11-22,333.12,7599447
2023-11-21,334.07,15148068
2023-11-20,347.72,19032608
2023-11-17,345.16,13542916
2023-11-16,349.39,17617280
2023-11-15,352.61,35092206
2023-11-13,343.12,42178783
2023-11-12,332.94,10263484
2023-11-10,324.01,8445203
2023-11-09,321.13,15503280
2023-11-08,316.91,6424833
2023-11-07,315.86,6826885
2023-11-06,316.05,10340818
2023-11-03,312.28,4658440
2023-11-02,309.8,7071960
2023-11-01,309.51,9593653
2023-10-31,313.53,7446586
2023-10-30,314.03,6229982
2023-10-27,313.46,10503070
2023-10-26,304.98,8329092
2023-10-25,308.84,7253336
2023-10-23,308.92,8086150
2023-10-20,312.84,6009115
2023-10-19,312.89,8977527
2023-10-18,317.23,9662837
2023-10-17,314.78,7760527
2023-10-16,311.86,10535107
2023-10-13,308.78,9516879
2023-10-12,307.06,15375295
2023-10-11,301.6,12321154
2023-10-10,298.91,23283411
2023-10-09,287.04,4647845
2023-10-06,289.27,3741467
2023-10-05,287.43,8687014
2023-10-04,288.58,6338888
2023-10-03,291.88,9348540
2023-09-29,294.94,8640829
2023-09-28,291.25,12432497
2023-09-27,290.04,12805340
2023-09-26,288.55,11256196
2023-09-25,285.77,9118957
2023-09-22,283.19,8691024
2023-09-21,282.88,11071899
2023-09-20,285.15,18615797
2023-09-18,280.24,8754852
2023-09-15,280.17,13288180
2023-09-14,278.66,12033796
2023-09-13,277.25,17607568
2023-09-12,273.52,17547706
2023-09-11,280.41,14505153
2023-09-08,279.85,41855413
2023-09-07,268.05,72255521
2023-09-06,255.04,13346191
2023-09-05,251.65,19654487
2023-09-04,245.89,24785966
2023-09-01,235.43,14869577
2023-08-31,229.88,10403460
2023-08-30,229.36,4086281
2023-08-29,229.84,3112560
2023-08-28,229.09,3360861
2023-08-25,228.39,3890957
2023-08-24,230.28,6378317
2023-08-23,230.97,2524601
2023-08-22,230.96,4280368
2023-08-21,229.56,4955953
2023-08-18,227.78,6904019
2023-08-17,232.15,5602132
2023-08-16,233.35,4576249
2023-08-14,233.11,6092872
2023-08-11,234.53,6132454
2023-08-10,235.38,10749822
2023-08-09,233.05,35271302
2023-08-08,230.91,13828141
2023-08-07,233.99,6744074
2023-08-04,233.49,6725977
2023-08-03,231.59,13949266
2023-08-02,237.27,25003960
2023-08-01,237.59,22409256
2023-07-31,228.73,19422170
2023-07-28,227.83,8817344
2023-07-27,229.75,7837850
2023-07-26,230.02,7574284
2023-07-25,230.69,11024983
2023-07-24,230.74,3456895
2023-07-21,229.19,3903407
2023-07-20,229.46,3195629
2023-07-19,228.96,5247533
2023-07-18,229.58,6168942
2023-07-17,230.98,4963515
2023-07-14,230.91,7390502
2023-07-13,230.44,20205328
2023-07-12,235.05,11313272
2023-07-11,234.55,10775084
2023-07-10,233.89,6223180
2023-07-07,234.22,6393850
2023-07-06,234.29,7254947
2023-07-05,231.25,4859892
2023-07-04,231.64,3662791
2023-07-03,232.08,7860203
2023-06-30,229.79,7850296
2023-06-28,226.78,19512531
2023-06-27,225.17,6282912
2023-06-26,224.17,6145625
2023-06-23,225.94,3881707
2023-06-22,228.2,6566989
2023-06-21,227.82,4705567
2023-06-20,226.64,5024593
2023-06-19,227.39,8210198
2023-06-16,228.82,8518319
2023-06-15,228.55,6363240
2023-06-14,228.64,7034468
2023-06-13,228.68,5574798
2023-06-12,228.4,4261576
2023-06-09,228.43,5137982
2023-06-08,229.01,8538256
2023-06-07,230.49,21853324
2023-06-06,228.05,13495524
2023-06-05,230.17,19807347
2023-06-02,230.62,36400588
2023-06-01,230.33,35509867
2023-05-31,241.31,15727646
2023-05-30,244.95,4657906
2023-05-29,245.58,8069985
2023-05-26,241.25,2646742
2023-05-25,239.61,3810138
2023-05-24,240.21,2422138
2023-05-23,239.07,3213453
2023-05-22,239.66,2891415
2023-05-19,239.75,3810543
2023-05-18,241.48,3512113
2023-05-17,242.16,4968232
2023-05-16,239.83,6016484
2023-05-15,237.44,4217892
2023-05-12,235.5,2348435
2023-05-11,236.96,2675726
2023-05-10,235.88,3650159
2023-05-09,236.45,7318928
2023-05-08,231.54,9711437
2023-05-05,237.1,3043479
2023-05-04,236.21,7248108
2023-05-03,237.34,4523385
2023-05-02,236.12,3773537
2023-04-28,232.87,4771074
2023-04-27,231.24,3349374
2023-04-26,229.35,3439487
2023-04-25,231.14,2570946
2023-04-24,231.27,2587030
2023-04-21,229.3,2459508
2023-04-20,230.1,2589165
2023-04-19,232.4,7424582
2023-04-18,231.56,8004952
