DATE,VWAP,VOLUME
2024-01-25,531.62,924085
2024-01-24,532.32,914551
2024-01-23,528.63,2256565
2024-01-20,539.3,458895
2024-01-19,541.57,1965102
2024-01-18,540.93,1520695
2024-01-17,551.18,2075918
2024-01-16,558.89,2027207
2024-01-15,553.22,1524201
2024-01-12,549.91,1029614
2024-01-11,552.17,2089001
2024-01-10,546.81,1758621
2024-01-09,551.77,2107464
2024-01-08,558.12,2152367
2024-01-05,568.55,2834989
2024-01-04,564.08,3064476
2024-01-03,555.3,2733401
2024-01-02,556.19,1201767
2024-01-01,559.15,1417550
2023-12-29,555.3,4120332
2023-12-28,541.37,3512802
2023-12-27,532.84,3308899
2023-12-26,531.51,1655240
2023-12-22,529.83,3869597
2023-12-21,530.98,6150231
2023-12-20,540.34,3685894
2023-12-19,545.89,2155547
2023-12-18,539.81,2700975
2023-12-15,542.29,2655593
2023-12-14,547.11,2078199
2023-12-13,545.52,1628806
2023-12-12,549.5,1418773
2023-12-11,548.96,1278433
2023-12-08,549.53,2453675
2023-12-07,544.98,1150700
2023-12-06,550.98,1028497
2023-12-05,550.6,1748869
2023-12-04,545.74,2125643
2023-12-01,540.4,1584387
2023-11-30,537.04,3167951
2023-11-29,533.73,1815670
2023-11-28,534.0,2251292
2023-11-24,538.01,440877
2023-11-23,538.99,800753
2023-11-22,539.85,680568
2023-11-21,542.15,1379849
2023-11-20,542.99,1910044
2023-11-17,539.37,1512369
2023-11-16,532.63,1612231
2023-11-15,524.51,3398705
2023-11-13,528.84,979880
2023-11-12,535.79,88683
2023-11-10,531.78,1361649
2023-11-09,534.77,1366713
2023-11-08,538.53,776461
2023-11-07,536.28,823342
2023-11-06,537.84,478913
2023-11-03,535.11,1337219
2023-11-02,524.64,1919439
2023-11-01,521.47,2712123
2023-10-31,527.38,1687120
2023-10-30,523.31,1711768
2023-10-27,522.32,2125985
2023-10-26,511.04,2400780
2023-10-25,520.38,2014418
2023-10-23,523.05,1535943
2023-10-20,519.67,7600488
2023-10-19,524.47,4093512
2023-10-18,536.33,1251181
2023-10-17,540.07,2040439
2023-10-16,537.09,1807237
2023-10-13,538.89,1607850
2023-10-12,541.06,903301
2023-10-11,544.61,1039964
2023-10-10,543.86,814992
2023-10-09,542.89,1076708
2023-10-06,548.77,1061490
2023-10-05,550.54,1509964
2023-10-04,554.04,1096308
2023-10-03,552.51,1924677
2023-09-29,550.91,838408
2023-09-28,551.88,2182058
2023-09-27,558.97,1375349
2023-09-26,555.19,1290222
2023-09-25,557.77,1426546
2023-09-22,561.08,956641
2023-09-21,557.67,2150267
2023-09-20,560.25,2487342
2023-09-18,567.28,1469701
2023-09-15,564.43,2463912
2023-09-14,566.72,998731
2023-09-13,564.28,1206619
2023-09-12,565.89,1086960
2023-09-11,569.09,690033
2023-09-08,567.13,695069
2023-09-07,566.57,1352944
2023-09-06,561.0,635877
2023-09-05,561.04,992447
2023-09-04,555.28,944485
2023-09-01,553.06,924117
2023-08-31,551.8,4736298
2023-08-30,554.17,845829
2023-08-29,549.03,2642866
2023-08-28,554.48,1481763
2023-08-25,559.38,2083408
2023-08-24,566.82,740364
2023-08-23,568.74,1933561
2023-08-22,573.63,1750504
2023-08-21,566.27,1138890
2023-08-18,564.49,1108955
2023-08-17,561.47,2172788
2023-08-16,563.58,641032
2023-08-14,563.54,1300882
2023-08-11,563.77,1198557
2023-08-10,574.16,1310628
2023-08-09,568.64,1130663
2023-08-08,562.33,1956590
2023-08-07,563.35,1988682
2023-08-04,576.21,7508691
2023-08-03,554.98,5441318
2023-08-02,565.33,1868482
2023-08-01,571.46,1334010
2023-07-31,575.62,1156926
2023-07-28,577.78,1812535
2023-07-27,574.93,2005022
2023-07-26,574.07,1273253
2023-07-25,567.14,594176
2023-07-24,563.29,2410138
2023-07-21,569.81,3010552
2023-07-20,574.79,1538931
2023-07-19,576.35,607767
2023-07-18,576.05,1492660
2023-07-17,585.62,1721733
2023-07-14,584.87,1133717
2023-07-13,581.12,793507
2023-07-12,582.37,1388783
2023-07-11,579.54,1212325
2023-07-10,571.45,1999303
2023-07-07,580.78,3008774
2023-07-06,591.76,1116191
2023-07-05,589.87,1607408
2023-07-04,581.3,730709
2023-07-03,579.28,1375594
2023-06-30,572.31,1993618
2023-06-28,571.77,2195767
2023-06-27,568.42,1900084
2023-06-26,567.28,825926
2023-06-23,560.98,1536193
2023-06-22,564.11,1815315
2023-06-21,569.16,1632121
2023-06-20,569.06,1068183
2023-06-19,570.39,1114637
2023-06-16,570.66,2022971
2023-06-15,567.69,2246105
2023-06-14,561.33,1577846
2023-06-13,558.77,2644392
2023-06-12,552.77,1007065
2023-06-09,550.78,2146305
2023-06-08,554.31,1650679
2023-06-07,554.53,2718117
2023-06-06,546.19,2685928
2023-06-05,555.87,1570130
2023-06-02,557.47,1166828
2023-06-01,559.01,1385234
2023-05-31,553.95,4905059
2023-05-30,549.96,2023557
2023-05-29,547.68,2215580
2023-05-26,536.51,2184804
2023-05-25,531.17,2297300
2023-05-24,526.05,2304274
2023-05-23,523.97,1500934
2023-05-22,520.28,1305271
2023-05-19,519.46,1402249
2023-05-18,524.59,1579098
2023-05-17,525.12,2511945
2023-05-16,533.16,1530503
2023-05-15,527.97,3666778
2023-05-12,519.95,1542764
2023-05-11,518.29,1959951
2023-05-10,512.45,2751302
2023-05-09,517.05,1447224
2023-05-08,511.45,2707182
2023-05-05,513.03,6512813
2023-05-04,532.04,4124229
2023-05-03,537.84,2882258
2023-05-02,535.05,1099379
2023-04-28,532.12,2032847
2023-04-27,531.41,1298338
2023-04-26,530.79,2552760
2023-04-25,525.49,965836
2023-04-24,524.11,2399145
2023-04-21,526.17,1242615
2023-04-20,522.38,2688238
2023-04-19,519.39,1138035
2023-04-18,521.75,2893384
2023-04-17,523.89,1555572
2023-04-13,519.82,8617033
2023-04-12,518.86,2122535
2023-04-11,521.61,3509174
2023-04-10,523.81,1618940
2023-04-06,530.2,3766812
2023-04-05,547.33,1737173
2023-04-03,547.24,2436530
2023-03-31,542.81,1361128
2023-03-29,533.43,1804819
2023-03-28,535.88,1173081
2023-03-27,541.73,1319154
2023-03-24,537.29,639799
2023-03-23,540.71,1927951
2023-03-22,537.71,784791
2023-03-21,533.7,1645563
2023-03-20,535.06,870716
2023-03-17,536.38,1400977
2023-03-16,533.51,2094724
2023-03-15,521.76,3297110
2023-03-14,525.49,838398
2023-03-13,524.05,1409053
2023-03-10,528.79,909401
2023-03-09,529.39,1585845
2023-03-08,533.17,1455390
2023-03-06,536.29,1070128
2023-03-03,534.17,970153
2023-03-02,528.95,1215381
2023-03-01,530.47,1767693
2023-02-28,531.98,2330523
