DATE,VWAP,VOLUME
2024-01-25,3585.16,407761
2024-01-24,3645.02,377660
2024-01-23,3629.9,387616
2024-01-20,3677.18,113402
2024-01-19,3695.41,324763
2024-01-18,3666.59,651966
2024-01-17,3754.57,574671
2024-01-16,3840.78,483779
2024-01-15,3912.21,326872
2024-01-12,3886.41,291344
2024-01-11,3910.26,238212
2024-01-10,3924.94,351976
2024-01-09,3955.67,468363
2024-01-08,3945.23,403753
2024-01-05,4017.21,313459
2024-01-04,4036.08,485788
2024-01-03,4033.25,452402
2024-01-02,4017.13,1386959
2024-01-01,3912.26,240126
2023-12-29,3916.45,262845
2023-12-28,3905.13,668311
2023-12-27,3883.1,598775
2023-12-26,3824.51,1249185
2023-12-22,3713.67,898967
2023-12-21,3617.93,353261
2023-12-20,3685.35,346170
2023-12-19,3722.84,287231
2023-12-18,3733.5,457133
2023-12-15,3697.76,338280
2023-12-14,3678.14,448099
2023-12-13,3642.87,355453
2023-12-12,3663.02,188686
2023-12-11,3667.81,247368
2023-12-08,3687.54,455037
2023-12-07,3744.5,281509
2023-12-06,3742.66,298255
2023-12-05,3760.11,449862
2023-12-04,3806.91,318936
2023-12-01,3796.19,260031
2023-11-30,3787.04,887438
2023-11-29,3749.11,329180
2023-11-28,3758.13,197926
2023-11-24,3759.23,829615
2023-11-23,3674.65,252188
2023-11-22,3712.12,317027
2023-11-21,3704.92,388729
2023-11-20,3702.76,1601236
2023-11-17,3598.59,297110
2023-11-16,3549.12,249987
2023-11-15,3524.68,256472
2023-11-13,3521.49,235202
2023-11-12,3517.25,40613
2023-11-10,3488.05,121439
2023-11-09,3500.17,296978
2023-11-08,3503.72,480765
2023-11-07,3489.85,1291049
2023-11-06,3395.1,1821472
2023-11-03,3363.27,352546
2023-11-02,3366.8,406645
2023-11-01,3372.69,292897
2023-10-31,3393.51,220543
2023-10-30,3401.24,244149
2023-10-27,3415.39,283983
2023-10-26,3404.51,538755
2023-10-25,3464.65,522676
2023-10-23,3543.59,427540
2023-10-20,3574.38,465355
2023-10-19,3629.4,350687
2023-10-18,3663.8,192368
2023-10-17,3656.67,273198
2023-10-16,3675.21,274847
2023-10-13,3744.02,109845
2023-10-12,3752.79,323652
2023-10-11,3746.88,205216
2023-10-10,3706.23,147622
2023-10-09,3726.64,447464
2023-10-06,3718.79,244389
2023-10-05,3680.32,344288
2023-10-04,3694.63,241798
2023-10-03,3732.6,210945
2023-09-29,3753.62,296674
2023-09-28,3711.24,347090
2023-09-27,3804.22,803962
2023-09-26,3746.57,251701
2023-09-25,3719.86,206150
2023-09-22,3711.07,190002
2023-09-21,3757.21,262481
2023-09-20,3780.07,201038
2023-09-18,3792.18,185723
2023-09-15,3823.33,315409
2023-09-14,3799.66,483608
2023-09-13,3763.07,319699
2023-09-12,3796.43,736438
2023-09-11,3725.09,379770
2023-09-08,3694.02,247373
2023-09-07,3693.81,556079
2023-09-06,3692.62,407338
2023-09-05,3646.13,449961
2023-09-04,3617.85,336522
2023-09-01,3570.56,586290
2023-08-31,3605.36,600001
2023-08-30,3653.14,309108
2023-08-29,3662.12,239552
2023-08-28,3636.29,196064
2023-08-25,3633.86,217537
2023-08-24,3673.03,414907
2023-08-23,3704.29,472425
2023-08-22,3654.14,244583
2023-08-21,3664.11,242728
2023-08-18,3645.6,436067
2023-08-17,3663.8,453444
2023-08-16,3697.88,632601
2023-08-14,3667.42,1295993
2023-08-11,3699.2,339619
2023-08-10,3745.57,600325
2023-08-09,3755.72,749561
2023-08-08,3863.97,532706
2023-08-07,3857.14,1124433
2023-08-04,3747.17,280240
2023-08-03,3730.16,619764
2023-08-02,3655.66,681092
2023-08-01,3664.53,369042
2023-07-31,3695.37,389638
2023-07-28,3740.85,355259
2023-07-27,3752.93,875566
2023-07-26,3695.8,293630
2023-07-25,3718.72,323039
2023-07-24,3679.54,304318
2023-07-21,3701.17,629513
2023-07-20,3653.36,336955
2023-07-19,3647.14,328518
2023-07-18,3610.67,385790
2023-07-17,3674.96,232501
2023-07-14,3659.87,295738
2023-07-13,3646.1,227125
2023-07-12,3630.39,320760
2023-07-11,3656.8,257208
2023-07-10,3628.8,289377
2023-07-07,3705.71,489065
2023-07-06,3723.81,594282
2023-07-05,3687.12,1611582
2023-07-04,3557.74,248033
2023-07-03,3619.51,574958
2023-06-30,3614.39,432628
2023-06-28,3612.76,454010
2023-06-27,3573.09,361257
2023-06-26,3515.5,366126
2023-06-23,3499.75,455679
2023-06-22,3539.86,496166
2023-06-21,3528.44,621642
2023-06-20,3559.89,267277
2023-06-19,3598.65,299174
2023-06-16,3601.24,633543
2023-06-15,3568.46,955066
2023-06-14,3481.24,208081
2023-06-13,3476.72,367056
2023-06-12,3416.72,799646
2023-06-09,3451.45,325701
2023-06-08,3521.0,434625
2023-06-07,3549.58,392590
2023-06-06,3502.89,503263
2023-06-05,3470.8,633073
2023-06-02,3516.64,477154
2023-06-01,3531.8,791714
2023-05-31,3450.01,1861153
2023-05-30,3456.0,327381
2023-05-29,3485.16,360805
2023-05-26,3491.23,829186
2023-05-25,3420.56,641670
2023-05-24,3371.66,552635
2023-05-23,3365.46,1376245
2023-05-22,3190.31,1538574
2023-05-19,3120.74,479974
2023-05-18,3178.13,766236
2023-05-17,3273.03,173719
2023-05-16,3305.72,301995
2023-05-15,3284.05,341458
2023-05-12,3272.39,957967
2023-05-11,3340.99,818423
2023-05-10,3399.48,494159
