DATE,VWAP,VOLUME
2024-01-25,758.9,9110800
2024-01-24,742.8,6963379
2024-01-23,751.77,19908675
2024-01-20,775.9,3960173
2024-01-19,783.52,3519988
2024-01-18,773.93,8727583
2024-01-17,778.82,6183356
2024-01-16,788.42,3800255
2024-01-15,805.85,4959825
2024-01-12,804.35,4158326
2024-01-11,799.89,5304485
2024-01-10,788.54,5169408
2024-01-09,779.97,9348457
2024-01-08,761.41,4448637
2024-01-05,759.16,5929704
2024-01-04,753.28,13312567
2024-01-03,714.99,1829817
2024-01-02,713.27,2394602
2024-01-01,725.75,1400824
2023-12-29,726.23,1995191
2023-12-28,725.37,5426028
2023-12-27,719.82,2233097
2023-12-26,716.26,2419374
2023-12-22,705.78,5899551
2023-12-21,683.16,5888251
2023-12-20,686.63,3091436
2023-12-19,697.95,1475227
2023-12-18,699.15,1906529
2023-12-15,703.25,4137143
2023-12-14,693.82,7464762
2023-12-13,670.37,3426758
2023-12-12,667.67,3998781
2023-12-11,667.47,5641806
2023-12-08,653.02,3937417
2023-12-07,650.01,1051759
2023-12-06,655.17,3264809
2023-12-05,648.42,3417071
2023-12-04,645.21,4588495
2023-12-01,629.91,3438389
2023-11-30,626.29,14874927
2023-11-29,636.36,5851523
2023-11-28,626.59,4535901
2023-11-24,633.24,3963603
2023-11-23,636.15,2516687
2023-11-22,630.24,2762713
2023-11-21,634.86,6052465
2023-11-20,627.39,3290059
2023-11-17,629.64,2412089
2023-11-16,627.33,3206517
2023-11-15,619.58,3886884
2023-11-13,608.14,1898672
2023-11-12,609.87,818681
2023-11-10,603.28,3378490
2023-11-09,602.37,5403880
2023-11-08,597.01,4003266
2023-11-07,591.12,2662819
2023-11-06,595.11,2917487
2023-11-03,591.53,7692738
2023-11-02,576.59,3649740
2023-11-01,578.39,11265190
2023-10-31,563.52,10712514
2023-10-30,546.37,8141820
2023-10-27,532.62,4062846
2023-10-26,518.97,4361390
2023-10-25,532.3,1695789
2023-10-23,541.01,2355807
2023-10-20,553.57,3274784
2023-10-19,559.99,2068643
2023-10-18,566.33,2695513
2023-10-17,567.71,1670432
2023-10-16,567.9,2132190
2023-10-13,572.33,6226867
2023-10-12,565.8,1860355
2023-10-11,565.24,4106418
2023-10-10,557.93,11366176
2023-10-09,541.9,3107088
2023-10-06,542.16,7397196
2023-10-05,527.94,2455475
2023-10-04,525.63,4940218
2023-10-03,535.07,2831594
2023-09-29,530.06,3622321
2023-09-28,522.98,2701673
2023-09-27,524.63,2184496
2023-09-26,522.25,1858145
2023-09-25,520.61,2789922
2023-09-22,518.83,1854379
2023-09-21,519.07,3361352
2023-09-20,524.73,2135243
2023-09-18,531.55,1494139
2023-09-15,532.44,2341930
2023-09-14,537.2,3661252
2023-09-13,526.43,1914101
2023-09-12,528.8,2701774
2023-09-11,541.07,2695210
2023-09-08,537.99,8016696
2023-09-07,526.83,6661946
2023-09-06,518.58,2130114
2023-09-05,521.26,5519389
2023-09-04,512.56,4584709
2023-09-01,505.14,3044080
2023-08-31,503.36,4875243
2023-08-30,499.7,4657793
2023-08-29,493.53,5917819
2023-08-28,483.01,3252263
2023-08-25,477.15,1992979
2023-08-24,486.75,2603113
2023-08-23,481.01,2883112
2023-08-22,482.18,1579326
2023-08-21,479.23,2359743
2023-08-18,474.48,4023514
2023-08-17,477.84,2863803
2023-08-16,473.36,2644594
2023-08-14,468.07,4619798
2023-08-11,486.8,2844914
2023-08-10,488.07,4117165
2023-08-09,485.86,2944921
2023-08-08,487.37,2542925
2023-08-07,489.1,3089545
2023-08-04,490.68,2509237
2023-08-03,489.0,3315895
2023-08-02,493.02,11155073
2023-08-01,504.53,15013979
2023-07-31,515.81,4607915
2023-07-28,512.26,7227144
2023-07-27,503.57,8431778
2023-07-26,484.6,3572206
2023-07-25,486.49,6582695
2023-07-24,498.97,5676545
2023-07-21,500.6,3822759
2023-07-20,505.36,4178930
2023-07-19,501.15,2832711
2023-07-18,498.02,3200509
2023-07-17,496.31,2333926
2023-07-14,493.58,2539514
2023-07-13,494.68,3665726
2023-07-12,491.69,4530464
2023-07-11,501.11,3011396
2023-07-10,501.53,2465685
2023-07-07,507.13,3938391
2023-07-06,511.58,7921377
2023-07-05,495.4,2846706
2023-07-04,491.96,2535317
2023-07-03,492.95,2820027
2023-06-30,490.17,3261788
2023-06-28,485.66,2383384
2023-06-27,483.86,2749294
2023-06-26,474.19,2333475
2023-06-23,477.69,2583485
2023-06-22,481.26,3256065
2023-06-21,486.76,3758306
2023-06-20,487.86,3849887
2023-06-19,490.21,3074442
2023-06-16,494.92,4360893
2023-06-15,499.37,6420824
2023-06-14,503.51,6893041
2023-06-13,498.29,5849124
2023-06-12,489.83,1696800
2023-06-09,487.33,2611565
2023-06-08,487.4,4923194
2023-06-07,495.49,4885566
2023-06-06,493.62,5477093
2023-06-05,491.35,4635248
2023-06-02,486.81,10020905
2023-06-01,476.66,4270077
2023-05-31,473.54,10062142
2023-05-30,476.11,3209364
2023-05-29,481.31,4665809
2023-05-26,477.81,6159488
2023-05-25,475.52,8132396
2023-05-24,465.97,3086273
2023-05-23,471.7,3818677
2023-05-22,475.93,6566526
2023-05-19,465.11,8398165
2023-05-18,465.84,5852119
2023-05-17,467.13,6005061
2023-05-16,474.02,14423428
2023-05-15,461.76,28116711
2023-05-12,434.46,2713530
2023-05-11,433.65,4810556
2023-05-10,431.4,3804494
2023-05-09,432.27,5239571
2023-05-08,436.71,6530244
2023-05-05,428.62,4870886
2023-05-04,425.13,3328989
2023-05-03,429.29,7152444
2023-05-02,424.49,3519033
2023-04-28,425.25,5668793
2023-04-27,418.95,4423231
2023-04-26,415.14,4122285
2023-04-25,411.64,4335180
2023-04-24,408.93,3379013
2023-04-21,406.31,5194549
2023-04-20,417.91,4285836
2023-04-19,421.78,4044971
2023-04-18,423.13,9367931
2023-04-17,416.03,6635668
2023-04-13,411.42,7161482
2023-04-12,408.65,6586341
2023-04-11,406.43,8091142
2023-04-10,400.96,20647930
2023-04-06,377.46,8930230
2023-04-05,366.41,3015748
2023-04-03,360.1,2782342
2023-03-31,357.73,4167504
2023-03-29,350.42,2624280
2023-03-28,349.51,3165715
2023-03-27,352.17,2815174
2023-03-24,360.06,3134205
2023-03-23,368.27,2508345
2023-03-22,369.43,4140942
2023-03-21,368.15,2980424
2023-03-20,368.01,5404518
2023-03-17,373.08,10695531
2023-03-16,354.51,5412088
2023-03-15,346.87,2833314
2023-03-14,343.04,4016343
2023-03-13,346.74,2045069
2023-03-10,351.3,3238856
2023-03-09,359.62,1782741
2023-03-08,360.38,2908986
2023-03-06,360.69,2053122
2023-03-03,358.65,3121845
2023-03-02,355.8,1675015
2023-03-01,355.05,1507846
2023-02-28,351.66,2520202
2023-02-27,346.92,3701975
2023-02-24,347.19,2887310
2023-02-23,343.95,4026752
2023-02-22,349.6,3326607
2023-02-21,360.49,2119153
2023-02-20,367.25,2726465
2023-02-17,366.62,2666456
2023-02-16,369.41,5171809
2023-02-15,356.66,2548073
2023-02-14,352.61,3140968
2023-02-13,360.12,3030923
2023-02-10,358.63,2809140
2023-02-09,358.59,2229848
2023-02-08,359.41,2429159
2023-02-07,356.78,2846953
2023-02-06,352.91,1913975
2023-02-03,352.84,4697067
2023-02-02,351.11,4485546
2023-02-01,355.42,5504489
2023-01-31,356.85,4784073
2023-01-30,353.05,5105818
