DATE,VWAP,VOLUME
2024-01-25,3722.88,200269
2024-01-24,3683.59,316651
2024-01-23,3671.32,299750
2024-01-20,3683.99,340503
2024-01-19,3725.25,565533
2024-01-18,3752.27,489754
2024-01-17,3798.42,516399
2024-01-16,3847.46,445672
2024-01-15,3871.77,505101
2024-01-12,3814.82,456627
2024-01-11,3820.72,213492
2024-01-10,3812.31,338253
2024-01-09,3805.11,440688
2024-01-08,3835.04,692896
2024-01-05,3867.98,513823
2024-01-04,3906.3,754490
2024-01-03,3966.82,964470
2024-01-02,4068.07,843252
2024-01-01,4064.09,131614
2023-12-29,4056.3,224994
2023-12-28,4036.7,403866
2023-12-27,4034.91,349033
2023-12-26,4019.22,299135
2023-12-22,3995.49,224831
2023-12-21,3955.83,286850
2023-12-20,3974.58,244858
2023-12-19,4017.74,185004
2023-12-18,4038.15,221527
2023-12-15,4043.78,300270
2023-12-14,4046.33,264682
2023-12-13,4011.75,388573
2023-12-12,4055.83,349447
2023-12-11,4046.4,239939
2023-12-08,4109.53,495575
2023-12-07,4123.81,414582
2023-12-06,4123.89,861085
2023-12-05,4018.24,443420
2023-12-04,3998.0,389629
2023-12-01,3969.64,380041
2023-11-30,3926.61,698850
2023-11-29,3898.21,333845
2023-11-28,3891.02,449705
2023-11-24,3838.04,96391
2023-11-23,3841.69,201012
2023-11-22,3840.73,200608
2023-11-21,3820.86,196060
2023-11-20,3803.25,252998
2023-11-17,3818.47,266479
2023-11-16,3785.53,148945
2023-11-15,3769.7,372291
2023-11-13,3779.05,166502
2023-11-12,3810.64,40179
2023-11-10,3780.48,205429
2023-11-09,3748.01,248748
2023-11-08,3690.15,246719
2023-11-07,3648.96,287032
2023-11-06,3652.74,277254
2023-11-03,3652.67,316179
2023-11-02,3648.82,216100
2023-11-01,3643.6,242467
2023-10-31,3642.72,820386
2023-10-30,3648.5,254298
2023-10-27,3691.13,365480
2023-10-26,3693.23,289964
2023-10-25,3718.83,333022
2023-10-23,3714.88,297128
2023-10-20,3756.35,200038
2023-10-19,3766.41,168075
2023-10-18,3805.95,356321
2023-10-17,3848.1,394330
2023-10-16,3836.17,1102582
2023-10-13,3921.51,554574
2023-10-12,3856.44,226262
2023-10-11,3850.6,304828
2023-10-10,3793.54,284836
2023-10-09,3793.16,278929
2023-10-06,3841.46,345055
2023-10-05,3897.1,607632
2023-10-04,3850.85,1737108
2023-10-03,3678.09,235045
2023-09-29,3670.38,321455
2023-09-28,3672.01,451168
2023-09-27,3641.47,427214
2023-09-26,3645.23,170690
2023-09-25,3677.01,112473
2023-09-22,3677.74,148096
2023-09-21,3712.35,191005
2023-09-20,3746.98,182671
2023-09-18,3792.75,114208
2023-09-15,3798.08,252016
2023-09-14,3802.35,281679
2023-09-13,3792.22,282452
2023-09-12,3773.36,289753
2023-09-11,3801.97,170276
2023-09-08,3791.06,155200
2023-09-07,3813.26,443562
2023-09-06,3791.75,224923
2023-09-05,3755.6,232853
2023-09-04,3756.79,145378
2023-09-01,3742.47,361003
2023-08-31,3722.28,672799
2023-08-30,3722.93,440057
2023-08-29,3641.54,615528
2023-08-28,3599.47,619104
2023-08-25,3551.63,254513
2023-08-24,3560.63,352847
2023-08-23,3545.4,341109
2023-08-22,3563.44,258022
2023-08-21,3546.92,319920
2023-08-18,3556.43,570307
2023-08-17,3511.36,805813
2023-08-16,3505.61,321024
2023-08-14,3521.2,244504
2023-08-11,3560.56,740365
2023-08-10,3613.63,381556
2023-08-09,3631.75,257378
2023-08-08,3662.25,269119
2023-08-07,3643.06,340841
2023-08-04,3663.77,482851
2023-08-03,3699.72,168745
2023-08-02,3723.87,206748
2023-08-01,3740.29,212462
2023-07-31,3748.05,276799
2023-07-28,3696.07,219187
2023-07-27,3700.28,286460
2023-07-26,3698.56,182427
2023-07-25,3680.38,237637
2023-07-24,3659.11,197861
2023-07-21,3673.18,369923
2023-07-20,3680.75,503722
2023-07-19,3702.42,277417
2023-07-18,3690.12,499878
2023-07-17,3754.89,1045261
2023-07-14,3818.18,369703
2023-07-13,3808.75,250708
2023-07-12,3808.85,362068
2023-07-11,3821.94,175289
2023-07-10,3786.43,180959
2023-07-07,3823.27,206827
2023-07-06,3826.03,247801
2023-07-05,3837.66,311494
2023-07-04,3882.34,554478
2023-07-03,3883.89,371884
2023-06-30,3908.88,401857
2023-06-28,3933.06,478728
2023-06-27,3880.0,499702
2023-06-26,3821.59,344384
2023-06-23,3767.25,278868
2023-06-22,3851.06,311631
2023-06-21,3950.76,310779
2023-06-20,3988.91,531748
2023-06-19,4010.19,703098
2023-06-16,4067.03,2113207
2023-06-15,3848.59,1159134
2023-06-14,3710.19,376196
2023-06-13,3676.69,353631
2023-06-12,3618.81,247071
2023-06-09,3617.37,661360
2023-06-08,3556.7,185099
2023-06-07,3540.59,228651
2023-06-06,3533.24,179039
2023-06-05,3541.49,182062
2023-06-02,3533.34,396067
2023-06-01,3509.43,189632
2023-05-31,3476.43,917960
2023-05-30,3506.52,294224
2023-05-29,3500.73,228840
2023-05-26,3483.34,277113
2023-05-25,3436.0,153240
2023-05-24,3425.62,148601
2023-05-23,3432.23,168585
2023-05-22,3418.6,221481
2023-05-19,3408.24,265437
2023-05-18,3406.49,289248
2023-05-17,3422.87,560388
2023-05-16,3492.7,536281
2023-05-15,3543.02,943990
2023-05-12,3675.3,253518
2023-05-11,3702.5,178603
2023-05-10,3662.8,181718
2023-05-09,3686.6,385755
2023-05-08,3659.94,313499
2023-05-05,3591.77,183726
2023-05-04,3575.4,148562
2023-05-03,3560.44,195083
2023-05-02,3537.29,237127
2023-04-28,3501.7,224156
2023-04-27,3478.16,235408
2023-04-26,3458.27,300045
2023-04-25,3456.86,179508
2023-04-24,3456.74,95563
2023-04-21,3454.13,191220
2023-04-20,3473.32,137578
2023-04-19,3481.32,157606
2023-04-18,3504.16,304634
2023-04-17,3488.84,239351
2023-04-13,3490.86,159631
2023-04-12,3475.23,214203
2023-04-11,3467.63,193991
2023-04-10,3473.1,242779
2023-04-06,3524.22,886236
2023-04-05,3636.58,481018
2023-04-03,3505.66,429164
2023-03-31,3393.61,286361
2023-03-29,3343.94,276925
2023-03-28,3323.64,155615
2023-03-27,3326.84,211474
2023-03-24,3359.98,178783
2023-03-23,3362.81,191330
2023-03-22,3374.45,226672
2023-03-21,3356.88,223590
2023-03-20,3327.71,240057
2023-03-17,3322.9,562867
2023-03-16,3377.82,353906
2023-03-15,3340.16,231760
2023-03-14,3347.62,268245
2023-03-13,3366.83,195345
2023-03-10,3391.38,265311
2023-03-09,3399.16,389606
2023-03-08,3405.19,355089
2023-03-06,3451.25,189782
2023-03-03,3445.9,264633
2023-03-02,3433.31,191133
2023-03-01,3449.92,145318
2023-02-28,3441.6,328221
2023-02-27,3472.28,132235
2023-02-24,3491.75,113844
2023-02-23,3482.14,237976
2023-02-22,3501.53,117550
2023-02-21,3529.22,302260
2023-02-20,3558.47,191038
2023-02-17,3542.71,202556
2023-02-16,3548.95,315147
2023-02-15,3513.96,211636
2023-02-14,3484.73,496970
2023-02-13,3496.45,252484
2023-02-10,3508.0,393156
2023-02-09,3503.29,372567
2023-02-08,3473.37,217382
2023-02-07,3448.25,369288
2023-02-06,3444.08,314363
2023-02-03,3487.28,322648
2023-02-02,3513.96,222692
2023-02-01,3544.8,361698
2023-01-31,3516.19,537429
2023-01-30,3531.45,272767
