DATE,VWAP,VOLUME
2024-01-25,5880.23,535502
2024-01-24,5847.52,1048852
2024-01-23,5691.38,465989
2024-01-20,5652.01,67138
2024-01-19,5657.92,328292
2024-01-18,5616.71,345527
2024-01-17,5673.11,355792
2024-01-16,5748.68,228429
2024-01-15,5770.42,333122
2024-01-12,5678.42,277142
2024-01-11,5681.06,592985
2024-01-10,5750.12,254771
2024-01-09,5768.94,258444
2024-01-08,5773.46,241140
2024-01-05,5836.18,207451
2024-01-04,5865.65,409660
2024-01-03,5931.09,282407
2024-01-02,5916.29,573856
2024-01-01,5834.57,195680
2023-12-29,5801.94,290523
2023-12-28,5796.34,977709
2023-12-27,5678.45,294776
2023-12-26,5655.26,331653
2023-12-22,5627.51,263008
2023-12-21,5544.43,336380
2023-12-20,5629.53,261446
2023-12-19,5623.82,224674
2023-12-18,5630.39,655852
2023-12-15,5579.55,727244
2023-12-14,5595.8,632912
2023-12-13,5578.26,622395
2023-12-12,5557.29,856305
2023-12-11,5445.55,1898630
2023-12-08,5752.91,228505
2023-12-07,5803.86,758230
2023-12-06,5742.4,531941
2023-12-05,5776.3,224375
2023-12-04,5750.8,224260
2023-12-01,5790.34,278300
2023-11-30,5772.49,853552
2023-11-29,5700.76,320477
2023-11-28,5684.5,311158
2023-11-24,5706.11,461081
2023-11-23,5647.58,302260
2023-11-22,5690.12,424916
2023-11-21,5651.93,380693
2023-11-20,5612.92,400325
2023-11-17,5602.15,424126
2023-11-16,5507.46,339012
2023-11-15,5428.31,284481
2023-11-13,5426.18,171182
2023-11-12,5448.43,20112
2023-11-10,5416.36,228984
2023-11-09,5472.68,328532
2023-11-08,5468.89,419391
2023-11-07,5425.58,699747
2023-11-06,5317.84,569497
2023-11-03,5283.4,584361
2023-11-02,5356.16,473167
2023-11-01,5354.23,275333
2023-10-31,5393.89,376814
2023-10-30,5347.32,538320
2023-10-27,5399.75,431945
2023-10-26,5417.25,308829
2023-10-25,5560.33,420896
2023-10-23,5597.49,361957
2023-10-20,5575.42,228275
2023-10-19,5641.97,505169
2023-10-18,5646.76,602971
2023-10-17,5540.84,325352
2023-10-16,5484.94,171844
2023-10-13,5479.16,326651
2023-10-12,5535.67,339049
2023-10-11,5566.3,392248
2023-10-10,5459.06,303926
2023-10-09,5495.23,473622
2023-10-06,5438.16,314598
2023-10-05,5425.77,411706
2023-10-04,5445.55,421906
2023-10-03,5499.25,413048
2023-09-29,5583.2,620391
2023-09-28,5459.09,386311
2023-09-27,5545.92,488778
2023-09-26,5489.73,275983
2023-09-25,5469.11,243409
2023-09-22,5551.94,489557
2023-09-21,5653.48,585343
2023-09-20,5645.7,453281
2023-09-18,5753.8,251348
2023-09-15,5794.47,413821
2023-09-14,5735.1,227946
2023-09-13,5722.3,314323
2023-09-12,5678.13,516243
2023-09-11,5623.09,262786
2023-09-08,5592.83,184790
2023-09-07,5621.7,526843
2023-09-06,5590.42,451329
2023-09-05,5590.65,393694
2023-09-04,5638.09,294604
2023-09-01,5586.23,221056
2023-08-31,5628.74,635775
2023-08-30,5692.1,710363
2023-08-29,5742.08,651617
2023-08-28,5783.81,470154
2023-08-25,5824.11,942648
2023-08-24,5942.77,824946
2023-08-23,5954.75,628526
2023-08-22,5927.99,337645
2023-08-21,5893.93,266928
2023-08-18,5915.86,856329
2023-08-17,5878.19,427614
2023-08-16,5834.81,861653
2023-08-14,5838.33,433519
2023-08-11,5834.38,451392
2023-08-10,5858.84,552662
2023-08-09,5836.6,2013403
2023-08-08,5687.43,597402
2023-08-07,5650.98,499966
2023-08-04,5668.07,345304
2023-08-03,5682.49,514104
2023-08-02,5661.65,358359
2023-08-01,5677.67,424547
2023-07-31,5610.88,319898
2023-07-28,5588.07,636108
2023-07-27,5534.14,1507811
2023-07-26,5450.06,340212
2023-07-25,5434.18,432431
2023-07-24,5372.04,423905
2023-07-21,5304.57,230074
2023-07-20,5333.64,1203206
2023-07-19,5216.3,392317
2023-07-18,5179.3,257391
2023-07-17,5196.46,395354
2023-07-14,5103.96,388409
2023-07-13,5169.56,406983
2023-07-12,5178.85,240718
2023-07-11,5175.43,211361
2023-07-10,5169.11,200725
2023-07-07,5224.96,554344
2023-07-06,5228.12,506874
2023-07-05,5168.77,282054
2023-07-04,5150.55,372667
2023-07-03,5135.28,234827
2023-06-30,5150.31,486141
2023-06-28,5084.29,885268
2023-06-27,5046.69,666063
2023-06-26,5033.92,721425
2023-06-23,4975.01,558228
2023-06-22,4901.02,248570
2023-06-21,4923.72,224710
2023-06-20,4901.3,214151
2023-06-19,4930.07,708151
2023-06-16,4908.96,762903
2023-06-15,4799.08,726149
2023-06-14,4700.49,180251
2023-06-13,4701.74,258981
2023-06-12,4678.74,143574
2023-06-09,4674.2,216940
2023-06-08,4660.69,240698
2023-06-07,4668.73,227905
2023-06-06,4626.56,232331
2023-06-05,4616.77,226428
2023-06-02,4600.22,501913
2023-06-01,4543.16,305791
2023-05-31,4502.22,1262701
2023-05-30,4521.14,273989
2023-05-29,4554.82,185628
2023-05-26,4526.21,150587
2023-05-25,4499.94,206764
2023-05-24,4509.93,336733
2023-05-23,4465.02,323295
2023-05-22,4449.55,244976
2023-05-19,4400.42,326081
2023-05-18,4435.33,425447
2023-05-17,4484.81,349961
2023-05-16,4524.7,286047
2023-05-15,4504.55,317753
2023-05-12,4478.92,1048404
2023-05-11,4576.3,2783359
2023-05-10,4880.63,454301
2023-05-09,4921.33,309059
2023-05-08,4897.34,238183
2023-05-05,4954.99,92309
2023-05-04,4962.81,201327
2023-05-03,4945.27,176775
2023-05-02,4937.74,241978
2023-04-28,4911.11,247044
2023-04-27,4889.46,219656
2023-04-26,4843.2,204153
2023-04-25,4804.04,327997
2023-04-24,4786.23,438166
2023-04-21,4853.5,331439
2023-04-20,4857.4,635170
2023-04-19,4918.43,384187
2023-04-18,4896.46,359410
2023-04-17,4855.56,341135
2023-04-13,4851.89,233867
2023-04-12,4852.61,680639
2023-04-11,4752.63,461850
2023-04-10,4728.45,184154
2023-04-06,4694.07,292069
2023-04-05,4676.67,364712
2023-04-03,4642.67,300135
2023-03-31,4624.24,456497
2023-03-29,4555.82,416707
2023-03-28,4527.94,366938
2023-03-27,4499.58,351914
2023-03-24,4471.0,225394
2023-03-23,4476.83,483674
2023-03-22,4444.63,319777
2023-03-21,4445.97,396928
2023-03-20,4453.58,789989
2023-03-17,4424.28,618598
2023-03-16,4385.75,276928
2023-03-15,4393.13,343422
2023-03-14,4349.01,428396
2023-03-13,4365.69,162542
2023-03-10,4390.79,337202
2023-03-09,4390.88,204425
2023-03-08,4425.29,234741
2023-03-06,4441.98,175584
2023-03-03,4420.84,274236
2023-03-02,4377.18,282652
2023-03-01,4331.12,199103
2023-02-28,4345.82,539975
2023-02-27,4406.76,274114
2023-02-24,4478.91,352966
2023-02-23,4466.59,237568
2023-02-22,4490.41,176461
2023-02-21,4477.75,158326
2023-02-20,4505.29,152349
2023-02-17,4501.88,211207
2023-02-16,4525.2,270466
2023-02-15,4522.33,256737
2023-02-14,4537.36,240427
2023-02-13,4529.56,374555
2023-02-10,4470.81,137022
2023-02-09,4506.48,410962
2023-02-08,4477.38,239371
2023-02-07,4436.93,597481
2023-02-06,4340.53,303221
2023-02-03,4380.06,374979
2023-02-02,4348.73,389355
2023-02-01,4344.14,405454
2023-01-31,4327.72,631941
2023-01-30,4315.36,374737
