DATE,VWAP,VOLUME
2024-01-25,3615.59,699432
2024-01-24,3597.04,1318897
2024-01-23,3672.91,823427
2024-01-20,3705.72,122046
2024-01-19,3715.06,894473
2024-01-18,3701.83,583931
2024-01-17,3753.56,585284
2024-01-16,3789.06,519197
2024-01-15,3831.64,364325
2024-01-12,3869.57,220410
2024-01-11,3898.6,378237
2024-01-10,3824.04,577499
2024-01-09,3880.79,411462
2024-01-08,3910.69,401263
2024-01-05,3892.72,402103
2024-01-04,3864.83,425702
2024-01-03,3897.13,435449
2024-01-02,3921.33,1221148
2024-01-01,4060.34,763454
2023-12-29,4127.17,673952
2023-12-28,4098.37,450475
2023-12-27,4080.71,385941
2023-12-26,4046.41,475107
2023-12-22,3985.61,309907
2023-12-21,3944.46,445648
2023-12-20,4029.63,557214
2023-12-19,4045.43,328368
2023-12-18,4114.38,886620
2023-12-15,4072.04,954933
2023-12-14,4078.98,922658
2023-12-13,4004.49,707209
2023-12-12,3969.46,981121
2023-12-11,4039.08,534584
2023-12-08,4059.34,334252
2023-12-07,4088.61,699553
2023-12-06,4065.24,941566
2023-12-05,4147.48,1045885
2023-12-04,4087.05,2824695
2023-12-01,3918.18,683211
2023-11-30,3886.22,1338711
2023-11-29,3818.62,414180
2023-11-28,3822.38,505274
2023-11-24,3863.5,266314
2023-11-23,3891.94,764501
2023-11-22,3830.46,286194
2023-11-21,3846.6,260475
2023-11-20,3856.19,249897
2023-11-17,3870.03,476357
2023-11-16,3839.84,755583
2023-11-15,3795.37,1914550
2023-11-13,3651.99,875885
2023-11-12,3581.58,113586
2023-11-10,3530.0,259237
2023-11-09,3563.51,538782
2023-11-08,3542.71,393482
2023-11-07,3515.64,335436
2023-11-06,3513.58,722080
2023-11-03,3417.53,568463
2023-11-02,3320.49,493381
2023-11-01,3298.06,325630
2023-10-31,3319.11,409346
2023-10-30,3357.66,257392
2023-10-27,3378.97,293097
2023-10-26,3333.38,428619
2023-10-25,3410.4,354128
2023-10-23,3462.06,211293
2023-10-20,3487.68,216268
2023-10-19,3498.4,353664
2023-10-18,3511.13,368551
2023-10-17,3501.41,260333
2023-10-16,3490.69,147663
2023-10-13,3469.75,280442
2023-10-12,3508.2,644992
2023-10-11,3478.1,343468
2023-10-10,3460.81,206646
2023-10-09,3455.03,471285
2023-10-06,3450.46,249258
2023-10-05,3434.52,394665
2023-10-04,3382.97,566983
2023-10-03,3336.0,1354075
2023-09-29,3451.63,515006
2023-09-28,3463.92,608162
2023-09-27,3466.17,552573
2023-09-26,3497.03,2178639
2023-09-25,3397.26,309695
2023-09-22,3409.16,393516
2023-09-21,3426.24,477582
2023-09-20,3427.51,547812
2023-09-18,3432.53,596376
2023-09-15,3425.8,1169429
2023-09-14,3367.07,436335
2023-09-13,3330.94,820181
2023-09-12,3358.62,446513
2023-09-11,3384.09,544361
2023-09-08,3379.94,448502
2023-09-07,3397.56,334700
2023-09-06,3394.19,431090
2023-09-05,3416.27,374902
2023-09-04,3433.73,661736
2023-09-01,3366.68,691510
2023-08-31,3355.6,835737
2023-08-30,3394.78,903102
2023-08-29,3359.15,271577
2023-08-28,3354.11,329661
2023-08-25,3342.18,463506
2023-08-24,3357.58,840229
2023-08-23,3358.78,347738
2023-08-22,3348.93,343014
2023-08-21,3352.13,407887
2023-08-18,3334.75,680218
2023-08-17,3303.2,484577
2023-08-16,3312.43,502272
2023-08-14,3318.79,650028
2023-08-11,3397.41,366412
2023-08-10,3411.0,640761
2023-08-09,3384.97,1096303
2023-08-08,3339.44,881723
2023-08-07,3357.69,438968
2023-08-04,3394.91,1235134
2023-08-03,3363.2,601722
2023-08-02,3357.76,1174483
2023-08-01,3410.06,1039321
2023-07-31,3344.27,485771
2023-07-28,3346.39,338430
2023-07-27,3346.28,748689
2023-07-26,3348.87,552958
2023-07-25,3341.51,865631
2023-07-24,3303.34,517007
2023-07-21,3315.81,536479
2023-07-20,3313.56,684856
2023-07-19,3339.12,658755
2023-07-18,3347.62,743048
2023-07-17,3349.99,1556115
2023-07-14,3320.79,1577337
2023-07-13,3264.16,1050165
2023-07-12,3284.89,1573745
2023-07-11,3238.87,1425815
2023-07-10,3196.94,1778576
2023-07-07,3207.89,2099192
2023-07-06,3232.86,3837528
2023-07-05,3357.11,2931606
2023-07-04,3443.72,4118019
2023-07-03,3627.09,734331
2023-06-30,3566.28,712382
2023-06-28,3548.62,657118
2023-06-27,3540.26,336518
2023-06-26,3548.12,346202
2023-06-23,3538.68,281640
2023-06-22,3591.06,559681
2023-06-21,3562.0,538051
2023-06-20,3532.19,378562
2023-06-19,3520.62,336012
2023-06-16,3523.49,610093
2023-06-15,3566.86,428887
2023-06-14,3587.47,456603
2023-06-13,3609.89,612123
2023-06-12,3587.91,358856
2023-06-09,3608.96,447350
2023-06-08,3673.76,511175
2023-06-07,3722.61,342012
2023-06-06,3703.72,385907
2023-06-05,3686.37,340655
2023-06-02,3685.7,987424
2023-06-01,3714.81,622442
2023-05-31,3683.86,1188672
2023-05-30,3702.12,598100
2023-05-29,3698.16,516724
2023-05-26,3660.73,394991
2023-05-25,3647.52,725887
2023-05-24,3609.8,374043
2023-05-23,3578.87,374270
2023-05-22,3544.71,303121
2023-05-19,3556.08,762689
2023-05-18,3604.97,1235091
2023-05-17,3612.83,755786
2023-05-16,3657.51,1035562
2023-05-15,3677.24,1269701
2023-05-12,3612.2,3665298
2023-05-11,3403.04,408412
2023-05-10,3388.93,386746
2023-05-09,3383.76,347387
2023-05-08,3387.9,322909
2023-05-05,3358.32,518154
2023-05-04,3342.14,325535
2023-05-03,3343.44,577763
2023-05-02,3352.72,838718
2023-04-28,3292.26,416242
2023-04-27,3258.16,464406
2023-04-26,3258.85,881684
2023-04-25,3210.77,574542
2023-04-24,3177.01,379317
2023-04-21,3218.12,443737
2023-04-20,3245.58,483671
2023-04-19,3283.93,646164
2023-04-18,3254.03,577513
2023-04-17,3227.47,539975
2023-04-13,3200.59,1337741
2023-04-12,3102.41,746284
2023-04-11,3031.14,618391
2023-04-10,2975.2,416883
2023-04-06,2954.74,586845
2023-04-05,2947.3,1033837
2023-04-03,3007.14,1170652
2023-03-31,2945.9,546110
2023-03-29,2912.52,765293
2023-03-28,2867.18,1079359
2023-03-27,2894.05,375285
2023-03-24,2909.31,542971
2023-03-23,2932.9,379191
2023-03-22,2949.4,222875
2023-03-21,2954.28,490092
2023-03-20,2933.38,561183
2023-03-17,2980.6,692626
2023-03-16,3047.87,439612
2023-03-15,3030.56,288927
2023-03-14,3016.56,727498
2023-03-13,3064.37,351244
2023-03-10,3120.44,362000
2023-03-09,3168.11,419727
2023-03-08,3187.04,657256
2023-03-06,3154.69,362693
2023-03-03,3133.16,337278
2023-03-02,3128.06,970565
2023-03-01,3113.17,522394
2023-02-28,3119.51,974100
2023-02-27,3134.9,482530
2023-02-24,3195.46,684029
2023-02-23,3251.29,527729
2023-02-22,3243.12,570379
2023-02-21,3284.23,494115
2023-02-20,3306.17,515895
2023-02-17,3273.45,491317
2023-02-16,3305.48,679170
2023-02-15,3293.19,2093492
2023-02-14,3207.27,1519235
2023-02-13,3247.96,405135
2023-02-10,3215.95,328745
2023-02-09,3225.94,265006
2023-02-08,3227.07,378309
2023-02-07,3266.84,447240
2023-02-06,3253.59,346025
2023-02-03,3261.68,500037
2023-02-02,3234.56,613267
2023-02-01,3303.8,885327
2023-01-31,3240.34,612164
2023-01-30,3146.18,656403
