DATE,VWAP,VOLUME
2024-01-25,165.72,16725897
2024-01-24,161.6,18968981
2024-01-23,161.94,30341132
2024-01-20,168.61,26069183
2024-01-19,167.45,21251240
2024-01-18,162.37,20299367
2024-01-17,166.27,31113706
2024-01-16,165.9,33401828
2024-01-15,164.55,26896883
2024-01-12,163.0,31798366
2024-01-11,158.32,37761286
2024-01-10,159.43,21435177
2024-01-09,160.97,21668343
2024-01-08,162.46,16705187
2024-01-05,164.5,36182162
2024-01-04,163.86,16795469
2024-01-03,162.44,22338899
2024-01-02,162.7,40801901
2024-01-01,166.79,40952729
2023-12-29,161.81,57370272
2023-12-28,155.94,37181228
2023-12-27,152.93,15311946
2023-12-26,154.8,44403657
2023-12-22,149.72,84784192
2023-12-21,139.22,16747435
2023-12-20,142.81,24177947
2023-12-19,144.53,16040169
2023-12-18,145.91,10775891
2023-12-15,147.36,28383880
2023-12-14,144.77,38595458
2023-12-13,140.48,17529522
2023-12-12,139.58,9881478
2023-12-11,141.42,11044633
2023-12-08,141.18,18995777
2023-12-07,142.05,18456707
2023-12-06,140.44,18752200
2023-12-05,141.21,25099887
2023-12-04,142.28,66257632
2023-12-01,135.0,53660727
2023-11-30,131.86,82083861
2023-11-29,126.03,17797816
2023-11-28,125.06,19955790
2023-11-24,124.97,7037545
2023-11-23,124.65,7039867
2023-11-22,124.0,7738964
2023-11-21,124.85,5289551
2023-11-20,125.14,5930799
2023-11-17,126.05,9122291
2023-11-16,126.73,6392633
2023-11-15,127.72,14489745
2023-11-13,126.47,5965121
2023-11-12,126.39,1638425
2023-11-10,125.21,6880677
2023-11-09,124.01,7332564
2023-11-08,124.88,7605770
2023-11-07,124.64,7013652
2023-11-06,123.83,6377850
2023-11-03,123.46,12062935
2023-11-02,121.07,17644988
2023-11-01,119.27,15959172
2023-10-31,118.84,33212394
2023-10-30,118.44,7895004
2023-10-27,119.0,9937564
2023-10-26,118.02,13170505
2023-10-25,119.75,9531434
2023-10-23,122.62,17027808
2023-10-20,125.47,23340295
2023-10-19,129.85,12766650
2023-10-18,131.04,22761267
2023-10-17,131.19,29711623
2023-10-16,130.0,22411704
2023-10-13,130.12,32376316
2023-10-12,127.79,44500591
2023-10-11,123.66,13202599
2023-10-10,122.55,9862213
2023-10-09,121.76,11378558
2023-10-06,123.84,12431715
2023-10-05,122.79,13906951
2023-10-04,121.83,9753480
2023-10-03,124.51,13140786
2023-09-29,124.25,14505102
2023-09-28,121.62,9719776
2023-09-27,121.47,6490723
2023-09-26,122.31,7023846
2023-09-25,121.74,11052731
2023-09-22,122.22,7745864
2023-09-21,123.0,11814520
2023-09-20,123.93,20993004
2023-09-18,123.58,13376212
2023-09-15,124.35,27553333
2023-09-14,124.99,12308230
2023-09-13,123.19,10650872
2023-09-12,124.15,18056666
2023-09-11,128.09,13773356
2023-09-08,127.68,20210938
2023-09-07,126.11,19840679
2023-09-06,124.74,20234630
2023-09-05,124.29,41671778
2023-09-04,122.6,19622564
2023-09-01,119.97,31991938
2023-08-31,115.53,12626049
2023-08-30,117.09,8868451
2023-08-29,117.34,8257230
2023-08-28,117.52,7734363
2023-08-25,116.4,10944286
2023-08-24,118.28,17273849
2023-08-23,117.74,14990033
2023-08-22,116.02,9410569
2023-08-21,113.6,6394425
2023-08-18,112.54,8626445
2023-08-17,113.65,5708751
2023-08-16,113.4,5958441
2023-08-14,113.17,10233977
2023-08-11,116.39,10818126
2023-08-10,118.22,13140800
2023-08-09,117.09,11556651
2023-08-08,115.88,16636302
2023-08-07,114.83,11480767
2023-08-04,115.34,11230403
2023-08-03,115.75,13891020
2023-08-02,116.92,27870281
2023-08-01,120.36,32978003
2023-07-31,121.01,64986613
2023-07-28,117.5,21875385
2023-07-27,116.57,13286670
2023-07-26,116.88,17962594
2023-07-25,115.1,23574611
2023-07-24,112.97,13872167
2023-07-21,111.59,11702513
2023-07-20,110.64,10500380
2023-07-19,109.69,9938960
2023-07-18,108.88,6013243
2023-07-17,108.91,7839246
2023-07-14,109.65,10678733
2023-07-13,109.06,8440163
2023-07-12,110.33,9851130
2023-07-11,108.86,10380385
2023-07-10,109.22,8710335
2023-07-07,110.75,15022279
2023-07-06,109.48,29145409
2023-07-05,107.07,10903523
2023-07-04,106.63,9292916
2023-07-03,105.92,22772148
2023-06-30,104.83,16108372
2023-06-28,104.11,14246542
2023-06-27,104.51,9909567
2023-06-26,104.74,9225360
2023-06-23,104.7,7880417
2023-06-22,105.47,16244574
2023-06-21,107.11,13138208
2023-06-20,107.82,11218628
2023-06-19,107.84,4126281
2023-06-16,107.24,8119111
2023-06-15,106.98,5385018
2023-06-14,107.4,6930665
2023-06-13,106.54,11662296
2023-06-12,105.34,7078498
2023-06-09,105.08,5451500
2023-06-08,105.16,7433762
2023-06-07,105.16,8674853
2023-06-06,104.67,5394343
2023-06-05,104.45,5284220
2023-06-02,104.72,9624201
2023-06-01,105.32,9465271
2023-05-31,105.07,10176487
2023-05-30,105.78,7204247
2023-05-29,106.26,8058796
2023-05-26,106.87,6943806
2023-05-25,107.68,4719281
2023-05-24,107.67,6366074
2023-05-23,107.49,8713781
2023-05-22,106.06,11338813
2023-05-19,104.21,15968522
2023-05-18,107.25,24715468
2023-05-17,110.52,5634267
2023-05-16,112.76,18937352
2023-05-15,110.71,10713993
2023-05-12,108.35,5177796
2023-05-11,109.4,7784358
2023-05-10,108.06,7172451
2023-05-09,107.14,11885359
2023-05-08,107.46,4868763
2023-05-05,107.72,4948142
2023-05-04,107.1,7617969
2023-05-03,108.14,6687032
2023-05-02,108.13,7263913
2023-04-28,106.83,19307001
2023-04-27,109.32,8349269
2023-04-26,109.75,7305825
2023-04-25,109.58,8661439
2023-04-24,109.21,6760713
2023-04-21,108.53,5402376
2023-04-20,108.79,12345494
2023-04-19,108.65,8205988
2023-04-18,109.59,9664860
2023-04-17,109.43,11580594
2023-04-13,108.4,15062407
2023-04-12,107.92,14151790
2023-04-11,106.08,8331690
2023-04-10,106.2,8306845
2023-04-06,105.1,7249613
2023-04-05,105.13,6305668
2023-04-03,105.79,11147157
2023-03-31,105.58,15641500
2023-03-29,104.88,10745581
2023-03-28,104.01,7814715
2023-03-27,103.45,9550049
2023-03-24,104.54,10924642
2023-03-23,104.81,16318256
2023-03-22,104.97,36125531
2023-03-21,105.3,26605735
2023-03-20,110.1,23234444
2023-03-17,110.37,21251193
2023-03-16,110.33,26757814
2023-03-15,109.98,14237757
2023-03-14,110.08,23328812
2023-03-13,110.77,24579514
2023-03-10,109.83,24574077
2023-03-09,109.85,16240893
2023-03-08,111.39,27568928
2023-03-06,108.58,35771465
2023-03-03,105.54,27232148
2023-03-02,103.19,9586771
2023-03-01,103.03,7012524
2023-02-28,102.94,17617907
2023-02-27,104.66,27802826
2023-02-24,102.29,45176952
2023-02-23,97.74,38462809
2023-02-22,94.6,9721273
2023-02-21,95.73,8240973
2023-02-20,95.84,12837565
2023-02-17,95.96,19937435
2023-02-16,95.88,5800257
2023-02-15,94.95,6887911
2023-02-14,95.03,7505908
2023-02-13,95.79,5275322
2023-02-10,95.48,9527603
2023-02-09,95.64,6065233
2023-02-08,95.77,5763070
2023-02-07,95.59,8686792
2023-02-06,93.81,14907237
2023-02-03,92.23,18191035
2023-02-02,94.64,17726153
2023-02-01,96.47,19042474
2023-01-31,95.99,24892166
2023-01-30,95.83,29985336
