DATE,VWAP,VOLUME
2024-01-25,1154.86,1713542
2024-01-24,1152.45,1406219
2024-01-23,1138.96,1998376
2024-01-20,1133.7,228455
2024-01-19,1141.23,1538601
2024-01-18,1100.53,2486764
2024-01-17,1109.31,1949800
2024-01-16,1124.68,1682153
2024-01-15,1139.71,941288
2024-01-12,1157.23,912952
2024-01-11,1157.98,815483
2024-01-10,1142.81,1508578
2024-01-09,1177.91,1429012
2024-01-08,1166.94,4764515
2024-01-05,1218.61,2079251
2024-01-04,1194.57,1531104
2024-01-03,1164.41,1503336
2024-01-02,1150.51,1201742
2024-01-01,1141.78,686392
2023-12-29,1128.85,1158127
2023-12-28,1112.06,2301621
2023-12-27,1106.38,1251336
2023-12-26,1086.85,576355
2023-12-22,1071.13,1348188
2023-12-21,1050.45,2398325
2023-12-20,1056.49,1526082
2023-12-19,1044.91,1062259
2023-12-18,1038.94,758159
2023-12-15,1041.52,1045194
2023-12-14,1045.66,898052
2023-12-13,1036.85,1354067
2023-12-12,1042.38,1293038
2023-12-11,1038.71,809029
2023-12-08,1020.6,563822
2023-12-07,1022.63,781180
2023-12-06,1037.69,464434
2023-12-05,1044.4,767574
2023-12-04,1037.23,979451
2023-12-01,1018.64,1567362
2023-11-30,1007.55,1837947
2023-11-29,1005.0,2194759
2023-11-28,1001.02,1249480
2023-11-24,1010.59,720428
2023-11-23,1007.76,459008
2023-11-22,1006.81,553643
2023-11-21,1000.08,427198
2023-11-20,998.73,260372
2023-11-17,994.98,947219
2023-11-16,978.71,1180174
2023-11-15,985.56,1256912
2023-11-13,980.01,1010989
2023-11-12,988.79,33768
2023-11-10,983.85,748668
2023-11-09,992.53,1182374
2023-11-08,1016.33,466572
2023-11-07,1018.03,467035
2023-11-06,1025.27,746619
2023-11-03,1011.27,1055527
2023-11-02,987.74,2797429
2023-11-01,982.91,431560
2023-10-31,990.22,502123
2023-10-30,978.81,537204
2023-10-27,981.25,783105
2023-10-26,964.63,652068
2023-10-25,979.48,720572
2023-10-23,986.24,744252
2023-10-20,989.48,764123
2023-10-19,987.44,950305
2023-10-18,1001.53,569038
2023-10-17,1000.98,1231593
2023-10-16,985.58,500836
2023-10-13,981.83,519593
2023-10-12,978.1,726290
2023-10-11,984.16,535266
2023-10-10,970.42,695490
2023-10-09,967.99,500836
2023-10-06,975.4,1049194
2023-10-05,976.87,1329465
2023-10-04,992.87,727158
2023-10-03,996.27,1193081
2023-09-29,994.0,1041991
2023-09-28,998.56,1285424
2023-09-27,988.44,1179180
2023-09-26,977.97,708234
2023-09-25,977.27,557733
2023-09-22,985.89,1479506
2023-09-21,984.03,478136
2023-09-20,988.52,844213
2023-09-18,996.27,707389
2023-09-15,997.85,1450898
2023-09-14,1004.7,828717
2023-09-13,1003.98,614283
2023-09-12,1017.18,745691
2023-09-11,1033.87,874945
2023-09-08,1018.15,321006
2023-09-07,1020.38,569087
2023-09-06,1007.95,599424
2023-09-05,1006.37,399675
2023-09-04,1001.87,624466
2023-09-01,1004.71,310557
2023-08-31,1008.08,1212859
2023-08-30,1020.78,333967
2023-08-29,1014.68,635507
2023-08-28,1024.49,323454
2023-08-25,1033.51,262243
2023-08-24,1039.85,849525
2023-08-23,1026.02,822174
2023-08-22,1036.88,530261
2023-08-21,1024.69,752032
2023-08-18,1023.42,1060254
2023-08-17,1029.56,679224
2023-08-16,1037.36,720033
2023-08-14,1030.97,1164097
