DATE,VWAP,VOLUME
2024-01-25,2072.64,467209
2024-01-24,2053.87,604130
2024-01-23,2057.02,938057
2024-01-20,2079.43,131682
2024-01-19,2073.67,456698
2024-01-18,2054.28,877519
2024-01-17,2078.96,733818
2024-01-16,2111.52,457403
2024-01-15,2105.15,202260
2024-01-12,2104.78,485644
2024-01-11,2077.39,887806
2024-01-10,2057.83,325322
2024-01-09,2074.61,1211997
2024-01-08,2068.26,557308
2024-01-05,2069.66,1084779
2024-01-04,2074.9,958697
2024-01-03,2080.29,971170
2024-01-02,2103.97,796768
2024-01-01,2153.43,804466
2023-12-29,2125.76,648794
2023-12-28,2127.28,1059776
2023-12-27,2100.48,1133407
2023-12-26,2069.87,641259
2023-12-22,2060.67,1002033
2023-12-21,2073.22,443473
2023-12-20,2089.13,676270
2023-12-19,2117.26,316704
2023-12-18,2112.1,312861
2023-12-15,2118.71,724327
2023-12-14,2095.65,604705
2023-12-13,2070.12,802384
2023-12-12,2094.79,771429
2023-12-11,2077.98,253803
2023-12-08,2071.59,592431
2023-12-07,2073.47,423117
2023-12-06,2061.24,359203
2023-12-05,2061.13,559168
2023-12-04,2045.91,1051602
2023-12-01,2023.9,928511
2023-11-30,2006.61,1700309
2023-11-29,1992.77,820956
2023-11-28,1964.65,696321
2023-11-24,1954.96,168018
2023-11-23,1967.66,435716
2023-11-22,1970.53,313877
2023-11-21,1978.34,316716
2023-11-20,1966.38,286168
2023-11-17,1971.05,846043
2023-11-16,1937.94,950733
2023-11-15,1945.99,968317
2023-11-13,1931.62,213338
2023-11-12,1945.86,51329
2023-11-10,1936.95,192889
2023-11-09,1938.2,288817
2023-11-08,1933.52,425565
2023-11-07,1921.12,222145
2023-11-06,1923.45,291139
2023-11-03,1901.42,233627
2023-11-02,1891.74,320757
2023-11-01,1883.52,347623
2023-10-31,1882.72,290022
2023-10-30,1867.48,512491
2023-10-27,1859.82,288384
2023-10-26,1854.82,1136566
2023-10-25,1890.21,735409
2023-10-23,1914.09,874725
2023-10-20,1951.58,490027
2023-10-19,1951.93,709987
2023-10-18,1967.33,582943
2023-10-17,1975.94,1311374
2023-10-16,1971.15,665667
2023-10-13,1984.31,306452
2023-10-12,2002.43,2100421
2023-10-11,1962.39,910743
2023-10-10,1909.08,357318
2023-10-09,1887.77,345924
2023-10-06,1900.16,401355
2023-10-05,1891.29,546881
2023-10-04,1894.52,690407
2023-10-03,1918.2,593677
2023-09-29,1940.6,801073
2023-09-28,1915.26,723860
2023-09-27,1937.39,508577
2023-09-26,1950.26,657206
2023-09-25,1926.12,759914
2023-09-22,1909.88,676037
2023-09-21,1910.6,998239
2023-09-20,1944.8,579726
2023-09-18,1964.66,679771
2023-09-15,1969.47,1666149
2023-09-14,1934.87,1221120
2023-09-13,1919.95,2885260
2023-09-12,1889.75,1850845
2023-09-11,1861.12,432130
2023-09-08,1848.93,364113
2023-09-07,1838.08,408187
2023-09-06,1835.09,596020
2023-09-05,1858.64,881175
2023-09-04,1837.91,944090
2023-09-01,1799.3,420245
2023-08-31,1793.58,1244802
2023-08-30,1813.58,473306
2023-08-29,1793.31,640851
2023-08-28,1777.4,770162
2023-08-25,1769.15,656660
2023-08-24,1789.18,921003
2023-08-23,1800.46,416515
2023-08-22,1806.24,364666
2023-08-21,1803.64,266387
2023-08-18,1792.59,439611
2023-08-17,1805.45,495104
2023-08-16,1806.87,397750
2023-08-14,1805.67,528132
2023-08-11,1825.38,746178
2023-08-10,1835.72,700514
2023-08-09,1836.45,527765
2023-08-08,1843.22,480042
2023-08-07,1852.2,966616
2023-08-04,1830.22,324658
2023-08-03,1817.06,661829
2023-08-02,1817.18,647802
2023-08-01,1835.22,510537
2023-07-31,1843.13,597240
2023-07-28,1819.72,491289
2023-07-27,1825.26,538138
2023-07-26,1841.63,462059
2023-07-25,1829.2,470519
2023-07-24,1826.36,779732
2023-07-21,1811.58,779636
2023-07-20,1808.69,853096
2023-07-19,1779.39,434032
2023-07-18,1781.38,745036
2023-07-17,1772.06,919656
2023-07-14,1753.8,407663
2023-07-13,1771.03,334231
2023-07-12,1773.28,788153
2023-07-11,1762.8,576639
2023-07-10,1742.64,452115
2023-07-07,1756.28,552695
2023-07-06,1773.1,359336
2023-07-05,1775.06,399016
2023-07-04,1775.29,668555
2023-07-03,1776.67,1082940
2023-06-30,1742.48,451355
2023-06-28,1744.16,1026615
2023-06-27,1723.36,337457
2023-06-26,1714.47,385574
2023-06-23,1726.17,342149
2023-06-22,1765.62,410910
2023-06-21,1769.4,331653
2023-06-20,1759.45,461598
2023-06-19,1771.83,539320
2023-06-16,1778.88,965707
2023-06-15,1781.18,962821
2023-06-14,1764.93,811120
2023-06-13,1738.01,354691
2023-06-12,1725.77,247579
2023-06-09,1727.21,486894
2023-06-08,1731.03,743218
2023-06-07,1763.43,754213
2023-06-06,1761.98,1028018
2023-06-05,1734.55,767386
2023-06-02,1706.91,578853
2023-06-01,1707.86,378694
2023-05-31,1719.08,1212477
2023-05-30,1723.49,454164
2023-05-29,1694.39,667890
2023-05-26,1684.09,1938811
2023-05-25,1700.02,688926
2023-05-24,1698.14,441145
2023-05-23,1699.2,944523
2023-05-22,1716.02,262819
2023-05-19,1702.21,241696
2023-05-18,1707.35,231750
2023-05-17,1719.43,376204
2023-05-16,1731.77,209055
2023-05-15,1744.43,447150
2023-05-12,1757.73,304133
2023-05-11,1774.13,271131
2023-05-10,1769.75,284667
2023-05-09,1771.62,733053
2023-05-08,1773.29,755978
2023-05-05,1755.22,335545
2023-05-04,1748.57,589168
2023-05-03,1729.38,346767
2023-05-02,1731.65,394867
2023-04-28,1713.42,599262
2023-04-27,1690.94,529288
2023-04-26,1697.24,680706
2023-04-25,1693.04,359687
2023-04-24,1674.72,373266
2023-04-21,1666.3,324860
2023-04-20,1687.58,198674
2023-04-19,1695.65,312026
2023-04-18,1715.57,331404
2023-04-17,1716.01,720398
2023-04-13,1701.2,257830
2023-04-12,1723.98,658775
2023-04-11,1710.72,435839
2023-04-10,1700.3,825710
2023-04-06,1666.2,638863
2023-04-05,1632.89,1438018
2023-04-03,1628.56,763094
2023-03-31,1638.55,780027
2023-03-29,1627.18,575470
2023-03-28,1618.83,580459
2023-03-27,1625.53,627715
2023-03-24,1595.62,373052
2023-03-23,1610.81,312687
2023-03-22,1608.42,295100
2023-03-21,1601.33,568561
2023-03-20,1580.09,528418
2023-03-17,1577.33,695861
2023-03-16,1550.2,581059
2023-03-15,1562.27,549477
2023-03-14,1555.01,505806
2023-03-13,1586.27,801605
2023-03-10,1595.01,456771
2023-03-09,1597.03,301702
2023-03-08,1600.96,433848
2023-03-06,1602.85,329354
2023-03-03,1600.08,608832
2023-03-02,1595.02,284986
2023-03-01,1586.85,286958
2023-02-28,1572.32,739148
2023-02-27,1567.43,395928
2023-02-24,1580.37,389169
2023-02-23,1578.87,483615
2023-02-22,1589.52,1052145
2023-02-21,1640.58,537330
2023-02-20,1635.18,445964
2023-02-17,1650.74,873623
2023-02-16,1630.89,311183
2023-02-15,1615.94,641985
2023-02-14,1602.43,1046887
2023-02-13,1628.5,241644
2023-02-10,1632.21,331940
2023-02-09,1650.46,1018831
2023-02-08,1628.96,511886
2023-02-07,1616.49,592717
2023-02-06,1611.8,497081
2023-02-03,1598.89,751430
2023-02-02,1590.48,718483
2023-02-01,1597.72,739030
2023-01-31,1592.67,1528204
2023-01-30,1588.86,465449
