DATE,VWAP,VOLUME
2024-01-25,2904.56,1309130
2024-01-24,2912.63,1330866
2024-01-23,2931.64,1628038
2024-01-20,3011.75,531714
2024-01-19,3011.35,1203346
2024-01-18,2930.54,2066487
2024-01-17,2968.69,1643170
2024-01-16,3014.29,2214293
2024-01-15,3019.33,1135342
2024-01-12,3004.74,867631
2024-01-11,3026.16,723628
2024-01-10,3005.77,1248563
2024-01-09,3035.63,1979028
2024-01-08,3007.32,1682520
2024-01-05,3016.55,5560237
2024-01-04,2899.34,1740167
2024-01-03,2840.32,2164728
2024-01-02,2791.4,1047639
2024-01-01,2835.74,1038164
2023-12-29,2805.72,765894
2023-12-28,2810.04,1003223
2023-12-27,2814.73,1156573
2023-12-26,2784.24,2160870
2023-12-22,2705.07,1000294
2023-12-21,2684.88,2206814
2023-12-20,2732.75,1947471
2023-12-19,2794.22,1272030
2023-12-18,2811.78,2920105
2023-12-15,2755.29,1430382
2023-12-14,2782.33,1193987
2023-12-13,2759.98,1438726
2023-12-12,2753.94,2393861
2023-12-11,2781.92,2624284
2023-12-08,2734.21,2833575
2023-12-07,2685.0,2607706
2023-12-06,2687.55,6078296
2023-12-05,2544.98,1840576
2023-12-04,2506.38,2351668
2023-12-01,2467.27,4012398
2023-11-30,2377.01,7273415
2023-11-29,2327.83,2349730
2023-11-28,2297.52,3488568
2023-11-24,2214.32,2909879
2023-11-23,2141.38,1259937
2023-11-22,2115.29,1014171
2023-11-21,2150.87,832725
2023-11-20,2146.11,1452454
2023-11-17,2133.75,1087862
2023-11-16,2124.91,2450457
2023-11-15,2073.2,1634396
2023-11-13,2059.86,1183911
2023-11-12,2077.54,435980
2023-11-10,2063.71,4755794
2023-11-09,2035.45,679939
2023-11-08,2031.05,1748876
2023-11-07,1997.81,2897381
2023-11-06,1925.69,975588
2023-11-03,1886.29,1032482
2023-11-02,1841.94,728430
2023-11-01,1824.63,575637
2023-10-31,1828.87,691198
2023-10-30,1839.73,796456
2023-10-27,1847.88,1140613
2023-10-26,1792.55,1478145
2023-10-25,1822.1,1625270
2023-10-23,1873.41,1149806
2023-10-20,1924.29,771497
2023-10-19,1954.27,437558
2023-10-18,1968.62,753713
2023-10-17,1965.83,449525
2023-10-16,1966.58,786576
2023-10-13,1976.15,770978
2023-10-12,1966.01,537987
2023-10-11,1967.6,895385
2023-10-10,1955.69,1658275
2023-10-09,1927.93,824232
2023-10-06,1955.21,1029633
2023-10-05,1949.12,1976433
2023-10-04,1915.71,1825706
2023-10-03,1945.33,2009422
2023-09-29,1922.11,1147905
2023-09-28,1912.86,1992076
2023-09-27,3847.44,853470
2023-09-26,3887.79,835167
2023-09-25,3842.65,828794
2023-09-22,3891.63,745403
2023-09-21,3959.06,767985
2023-09-20,4014.02,1219857
2023-09-18,4009.94,1472484
2023-09-15,3956.83,393110
2023-09-14,3963.46,361084
2023-09-13,3947.42,738804
2023-09-12,3982.92,947644
2023-09-11,4098.32,826794
2023-09-08,4105.48,1447738
2023-09-07,4040.49,1301058
2023-09-06,3977.63,607826
2023-09-05,3960.57,418736
2023-09-04,3980.14,1006109
2023-09-01,3946.91,889270
2023-08-31,3902.63,994851
2023-08-30,3927.87,795773
2023-08-29,3897.92,960661
2023-08-28,3929.36,740465
2023-08-25,3941.61,1170892
2023-08-24,4038.99,2527838
2023-08-23,3992.09,2550213
2023-08-22,3876.85,905882
2023-08-21,3811.33,444454
2023-08-18,3818.28,576697
2023-08-17,3891.41,558386
2023-08-16,3869.78,661278
2023-08-14,3842.54,1321587
2023-08-11,3816.66,1100424
2023-08-10,3819.6,395928
2023-08-09,3802.24,635343
2023-08-08,3769.04,395433
2023-08-07,3758.38,517724
2023-08-04,3770.92,506876
2023-08-03,3760.13,720874
2023-08-02,3774.1,980292
2023-08-01,3896.71,844850
2023-07-31,3964.97,1077942
2023-07-28,3912.51,1371612
2023-07-27,3852.93,403749
2023-07-26,3852.15,340024
2023-07-25,3861.45,546465
2023-07-24,3892.44,948151
2023-07-21,3870.5,890592
2023-07-20,3838.25,536992
2023-07-19,3862.47,790854
2023-07-18,3842.78,879776
2023-07-17,3843.83,1361104
2023-07-14,3817.86,1194888
2023-07-13,3864.65,1318519
2023-07-12,3850.22,1544193
