DATE,VWAP,VOLUME
2024-01-25,1290.24,470783
2024-01-24,1303.28,1122451
2024-01-23,1328.3,1286175
2024-01-20,1381.16,150156
2024-01-19,1387.48,651609
2024-01-18,1408.89,603033
2024-01-17,1432.1,1089285
2024-01-16,1432.15,627295
2024-01-15,1438.83,592597
2024-01-12,1431.4,585322
2024-01-11,1436.96,3886984
2024-01-10,1379.55,1353774
2024-01-09,1384.65,454465
2024-01-08,1389.72,485181
2024-01-05,1405.63,488819
2024-01-04,1401.42,668322
2024-01-03,1403.38,1332808
2024-01-02,1363.59,732232
2024-01-01,1367.19,240757
2023-12-29,1372.04,551096
2023-12-28,1369.12,602887
2023-12-27,1363.86,570198
2023-12-26,1360.42,376595
2023-12-22,1349.06,592159
2023-12-21,1336.35,671157
2023-12-20,1364.12,1453036
2023-12-19,1360.25,889643
2023-12-18,1344.33,488264
2023-12-15,1334.91,526573
2023-12-14,1332.84,400039
2023-12-13,1321.19,643534
2023-12-12,1345.65,895136
2023-12-11,1343.57,495744
2023-12-08,1342.82,514463
2023-12-07,1340.69,614481
2023-12-06,1330.72,658995
2023-12-05,1314.84,389012
2023-12-04,1314.42,574357
2023-12-01,1312.47,406906
2023-11-30,1298.73,1003617
2023-11-29,1289.88,568761
2023-11-28,1285.9,446363
2023-11-24,1294.85,471600
2023-11-23,1304.08,243581
2023-11-22,1305.62,590510
2023-11-21,1296.45,919344
2023-11-20,1277.2,338939
2023-11-17,1279.55,487287
2023-11-16,1275.46,598909
2023-11-15,1263.08,553895
2023-11-13,1252.53,472505
2023-11-12,1263.54,53621
2023-11-10,1255.21,372182
2023-11-09,1253.09,412408
2023-11-08,1255.08,968745
2023-11-07,1252.73,578997
2023-11-06,1260.84,1593562
2023-11-03,1271.16,422147
2023-11-02,1256.73,674945
2023-11-01,1245.5,778047
2023-10-31,1253.15,1191513
2023-10-30,1263.88,497634
2023-10-27,1265.01,567880
2023-10-26,1258.02,758444
2023-10-25,1277.99,1025370
2023-10-23,1288.57,1347306
2023-10-20,1318.52,3033731
2023-10-19,1360.96,1898484
2023-10-18,1350.22,1969647
2023-10-17,1397.98,1019606
2023-10-16,1407.24,622342
2023-10-13,1392.41,290082
2023-10-12,1389.7,386010
2023-10-11,1398.76,502182
2023-10-10,1398.93,563800
2023-10-09,1389.07,370048
2023-10-06,1403.49,313649
2023-10-05,1413.01,539631
2023-10-04,1392.09,678164
2023-10-03,1388.96,755516
2023-09-29,1388.78,389818
2023-09-28,1384.3,1016134
2023-09-27,1396.31,346769
2023-09-26,1401.96,322754
2023-09-25,1400.31,466853
2023-09-22,1396.61,350916
2023-09-21,1409.28,406806
2023-09-20,1415.14,524300
2023-09-18,1428.54,824119
2023-09-15,1422.7,1526334
2023-09-14,1394.79,601680
2023-09-13,1393.27,1313648
2023-09-12,1426.49,717778
2023-09-11,1446.4,818704
2023-09-08,1431.64,4377612
2023-09-07,1364.76,765717
2023-09-06,1359.78,1007504
2023-09-05,1362.3,611500
2023-09-04,1364.55,568970
2023-09-01,1380.14,848245
2023-08-31,1376.06,1921612
2023-08-30,1355.84,1357809
2023-08-29,1323.29,718024
2023-08-28,1313.54,483634
2023-08-25,1316.59,501479
2023-08-24,1338.64,579338
2023-08-23,1339.24,1057129
2023-08-22,1312.71,712933
2023-08-21,1287.16,256366
2023-08-18,1287.61,585202
2023-08-17,1286.0,733247
2023-08-16,1268.67,433375
2023-08-14,1277.92,749601
2023-08-11,1302.18,484186
2023-08-10,1297.14,388643
2023-08-09,1317.47,528665
2023-08-08,1325.64,731893
2023-08-07,1318.01,451200
2023-08-04,1316.03,588755
2023-08-03,1298.09,504649
2023-08-02,1314.63,763382
2023-08-01,1325.4,346660
2023-07-31,1330.01,567110
2023-07-28,1321.58,563551
2023-07-27,1304.05,709401
2023-07-26,1301.47,501602
2023-07-25,1298.43,518803
2023-07-24,1300.8,699741
2023-07-21,1309.22,2337996
2023-07-20,1365.62,4310236
2023-07-19,1369.2,3717564
2023-07-18,1344.92,4395179
2023-07-17,1293.18,433028
2023-07-14,1271.91,828040
2023-07-13,1276.72,1516583
2023-07-12,1294.98,875900
2023-07-11,1307.05,659349
2023-07-10,1291.55,643139
2023-07-07,1291.78,405412
2023-07-06,1312.76,952091
2023-07-05,1286.5,551843
2023-07-04,1281.05,635541
2023-07-03,1307.35,1613382
2023-06-30,1285.33,1416091
2023-06-28,1289.7,1172777
2023-06-27,1295.1,953208
2023-06-26,1284.92,1013995
2023-06-23,1294.06,1287346
2023-06-22,1333.09,377770
2023-06-21,1348.33,717308
2023-06-20,1340.08,594117
2023-06-19,1339.67,573868
2023-06-16,1354.48,844325
2023-06-15,1361.13,414903
2023-06-14,1355.78,643835
2023-06-13,1344.78,1257080
2023-06-12,1350.73,596601
2023-06-09,1351.04,659862
2023-06-08,1355.72,810757
2023-06-07,1348.63,785794
2023-06-06,1336.19,796420
2023-06-05,1340.2,953995
2023-06-02,1335.64,944335
2023-06-01,1340.82,1247361
2023-05-31,1307.97,2068480
2023-05-30,1290.26,408031
2023-05-29,1294.62,319481
2023-05-26,1287.71,390311
2023-05-25,1276.49,434611
2023-05-24,1266.88,561655
2023-05-23,1251.64,520570
2023-05-22,1265.93,444646
2023-05-19,1259.88,314141
2023-05-18,1267.55,261779
2023-05-17,1273.99,436672
2023-05-16,1295.84,378732
2023-05-15,1308.18,478721
2023-05-12,1304.93,1404037
2023-05-11,1272.77,600835
2023-05-10,1247.17,482371
2023-05-09,1251.06,658368
2023-05-08,1271.77,792674
2023-05-05,1280.78,1216747
2023-05-04,1236.85,1145568
2023-05-03,1231.97,2137153
2023-05-02,1228.14,680387
2023-04-28,1224.59,584411
2023-04-27,1223.25,351744
2023-04-26,1221.93,692419
2023-04-25,1208.15,394974
2023-04-24,1203.36,348301
2023-04-21,1212.62,485085
2023-04-20,1212.18,572387
2023-04-19,1220.85,1049172
2023-04-18,1214.3,799192
2023-04-17,1204.29,923153
2023-04-13,1189.03,622876
2023-04-12,1179.39,498818
2023-04-11,1170.56,506156
2023-04-10,1174.2,795946
2023-04-06,1190.56,554814
2023-04-05,1200.88,636055
2023-04-03,1185.0,703176
2023-03-31,1187.57,492712
2023-03-29,1170.43,607826
2023-03-28,1147.83,943699
2023-03-27,1176.58,269418
2023-03-24,1187.21,253493
2023-03-23,1192.74,178081
2023-03-22,1199.1,354856
2023-03-21,1197.87,524540
2023-03-20,1175.71,555437
2023-03-17,1190.78,520672
2023-03-16,1181.39,419044
2023-03-15,1185.46,305378
2023-03-14,1179.27,492822
2023-03-13,1208.82,404702
2023-03-10,1207.39,355348
2023-03-09,1214.58,219314
2023-03-08,1214.69,846149
2023-03-06,1220.11,417893
2023-03-03,1202.56,561235
2023-03-02,1205.47,673931
2023-03-01,1212.04,302995
2023-02-28,1195.51,1124099
2023-02-27,1164.23,384735
2023-02-24,1187.73,523520
2023-02-23,1198.01,480624
2023-02-22,1206.84,522972
2023-02-21,1217.62,260195
2023-02-20,1220.96,349234
2023-02-17,1226.53,736168
2023-02-16,1226.42,471441
2023-02-15,1211.02,728523
2023-02-14,1200.16,661062
2023-02-13,1178.18,1262978
2023-02-10,1207.27,1706011
2023-02-09,1232.51,666625
2023-02-08,1215.31,652437
2023-02-07,1202.46,614821
2023-02-06,1192.0,429582
2023-02-03,1191.69,353228
2023-02-02,1198.87,470914
2023-02-01,1198.13,774523
2023-01-31,1176.09,971218
2023-01-30,1176.07,457495
