DATE,VWAP,VOLUME
2024-01-25,1548.19,2641656
2024-01-24,1553.01,2136023
2024-01-23,1542.66,3196630
2024-01-20,1553.42,961332
2024-01-19,1570.57,2374099
2024-01-18,1565.24,3205598
2024-01-17,1567.32,3846289
2024-01-16,1552.95,4459799
2024-01-15,1591.97,9712071
2024-01-12,1528.08,5862043
2024-01-11,1485.37,2271368
2024-01-10,1489.22,4368914
2024-01-09,1466.87,3119270
2024-01-08,1444.18,2025264
2024-01-05,1431.99,1776925
2024-01-04,1424.37,3392241
2024-01-03,1443.14,1651716
2024-01-02,1470.3,1440888
2024-01-01,1478.54,1222315
2023-12-29,1466.79,1481617
2023-12-28,1474.24,1928616
2023-12-27,1468.79,1402329
2023-12-26,1457.91,1363265
2023-12-22,1444.47,2303438
2023-12-21,1430.37,2841508
2023-12-20,1470.95,4368383
2023-12-19,1486.42,2590417
2023-12-18,1500.49,3075527
2023-12-15,1470.71,7374290
2023-12-14,1411.44,5145574
2023-12-13,1366.11,1896931
2023-12-12,1379.93,2730422
2023-12-11,1374.5,2824656
2023-12-08,1356.8,4509751
2023-12-07,1330.85,1985003
2023-12-06,1327.03,2077245
2023-12-05,1315.92,3932040
2023-12-04,1338.79,1547057
2023-12-01,1335.66,1854324
2023-11-30,1338.5,4104385
2023-11-29,1333.8,1835524
2023-11-28,1306.17,2152951
2023-11-24,1312.56,1795933
2023-11-23,1330.21,1307344
2023-11-22,1328.05,1535630
2023-11-21,1327.78,1514256
2023-11-20,1325.34,2831858
2023-11-17,1315.72,2882039
2023-11-16,1300.47,3936945
2023-11-15,1275.67,2410620
2023-11-13,1257.67,730991
2023-11-12,1260.36,132650
2023-11-10,1256.56,1469902
2023-11-09,1269.05,1483749
2023-11-08,1271.91,937671
2023-11-07,1272.87,1385282
2023-11-06,1270.01,1175823
2023-11-03,1272.37,2052536
2023-11-02,1271.47,1368604
2023-11-01,1270.88,1572719
2023-10-31,1272.06,2525870
2023-10-30,1264.57,1158770
2023-10-27,1258.1,2675348
2023-10-26,1231.27,4617424
2023-10-25,1236.54,1420065
2023-10-23,1248.93,1646367
2023-10-20,1255.92,1625449
2023-10-19,1269.73,2279726
2023-10-18,1275.0,1743126
2023-10-17,1276.34,1687345
2023-10-16,1271.83,2527113
2023-10-13,1250.82,5740821
2023-10-12,1228.1,3921609
2023-10-11,1259.09,2186131
2023-10-10,1257.63,1532394
2023-10-09,1254.97,3430211
2023-10-06,1242.85,2497711
2023-10-05,1237.05,2995200
2023-10-04,1234.83,2253785
2023-10-03,1244.1,2162636
2023-09-29,1237.55,2338327
2023-09-28,1248.21,1807072
2023-09-27,1260.0,1670373
2023-09-26,1260.77,903152
2023-09-25,1263.54,1246703
2023-09-22,1273.8,1321467
2023-09-21,1272.71,3112700
2023-09-20,1295.12,2220756
2023-09-18,1303.79,2761885
2023-09-15,1303.25,4286280
2023-09-14,1283.14,2655172
2023-09-13,1274.83,2275523
2023-09-12,1279.2,2140769
2023-09-11,1279.09,2691836
2023-09-08,1262.49,2280777
2023-09-07,1248.74,2582004
2023-09-06,1233.14,1767709
2023-09-05,1234.95,2842400
2023-09-04,1217.25,4517935
2023-09-01,1181.94,1669640
2023-08-31,1176.1,4483967
2023-08-30,1170.64,1497356
2023-08-29,1155.4,1794652
2023-08-28,1147.95,2571967
2023-08-25,1158.89,2105159
2023-08-24,1181.69,2464221
2023-08-23,1183.73,2347850
2023-08-22,1180.42,1805887
2023-08-21,1180.73,1661946
2023-08-18,1170.23,3406088
2023-08-17,1174.65,2331256
2023-08-16,1178.84,2567226
2023-08-14,1167.1,1720940
2023-08-11,1175.12,7391806
2023-08-10,1134.81,1676669
2023-08-09,1137.23,1559337
2023-08-08,1144.6,1667697
2023-08-07,1150.89,1655404
2023-08-04,1145.33,3315303
2023-08-03,1124.57,1608187
2023-08-02,1130.19,2701150
2023-08-01,1128.58,2710536
2023-07-31,1110.3,2526624
2023-07-28,1105.77,2031899
2023-07-27,1115.83,1769815
2023-07-26,1115.19,1969964
2023-07-25,1110.93,2506726
2023-07-24,1119.28,2672505
2023-07-21,1119.65,5259150
2023-07-20,1153.08,1990001
2023-07-19,1167.08,2242397
2023-07-18,1160.62,2431478
2023-07-17,1160.4,3159479
2023-07-14,1139.55,6605038
2023-07-13,1105.64,12294227
2023-07-12,1111.94,3824027
2023-07-11,1117.15,4982603
2023-07-10,1128.65,3960400
2023-07-07,1166.35,2159585
