DATE,VWAP,VOLUME
2024-01-25,1434.16,49470926
2024-01-24,1435.74,43002202
2024-01-23,1442.66,57734701
2024-01-20,1483.92,12920293
2024-01-19,1483.88,54800269
2024-01-18,1495.03,80535465
2024-01-17,1565.65,85072618
2024-01-16,1672.44,12661250
2024-01-15,1666.61,14160178
2024-01-12,1645.1,9886776
2024-01-11,1653.3,9157005
2024-01-10,1653.21,8057912
2024-01-09,1660.84,12663444
2024-01-08,1671.84,8999235
2024-01-05,1679.44,15944735
2024-01-04,1681.98,13367028
2024-01-03,1681.27,14194881
2024-01-02,1697.43,14621046
2024-01-01,1701.52,7119843
2023-12-29,1707.51,12505713
2023-12-28,1711.26,22038235
2023-12-27,1695.87,13504539
2023-12-26,1678.46,9022928
2023-12-22,1675.74,24289425
2023-12-21,1672.87,18294620
2023-12-20,1662.23,17116260
2023-12-19,1651.23,12004223
2023-12-18,1657.78,9007377
2023-12-15,1655.35,69418565
2023-12-14,1651.03,17586183
2023-12-13,1628.14,14673457
2023-12-12,1645.41,18290738
2023-12-11,1653.0,11593810
2023-12-08,1648.92,16864019
2023-12-07,1628.48,10225193
2023-12-06,1627.41,19306530
2023-12-05,1626.07,26115410
2023-12-04,1592.26,25331228
2023-12-01,1559.16,11076768
2023-11-30,1555.55,34745720
2023-11-29,1547.46,17021244
2023-11-28,1531.88,14244669
2023-11-24,1529.01,8234596
2023-11-23,1519.21,6523110
2023-11-22,1513.24,14561825
2023-11-21,1517.79,12479986
2023-11-20,1505.46,9665726
2023-11-17,1502.48,11850937
2023-11-16,1511.01,14856919
2023-11-15,1505.7,20622730
2023-11-13,1490.72,10302957
2023-11-12,1499.5,1975463
2023-11-10,1486.67,7007593
2023-11-09,1487.69,11058370
2023-11-08,1489.03,15699773
2023-11-07,1484.48,20976424
2023-11-06,1488.25,12796865
2023-11-03,1487.25,9047670
2023-11-02,1472.27,22612577
2023-11-01,1469.2,16938733
2023-10-31,1482.03,16317412
2023-10-30,1479.49,11655491
2023-10-27,1470.94,15970266
2023-10-26,1469.55,27780899
2023-10-25,1505.86,14155998
