DATE,VWAP,VOLUME
2024-01-25,580.65,3725167
2024-01-24,582.72,6144401
2024-01-23,597.5,5994679
2024-01-20,611.57,1194291
2024-01-19,615.44,2563065
2024-01-18,607.76,3658639
2024-01-17,613.84,10183042
2024-01-16,612.13,8761562
2024-01-15,617.85,12433539
2024-01-12,639.54,7076942
2024-01-11,645.55,2800658
2024-01-10,645.45,3288472
2024-01-09,643.36,3648496
2024-01-08,646.91,2064691
2024-01-05,648.02,1394951
2024-01-04,644.84,4412550
2024-01-03,641.47,1893956
2024-01-02,646.26,3005450
2024-01-01,649.32,1343888
2023-12-29,646.62,1653662
2023-12-28,647.83,3566880
2023-12-27,642.13,2353373
2023-12-26,639.77,2202221
2023-12-22,641.47,2854029
2023-12-21,643.58,2755102
2023-12-20,657.5,3772684
2023-12-19,669.22,3794818
2023-12-18,671.22,2050286
2023-12-15,671.2,8720610
2023-12-14,686.58,6251731
2023-12-13,696.97,4757264
2023-12-12,695.61,10749420
2023-12-11,670.87,1897948
2023-12-08,672.82,2713075
2023-12-07,681.08,3853936
2023-12-06,678.43,1627777
2023-12-05,674.26,4028068
2023-12-04,678.0,4817286
2023-12-01,685.9,2106753
2023-11-30,686.07,4637116
2023-11-29,676.29,1829510
2023-11-28,672.99,1900825
2023-11-24,667.64,1511079
2023-11-23,669.6,2184014
2023-11-22,671.26,2664154
2023-11-21,666.32,5077816
2023-11-20,651.93,2178344
2023-11-17,652.15,4306473
2023-11-16,636.54,1753550
2023-11-15,632.97,2033627
2023-11-13,621.22,2047300
2023-11-12,627.46,190819
2023-11-10,626.41,2449660
2023-11-09,619.76,2235630
2023-11-08,620.04,1332249
2023-11-07,620.26,2747838
2023-11-06,622.25,1789823
2023-11-03,622.67,1450553
2023-11-02,620.98,1651263
2023-11-01,621.03,1947740
2023-10-31,615.75,2661284
2023-10-30,605.32,1882245
2023-10-27,610.92,1348147
2023-10-26,607.65,2011512
2023-10-25,615.25,2821496
2023-10-23,634.72,2502483
2023-10-20,636.9,1853937
2023-10-19,637.39,3371397
2023-10-18,644.01,2187089
2023-10-17,640.97,4443295
2023-10-16,627.18,3399593
2023-10-13,625.34,5462771
2023-10-12,623.31,2810053
2023-10-11,621.22,3102088
2023-10-10,620.2,4054232
2023-10-09,620.78,3308557
2023-10-06,630.93,3713370
2023-10-05,623.7,4050085
2023-10-04,627.04,2357914
2023-10-03,633.92,3454441
2023-09-29,634.98,1830734
2023-09-28,640.44,2418577
2023-09-27,644.61,1452570
2023-09-26,644.27,1968753
2023-09-25,643.99,2079256
2023-09-22,650.58,1925717
2023-09-21,646.9,2420603
2023-09-20,650.44,1596867
2023-09-18,658.9,4012209
2023-09-15,644.27,6827895
2023-09-14,647.35,3735579
2023-09-13,650.18,4423644
2023-09-12,663.5,4061914
2023-09-11,669.66,4083029
2023-09-08,657.41,1693851
2023-09-07,652.14,2349089
2023-09-06,646.82,2898323
2023-09-05,641.4,3759460
2023-09-04,638.48,1384829
2023-09-01,643.17,1271599
2023-08-31,641.75,4473826
2023-08-30,637.11,1858995
2023-08-29,630.33,3656025
2023-08-28,628.31,2531965
2023-08-25,630.94,1938963
2023-08-24,632.91,1518585
2023-08-23,633.0,1544136
2023-08-22,643.54,8186967
2023-08-21,625.7,1207075
2023-08-18,623.13,2392364
2023-08-17,626.47,1800092
2023-08-16,623.79,1800138
2023-08-14,632.36,1927044
2023-08-11,637.45,1288176
2023-08-10,641.04,1472754
2023-08-09,647.8,2176168
2023-08-08,647.83,3542734
2023-08-07,645.3,1676683
2023-08-04,639.23,2032172
2023-08-03,633.33,2670399
2023-08-02,641.24,2536221
2023-08-01,642.56,3370855
2023-07-31,647.47,3738008
2023-07-28,659.19,1664766
2023-07-27,662.14,3364659
2023-07-26,656.24,1841832
2023-07-25,654.83,4754351
2023-07-24,654.32,7781836
2023-07-21,649.52,5964750
2023-07-20,658.16,2754328
2023-07-19,655.49,4866371
2023-07-18,659.44,5855926
2023-07-17,666.44,2439405
2023-07-14,669.59,6273380
2023-07-13,683.39,3997060
2023-07-12,672.95,2912240
2023-07-11,677.74,5004622
2023-07-10,669.34,3676990
2023-07-07,666.85,5425784
2023-07-06,667.95,4788193
2023-07-05,666.43,5871642
2023-07-04,649.01,3340982
2023-07-03,650.84,2795761
2023-06-30,646.96,8681796
2023-06-28,656.97,21909643
2023-06-27,661.17,30050877
2023-06-26,628.14,3749962
2023-06-23,629.43,4159293
2023-06-22,647.86,4577233
2023-06-21,652.15,7689046
2023-06-20,639.16,10400684
2023-06-19,614.09,7087287
2023-06-16,604.73,11422524
2023-06-15,577.53,2074065
2023-06-14,585.67,5344073
2023-06-13,584.7,3288950
2023-06-12,585.51,3327440
2023-06-09,583.68,3023579
2023-06-08,594.51,1675907
2023-06-07,592.15,3440284
2023-06-06,574.21,3334157
2023-06-05,575.95,2230529
2023-06-02,577.8,3192761
2023-06-01,586.81,1659264
2023-05-31,592.04,10027475
2023-05-30,577.66,2653926
2023-05-29,581.85,2794717
2023-05-26,574.51,1467444
2023-05-25,570.02,1307797
2023-05-24,566.21,1529396
2023-05-23,565.81,3425506
2023-05-22,564.72,1975841
2023-05-19,558.31,1484899
2023-05-18,564.33,1745334
2023-05-17,557.75,1395385
2023-05-16,558.51,3027008
2023-05-15,559.26,1984609
2023-05-12,563.86,1433810
2023-05-11,566.84,1620276
2023-05-10,560.3,3191516
2023-05-09,553.66,1927306
2023-05-08,547.68,1970280
2023-05-05,543.13,2159574
2023-05-04,546.2,2312821
2023-05-03,540.12,2875460
2023-05-02,539.18,4239067
2023-04-28,525.97,4031679
2023-04-27,518.74,7978904
2023-04-26,532.16,4165761
2023-04-25,536.61,6700461
2023-04-24,543.31,23496385
2023-04-21,520.82,4452849
2023-04-20,528.9,1561641
2023-04-19,527.36,1622301
2023-04-18,535.16,2514020
2023-04-17,532.66,3417617
2023-04-13,527.09,4153200
2023-04-12,514.9,1950603
2023-04-11,517.21,3671457
2023-04-10,514.5,2375216
2023-04-06,512.66,2416882
2023-04-05,509.34,4270479
2023-04-03,505.03,2394944
2023-03-31,498.17,3459342
2023-03-29,492.26,3137010
2023-03-28,492.12,2494157
2023-03-27,494.99,2412510
2023-03-24,491.59,6424544
2023-03-23,500.51,4489138
2023-03-22,494.49,5604187
2023-03-21,479.51,4363583
2023-03-20,462.14,3937830
2023-03-17,471.67,7640040
2023-03-16,464.0,6790599
2023-03-15,470.68,6095528
2023-03-14,473.95,8530038
2023-03-13,485.53,2849642
2023-03-10,488.05,2383642
2023-03-09,492.81,2336282
2023-03-08,491.39,5589817
2023-03-06,493.17,3007451
2023-03-03,488.76,2983486
2023-03-02,485.04,2618651
2023-03-01,488.12,1591916
2023-02-28,488.14,3271808
2023-02-27,483.98,2587409
2023-02-24,484.47,2436219
2023-02-23,489.73,4158416
2023-02-22,495.64,2728046
2023-02-21,505.8,2669387
2023-02-20,509.16,6129396
2023-02-17,506.85,4312084
2023-02-16,516.92,1983991
2023-02-15,516.34,2497424
2023-02-14,512.08,2233957
2023-02-13,516.62,3063664
2023-02-10,523.78,7239045
2023-02-09,515.96,9516815
2023-02-08,499.2,10571918
2023-02-07,484.72,7117626
2023-02-06,480.86,7441590
2023-02-03,488.13,10593983
2023-02-02,493.6,17269387
2023-02-01,529.71,22671272
2023-01-31,578.76,3073978
2023-01-30,587.38,2843943
