DATE,VWAP,VOLUME
2024-01-25,4432.31,664356
2024-01-24,4370.76,596736
2024-01-23,4496.38,1399043
2024-01-20,4406.51,111872
2024-01-19,4400.36,383901
2024-01-18,4375.65,570816
2024-01-17,4391.9,443836
2024-01-16,4409.92,972808
2024-01-15,4370.46,490217
2024-01-12,4349.04,905401
2024-01-11,4304.32,2133475
2024-01-10,4116.56,511944
2024-01-09,4105.3,1043602
2024-01-08,4022.18,508360
2024-01-05,4002.11,593042
2024-01-04,3954.45,630734
2024-01-03,4001.88,896596
2024-01-02,4071.61,507848
2024-01-01,4132.89,392408
2023-12-29,4153.37,383687
2023-12-28,4150.41,1714818
2023-12-27,4054.93,683058
2023-12-26,4045.03,1149831
2023-12-22,3909.92,573168
2023-12-21,3821.39,410786
2023-12-20,3852.31,595832
2023-12-19,3832.84,560186
2023-12-18,3911.16,725829
2023-12-15,3909.36,924599
2023-12-14,3873.34,1067427
2023-12-13,3827.43,1355603
2023-12-12,3759.58,598126
2023-12-11,3703.01,451738
2023-12-08,3727.38,779332
2023-12-07,3783.05,500651
2023-12-06,3765.81,672675
2023-12-05,3799.66,713163
2023-12-04,3817.01,1018705
2023-12-01,3809.38,1060628
2023-11-30,3837.56,2909100
2023-11-29,3727.41,1561256
2023-11-28,3605.8,659645
2023-11-24,3550.83,514405
2023-11-23,3525.61,1726414
2023-11-22,3409.59,775145
2023-11-21,3371.73,742294
2023-11-20,3345.7,677714
2023-11-17,3340.08,947293
2023-11-16,3250.0,963718
2023-11-15,3162.59,570652
2023-11-13,3121.16,386501
2023-11-12,3119.68,40616
2023-11-10,3117.06,820659
2023-11-09,3177.71,604807
2023-11-08,3139.66,459324
2023-11-07,3139.07,355269
2023-11-06,3158.41,850503
2023-11-03,3094.9,411691
2023-11-02,3068.24,1268028
2023-11-01,3105.86,473455
2023-10-31,3101.43,207132
2023-10-30,3097.84,265215
2023-10-27,3124.26,314423
2023-10-26,3102.94,461475
2023-10-25,3134.98,391029
2023-10-23,3179.1,313646
2023-10-20,3232.58,458086
2023-10-19,3227.36,1129769
2023-10-18,3165.25,344063
2023-10-17,3177.63,416816
2023-10-16,3149.38,966651
2023-10-13,3102.56,374642
2023-10-12,3102.29,927642
2023-10-11,3078.43,1048795
2023-10-10,2976.44,467743
2023-10-09,2969.31,976306
2023-10-06,3034.47,180660
2023-10-05,3015.46,537209
2023-10-04,2998.51,307263
2023-10-03,3017.22,387906
2023-09-29,3031.92,375842
2023-09-28,2989.08,331995
2023-09-27,3013.3,222370
2023-09-26,3015.65,372568
2023-09-25,2987.71,408884
2023-09-22,3022.42,323540
2023-09-21,3010.94,585566
2023-09-20,3095.79,575906
2023-09-18,3106.8,897322
2023-09-15,3067.24,949607
2023-09-14,2997.99,311245
2023-09-13,2999.37,290774
2023-09-12,3043.2,429664
2023-09-11,3040.2,486566
2023-09-08,3004.56,569352
2023-09-07,2954.79,242002
2023-09-06,2934.82,275916
2023-09-05,2944.3,306742
2023-09-04,2940.58,643279
2023-09-01,2930.22,331811
2023-08-31,2924.54,920121
2023-08-30,2981.74,415898
2023-08-29,2974.98,590653
2023-08-28,2937.03,303029
2023-08-25,2913.37,429528
2023-08-24,2942.62,273751
2023-08-23,2950.0,325912
2023-08-22,2939.38,255764
2023-08-21,2930.72,328451
2023-08-18,2937.61,560922
2023-08-17,2984.28,565973
2023-08-16,2972.68,753515
2023-08-14,2987.33,526850
2023-08-11,3007.61,816082
2023-08-10,3038.06,476401
2023-08-09,3039.16,548711
2023-08-08,3059.66,2020469
2023-08-07,2947.53,444210
2023-08-04,2947.9,642027
2023-08-03,2969.06,1250490
2023-08-02,3019.76,2692656
2023-08-01,3114.11,3043469
2023-07-31,3206.72,933273
2023-07-28,3154.01,445865
2023-07-27,3125.09,524436
2023-07-26,3160.33,509747
2023-07-25,3157.35,748386
2023-07-24,3130.21,784541
2023-07-21,3090.74,749722
2023-07-20,3076.4,735511
2023-07-19,3098.9,486164
2023-07-18,3107.8,578275
2023-07-17,3096.14,909246
2023-07-14,3110.05,811153
2023-07-13,3100.15,665215
2023-07-12,3080.3,739038
2023-07-11,3103.64,663715
2023-07-10,3119.26,570281
2023-07-07,3147.16,931135
2023-07-06,3164.95,1676341
2023-07-05,3119.39,3069147
2023-07-04,2986.0,2177103
2023-07-03,2888.84,818522
2023-06-30,2894.8,962194
2023-06-28,2823.2,781032
2023-06-27,2844.07,415101
2023-06-26,2832.13,583691
2023-06-23,2803.62,381689
2023-06-22,2841.5,578572
2023-06-21,2818.95,407191
2023-06-20,2777.32,872568
2023-06-19,2793.31,671364
2023-06-16,2826.91,1029235
2023-06-15,2880.7,951322
2023-06-14,2936.28,304861
2023-06-13,2936.23,973087
2023-06-12,2916.44,617327
2023-06-09,2949.31,826404
2023-06-08,2989.22,1150017
2023-06-07,2951.71,996180
2023-06-06,2899.46,729992
2023-06-05,2887.77,620625
2023-06-02,2880.6,2090599
2023-06-01,2794.65,552629
2023-05-31,2761.72,773286
2023-05-30,2778.7,399817
2023-05-29,2766.7,462628
2023-05-26,2739.7,167210
2023-05-25,2734.04,208718
2023-05-24,2731.1,402069
2023-05-23,2699.69,224454
2023-05-22,2698.71,241924
2023-05-19,2706.25,458137
2023-05-18,2744.21,610410
2023-05-17,2726.66,1169727
2023-05-16,2699.43,602177
2023-05-15,2678.31,1383562
2023-05-12,2602.96,718178
2023-05-11,2585.86,506829
2023-05-10,2582.67,549062
2023-05-09,2595.42,556418
2023-05-08,2577.19,855245
2023-05-05,2537.35,1527593
2023-05-04,2515.16,684323
2023-05-03,2503.33,863935
2023-05-02,2497.04,997629
2023-04-28,2542.06,721370
2023-04-27,2513.79,685268
2023-04-26,2502.46,560280
2023-04-25,2513.13,538138
2023-04-24,2502.16,686216
2023-04-21,2465.88,699932
2023-04-20,2444.92,315314
2023-04-19,2440.9,247426
2023-04-18,2445.27,397381
2023-04-17,2451.64,656224
2023-04-13,2449.93,458472
2023-04-12,2475.08,464883
2023-04-11,2465.41,575155
2023-04-10,2450.24,261131
2023-04-06,2423.73,211340
2023-04-05,2430.02,289012
2023-04-03,2416.27,787785
2023-03-31,2338.49,302919
2023-03-29,2289.6,712847
2023-03-28,2263.17,456838
2023-03-27,2315.25,238881
2023-03-24,2330.64,272040
2023-03-23,2368.94,371585
2023-03-22,2355.59,166790
2023-03-21,2347.7,291142
2023-03-20,2326.35,352432
2023-03-17,2353.27,628419
2023-03-16,2383.9,577586
2023-03-15,2388.4,217071
2023-03-14,2388.84,302570
2023-03-13,2399.04,249618
2023-03-10,2431.85,224485
2023-03-09,2454.13,244591
2023-03-08,2464.72,286894
2023-03-06,2481.0,203422
2023-03-03,2467.85,197868
2023-03-02,2465.65,525446
2023-03-01,2426.75,293122
2023-02-28,2427.85,542868
2023-02-27,2444.94,293892
2023-02-24,2490.05,255112
2023-02-23,2495.0,294710
2023-02-22,2513.59,310260
2023-02-21,2525.59,203273
2023-02-20,2527.8,182493
2023-02-17,2519.36,705628
2023-02-16,2559.69,433077
2023-02-15,2548.92,643367
2023-02-14,2549.15,409279
2023-02-13,2571.07,327921
2023-02-10,2575.08,283858
2023-02-09,2568.35,1266011
2023-02-08,2611.43,793670
2023-02-07,2647.23,421543
2023-02-06,2688.29,252416
2023-02-03,2646.53,328028
2023-02-02,2663.66,453723
2023-02-01,2783.06,408279
2023-01-31,2731.73,579601
2023-01-30,2708.36,459196
