DATE,VWAP,VOLUME
2024-01-25,564.3,5366990
2024-01-24,562.12,8619429
2024-01-23,549.47,7867972
2024-01-20,562.23,1502352
2024-01-19,557.38,4451789
2024-01-18,554.48,3784905
2024-01-17,564.45,6148035
2024-01-16,578.83,5187155
2024-01-15,575.93,3778987
2024-01-12,581.88,2440863
2024-01-11,580.46,3899383
2024-01-10,575.8,2408792
2024-01-09,578.18,5314029
2024-01-08,580.93,4425767
2024-01-05,589.51,2990123
2024-01-04,590.9,6592370
2024-01-03,598.4,7226455
2024-01-02,614.57,4975013
2024-01-01,614.25,2961919
2023-12-29,612.61,3995822
2023-12-28,612.07,7139743
2023-12-27,598.29,12430827
2023-12-26,576.28,4649730
2023-12-22,567.36,7865384
2023-12-21,552.25,4591119
2023-12-20,561.16,6959868
2023-12-19,561.89,4484733
2023-12-18,562.28,5076184
2023-12-15,555.4,8191005
2023-12-14,541.44,7190654
2023-12-13,529.47,4000017
2023-12-12,531.6,9498031
2023-12-11,520.76,2597347
2023-12-08,520.4,3733998
2023-12-07,517.15,4628885
2023-12-06,520.77,4831956
2023-12-05,521.65,6399021
2023-12-04,521.45,5985489
2023-12-01,518.96,4933886
2023-11-30,515.42,7599701
2023-11-29,518.36,6275280
2023-11-28,515.73,7804926
2023-11-24,508.31,5973059
2023-11-23,497.32,6628259
2023-11-22,501.58,4337970
2023-11-21,507.84,7154476
2023-11-20,501.49,4305637
2023-11-17,500.55,3595049
2023-11-16,502.36,4171759
2023-11-15,507.0,11674265
2023-11-13,487.54,4918873
2023-11-12,483.01,302230
2023-11-10,483.57,3498064
2023-11-09,485.14,3271496
2023-11-08,484.78,8220612
2023-11-07,485.98,5425669
2023-11-06,481.16,4294682
2023-11-03,477.87,3274345
2023-11-02,470.58,3933951
2023-11-01,461.86,4931538
2023-10-31,458.8,5236060
2023-10-30,456.74,7523779
2023-10-27,457.06,6193726
2023-10-26,453.44,6625855
2023-10-25,465.99,7854105
2023-10-23,463.13,2994345
2023-10-20,473.72,2777724
2023-10-19,477.88,6035837
2023-10-18,489.83,7437952
2023-10-17,484.56,4495043
2023-10-16,481.64,5043158
2023-10-13,481.85,4652247
2023-10-12,487.52,6895255
2023-10-11,483.54,7006735
2023-10-10,474.96,7863825
2023-10-09,469.71,2681298
2023-10-06,472.31,3134022
2023-10-05,471.83,4801287
2023-10-04,473.76,3302259
2023-10-03,479.89,4657602
2023-09-29,486.75,11604605
2023-09-28,473.15,5869780
2023-09-27,472.99,5656858
2023-09-26,470.7,4666823
2023-09-25,471.9,5768069
2023-09-22,477.56,3684720
2023-09-21,482.02,5146457
2023-09-20,479.63,5861905
2023-09-18,487.97,6238600
2023-09-15,498.39,8515363
2023-09-14,501.09,16108768
2023-09-13,481.31,4162140
2023-09-12,479.95,6817270
2023-09-11,482.76,5960678
2023-09-08,473.92,5637990
2023-09-07,475.67,4055611
2023-09-06,477.5,5138246
2023-09-05,483.31,4941534
2023-09-04,488.02,10359653
2023-09-01,473.04,11151562
2023-08-31,460.85,9294166
2023-08-30,460.99,5510658
2023-08-29,454.91,6062408
2023-08-28,447.89,4259997
2023-08-25,451.31,3304204
2023-08-24,457.63,5950400
2023-08-23,461.83,9182054
2023-08-22,451.48,3254685
2023-08-21,446.68,3775298
2023-08-18,440.96,3990678
2023-08-17,444.7,3558210
2023-08-16,442.27,5066857
2023-08-14,450.8,4566085
2023-08-11,462.79,4422888
2023-08-10,467.63,4285159
2023-08-09,459.12,6171305
2023-08-08,457.87,6448476
2023-08-07,463.92,3770469
2023-08-04,459.86,7576934
2023-08-03,449.62,4026983
2023-08-02,455.45,5986653
2023-08-01,465.96,6249656
2023-07-31,459.78,4974267
2023-07-28,448.44,3886408
2023-07-27,454.58,5615100
2023-07-26,448.71,4218466
2023-07-25,443.97,8482756
2023-07-24,434.41,3399581
2023-07-21,437.49,4309067
2023-07-20,440.83,5156038
2023-07-19,440.42,5062700
2023-07-18,445.21,3963196
2023-07-17,449.57,8441112
2023-07-14,443.93,10801568
2023-07-13,436.06,11590791
2023-07-12,424.46,2854995
2023-07-11,426.34,3055356
2023-07-10,430.02,6502214
2023-07-07,421.35,6769909
2023-07-06,423.02,5021705
2023-07-05,422.33,4783528
2023-07-04,425.72,2721964
2023-07-03,425.58,3693861
2023-06-30,420.32,4115005
2023-06-28,420.07,4613401
2023-06-27,417.07,3047635
2023-06-26,411.8,4460980
2023-06-23,410.94,5403772
2023-06-22,421.47,3566261
2023-06-21,421.62,5689533
2023-06-20,429.48,5090801
2023-06-19,427.75,3950931
2023-06-16,428.54,7931068
2023-06-15,423.02,4863359
2023-06-14,426.62,7213168
2023-06-13,420.96,4247391
2023-06-12,417.51,2813911
2023-06-09,416.17,3518826
2023-06-08,421.9,5571023
2023-06-07,418.69,6911473
2023-06-06,416.69,4383684
2023-06-05,420.71,8039709
2023-06-02,417.07,11695310
2023-06-01,408.99,4269628
2023-05-31,406.53,22945527
2023-05-30,414.49,5596603
2023-05-29,421.53,8350721
2023-05-26,411.73,6401768
2023-05-25,402.02,8018242
2023-05-24,406.76,7866105
2023-05-23,411.06,3690618
2023-05-22,405.6,4237198
2023-05-19,404.35,5523299
2023-05-18,409.43,4078918
2023-05-17,408.53,3727878
2023-05-16,413.85,4010692
2023-05-15,409.34,5148782
2023-05-12,407.78,11152831
2023-05-11,422.11,11081500
2023-05-10,437.92,3075599
2023-05-09,442.66,2941913
2023-05-08,443.1,4090222
2023-05-05,438.78,3034975
2023-05-04,444.73,3100187
2023-05-03,439.27,4826725
2023-05-02,445.63,5178547
2023-04-28,434.05,4913550
2023-04-27,428.63,3271257
2023-04-26,424.2,5184973
2023-04-25,429.4,3648159
2023-04-24,424.66,2308450
2023-04-21,422.28,5139533
2023-04-20,432.78,3830118
2023-04-19,434.12,5982454
2023-04-18,430.9,4866068
2023-04-17,425.95,6920340
2023-04-13,419.64,6368113
2023-04-12,418.55,4701591
2023-04-11,415.57,4965642
2023-04-10,410.57,5327008
2023-04-06,403.7,4174551
2023-04-05,400.72,5607641
2023-04-03,402.06,5200766
2023-03-31,405.82,7468634
2023-03-29,394.16,6959623
2023-03-28,395.18,6424209
2023-03-27,392.8,7066058
2023-03-24,391.44,8833099
2023-03-23,397.07,10453779
