DATE,VWAP,VOLUME
2024-01-25,2444.75,2364765
2024-01-24,2419.24,1551469
2024-01-23,2403.1,4369332
2024-01-20,2485.54,2467648
2024-01-19,2554.87,1323064
2024-01-18,2549.61,1273095
2024-01-17,2551.45,3047652
2024-01-16,2575.05,1599406
2024-01-15,2556.75,1391204
2024-01-12,2533.1,2979841
2024-01-11,2556.72,2399600
2024-01-10,2574.77,881278
2024-01-09,2581.97,1017205
2024-01-08,2579.15,1189828
2024-01-05,2617.84,1150738
2024-01-04,2603.3,1376844
2024-01-03,2611.68,1008270
2024-01-02,2620.25,1310629
2024-01-01,2649.64,526353
2023-12-29,2654.72,1305681
2023-12-28,2625.73,1635216
2023-12-27,2597.27,1073278
2023-12-26,2580.02,893776
2023-12-22,2568.92,1174984
2023-12-21,2560.42,1945695
2023-12-20,2558.72,1468642
2023-12-19,2556.88,1656220
2023-12-18,2535.79,1969036
2023-12-15,2516.53,2543337
2023-12-14,2511.51,2166569
2023-12-13,2507.48,1513205
2023-12-12,2504.24,1677929
2023-12-11,2504.76,2012243
2023-12-08,2520.65,1605805
2023-12-07,2515.87,3925967
2023-12-06,2572.82,1573754
2023-12-05,2582.73,3108717
2023-12-04,2595.39,2188039
2023-12-01,2565.15,1345599
2023-11-30,2541.51,3095684
2023-11-29,2519.77,1265214
2023-11-28,2517.23,1880641
2023-11-24,2514.56,735137
2023-11-23,2517.43,1023670
2023-11-22,2514.77,816610
2023-11-21,2506.3,1088806
2023-11-20,2510.48,944231
2023-11-17,2517.28,1756043
2023-11-16,2491.8,1420578
2023-11-15,2484.06,1457029
2023-11-13,2479.44,760809
2023-11-12,2490.91,82500
2023-11-10,2479.51,771062
2023-11-09,2484.53,1823094
2023-11-08,2509.98,745022
2023-11-07,2493.19,1473411
2023-11-06,2501.17,1338677
2023-11-03,2503.93,1125583
2023-11-02,2477.34,1595123
2023-11-01,2474.22,1267131
2023-10-31,2482.18,920414
2023-10-30,2477.2,875135
2023-10-27,2478.02,1784812
2023-10-26,2473.12,2650560
2023-10-25,2477.69,1435836
2023-10-23,2492.58,922707
2023-10-20,2497.58,3608160
2023-10-19,2545.97,1272343
2023-10-18,2549.42,1084689
2023-10-17,2559.98,1253538
2023-10-16,2568.78,954899
2023-10-13,2564.81,1531977
2023-10-12,2554.46,1625010
2023-10-11,2551.64,1697398
2023-10-10,2514.67,1092373
2023-10-09,2509.18,1468771
2023-10-06,2505.41,1083342
2023-10-05,2514.29,1909928
2023-10-04,2493.95,1587335
2023-10-03,2487.19,1585626
2023-09-29,2463.67,1249567
2023-09-28,2469.39,1612346
2023-09-27,2493.33,1086791
2023-09-26,2470.42,1263548
2023-09-25,2476.49,1122778
2023-09-22,2478.3,1176741
2023-09-21,2455.6,2223720
2023-09-20,2466.47,1795159
2023-09-18,2476.84,1499641
2023-09-15,2472.04,3750697
2023-09-14,2500.44,2081195
2023-09-13,2502.52,1231305
2023-09-12,2501.0,3946716
2023-09-11,2530.73,1121083
2023-09-08,2512.94,1018234
2023-09-07,2506.02,1894798
2023-09-06,2518.36,1094146
2023-09-05,2511.35,844088
2023-09-04,2499.24,1143301
2023-09-01,2506.9,813413
2023-08-31,2509.02,3235414
2023-08-30,2531.41,1227377
2023-08-29,2534.8,958564
2023-08-28,2551.19,619841
2023-08-25,2567.18,802955
2023-08-24,2581.68,1143934
2023-08-23,2574.05,1136112
2023-08-22,2565.14,960025
2023-08-21,2561.77,977004
2023-08-18,2555.09,1970819
2023-08-17,2546.92,1532873
2023-08-16,2545.53,1155882
2023-08-14,2523.9,1060479
2023-08-11,2508.09,1472199
2023-08-10,2535.54,1313334
2023-08-09,2548.34,1212549
2023-08-08,2564.84,1002061
2023-08-07,2561.73,803823
2023-08-04,2545.4,1359318
2023-08-03,2546.35,1475310
2023-08-02,2559.89,2082908
2023-08-01,2555.03,1758897
2023-07-31,2562.03,2003252
2023-07-28,2579.98,966450
2023-07-27,2567.4,2276136
2023-07-26,2588.8,1300033
2023-07-25,2570.89,1653775
2023-07-24,2587.27,1777469
2023-07-21,2629.2,5198952
2023-07-20,2690.22,1430764
2023-07-19,2669.01,1166542
2023-07-18,2683.86,1215904
2023-07-17,2684.69,912701
2023-07-14,2674.0,1419016
2023-07-13,2668.72,1495067
2023-07-12,2666.33,2395826
2023-07-11,2691.65,2476367
2023-07-10,2670.21,1518183
2023-07-07,2736.35,1178930
2023-07-06,2752.27,1265020
2023-07-05,2739.61,1717547
2023-07-04,2694.55,721907
2023-07-03,2680.8,980665
2023-06-30,2670.31,1160181
2023-06-28,2665.9,1397573
2023-06-27,2648.01,687747
2023-06-26,2656.21,758700
2023-06-23,2639.71,991214
2023-06-22,2658.11,830052
2023-06-21,2685.49,1201840
2023-06-20,2667.41,1129279
2023-06-19,2689.35,1068263
2023-06-16,2707.57,1748145
2023-06-15,2694.57,1830192
2023-06-14,2680.19,1536248
2023-06-13,2679.44,1787924
2023-06-12,2645.66,775484
2023-06-09,2641.03,1413808
2023-06-08,2690.37,923536
2023-06-07,2713.95,1428490
2023-06-06,2685.0,655372
2023-06-05,2695.82,1000190
2023-06-02,2722.86,1509260
