DATE,VWAP,VOLUME
2024-01-25,312.7,331791
2024-01-24,309.97,420648
2024-01-23,311.3,613374
2024-01-20,315.71,409637
2024-01-19,317.79,1814063
2024-01-18,310.42,890971
2024-01-17,315.73,765447
2024-01-16,320.99,939904
2024-01-15,321.88,1709160
2024-01-12,317.17,310597
2024-01-11,317.5,319079
2024-01-10,314.52,417359
2024-01-09,314.95,371112
2024-01-08,315.81,451664
2024-01-05,317.98,524841
2024-01-04,318.78,447976
2024-01-03,319.3,787990
2024-01-02,316.1,566897
2024-01-01,318.76,579455
2023-12-29,317.73,1519854
2023-12-28,314.37,1639625
2023-12-27,312.02,306296
2023-12-26,311.66,311187
2023-12-22,309.89,480182
2023-12-21,305.81,472198
2023-12-20,310.31,681204
2023-12-19,312.46,541553
2023-12-18,315.12,401872
2023-12-15,315.78,778336
2023-12-14,319.44,846426
2023-12-13,324.93,879874
2023-12-12,325.46,453205
2023-12-11,324.73,565522
2023-12-08,322.92,676456
2023-12-07,324.2,861934
2023-12-06,327.45,2934514
2023-12-05,324.26,1829812
2023-12-04,315.93,2209533
2023-12-01,300.18,395237
2023-11-30,299.34,382853
2023-11-29,300.41,636251
2023-11-28,300.93,197865
2023-11-24,301.67,132414
2023-11-23,301.55,115557
2023-11-22,300.4,290073
2023-11-21,304.49,142123
2023-11-20,305.84,119971
2023-11-17,306.55,334149
2023-11-16,303.85,300970
2023-11-15,304.41,306698
2023-11-13,302.48,247756
2023-11-12,304.25,112621
2023-11-10,300.68,331948
2023-11-09,296.5,186227
2023-11-08,296.39,197817
2023-11-07,294.1,393766
2023-11-06,296.96,333777
2023-11-03,298.41,211812
2023-11-02,294.1,213238
2023-11-01,292.63,315882
2023-10-31,295.02,228054
2023-10-30,292.92,325580
2023-10-27,297.04,346211
2023-10-26,294.05,557107
2023-10-25,300.46,512926
2023-10-23,303.87,499171
2023-10-20,306.75,1532582
2023-10-19,313.42,205302
2023-10-18,314.35,2046808
2023-10-17,322.26,473925
2023-10-16,322.12,710371
2023-10-13,319.23,365388
2023-10-12,318.74,555523
2023-10-11,317.12,461120
2023-10-10,316.09,601029
2023-10-09,311.97,1103868
2023-10-06,304.12,326063
2023-10-05,305.23,292298
2023-10-04,306.67,369670
2023-10-03,306.6,703140
2023-09-29,310.0,2289398
2023-09-28,301.05,1140485
2023-09-27,310.79,199242
2023-09-26,313.55,276885
2023-09-25,311.53,350059
2023-09-22,313.29,195355
2023-09-21,313.55,233391
2023-09-20,316.1,239370
2023-09-18,319.05,299525
2023-09-15,321.67,538269
2023-09-14,320.01,555890
2023-09-13,314.29,297983
2023-09-12,316.61,388769
2023-09-11,320.24,391440
2023-09-08,321.56,295099
2023-09-07,320.81,263613
2023-09-06,321.99,291816
2023-09-05,323.28,535157
2023-09-04,323.44,667679
2023-09-01,320.61,281397
2023-08-31,318.85,219124
2023-08-30,319.55,567027
2023-08-29,315.49,219232
2023-08-28,315.69,475282
2023-08-25,315.9,344870
2023-08-24,315.4,305984
2023-08-23,314.87,322539
2023-08-22,315.39,190788
2023-08-21,313.82,243071
2023-08-18,313.44,246539
2023-08-17,314.68,231013
2023-08-16,314.81,207990
2023-08-14,316.2,234103
2023-08-11,316.81,279237
2023-08-10,319.94,225424
2023-08-09,319.61,235747
2023-08-08,318.7,427000
2023-08-07,317.83,411143
2023-08-04,319.11,362429
2023-08-03,318.09,485555
2023-08-02,322.21,580855
2023-08-01,322.1,406743
2023-07-31,320.99,632384
2023-07-28,319.27,497223
2023-07-27,318.52,816751
2023-07-26,319.34,562029
2023-07-25,315.59,572162
2023-07-24,314.79,763349
2023-07-21,318.67,950300
2023-07-20,322.77,208681
2023-07-19,322.39,607414
2023-07-18,320.83,442325
2023-07-17,324.17,720807
2023-07-14,327.33,563672
2023-07-13,331.24,1090510
2023-07-12,332.36,624584
2023-07-11,330.66,1207370
2023-07-10,327.77,2648867
2023-07-07,340.96,3390644
2023-07-06,329.27,6685794
2023-07-05,311.5,311186
2023-07-04,311.25,388875
2023-07-03,309.14,329058
2023-06-30,306.71,347574
2023-06-28,306.95,349310
2023-06-27,305.66,362332
2023-06-26,305.6,577649
2023-06-23,309.7,333504
2023-06-22,309.59,655279
2023-06-21,306.84,488122
2023-06-20,307.6,485539
2023-06-19,306.17,661796
2023-06-16,306.28,803574
2023-06-15,302.67,1066599
2023-06-14,302.82,790046
2023-06-13,302.16,984236
2023-06-12,299.54,697003
2023-06-09,301.63,854118
2023-06-08,304.57,712681
2023-06-07,305.98,710622
2023-06-06,307.58,255148
2023-06-05,307.71,421092
2023-06-02,306.37,273163
2023-06-01,305.52,283062
2023-05-31,305.74,343628
2023-05-30,306.41,370133
2023-05-29,306.73,453398
2023-05-26,305.81,442425
2023-05-25,305.22,363830
2023-05-24,307.34,480513
2023-05-23,308.15,533927
2023-05-22,309.09,330803
2023-05-19,309.18,330855
2023-05-18,310.76,303319
2023-05-17,311.89,314221
2023-05-16,310.94,242696
2023-05-15,310.31,308715
2023-05-12,310.46,339326
2023-05-11,314.09,146651
2023-05-10,313.72,214245
2023-05-09,314.8,408045
2023-05-08,313.35,268684
2023-05-05,311.4,348800
2023-05-04,313.77,404326
2023-05-03,313.77,466517
2023-05-02,315.68,407894
2023-04-28,313.89,554348
2023-04-27,310.48,329620
2023-04-26,313.52,401604
2023-04-25,317.74,302289
2023-04-24,316.98,892063
2023-04-21,324.27,1221091
2023-04-20,327.32,794274
2023-04-19,324.56,789880
2023-04-18,322.87,1129990
2023-04-17,319.59,767761
2023-04-13,319.0,1314001
2023-04-12,312.92,507479
2023-04-11,312.38,741347
2023-04-10,312.79,839201
2023-04-06,310.14,1107348
2023-04-05,303.6,2122227
2023-04-03,296.73,792375
2023-03-31,295.42,1891210
2023-03-29,299.26,2729086
2023-03-28,327.62,1943385
2023-03-27,327.28,2633761
2023-03-24,322.22,2726902
2023-03-23,320.44,4468037
2023-03-22,319.73,10748992
2023-03-21,310.97,1566260
2023-03-20,311.97,1409324
2023-03-17,311.63,6324640
2023-03-16,302.18,1996713
2023-03-15,300.32,2796338
2023-03-14,296.52,1644635
2023-03-13,303.52,3529283
2023-03-10,306.65,687462
2023-03-09,311.44,238206
2023-03-08,312.6,829264
2023-03-06,312.57,492230
2023-03-03,311.87,344245
2023-03-02,313.29,244043
2023-03-01,311.74,743898
2023-02-28,301.15,636946
2023-02-27,311.27,395864
2023-02-24,318.35,219964
2023-02-23,317.54,243213
2023-02-22,318.54,366016
2023-02-21,322.0,92681
2023-02-20,322.39,157990
2023-02-17,324.01,135607
2023-02-16,326.07,267210
2023-02-15,324.15,268049
2023-02-14,326.53,180115
2023-02-13,327.37,276106
2023-02-10,328.82,205428
2023-02-09,329.44,559495
2023-02-08,332.26,346573
2023-02-07,333.24,573595
2023-02-06,339.13,556891
2023-02-03,345.73,695416
2023-02-02,342.59,1353291
2023-02-01,335.86,949631
2023-01-31,333.41,590476
2023-01-30,331.53,1021008
