DATE,VWAP,VOLUME
2024-01-25,1002.34,28315035
2024-01-24,1006.0,34578943
2024-01-23,1035.82,50797448
2024-01-20,1005.17,8788873
2024-01-19,1002.64,23271148
2024-01-18,984.56,17902484
2024-01-17,989.71,41914771
2024-01-16,1010.56,11505126
2024-01-15,1007.04,12388044
2024-01-12,1002.83,12255743
2024-01-11,991.28,6451345
2024-01-10,989.28,9409181
2024-01-09,984.62,14660414
2024-01-08,989.45,8393164
2024-01-05,990.9,14875499
2024-01-04,985.6,22789140
2024-01-03,982.04,16826752
2024-01-02,986.5,16263825
2024-01-01,999.54,7683792
2023-12-29,997.94,12280140
2023-12-28,1004.75,24915990
2023-12-27,999.11,12996468
2023-12-26,993.91,14339699
2023-12-22,999.72,20881976
2023-12-21,998.76,18064916
2023-12-20,1010.88,16490281
2023-12-19,1017.14,10094256
2023-12-18,1022.18,8592711
2023-12-15,1034.57,14306067
2023-12-14,1033.94,16317672
2023-12-13,1013.53,15887040
2023-12-12,1014.31,12380856
2023-12-11,1015.52,11714606
2023-12-08,1004.16,16116363
2023-12-07,997.02,11841945
2023-12-06,1004.35,18786590
2023-12-05,1008.77,31378461
2023-12-04,977.0,33131257
2023-12-01,945.05,16986046
2023-11-30,934.14,23950292
2023-11-29,932.37,11680078
2023-11-28,925.0,14231987
2023-11-24,925.03,7452002
2023-11-23,921.82,5534614
2023-11-22,920.02,12197979
2023-11-21,924.98,8989572
2023-11-20,922.71,10562301
2023-11-17,927.68,10956653
2023-11-16,939.28,19706373
2023-11-15,941.23,19492138
2023-11-13,934.34,11470096
2023-11-12,941.88,1561479
2023-11-10,937.49,9560455
2023-11-09,938.01,9406117
2023-11-08,936.99,17606074
2023-11-07,938.19,15704942
2023-11-06,942.4,10338367
2023-11-03,931.58,7146961
2023-11-02,918.74,9747311
2023-11-01,913.35,12927203
2023-10-31,920.82,17211107
2023-10-30,919.45,7687791
2023-10-27,913.92,8645505
2023-10-26,905.65,21693345
2023-10-25,921.17,12593434
2023-10-23,938.81,11856890
2023-10-20,934.41,6586576
2023-10-19,938.38,8612676
2023-10-18,944.12,12000153
2023-10-17,955.05,7747527
2023-10-16,951.09,5763024
2023-10-13,949.15,6650442
2023-10-12,955.21,7836818
2023-10-11,954.48,12233117
2023-10-10,950.77,11452715
2023-10-09,939.59,6725306
2023-10-06,942.83,6355755
2023-10-05,939.94,10478856
2023-10-04,928.86,17334739
2023-10-03,942.49,11131636
2023-09-29,952.41,10447334
2023-09-28,940.64,25991282
2023-09-27,940.81,15152973
2023-09-26,951.89,10521409
2023-09-25,951.5,8997098
2023-09-22,955.04,12701888
2023-09-21,965.36,19742813
2023-09-20,986.34,25741856
2023-09-18,992.03,16713222
2023-09-15,992.53,13307980
2023-09-14,987.17,11464188
2023-09-13,988.38,21997553
2023-09-12,988.45,20959591
2023-09-11,974.06,7894110
2023-09-08,968.42,13086915
2023-09-07,961.62,13462347
2023-09-06,957.94,30802100
2023-09-05,965.27,16623486
2023-09-04,964.6,9512956
2023-09-01,961.63,16268147
2023-08-31,959.09,36675400
