DATE,VWAP,VOLUME
2024-01-25,486.49,1646588
2024-01-24,485.45,3536528
2024-01-23,483.06,3281838
2024-01-20,490.48,661315
2024-01-19,494.79,2754392
2024-01-18,477.03,17222774
2024-01-17,517.55,2308422
2024-01-16,520.52,1391247
2024-01-15,525.11,2040505
2024-01-12,536.03,2692417
2024-01-11,543.14,880686
2024-01-10,545.47,2156707
2024-01-09,539.4,5096681
2024-01-08,544.25,1579306
2024-01-05,540.43,3895158
2024-01-04,538.78,1718311
2024-01-03,536.32,1334907
2024-01-02,532.21,1359923
2024-01-01,532.56,1578322
2023-12-29,533.17,1139518
2023-12-28,528.05,2543683
2023-12-27,526.28,1839214
2023-12-26,522.22,2194932
2023-12-22,519.66,1417103
2023-12-21,514.48,1730872
2023-12-20,518.6,2429942
2023-12-19,520.88,1335907
2023-12-18,521.03,1442950
2023-12-15,520.5,3650011
2023-12-14,535.68,1826903
2023-12-13,545.14,1337683
2023-12-12,546.87,2684806
2023-12-11,540.52,1590711
2023-12-08,544.26,711798
2023-12-07,549.42,1019925
2023-12-06,550.71,1968199
2023-12-05,546.64,4654510
2023-12-04,561.19,814733
2023-12-01,559.11,1209880
2023-11-30,562.68,3217338
2023-11-29,550.66,8604983
2023-11-28,553.22,962469
2023-11-24,558.6,1548879
2023-11-23,557.61,522266
2023-11-22,556.34,2492912
2023-11-21,555.43,2545683
2023-11-20,552.31,1875745
2023-11-17,565.16,4385917
2023-11-16,548.73,1427904
2023-11-15,541.33,1701447
2023-11-13,525.81,442853
2023-11-12,531.87,61373
2023-11-10,529.0,500837
2023-11-09,529.12,670063
2023-11-08,531.32,774593
2023-11-07,528.32,1959750
2023-11-06,523.07,827603
2023-11-03,523.47,1466452
2023-11-02,521.74,657953
2023-11-01,518.87,686047
2023-10-31,525.2,1375208
2023-10-30,518.64,765664
2023-10-27,518.68,491684
2023-10-26,510.97,1031823
2023-10-25,520.46,950918
2023-10-23,525.51,1328934
2023-10-20,525.16,890622
2023-10-19,521.25,2867227
2023-10-18,518.12,4168928
2023-10-17,533.09,1459792
2023-10-16,529.59,1904754
2023-10-13,523.41,839584
2023-10-12,523.97,4223708
2023-10-11,528.27,3972020
2023-10-10,536.48,2910397
2023-10-09,548.81,1180000
2023-10-06,556.58,1059398
2023-10-05,553.51,530790
2023-10-04,555.83,1391947
2023-10-03,560.43,1100907
2023-09-29,565.27,1286955
2023-09-28,574.06,4110901
2023-09-27,577.76,953762
2023-09-26,580.01,1294159
2023-09-25,575.55,1406289
2023-09-22,574.65,1299679
2023-09-21,571.64,1520707
2023-09-20,591.47,962698
2023-09-18,600.62,4325246
2023-09-15,587.9,4150275
2023-09-14,568.59,637421
2023-09-13,559.89,1404605
2023-09-12,559.19,2740114
2023-09-11,573.97,2168706
2023-09-08,560.64,2744094
2023-09-07,539.2,2932945
2023-09-06,537.21,814384
2023-09-05,541.64,2129860
2023-09-04,555.7,895572
2023-09-01,564.2,1107985
2023-08-31,563.53,3649073
2023-08-30,558.57,1156303
2023-08-29,553.01,2104744
2023-08-28,551.78,1544351
2023-08-25,544.43,1063787
2023-08-24,550.07,791591
2023-08-23,550.66,994722
2023-08-22,551.85,2864552
2023-08-21,538.3,420708
2023-08-18,538.98,654768
