DATE,VWAP,VOLUME
2024-01-25,83.84,35505941
2024-01-24,82.92,123793708
2024-01-23,79.7,75684160
2024-01-20,75.78,133610874
2024-01-19,69.77,9495247
2024-01-18,68.67,11264394
2024-01-17,69.17,13243333
2024-01-16,70.92,34357070
2024-01-15,69.17,10222466
2024-01-12,68.7,14316792
2024-01-11,67.22,6926864
2024-01-10,66.82,4492436
2024-01-09,67.61,4338871
2024-01-08,67.69,7305146
2024-01-05,68.97,9699095
2024-01-04,69.56,18411053
2024-01-03,67.97,7686164
2024-01-02,67.34,6776439
2024-01-01,67.99,7511625
2023-12-29,67.43,10605913
2023-12-28,66.27,6213076
2023-12-27,66.14,6646699
2023-12-26,65.92,5718317
2023-12-22,66.24,6959675
2023-12-21,65.28,10456581
2023-12-20,67.34,18243199
2023-12-19,69.79,13867981
2023-12-18,70.03,45343258
2023-12-15,67.03,13205338
2023-12-14,66.38,5020762
2023-12-13,66.14,5900640
2023-12-12,67.2,9572413
2023-12-11,66.9,6665811
2023-12-08,66.52,10932869
2023-12-07,66.47,26208294
2023-12-06,64.14,6534990
2023-12-05,64.02,8951571
2023-12-04,63.45,9529091
2023-12-01,62.77,5393551
2023-11-30,62.78,6742871
2023-11-29,62.13,4108150
2023-11-28,61.51,5928745
2023-11-24,60.84,3387344
2023-11-23,60.96,7909734
2023-11-22,60.22,15926264
2023-11-21,62.18,3940462
2023-11-20,62.41,7053993
2023-11-17,63.16,14856247
2023-11-16,65.95,4810003
2023-11-15,66.11,5558917
2023-11-13,64.79,12671945
2023-11-12,63.81,1443721
2023-11-10,62.96,3815431
2023-11-09,63.23,4326775
2023-11-08,63.93,9800517
2023-11-07,62.38,8268344
2023-11-06,62.39,4851810
2023-11-03,62.54,6054715
2023-11-02,62.08,11145612
2023-11-01,60.97,9827738
2023-10-31,62.09,6809509
2023-10-30,61.87,10045182
2023-10-27,63.35,11470144
2023-10-26,62.28,9607459
2023-10-25,63.27,13219474
2023-10-23,65.46,19262716
2023-10-20,68.09,10865258
2023-10-19,68.74,12553577
2023-10-18,70.14,15661157
2023-10-17,70.4,5529115
2023-10-16,70.13,9415855
2023-10-13,71.35,17917891
2023-10-12,70.3,15368932
2023-10-11,69.35,11168510
2023-10-10,67.78,6153103
2023-10-09,67.24,15282624
2023-10-06,69.23,7656997
2023-10-05,69.2,8639813
2023-10-04,70.25,10226698
2023-10-03,70.71,10579758
2023-09-29,70.81,6540476
2023-09-28,71.49,16789946
2023-09-27,70.48,11394213
2023-09-26,70.34,8035226
2023-09-25,70.84,8507418
2023-09-22,71.37,20402508
2023-09-21,71.13,24771731
2023-09-20,71.65,15683559
2023-09-18,72.64,49205307
2023-09-15,70.43,22164101
2023-09-14,68.82,12192416
2023-09-13,66.82,16020642
2023-09-12,67.02,20916769
2023-09-11,70.47,13833740
2023-09-08,71.61,29593427
2023-09-07,69.9,12112180
2023-09-06,70.81,33068871
2023-09-05,69.12,83130936
2023-09-04,64.36,54876545
2023-09-01,59.86,5990344
2023-08-31,59.92,4499463
2023-08-30,60.03,5784788
2023-08-29,59.77,7442789
2023-08-28,60.8,3821260
2023-08-25,60.77,6682994
2023-08-24,62.22,7114508
2023-08-23,62.35,7686915
2023-08-22,61.68,8717301
2023-08-21,60.7,6635687
2023-08-18,61.22,7462550
2023-08-17,61.84,10799762
2023-08-16,62.46,8459071
2023-08-14,63.51,10166901
2023-08-11,64.69,14699728
2023-08-10,63.83,8889206
2023-08-09,63.38,11344816
2023-08-08,64.93,8632667
2023-08-07,65.55,23010490
2023-08-04,64.42,23789282
2023-08-03,63.37,50211481
2023-08-02,61.35,26768675
2023-08-01,61.6,77820244
2023-07-31,58.07,4680623
2023-07-28,57.88,4260402
2023-07-27,58.37,9547882
2023-07-26,57.26,5642119
2023-07-25,57.3,8926177
2023-07-24,58.26,16707700
2023-07-21,57.43,6661589
2023-07-20,58.04,8105097
2023-07-19,57.45,4926208
2023-07-18,57.67,5353271
2023-07-17,57.87,6026863
2023-07-14,57.38,5975873
2023-07-13,57.95,9447798
2023-07-12,59.21,11615042
2023-07-11,59.01,10846932
2023-07-10,59.31,28545084
2023-07-07,57.41,11451771
2023-07-06,58.39,11789981
2023-07-05,58.4,26837690
2023-07-04,56.82,11469029
2023-07-03,56.71,18961041
2023-06-30,55.39,17440813
2023-06-28,53.69,2351018
2023-06-27,53.63,2704718
2023-06-26,53.59,3762966
2023-06-23,53.9,5497197
2023-06-22,54.9,6545166
2023-06-21,55.13,7441762
2023-06-20,54.42,3195333
2023-06-19,54.4,5070434
2023-06-16,53.74,3362401
2023-06-15,53.71,3247510
2023-06-14,54.11,2409286
2023-06-13,54.17,3062272
2023-06-12,53.63,4116903
2023-06-09,53.85,6588198
2023-06-08,55.11,6289913
2023-06-07,55.92,6561880
2023-06-06,55.51,3978916
2023-06-05,56.2,9520771
2023-06-02,55.67,5562945
2023-06-01,55.61,6556441
2023-05-31,55.08,4177539
2023-05-30,55.12,2917256
2023-05-29,55.25,7069032
2023-05-26,55.04,4676507
2023-05-25,55.31,5888808
2023-05-24,54.86,4605280
2023-05-23,54.99,3643572
2023-05-22,55.02,4635277
2023-05-19,55.1,9813865
2023-05-18,56.97,19647901
2023-05-17,55.71,30941326
2023-05-16,53.92,5183388
2023-05-15,53.19,2687532
2023-05-12,53.16,2613588
2023-05-11,53.76,3753478
2023-05-10,53.78,3958999
2023-05-09,54.71,15070600
2023-05-08,53.09,4973191
2023-05-05,53.42,5407613
2023-05-04,53.88,4590061
2023-05-03,53.99,7290288
2023-05-02,55.52,11248042
2023-04-28,54.83,9847582
2023-04-27,54.18,10194226
2023-04-26,53.34,7554198
2023-04-25,53.11,7211250
2023-04-24,51.89,4892368
2023-04-21,51.79,4743021
2023-04-20,52.7,5159818
2023-04-19,52.75,10554875
2023-04-18,52.85,14607375
2023-04-17,51.84,14431294
2023-04-13,50.26,29257775
2023-04-12,47.27,2377182
2023-04-11,47.28,2884119
2023-04-10,46.58,2625859
2023-04-06,46.51,2720385
2023-04-05,46.21,2088483
2023-04-03,46.07,4589203
2023-03-31,45.49,4375447
2023-03-29,44.28,9050344
2023-03-28,43.93,7368866
2023-03-27,45.3,6925592
2023-03-24,46.77,6068556
2023-03-23,47.34,6880045
2023-03-22,47.13,6137340
2023-03-21,46.97,14120114
2023-03-20,45.53,10476032
2023-03-17,46.27,20748757
2023-03-16,44.48,5090037
2023-03-15,45.7,3329575
2023-03-14,45.74,6343674
2023-03-13,47.11,5200712
2023-03-10,47.8,4682132
2023-03-09,48.84,3821605
2023-03-08,48.93,3870678
2023-03-06,49.68,7144566
2023-03-03,49.79,8463560
2023-03-02,49.06,5072179
2023-03-01,49.03,4251591
2023-02-28,48.33,9285413
2023-02-27,48.15,7226460
2023-02-24,49.02,3356256
2023-02-23,48.36,5499761
2023-02-22,48.95,5783551
2023-02-21,50.26,6753081
2023-02-20,49.66,9059906
2023-02-17,48.53,2321347
2023-02-16,48.94,3642411
2023-02-15,48.56,3465502
2023-02-14,48.4,4679528
2023-02-13,48.93,5714175
2023-02-10,50.05,6952245
2023-02-09,50.04,4437947
2023-02-08,50.68,4020672
2023-02-07,50.64,5535991
2023-02-06,50.65,6758593
2023-02-03,49.47,8199365
2023-02-02,50.54,7032992
2023-02-01,51.98,16080995
2023-01-31,51.35,7744046
2023-01-30,50.79,9034823
