DATE,VWAP,VOLUME
2024-01-25,14.63,382501739
2024-01-24,14.71,432651784
2024-01-23,14.72,289983221
2024-01-20,15.05,166855611
2024-01-19,15.18,230080440
2024-01-18,15.02,282295356
2024-01-17,15.33,383695346
2024-01-16,15.9,392898345
2024-01-15,16.18,213367109
2024-01-12,15.96,122397017
2024-01-11,16.11,121469596
2024-01-10,16.15,202636184
2024-01-09,16.48,387150359
2024-01-08,17.33,289503212
2024-01-05,17.19,686777577
2024-01-04,16.37,535038360
2024-01-03,16.0,598726485
2024-01-02,16.68,1095516024
2024-01-01,17.35,1784392277
2023-12-29,15.15,1688819452
2023-12-28,13.33,169009935
2023-12-27,13.37,139443887
2023-12-26,13.44,328954630
2023-12-22,13.73,223855223
2023-12-21,13.39,292707751
2023-12-20,13.77,491683002
2023-12-19,14.2,278863922
2023-12-18,14.18,370995029
2023-12-15,13.95,354922019
2023-12-14,13.79,414076096
2023-12-13,13.35,369309542
2023-12-12,13.14,208970536
2023-12-11,13.13,298883455
2023-12-08,12.96,237806590
2023-12-07,13.21,239610072
2023-12-06,12.93,143223567
2023-12-05,13.07,258146151
2023-12-04,13.26,219950343
2023-12-01,13.39,181542248
2023-11-30,13.08,617533424
2023-11-29,13.28,127233494
2023-11-28,13.35,138360228
2023-11-24,13.49,128887582
2023-11-23,13.63,168569500
2023-11-22,13.52,207998055
2023-11-21,13.96,210863398
2023-11-20,14.47,359762952
2023-11-17,14.57,255833442
2023-11-16,14.46,312952258
2023-11-15,14.03,163370284
2023-11-13,13.9,104362588
2023-11-12,13.87,40670160
2023-11-10,14.02,249891022
2023-11-09,13.93,212163600
2023-11-08,13.79,148084393
2023-11-07,13.76,254228187
2023-11-06,13.67,170833667
2023-11-03,13.9,619244987
2023-11-02,13.36,643741830
2023-11-01,12.89,972052999
2023-10-31,11.97,321029390
2023-10-30,11.53,361623422
2023-10-27,10.86,207190392
2023-10-26,10.7,163742432
2023-10-25,10.96,259001685
2023-10-23,11.31,229385426
2023-10-20,11.85,150616671
2023-10-19,11.9,241997615
2023-10-18,11.74,149897595
2023-10-17,12.01,241635361
2023-10-16,11.96,196345841
2023-10-13,12.12,364679969
2023-10-12,11.87,235677761
2023-10-11,11.69,379122405
2023-10-10,11.08,92969641
2023-10-09,10.96,388193444
2023-10-06,10.96,122177842
2023-10-05,11.27,164929055
2023-10-04,11.59,197695801
2023-10-03,11.79,271979331
2023-09-29,11.84,184144576
2023-09-28,11.69,287054708
2023-09-27,12.12,354689878
2023-09-26,11.81,507001428
2023-09-25,11.28,162564918
2023-09-22,11.23,298308392
2023-09-21,10.88,177823721
2023-09-20,11.13,164487454
2023-09-18,11.41,449336113
2023-09-15,11.58,525814217
2023-09-14,10.93,111299731
2023-09-13,10.74,262788174
2023-09-12,10.71,475634589
2023-09-11,11.16,630535186
2023-09-08,10.74,338142088
2023-09-07,10.6,277644136
2023-09-06,10.23,365620360
2023-09-05,9.94,135212639
2023-09-04,10.02,286251897
2023-09-01,9.88,723352196
2023-08-31,9.11,160750655
2023-08-30,9.12,190028023
2023-08-29,9.11,359055328
2023-08-28,8.92,476663058
2023-08-25,8.41,441374591
2023-08-24,7.9,61522894
2023-08-23,7.83,63294971
2023-08-22,7.74,211201955
2023-08-21,7.59,50792310
2023-08-18,7.62,59588288
2023-08-17,7.83,139610388
2023-08-16,7.86,81663655
2023-08-14,7.96,84213332
2023-08-11,8.12,53205798
2023-08-10,8.18,115379984
2023-08-09,8.21,60774896
2023-08-08,8.39,214190887
2023-08-07,8.44,136867134
2023-08-04,8.22,153831069
2023-08-03,7.9,78116800
2023-08-02,8.06,122998245
2023-08-01,8.32,53341718
2023-07-31,8.41,167830357
2023-07-28,8.34,105874945
2023-07-27,8.64,349303652
2023-07-26,8.47,432809258
2023-07-25,7.94,83289856
2023-07-24,8.03,201076327
2023-07-21,7.78,182052309
2023-07-20,7.64,78672776
2023-07-19,7.73,214414336
2023-07-18,7.73,226580793
2023-07-17,7.61,164308131
2023-07-14,7.29,25205602
2023-07-13,7.29,54894524
2023-07-12,7.36,36718376
2023-07-11,7.39,26691845
2023-07-10,7.37,57873891
2023-07-07,7.46,44264999
2023-07-06,7.48,59174436
2023-07-05,7.42,52251221
2023-07-04,7.49,114988757
2023-07-03,7.55,113730513
2023-06-30,7.43,67694572
2023-06-28,7.54,162932638
2023-06-27,7.6,146099646
2023-06-26,7.54,121102250
2023-06-23,7.47,121876136
2023-06-22,7.57,178616430
2023-06-21,7.62,204460640
2023-06-20,7.45,76398916
2023-06-19,7.69,60944546
2023-06-16,7.86,70611505
2023-06-15,7.89,110857729
2023-06-14,8.07,344314076
2023-06-13,7.69,168436075
2023-06-12,7.44,94726837
2023-06-09,7.36,99974916
2023-06-08,7.53,135736706
2023-06-07,7.49,218120279
2023-06-06,7.09,35549017
2023-06-05,7.14,34807393
2023-06-02,7.16,30962188
2023-06-01,7.2,39538257
2023-05-31,7.09,101093940
2023-05-30,7.12,45601346
2023-05-29,7.17,86663626
2023-05-26,7.08,78262217
2023-05-25,7.08,149531180
2023-05-24,6.99,77537344
2023-05-23,6.99,33836036
2023-05-22,7.01,35838782
2023-05-19,6.99,49912293
