DATE,VWAP,VOLUME
2024-01-25,2873.16,1096039
2024-01-24,2920.48,1244427
2024-01-23,2955.23,1061598
2024-01-20,3042.38,73015
2024-01-19,3052.58,586989
2024-01-18,3040.46,925829
2024-01-17,3062.58,771661
2024-01-16,3074.83,568486
2024-01-15,3103.96,638566
2024-01-12,3063.42,583998
2024-01-11,3047.06,891708
2024-01-10,3045.44,839629
2024-01-09,3017.01,831003
2024-01-08,2960.85,451446
2024-01-05,2976.86,715186
2024-01-04,2989.01,416938
2024-01-03,2971.71,655799
2024-01-02,2935.49,439889
2024-01-01,2999.21,615820
2023-12-29,2951.97,501880
2023-12-28,2922.88,1094620
2023-12-27,2932.14,516482
2023-12-26,2911.37,707097
2023-12-22,2885.65,534098
2023-12-21,2855.59,575343
2023-12-20,2927.06,1057629
2023-12-19,2976.05,555103
2023-12-18,2957.36,540022
2023-12-15,2927.57,1958780
2023-12-14,2977.64,679553
2023-12-13,2980.33,1415518
2023-12-12,2928.79,651347
2023-12-11,2925.14,779909
2023-12-08,2907.72,818640
2023-12-07,2902.28,1133420
2023-12-06,2861.89,574140
2023-12-05,2817.98,465521
2023-12-04,2821.62,664340
2023-12-01,2732.72,734476
2023-11-30,2697.87,775685
2023-11-29,2680.82,750576
2023-11-28,2622.38,429852
2023-11-24,2584.32,423377
2023-11-23,2604.7,634974
2023-11-22,2615.77,476632
2023-11-21,2617.9,359401
2023-11-20,2632.31,418954
2023-11-17,2626.63,1263161
2023-11-16,2562.15,589877
2023-11-15,2554.38,778846
2023-11-13,2527.95,281628
2023-11-12,2522.97,63468
2023-11-10,2513.14,1354595
2023-11-09,2591.16,380551
2023-11-08,2571.15,901525
2023-11-07,2577.43,320134
2023-11-06,2553.72,1169751
2023-11-03,2500.91,644154
2023-11-02,2467.92,567144
2023-11-01,2432.07,342997
2023-10-31,2473.61,359950
2023-10-30,2478.18,631220
2023-10-27,2452.68,371457
2023-10-26,2408.88,755290
2023-10-25,2444.82,916854
2023-10-23,2420.09,885829
2023-10-20,2456.71,1385743
2023-10-19,2525.43,965483
2023-10-18,2581.21,648088
2023-10-17,2597.65,359291
2023-10-16,2593.06,390919
2023-10-13,2607.33,1302788
2023-10-12,2585.51,1127349
2023-10-11,2532.0,714427
2023-10-10,2498.22,395079
2023-10-09,2470.69,782723
2023-10-06,2530.71,1931108
2023-10-05,2451.69,1263799
2023-10-04,2397.44,542952
2023-10-03,2411.3,633840
2023-09-29,2378.74,755086
2023-09-28,2358.71,740050
2023-09-27,2393.62,849017
2023-09-26,2392.37,660787
2023-09-25,2373.1,363097
2023-09-22,2377.32,702509
2023-09-21,2390.35,714106
2023-09-20,2398.23,1613294
2023-09-18,2400.99,590695
2023-09-15,2401.91,2527706
2023-09-14,2463.46,1249199
2023-09-13,2459.0,1188056
2023-09-12,2493.42,968871
2023-09-11,2498.57,675723
2023-09-08,2489.26,797367
2023-09-07,2453.34,368692
2023-09-06,2457.21,822724
2023-09-05,2461.22,578274
2023-09-04,2452.55,541048
2023-09-01,2430.71,562991
2023-08-31,2436.49,886676
2023-08-30,2442.07,1387562
2023-08-29,2495.41,615712
2023-08-28,2479.13,257414
2023-08-25,2477.25,716506
2023-08-24,2488.76,649167
2023-08-23,2495.38,1045094
2023-08-22,2456.92,950180
2023-08-21,2448.8,595109
2023-08-18,2439.17,2310869
2023-08-17,2465.03,1259895
2023-08-16,2451.4,12656820
2023-08-14,2529.15,474072
2023-08-11,2530.94,453278
2023-08-10,2561.73,527423
2023-08-09,2576.17,537738
2023-08-08,2543.03,750887
2023-08-07,2508.89,592210
2023-08-04,2486.77,1068401
2023-08-03,2475.55,3539409
2023-08-02,2562.34,791943
2023-08-01,2559.01,1292753
2023-07-31,2611.87,563930
2023-07-28,2594.42,1243697
2023-07-27,2533.65,1224458
2023-07-26,2550.87,1047212
2023-07-25,2595.76,1044638
2023-07-24,2669.89,235716
2023-07-21,2692.99,305614
2023-07-20,2710.45,478630
2023-07-19,2689.24,619288
2023-07-18,2662.05,345789
2023-07-17,2668.88,264029
2023-07-14,2645.35,512467
2023-07-13,2718.86,457858
2023-07-12,2719.39,725554
2023-07-11,2702.75,525593
2023-07-10,2667.67,610910
2023-07-07,2650.07,481899
2023-07-06,2683.93,482391
2023-07-05,2638.99,628970
2023-07-04,2608.9,602465
2023-07-03,2641.79,542790
2023-06-30,2638.85,1098881
2023-06-28,2591.81,1917308
2023-06-27,2531.27,1985055
2023-06-26,2463.58,536769
2023-06-23,2486.53,748652
2023-06-22,2471.5,472856
2023-06-21,2459.25,716072
2023-06-20,2454.26,1276432
2023-06-19,2436.08,359751
2023-06-16,2429.52,707941
2023-06-15,2402.38,1126186
2023-06-14,2358.39,737180
2023-06-13,2355.95,2035531
2023-06-12,2413.11,1070310
2023-06-09,2467.96,512036
2023-06-08,2452.92,627078
2023-06-07,2424.62,256312
2023-06-06,2401.37,286207
2023-06-05,2402.06,880388
2023-06-02,2372.07,685037
2023-06-01,2351.83,431516
2023-05-31,2370.68,3931180
2023-05-30,2378.02,1581691
2023-05-29,2334.65,644870
2023-05-26,2311.78,625438
2023-05-25,2293.5,1391561
2023-05-24,2287.53,1205803
2023-05-23,2278.89,635920
2023-05-22,2285.8,528624
2023-05-19,2264.7,1606656
2023-05-18,2290.61,827802
2023-05-17,2289.07,516811
2023-05-16,2277.54,477303
2023-05-15,2244.82,290376
2023-05-12,2253.95,718138
2023-05-11,2239.75,458136
2023-05-10,2222.2,430542
2023-05-09,2211.59,393517
2023-05-08,2191.2,752671
2023-05-05,2161.97,304849
2023-05-04,2152.33,581130
2023-05-03,2185.11,4126517
2023-05-02,2045.09,850179
2023-04-28,2022.7,579273
2023-04-27,2022.04,317706
2023-04-26,2007.88,473999
2023-04-25,1991.18,153686
2023-04-24,1991.1,169783
2023-04-21,1982.39,201671
2023-04-20,1985.7,391997
2023-04-19,1969.16,554013
2023-04-18,1957.19,566126
2023-04-17,1926.76,700514
2023-04-13,1883.82,223972
2023-04-12,1875.06,294063
2023-04-11,1891.84,320625
2023-04-10,1905.78,178590
2023-04-06,1914.93,419500
2023-04-05,1921.78,439816
2023-04-03,1886.97,346577
2023-03-31,1902.17,1498501
2023-03-29,1824.4,633537
2023-03-28,1823.78,746374
2023-03-27,1849.61,382151
2023-03-24,1892.27,338567
2023-03-23,1904.65,738568
2023-03-22,1888.1,269461
2023-03-21,1883.08,408947
2023-03-20,1847.97,489457
2023-03-17,1863.21,447591
2023-03-16,1865.03,377044
2023-03-15,1876.51,317609
2023-03-14,1859.65,348163
2023-03-13,1867.65,144555
2023-03-10,1871.94,336656
2023-03-09,1881.79,369301
2023-03-08,1886.38,969908
2023-03-06,1860.04,273649
2023-03-03,1863.03,272832
2023-03-02,1862.57,395347
2023-03-01,1849.8,416942
2023-02-28,1855.38,458233
2023-02-27,1832.63,708346
2023-02-24,1859.95,322247
2023-02-23,1850.8,923512
2023-02-22,1833.47,1095395
2023-02-21,1865.66,1002468
2023-02-20,1879.59,1747492
2023-02-17,1885.14,1098641
2023-02-16,1901.3,6360784
2023-02-15,1996.13,1465671
2023-02-14,2037.98,339630
2023-02-13,2043.87,420872
2023-02-10,2044.08,181307
2023-02-09,2048.02,464624
2023-02-08,2040.44,397784
2023-02-07,2040.5,1319373
2023-02-06,2087.29,2308032
2023-02-03,2109.58,596525
2023-02-02,2090.81,759436
2023-02-01,2098.59,807503
2023-01-31,2118.6,548748
2023-01-30,2076.02,1191976
