DATE,VWAP,VOLUME
2024-01-25,1506.93,8118578
2024-01-24,1473.18,9155544
2024-01-23,1477.55,10097057
2024-01-20,1544.48,3158588
2024-01-19,1572.3,10982524
2024-01-18,1617.35,3557256
2024-01-17,1649.58,6683398
2024-01-16,1675.14,1316138
2024-01-15,1685.75,2930339
2024-01-12,1669.64,2161848
2024-01-11,1658.68,1914421
2024-01-10,1637.01,1629958
2024-01-09,1636.42,1619091
2024-01-08,1634.34,1791003
2024-01-05,1640.81,2294140
2024-01-04,1638.72,4271262
2024-01-03,1585.34,2620296
2024-01-02,1583.72,1227193
2024-01-01,1602.09,1341121
2023-12-29,1596.65,1779207
2023-12-28,1606.33,3143161
2023-12-27,1591.54,1887827
2023-12-26,1571.86,1129332
2023-12-22,1574.51,2214206
2023-12-21,1548.03,2400593
2023-12-20,1566.91,3218717
2023-12-19,1567.16,2297704
2023-12-18,1558.16,1352458
2023-12-15,1563.11,3478643
2023-12-14,1543.77,3427500
2023-12-13,1506.52,2562565
2023-12-12,1509.68,1621785
2023-12-11,1524.32,2194782
2023-12-08,1507.86,2568088
2023-12-07,1504.58,1931490
2023-12-06,1503.09,3405245
2023-12-05,1506.33,3457904
2023-12-04,1497.93,4254987
2023-12-01,1471.96,4063279
2023-11-30,1467.16,45549217
2023-11-29,1482.24,3477076
2023-11-28,1477.14,4305915
2023-11-24,1481.69,2813844
2023-11-23,1487.49,3832098
2023-11-22,1477.33,3914008
2023-11-21,1501.46,1661103
2023-11-20,1502.52,2125867
2023-11-17,1499.46,4182376
2023-11-16,1500.16,2728834
2023-11-15,1508.43,6293703
2023-11-13,1510.56,2026629
2023-11-12,1502.08,145114
2023-11-10,1501.33,2247500
2023-11-09,1507.89,3207721
2023-11-08,1488.66,3210977
2023-11-07,1478.74,2830149
2023-11-06,1463.28,2090640
2023-11-03,1459.57,3052041
2023-11-02,1461.9,4524652
2023-11-01,1436.14,2658439
2023-10-31,1448.24,1454345
2023-10-30,1451.22,2255111
2023-10-27,1432.56,2424655
2023-10-26,1409.7,4194418
2023-10-25,1427.24,4045910
2023-10-23,1452.78,3319090
2023-10-20,1463.89,5135316
2023-10-19,1447.21,13948984
2023-10-18,1431.6,3067244
2023-10-17,1443.09,1373704
2023-10-16,1448.94,1913782
2023-10-13,1452.58,4480890
2023-10-12,1431.9,2069952
2023-10-11,1421.17,1855211
2023-10-10,1422.09,1874201
2023-10-09,1430.69,1613546
2023-10-06,1425.59,2167139
2023-10-05,1404.58,1647175
2023-10-04,1399.68,3978667
2023-10-03,1432.2,1442499
2023-09-29,1422.01,2593595
2023-09-28,1423.63,5876746
2023-09-27,1426.9,3697690
2023-09-26,1423.32,2870137
2023-09-25,1444.0,2013653
2023-09-22,1444.09,4397398
2023-09-21,1419.24,2514377
2023-09-20,1446.32,5683215
2023-09-18,1457.0,1504046
2023-09-15,1451.25,1647901
2023-09-14,1459.96,2407947
2023-09-13,1442.02,4302942
2023-09-12,1436.41,1943026
2023-09-11,1445.1,2220230
2023-09-08,1448.85,2862657
2023-09-07,1421.52,2278316
2023-09-06,1406.58,4046484
2023-09-05,1423.36,1469938
2023-09-04,1421.23,998692
2023-09-01,1406.88,2792033
2023-08-31,1377.39,4106180
2023-08-30,1400.94,1500390
2023-08-29,1400.63,1831565
2023-08-28,1405.98,1072295
2023-08-25,1400.49,1862535
2023-08-24,1425.01,3559546
2023-08-23,1400.12,1681561
2023-08-22,1400.16,1224910
2023-08-21,1386.41,1763990
2023-08-18,1369.29,1720129
2023-08-17,1380.27,3329471
2023-08-16,1375.1,2051360
2023-08-14,1385.81,1783022
2023-08-11,1404.25,3074690
2023-08-10,1418.27,3730443
2023-08-09,1401.03,1218020
2023-08-08,1410.3,1846797
2023-08-07,1410.51,2792582
2023-08-04,1397.38,4063355
2023-08-03,1366.1,3631489
2023-08-02,1382.0,1913777
2023-08-01,1399.1,1578914
2023-07-31,1410.02,1721385
2023-07-28,1407.73,1565680
2023-07-27,1416.06,3362598
2023-07-26,1421.67,1537232
2023-07-25,1432.99,2982900
2023-07-24,1429.28,2738185
2023-07-21,1410.65,2138540
2023-07-20,1425.78,4491531
2023-07-19,1424.26,8850582
2023-07-18,1394.55,4106331
2023-07-17,1382.14,4003275
2023-07-14,1375.57,3885754
2023-07-13,1380.15,5174896
2023-07-12,1370.43,4921224
2023-07-11,1376.98,2110648
2023-07-10,1357.39,1941110
2023-07-07,1365.51,2922616
2023-07-06,1386.4,3337234
2023-07-05,1399.53,5288351
2023-07-04,1375.98,2262047
2023-07-03,1377.42,2890340
2023-06-30,1367.48,4590286
2023-06-28,1333.45,5550351
2023-06-27,1306.81,2638788
2023-06-26,1315.72,2236596
2023-06-23,1297.31,4636121
2023-06-22,1277.78,3185099
2023-06-21,1293.88,1490552
2023-06-20,1292.27,2102065
2023-06-19,1301.0,2679485
2023-06-16,1305.56,3508045
2023-06-15,1299.3,5952095
2023-06-14,1326.26,2858453
2023-06-13,1338.47,3756073
2023-06-12,1328.13,1904622
2023-06-09,1329.46,4233651
2023-06-08,1312.54,3215312
2023-06-07,1309.41,2679118
2023-06-06,1309.04,2902701
2023-06-05,1297.53,3040374
2023-06-02,1285.01,1912458
2023-06-01,1287.32,3244947
2023-05-31,1286.91,2764078
2023-05-30,1287.9,1818000
2023-05-29,1288.68,2985334
2023-05-26,1264.83,1981580
2023-05-25,1260.46,2589092
2023-05-24,1262.55,2782379
2023-05-23,1259.85,2142459
2023-05-22,1241.94,2106351
2023-05-19,1234.84,2366675
2023-05-18,1238.06,2489971
2023-05-17,1233.12,4661849
2023-05-16,1220.12,2888698
2023-05-15,1213.39,3323300
2023-05-12,1196.3,3983609
2023-05-11,1188.42,6086958
2023-05-10,1164.61,6466598
2023-05-09,1142.16,4181498
2023-05-08,1123.16,6764292
2023-05-05,1104.96,8504838
2023-05-04,1136.71,2752160
2023-05-03,1148.38,1816420
2023-05-02,1155.92,2000569
2023-04-28,1145.51,2239678
2023-04-27,1142.83,2990958
2023-04-26,1131.74,2688362
2023-04-25,1121.02,5268567
2023-04-24,1116.24,7711772
2023-04-21,1121.19,1894300
2023-04-20,1122.18,2530597
2023-04-19,1128.39,2207739
2023-04-18,1140.62,4455007
2023-04-17,1122.24,5360050
2023-04-13,1078.05,6082307
2023-04-12,1067.25,3005913
2023-04-11,1072.15,1932390
2023-04-10,1071.5,1602094
2023-04-06,1082.26,3458673
2023-04-05,1067.58,2979782
2023-04-03,1073.54,1534155
2023-03-31,1069.37,3097113
2023-03-29,1046.88,5803091
2023-03-28,1028.51,4396283
2023-03-27,1012.46,2116764
2023-03-24,1015.32,2709449
2023-03-23,1034.02,3703523
2023-03-22,1034.4,2992139
2023-03-21,1012.14,6200518
2023-03-20,1001.37,5439347
2023-03-17,1016.06,5324960
2023-03-16,1016.79,9261210
2023-03-15,1061.31,4117107
2023-03-14,1065.68,5410127
2023-03-13,1076.86,12242080
2023-03-10,1150.58,3255900
2023-03-09,1170.48,3086720
2023-03-08,1152.49,7227479
2023-03-06,1129.23,3623590
2023-03-03,1121.16,3365349
2023-03-02,1101.21,3831094
2023-03-01,1087.18,4006038
2023-02-28,1076.71,1360243
2023-02-27,1079.98,2047252
2023-02-24,1078.21,1862986
2023-02-23,1078.89,3193602
2023-02-22,1089.09,1983022
2023-02-21,1102.34,1767689
2023-02-20,1113.55,1613608
2023-02-17,1122.32,3146155
2023-02-16,1149.98,1918858
2023-02-15,1149.59,2050158
2023-02-14,1152.85,2433798
2023-02-13,1158.63,2112106
2023-02-10,1159.98,2126093
2023-02-09,1154.11,2284751
2023-02-08,1144.72,1675932
2023-02-07,1138.5,3603258
2023-02-06,1126.22,2865938
2023-02-03,1103.83,9207051
2023-02-02,1059.91,4494575
2023-02-01,1072.82,7563064
2023-01-31,1083.46,6080048
2023-01-30,1087.4,7991091
