DATE,VWAP,VOLUME
2024-01-25,1669.03,8865304
2024-01-24,1662.71,8999681
2024-01-23,1658.08,9401255
2024-01-20,1652.55,1158144
2024-01-19,1657.08,4522736
2024-01-18,1639.29,6375464
2024-01-17,1639.02,9209876
2024-01-16,1637.98,6500917
2024-01-15,1648.8,13228305
2024-01-12,1597.81,26754401
2024-01-11,1499.59,11296088
2024-01-10,1519.11,4096845
2024-01-09,1541.86,4412074
2024-01-08,1523.73,4440136
2024-01-05,1530.26,8895403
2024-01-04,1508.26,7056038
2024-01-03,1499.65,7550363
2024-01-02,1533.27,5396313
2024-01-01,1548.27,2808451
2023-12-29,1544.62,4388990
2023-12-28,1561.64,5702253
2023-12-27,1560.67,4225849
2023-12-26,1539.75,6878067
2023-12-22,1544.96,6741060
2023-12-21,1536.05,5319038
2023-12-20,1561.35,6592367
2023-12-19,1557.15,4221721
2023-12-18,1572.19,6467243
2023-12-15,1561.19,18395389
2023-12-14,1492.04,12489858
2023-12-13,1446.8,8549258
2023-12-12,1477.51,6103494
2023-12-11,1490.33,3862018
2023-12-08,1481.11,6323433
2023-12-07,1466.24,4424453
2023-12-06,1466.59,5269178
2023-12-05,1449.86,5123039
2023-12-04,1462.41,5511948
2023-12-01,1450.95,3489187
2023-11-30,1455.41,10120867
2023-11-29,1456.94,3875778
2023-11-28,1435.92,3755373
2023-11-24,1440.18,2973195
2023-11-23,1455.48,3186928
2023-11-22,1448.39,3108786
2023-11-21,1441.14,3793135
2023-11-20,1439.72,3584210
2023-11-17,1440.6,4901251
2023-11-16,1438.5,6673907
2023-11-15,1401.79,8551860
2023-11-13,1375.99,3462092
2023-11-12,1386.21,572298
2023-11-10,1366.16,2943649
2023-11-09,1380.21,5498051
2023-11-08,1397.84,3550635
2023-11-07,1401.76,2272209
2023-11-06,1397.26,2736381
2023-11-03,1386.28,3349045
2023-11-02,1368.74,3758060
2023-11-01,1361.99,3090672
2023-10-31,1368.99,3451595
2023-10-30,1374.57,2667696
2023-10-27,1379.97,4634358
2023-10-26,1362.57,6357656
2023-10-25,1377.15,6940777
2023-10-23,1417.66,2636516
2023-10-20,1430.32,3928622
2023-10-19,1434.77,6795691
2023-10-18,1446.44,4264837
2023-10-17,1444.93,3923764
2023-10-16,1438.44,4850745
2023-10-13,1426.51,17973439
2023-10-12,1480.03,11081662
2023-10-11,1501.73,7220129
2023-10-10,1489.67,5688951
2023-10-09,1480.76,3567552
2023-10-06,1476.25,3598672
2023-10-05,1463.54,7384621
2023-10-04,1431.51,4510406
2023-10-03,1430.54,4181867
