DATE,VWAP,VOLUME
2024-01-25,46.28,34258089
2024-01-24,45.53,50123032
2024-01-23,45.55,46170655
2024-01-20,45.03,23139178
2024-01-19,44.31,17969405
2024-01-18,43.67,29406860
2024-01-17,43.81,20115305
2024-01-16,44.86,28712992
2024-01-15,44.78,31461571
2024-01-12,44.17,31730567
2024-01-11,43.06,8974590
2024-01-10,42.79,7338505
2024-01-09,43.18,7597965
2024-01-08,43.24,11071268
2024-01-05,44.09,13363697
2024-01-04,44.23,15527140
2024-01-03,44.27,28327760
2024-01-02,43.79,18828371
2024-01-01,43.76,12879177
2023-12-29,43.3,10369754
2023-12-28,43.68,24135199
2023-12-27,43.37,16351485
2023-12-26,42.97,11354779
2023-12-22,43.28,22120641
2023-12-21,42.6,39707970
2023-12-20,44.44,59408223
2023-12-19,46.34,72752969
2023-12-18,45.07,48028605
2023-12-15,44.18,44161884
2023-12-14,43.23,11598785
2023-12-13,43.0,10750162
2023-12-12,43.53,17076080
2023-12-11,43.54,21494908
2023-12-08,43.29,29344380
2023-12-07,43.84,40090151
2023-12-06,42.29,22031098
2023-12-05,42.23,64695688
2023-12-04,40.81,34907630
2023-12-01,39.8,18531480
2023-11-30,39.29,8748427
2023-11-29,39.65,8766939
2023-11-28,39.51,13996105
2023-11-24,39.39,6295256
2023-11-23,39.39,7723811
2023-11-22,39.41,9245837
2023-11-21,40.08,8786032
2023-11-20,40.3,13782528
2023-11-17,40.45,13480885
2023-11-16,41.14,11897403
2023-11-15,41.66,26456887
2023-11-13,40.46,45611865
2023-11-12,39.49,2797535
2023-11-10,39.25,11093277
2023-11-09,39.64,12107464
2023-11-08,39.87,24002407
2023-11-07,39.62,28374826
2023-11-06,39.82,22954410
2023-11-03,39.95,26425373
2023-11-02,39.94,47506584
2023-11-01,39.39,49310117
2023-10-31,40.16,52154488
2023-10-30,40.12,63681160
2023-10-27,39.99,148485987
2023-10-26,37.51,97417425
2023-10-25,38.32,117566812
2023-10-23,38.56,48883675
2023-10-20,41.21,34558910
2023-10-19,42.05,35537162
2023-10-18,43.51,26786199
2023-10-17,44.62,23168573
2023-10-16,43.7,36892130
2023-10-13,43.69,31873921
2023-10-12,44.4,28715992
2023-10-11,44.77,44730296
2023-10-10,44.43,50887058
2023-10-09,44.28,66403485
2023-10-06,46.21,78164539
2023-10-05,47.32,106222501
2023-10-04,48.94,250806119
2023-10-03,47.22,102260099
2023-09-29,46.67,71688701
2023-09-28,47.26,214355739
2023-09-27,44.99,61745352
2023-09-26,44.68,139933229
2023-09-25,43.31,77489472
2023-09-22,43.74,245100797
