DATE,VWAP,VOLUME
2024-01-25,143.57,38252600
2024-01-24,142.0,40122151
2024-01-23,142.64,38167576
2024-01-20,149.25,16429974
2024-01-19,146.52,23970656
2024-01-18,143.73,26958686
2024-01-17,144.17,43031636
2024-01-16,142.2,54350562
2024-01-15,136.96,22824583
2024-01-12,134.58,24471509
2024-01-11,132.76,21653666
2024-01-10,129.82,17547639
2024-01-09,132.91,15051378
2024-01-08,134.22,26199907
2024-01-05,133.03,21903222
2024-01-04,130.66,23880980
2024-01-03,132.3,24221613
2024-01-02,130.37,17271309
2024-01-01,131.39,18629028
2023-12-29,130.14,30650133
2023-12-28,131.44,54672874
2023-12-27,127.15,16455934
2023-12-26,126.91,30770511
2023-12-22,123.54,12915880
2023-12-21,122.08,20805929
2023-12-20,123.58,27660494
2023-12-19,125.14,22074723
2023-12-18,124.74,19345644
2023-12-15,122.84,43200717
2023-12-14,119.89,20038925
2023-12-13,118.96,23660687
2023-12-12,117.87,15735665
2023-12-11,118.42,28917089
2023-12-08,119.98,22610433
2023-12-07,121.3,38173544
2023-12-06,118.78,31094949
2023-12-05,117.56,47272168
2023-12-04,115.92,50645500
2023-12-01,111.89,24131009
2023-11-30,110.49,46269884
2023-11-29,108.76,36828919
2023-11-28,107.11,61127565
2023-11-24,104.1,26009963
2023-11-23,102.64,18589035
2023-11-22,101.54,16652996
2023-11-21,101.67,20429383
2023-11-20,103.09,16980763
2023-11-17,104.07,50796419
2023-11-16,103.95,43421272
2023-11-15,100.7,35721107
2023-11-13,98.27,23502134
2023-11-12,98.48,6002882
2023-11-10,98.08,28403392
2023-11-09,103.25,32091128
2023-11-08,104.87,69412828
2023-11-07,102.17,79534919
2023-11-06,98.89,63500708
2023-11-03,96.06,34490201
2023-11-02,95.12,63995437
2023-11-01,92.06,54027867
2023-10-31,89.11,29025469
2023-10-30,87.87,10175983
2023-10-27,87.08,6454064
2023-10-26,86.1,10108394
2023-10-25,87.84,9057651
2023-10-23,88.85,9592121
2023-10-20,90.22,8772287
2023-10-19,90.54,6724121
2023-10-18,91.09,11466227
2023-10-17,91.82,13355267
2023-10-16,90.76,8631278
2023-10-13,90.89,12881848
2023-10-12,90.26,9922340
2023-10-11,89.86,12124613
2023-10-10,88.01,9460129
2023-10-09,87.62,10345543
2023-10-06,89.74,8500414
2023-10-05,89.78,9293183
2023-10-04,89.35,10554372
2023-10-03,90.25,12491467
2023-09-29,90.85,7353379
2023-09-28,90.26,17116633
2023-09-27,90.58,17576586
2023-09-26,92.24,8786944
2023-09-25,92.11,10885789
2023-09-22,92.78,10983768
2023-09-21,92.62,15173388
2023-09-20,92.04,18228395
2023-09-18,92.74,17302409
2023-09-15,92.31,35184771
2023-09-14,94.48,16430876
2023-09-13,92.6,11716054
2023-09-12,92.81,21373206
2023-09-11,94.89,23997873
2023-09-08,93.43,29294769
2023-09-07,91.67,7697172
2023-09-06,91.2,8805552
2023-09-05,91.12,12849665
2023-09-04,90.04,13063008
2023-09-01,89.27,14735373
2023-08-31,89.5,15918998
2023-08-30,90.95,10926964
2023-08-29,92.06,6510089
2023-08-28,92.04,6866040
2023-08-25,92.21,7021529
2023-08-24,92.36,9936618
2023-08-23,91.46,6805550
2023-08-22,91.92,5274379
2023-08-21,91.44,7450923
2023-08-18,91.62,7603578
2023-08-17,92.53,6856243
2023-08-16,93.03,7026509
2023-08-14,92.27,6762888
2023-08-11,93.87,9294868
2023-08-10,93.85,6480305
2023-08-09,93.2,9339961
2023-08-08,92.53,14652588
2023-08-07,92.5,6947500
2023-08-04,93.01,10743670
2023-08-03,93.61,8703991
2023-08-02,93.79,16780965
2023-08-01,94.16,16132927
2023-07-31,93.79,25418124
2023-07-28,95.57,27278447
2023-07-27,99.0,16349608
2023-07-26,99.53,14912431
2023-07-25,99.38,11983867
2023-07-24,100.0,19073238
2023-07-21,99.29,18598910
2023-07-20,98.79,8940131
2023-07-19,98.39,15283446
2023-07-18,97.66,9527821
2023-07-17,97.38,19126927
2023-07-14,96.87,24048036
2023-07-13,97.21,11491737
2023-07-12,98.27,14979586
2023-07-11,98.1,17508261
2023-07-10,98.59,24042759
2023-07-07,99.83,37546405
2023-07-06,98.28,32778334
2023-07-05,94.99,14283796
2023-07-04,95.25,11918401
2023-07-03,94.73,32972732
2023-06-30,91.3,12595671
2023-06-28,90.04,14388441
2023-06-27,89.61,10668117
2023-06-26,89.29,10963542
2023-06-23,90.55,18134295
2023-06-22,92.24,9694937
2023-06-21,92.15,9499893
2023-06-20,92.06,9394894
2023-06-19,92.1,6800507
2023-06-16,92.42,15146569
2023-06-15,93.17,8742159
2023-06-14,92.97,19246845
2023-06-13,92.39,19796495
2023-06-12,91.35,10813997
2023-06-09,90.86,9921823
2023-06-08,90.31,10809055
2023-06-07,90.6,11403972
2023-06-06,89.32,5740801
2023-06-05,89.08,9227005
2023-06-02,90.12,7123634
2023-06-01,90.71,11770478
2023-05-31,90.44,17157711
2023-05-30,90.44,9269698
2023-05-29,89.96,6891927
2023-05-26,90.04,9846321
2023-05-25,89.2,9684940
2023-05-24,89.52,19866440
2023-05-23,88.92,27392800
2023-05-22,86.61,9226502
2023-05-19,85.63,11201198
2023-05-18,86.85,16119484
2023-05-17,87.9,20861152
2023-05-16,86.42,44298431
2023-05-15,84.21,7167177
2023-05-12,83.6,4700410
2023-05-11,84.19,4455253
2023-05-10,84.16,7349573
2023-05-09,83.92,7286472
2023-05-08,83.02,6051050
2023-05-05,82.81,5895640
2023-05-04,83.86,15811123
2023-05-03,82.82,12067736
2023-05-02,82.2,11768608
2023-04-28,81.03,11996476
2023-04-27,79.99,17036886
2023-04-26,78.46,5090493
2023-04-25,78.54,4656411
2023-04-24,78.16,7060879
2023-04-21,78.19,5001767
2023-04-20,78.56,7789377
2023-04-19,78.26,7940271
2023-04-18,77.76,5096362
2023-04-17,77.15,7736935
2023-04-13,77.31,6411454
2023-04-12,77.88,4182972
2023-04-11,77.87,2998570
2023-04-10,77.76,5706517
2023-04-06,77.43,5063531
2023-04-05,77.33,6867318
2023-04-03,77.42,11416090
2023-03-31,77.8,9748505
2023-03-29,77.03,9921198
2023-03-28,76.49,7446988
2023-03-27,77.7,4845906
2023-03-24,78.55,10269895
2023-03-23,79.11,7065528
2023-03-22,79.51,8162089
2023-03-21,79.79,9942587
2023-03-20,80.25,18090005
