DATE,VWAP,VOLUME
2024-01-25,973.89,6428039
2024-01-24,951.86,8909650
2024-01-23,973.22,15704924
2024-01-20,1029.1,20724020
2024-01-19,971.84,14486659
2024-01-18,916.08,6557942
2024-01-17,940.59,3782327
2024-01-16,954.72,5464749
2024-01-15,965.18,6618736
2024-01-12,953.21,6044161
2024-01-11,944.1,6012001
2024-01-10,930.16,8474409
2024-01-09,919.92,4254653
2024-01-08,918.15,9604429
2024-01-05,913.52,9811302
2024-01-04,904.11,4427039
2024-01-03,899.67,6852189
2024-01-02,885.74,5242381
2024-01-01,904.18,9040913
2023-12-29,881.86,10705182
2023-12-28,867.57,3578585
2023-12-27,871.69,5028695
2023-12-26,871.88,6342848
2023-12-22,868.82,10046698
2023-12-21,853.71,25159581
2023-12-20,848.7,17968498
2023-12-19,889.56,37499776
2023-12-18,850.21,36365109
2023-12-15,787.31,2894186
2023-12-14,791.73,5071262
2023-12-13,774.15,2986173
2023-12-12,774.94,7248708
2023-12-11,761.44,3619579
2023-12-08,754.56,4842223
2023-12-07,749.97,7412553
2023-12-06,738.08,10164743
2023-12-05,718.87,2826160
2023-12-04,718.12,4528427
2023-12-01,704.08,1060638
2023-11-30,705.7,2128035
2023-11-29,703.86,1575534
2023-11-28,695.82,877968
2023-11-24,695.42,896138
2023-11-23,702.19,1285720
2023-11-22,700.89,1440191
2023-11-21,713.38,4324116
2023-11-20,702.75,1714181
2023-11-17,701.36,4894657
2023-11-16,679.03,1042850
2023-11-15,676.36,736475
2023-11-13,672.19,517232
2023-11-12,677.15,300530
2023-11-10,672.45,711757
2023-11-09,669.64,1785791
2023-11-08,678.14,2294522
2023-11-07,677.85,1366389
2023-11-06,670.94,734713
2023-11-03,662.9,763012
2023-11-02,653.92,1442254
2023-11-01,659.72,840037
2023-10-31,665.88,603228
2023-10-30,661.13,988891
2023-10-27,656.77,1056784
2023-10-26,642.75,1821947
2023-10-25,662.21,1305923
2023-10-23,676.85,1717013
2023-10-20,696.3,1232956
2023-10-19,698.25,1100204
2023-10-18,706.78,1690083
2023-10-17,713.98,2163042
2023-10-16,703.81,799567
2023-10-13,702.66,1018087
2023-10-12,701.88,1230285
2023-10-11,707.25,946589
2023-10-10,706.3,1371262
2023-10-09,703.39,1760290
2023-10-06,717.71,1644795
2023-10-05,720.13,5547419
2023-10-04,703.18,2562621
2023-10-03,697.82,3635424
2023-09-29,679.38,846290
2023-09-28,677.5,1109275
