DATE,VWAP,VOLUME
2024-01-25,174.98,100074798
2024-01-24,166.51,198113352
2024-01-23,171.79,269108130
2024-01-20,173.91,97872275
2024-01-19,156.79,266085180
2024-01-18,145.61,272134347
2024-01-17,145.9,336463589
2024-01-16,141.14,492705331
2024-01-15,128.3,448451444
2024-01-12,112.37,199380642
2024-01-11,107.04,191294222
2024-01-10,101.92,110316122
2024-01-09,101.05,44804938
2024-01-08,100.34,38895310
2024-01-05,101.13,43542157
2024-01-04,102.13,66810041
2024-01-03,100.72,96843171
2024-01-02,99.66,70051082
2024-01-01,101.07,102849848
2023-12-29,98.88,153201085
2023-12-28,97.24,59468778
2023-12-27,97.41,48428319
2023-12-26,97.9,77725407
2023-12-22,98.54,137646820
2023-12-21,95.64,280904719
2023-12-20,97.8,263936530
2023-12-19,99.6,328191530
2023-12-18,94.09,151821592
2023-12-15,97.35,325150277
2023-12-14,91.69,475975248
2023-12-13,84.26,84559239
2023-12-12,83.96,135491070
2023-12-11,81.36,268676897
2023-12-08,76.72,47322739
2023-12-07,75.82,25013914
2023-12-06,75.9,24145206
2023-12-05,76.44,28021269
2023-12-04,77.07,54336061
2023-12-01,76.18,34411168
2023-11-30,74.7,19003196
2023-11-29,75.71,14635478
2023-11-28,75.95,25080614
2023-11-24,76.55,21604709
2023-11-23,76.69,22783082
2023-11-22,76.8,35591880
2023-11-21,77.25,49893620
2023-11-20,76.9,46928842
2023-11-17,76.1,116818430
2023-11-16,73.38,15227424
2023-11-15,73.87,19871941
2023-11-13,74.01,21466105
2023-11-12,74.92,8171770
2023-11-10,73.89,20115569
2023-11-09,75.56,35223000
2023-11-08,75.19,61639026
2023-11-07,73.47,32735491
2023-11-06,73.21,28925365
2023-11-03,72.33,35993734
2023-11-02,73.49,22236579
2023-11-01,72.95,17172572
2023-10-31,73.45,44614720
2023-10-30,71.79,44719772
2023-10-27,72.05,71117911
2023-10-26,67.87,109965024
2023-10-25,71.37,67364514
2023-10-23,73.96,59336442
2023-10-20,77.94,34571282
2023-10-19,77.32,36281928
2023-10-18,78.57,60210098
2023-10-17,79.51,153256370
2023-10-16,76.56,23187941
2023-10-13,77.01,78755411
2023-10-12,75.2,21587597
2023-10-11,76.46,45128089
2023-10-10,74.94,75097719
2023-10-09,71.65,49805228
2023-10-06,74.95,27407523
2023-10-05,74.65,20716740
2023-10-04,74.96,34505676
2023-10-03,76.89,32681918
2023-09-29,76.18,39254526
2023-09-28,75.31,25011662
2023-09-27,75.65,31966561
2023-09-26,76.29,33138244
2023-09-25,77.11,85506777
2023-09-22,73.83,94866289
2023-09-21,75.96,52360179
2023-09-20,77.53,76414678
2023-09-18,77.05,73958819
2023-09-15,79.73,77020431
2023-09-14,80.35,129797195
2023-09-13,79.34,238578975
2023-09-12,84.71,395003025
2023-09-11,84.18,169943821
2023-09-08,76.02,179288780
2023-09-07,72.84,202538874
2023-09-06,69.08,203998733
2023-09-05,72.27,573870002
2023-09-04,64.66,504243805
2023-09-01,53.58,236065708
2023-08-31,50.17,37388795
2023-08-30,50.09,57580129
2023-08-29,49.97,107331968
2023-08-28,48.91,42444304
2023-08-25,48.58,36732928
2023-08-24,49.19,119824410
2023-08-23,47.85,29610934
2023-08-22,47.89,40881273
2023-08-21,47.86,74415020
2023-08-18,47.53,127976241
2023-08-17,48.72,155217100
2023-08-16,51.64,207500648
2023-08-14,48.93,240638055
2023-08-11,49.08,69084615
2023-08-10,49.62,108926518
2023-08-09,48.94,170874267
2023-08-08,50.45,303287703
2023-08-07,48.19,306863736
2023-08-04,46.15,274350314
2023-08-03,43.48,454943778
2023-08-02,40.03,159610570
2023-08-01,40.54,381693749
2023-07-31,37.39,216012818
2023-07-28,35.02,30923854
2023-07-27,34.92,37679849
2023-07-26,35.5,85247455
2023-07-25,34.62,33446144
2023-07-24,35.58,89931586
2023-07-21,34.7,172775659
2023-07-20,33.22,42035133
2023-07-19,32.71,14117155
2023-07-18,32.77,24480880
2023-07-17,32.53,17532573
2023-07-14,32.58,10988416
2023-07-13,32.75,12769558
2023-07-12,32.97,18276560
2023-07-11,32.93,13406298
2023-07-10,32.97,13203680
2023-07-07,33.16,14912804
2023-07-06,33.44,18663493
2023-07-05,33.66,41585187
2023-07-04,32.99,29446900
2023-07-03,32.84,16288496
2023-06-30,32.73,14373970
2023-06-28,32.65,9648453
2023-06-27,32.66,23652368
2023-06-26,32.36,11033301
2023-06-23,32.41,24307838
2023-06-22,32.86,14109469
2023-06-21,33.25,23054775
2023-06-20,32.91,17410144
2023-06-19,33.14,23821237
2023-06-16,32.99,18034381
2023-06-15,32.93,14736948
2023-06-14,33.17,19489115
2023-06-13,32.97,16812036
2023-06-12,33.08,18481171
2023-06-09,33.17,24830925
2023-06-08,33.59,46914299
2023-06-07,33.38,99888253
2023-06-06,32.21,31526798
2023-06-05,31.9,23679377
2023-06-02,32.06,18155919
2023-06-01,32.23,20794791
2023-05-31,32.04,25341934
2023-05-30,32.01,30754089
2023-05-29,32.35,38342982
2023-05-26,31.81,52280306
2023-05-25,32.87,78918846
2023-05-24,33.88,49417869
2023-05-23,33.41,26334035
2023-05-22,33.41,39038713
2023-05-19,33.49,38623945
2023-05-18,34.12,43139793
2023-05-17,34.13,87773958
2023-05-16,33.67,50104989
2023-05-15,33.53,48801180
2023-05-12,33.36,54099932
2023-05-11,33.79,137743556
2023-05-10,32.39,94417242
2023-05-09,33.87,126905423
2023-05-08,35.34,158914127
2023-05-05,34.61,207483533
2023-05-04,35.65,275121738
2023-05-03,35.07,343151755
2023-05-02,33.38,204453588
2023-04-28,31.89,94569856
2023-04-27,31.63,235048732
2023-04-26,30.81,124814428
2023-04-25,30.2,165437101
2023-04-24,29.38,114914226
2023-04-21,28.19,15543321
2023-04-20,28.14,21180929
2023-04-19,28.07,12802470
2023-04-18,28.23,29141937
2023-04-17,27.44,10152996
2023-04-13,27.62,12152354
2023-04-12,27.53,10628633
2023-04-11,27.69,10351890
2023-04-10,27.67,13598478
2023-04-06,27.47,12059313
2023-04-05,27.52,16069321
2023-04-03,27.56,27498143
2023-03-31,26.84,17209537
2023-03-29,26.1,15458843
2023-03-28,25.62,10179329
2023-03-27,26.13,14682995
2023-03-24,26.72,9405435
2023-03-23,26.84,9750086
2023-03-22,27.02,9524521
2023-03-21,26.83,8231139
2023-03-20,26.71,12817483
2023-03-17,27.05,14474482
2023-03-16,26.76,16145407
2023-03-15,27.2,10378460
2023-03-14,27.16,17256430
2023-03-13,27.63,16451332
2023-03-10,27.91,18602384
2023-03-09,28.15,29457034
2023-03-08,28.08,16951705
2023-03-06,28.55,24034894
2023-03-03,28.17,31886865
2023-03-02,28.63,74972504
2023-03-01,27.6,27761685
2023-02-28,27.1,16207572
2023-02-27,27.35,14416765
2023-02-24,27.98,10402222
2023-02-23,27.98,17475738
2023-02-22,27.98,14410318
2023-02-21,28.33,11287304
2023-02-20,28.49,13475222
2023-02-17,28.87,17614414
2023-02-16,29.42,37728708
2023-02-15,29.53,108461456
2023-02-14,29.27,23057839
2023-02-13,30.03,16476556
2023-02-10,30.13,12718144
2023-02-09,30.08,12967212
2023-02-08,30.11,29213321
2023-02-07,30.11,25692419
2023-02-06,30.8,30328389
2023-02-03,31.22,28559269
2023-02-02,31.86,24517707
2023-02-01,32.71,78444937
2023-01-31,32.44,35809352
2023-01-30,31.15,37227440
