DATE,VWAP,VOLUME
2024-01-25,456.11,19677700
2024-01-24,461.87,21626183
2024-01-23,465.33,8404513
2024-01-20,471.38,3296407
2024-01-19,470.66,12203322
2024-01-18,463.82,9143784
2024-01-17,470.02,11108698
2024-01-16,469.28,12066347
2024-01-15,467.74,6902156
2024-01-12,464.54,9354326
2024-01-11,463.35,6534775
2024-01-10,462.07,5896123
2024-01-09,466.06,5696780
2024-01-08,467.76,8003177
2024-01-05,474.98,9209405
2024-01-04,478.62,11786959
2024-01-03,477.4,24036012
2024-01-02,468.26,10519771
2024-01-01,467.15,9346277
2023-12-29,464.6,12888266
2023-12-28,461.6,20696101
2023-12-27,455.97,7543383
2023-12-26,456.9,5871301
2023-12-22,454.25,11026317
2023-12-21,450.19,11154625
2023-12-20,454.97,10367665
2023-12-19,455.77,10268755
2023-12-18,451.89,12027620
2023-12-15,457.72,15789845
2023-12-14,458.42,14370803
2023-12-13,455.72,11283868
2023-12-12,456.17,10158101
2023-12-11,451.92,6599973
2023-12-08,452.69,18667895
2023-12-07,459.4,11310918
2023-12-06,461.17,20417559
2023-12-05,453.52,12136292
2023-12-04,453.73,12800220
2023-12-01,446.61,19336856
2023-11-30,436.0,15127505
2023-11-29,436.15,13785216
2023-11-28,436.05,8745691
2023-11-24,439.0,6821878
2023-11-23,440.31,6366606
2023-11-22,437.8,4886687
2023-11-21,437.01,5997810
2023-11-20,437.43,4335388
2023-11-17,439.47,6655278
2023-11-16,441.02,10857863
2023-11-15,440.16,7436428
2023-11-13,436.25,3744754
2023-11-12,438.66,1181310
2023-11-10,435.19,4079205
2023-11-09,435.48,7785767
2023-11-08,434.61,6979849
2023-11-07,433.04,5124012
2023-11-06,434.21,7308229
2023-11-03,432.68,13802600
2023-11-02,430.18,8152031
2023-11-01,428.3,7990245
2023-10-31,429.99,8620154
2023-10-30,430.92,7618033
2023-10-27,434.0,13132487
2023-10-26,433.54,18801214
2023-10-25,432.29,10889221
