DATE,VWAP,VOLUME
2024-01-25,708.49,1861827
2024-01-24,700.96,2874944
2024-01-23,709.88,1346480
2024-01-20,730.88,876767
2024-01-19,727.45,1551868
2024-01-18,715.83,1775563
2024-01-17,726.47,2797056
2024-01-16,746.55,2676909
2024-01-15,733.49,842890
2024-01-12,737.5,999941
2024-01-11,734.59,969483
2024-01-10,725.76,1049880
2024-01-09,730.44,1249816
2024-01-08,723.99,1313588
2024-01-05,744.23,1749327
2024-01-04,744.62,1762967
2024-01-03,729.83,1578330
2024-01-02,741.49,844656
2024-01-01,748.1,1153090
2023-12-29,743.77,2288552
2023-12-28,738.02,2446647
2023-12-27,733.97,1180034
2023-12-26,731.7,1645139
2023-12-22,719.31,2392981
2023-12-21,701.98,1459098
2023-12-20,714.65,2151830
2023-12-19,729.48,1688901
2023-12-18,730.26,2612438
2023-12-15,733.61,2971250
2023-12-14,744.22,4246726
2023-12-13,747.52,3476358
2023-12-12,739.73,9128866
2023-12-11,708.47,6574569
2023-12-08,689.34,2131802
2023-12-07,683.46,1730038
2023-12-06,683.76,2255716
2023-12-05,677.71,3878993
2023-12-04,683.54,2037749
2023-12-01,685.71,2180409
2023-11-30,670.66,1865635
2023-11-29,667.62,1272051
2023-11-28,665.04,2568165
2023-11-24,657.86,1526716
2023-11-23,652.5,1468486
2023-11-22,652.37,778796
2023-11-21,656.21,1260954
2023-11-20,650.63,939835
2023-11-17,649.89,1575247
2023-11-16,647.56,857041
2023-11-15,650.44,2491752
2023-11-13,637.97,1149105
2023-11-12,637.39,199706
2023-11-10,631.68,1839288
2023-11-09,626.33,1657746
2023-11-08,628.45,1694691
2023-11-07,628.32,3715097
2023-11-06,613.22,5492143
2023-11-03,597.33,1769085
2023-11-02,588.69,2721333
2023-11-01,592.36,12209864
2023-10-31,634.81,2027458
2023-10-30,644.68,1093581
2023-10-27,646.04,1452775
2023-10-26,642.88,2320101
2023-10-25,655.05,2490628
2023-10-23,650.57,1313725
2023-10-20,665.82,1425240
2023-10-19,673.93,1947640
2023-10-18,692.4,2257558
2023-10-17,695.92,873111
2023-10-16,690.24,1436740
2023-10-13,680.78,1497291
2023-10-12,693.78,1231595
2023-10-11,695.85,1677423
2023-10-10,689.01,1882578
2023-10-09,673.96,1118794
2023-10-06,687.98,3259891
2023-10-05,679.18,957466
2023-10-04,681.01,2373015
2023-10-03,696.58,1378867
2023-09-29,699.21,1418848
2023-09-28,685.49,1403765
2023-09-27,689.03,1491241
2023-09-26,698.33,1267372
2023-09-25,692.56,1127597
2023-09-22,684.38,1966991
2023-09-21,684.73,1374769
2023-09-20,692.05,1963443
2023-09-18,703.57,1227630
2023-09-15,712.94,2256202
2023-09-14,709.84,2396980
2023-09-13,689.06,1295559
2023-09-12,695.97,2141183
2023-09-11,711.32,2667702
2023-09-08,699.98,1515441
2023-09-07,703.05,1239661
2023-09-06,700.83,1685851
2023-09-05,704.34,2407991
2023-09-04,707.09,2637822
2023-09-01,701.03,3821673
2023-08-31,681.52,2742132
2023-08-30,677.82,1649655
2023-08-29,670.96,3200989
2023-08-28,650.95,2826926
2023-08-25,639.03,1949633
2023-08-24,656.92,2462684
2023-08-23,661.31,1270336
2023-08-22,654.79,1267288
2023-08-21,650.11,1537449
2023-08-18,641.61,1506231
2023-08-17,645.42,1552598
2023-08-16,648.99,1988425
2023-08-14,668.85,4487444
2023-08-11,687.13,4115696
2023-08-10,677.55,1931514
2023-08-09,672.37,4279101
2023-08-08,659.44,1698850
2023-08-07,656.04,1173349
2023-08-04,655.4,1791378
2023-08-03,642.9,1198816
2023-08-02,650.61,2217769
2023-08-01,671.52,1671929
2023-07-31,668.62,3576640
2023-07-28,658.2,1822173
2023-07-27,660.91,1613361
2023-07-26,657.86,3382159
2023-07-25,654.25,4624289
2023-07-24,629.06,997795
2023-07-21,633.03,2470457
2023-07-20,639.16,1074533
2023-07-19,639.27,1669578
2023-07-18,633.63,3150574
2023-07-17,644.76,2360840
2023-07-14,640.13,3141648
2023-07-13,630.46,4206123
2023-07-12,623.37,8106836
2023-07-11,629.26,3174731
2023-07-10,624.69,3732186
2023-07-07,608.69,2427780
2023-07-06,616.14,4171562
2023-07-05,623.22,7048198
2023-07-04,603.04,3730616
2023-07-03,592.7,2585602
2023-06-30,579.55,1952542
2023-06-28,580.81,3170209
2023-06-27,579.1,2788196
2023-06-26,567.23,1570497
2023-06-23,573.06,1927779
2023-06-22,580.9,3184252
2023-06-21,586.68,2792440
2023-06-20,593.5,9508590
2023-06-19,572.11,8045417
2023-06-16,542.52,2498994
2023-06-15,538.59,2271029
2023-06-14,539.88,3925283
2023-06-13,532.02,2492673
2023-06-12,525.43,1935905
2023-06-09,525.17,2929898
2023-06-08,534.77,6076512
2023-06-07,526.69,4463947
2023-06-06,523.65,2673151
2023-06-05,523.47,3161259
2023-06-02,521.46,3652493
2023-06-01,512.98,2436623
2023-05-31,518.27,3897562
2023-05-30,528.34,1953558
2023-05-29,530.0,2046489
2023-05-26,516.9,2569828
2023-05-25,507.54,1811459
2023-05-24,514.78,1987757
2023-05-23,523.81,1955175
2023-05-22,521.6,2039749
2023-05-19,520.65,3150698
2023-05-18,527.74,4000851
2023-05-17,540.62,8830826
2023-05-16,564.03,2894930
2023-05-15,572.3,1142120
2023-05-12,576.82,1255035
2023-05-11,583.54,1123419
2023-05-10,584.63,955848
2023-05-09,596.3,1744202
2023-05-08,591.56,1402955
2023-05-05,587.57,1511288
2023-05-04,595.6,1392236
2023-05-03,586.16,1376005
2023-05-02,591.85,2060182
2023-04-28,581.43,1733781
2023-04-27,576.75,1408423
2023-04-26,568.18,1535100
2023-04-25,577.72,926966
2023-04-24,575.81,1065300
2023-04-21,571.66,2315012
2023-04-20,584.95,1240024
2023-04-19,582.28,4824485
2023-04-18,565.19,1278845
2023-04-17,561.43,1355214
2023-04-13,558.25,1395446
2023-04-12,560.3,1472367
2023-04-11,560.54,1915083
2023-04-10,554.0,4240150
2023-04-06,544.16,1365725
2023-04-05,541.38,2021436
2023-04-03,543.44,1182300
2023-03-31,548.26,2745899
2023-03-29,541.41,1402975
2023-03-28,539.29,1355558
2023-03-27,538.43,2991845
2023-03-24,539.14,3643046
2023-03-23,560.85,2281129
2023-03-22,559.79,1271221
2023-03-21,557.59,1948525
2023-03-20,557.8,2873875
2023-03-17,569.0,3567733
2023-03-16,556.1,4208636
2023-03-15,582.58,1873120
2023-03-14,572.19,1874599
2023-03-13,580.45,1982153
2023-03-10,571.78,2026025
2023-03-09,581.8,1813203
2023-03-08,574.04,2052190
2023-03-06,582.83,2431647
2023-03-03,584.0,2424735
2023-03-02,576.77,2845459
2023-03-01,568.21,2725782
2023-02-28,549.36,5758384
2023-02-27,550.6,2250348
2023-02-24,565.26,2316474
2023-02-23,579.81,1725412
2023-02-22,577.31,1522960
2023-02-21,597.06,2143558
2023-02-20,593.74,1420192
2023-02-17,596.48,2076033
2023-02-16,596.62,1632298
2023-02-15,589.54,1435993
2023-02-14,587.38,1262160
2023-02-13,587.48,1963849
2023-02-10,581.47,2931980
2023-02-09,595.13,1636859
2023-02-08,585.66,2811414
2023-02-07,563.92,2441129
2023-02-06,565.93,3160759
2023-02-03,576.79,2797927
2023-02-02,580.48,4192268
2023-02-01,607.97,7178955
2023-01-31,584.27,1637320
2023-01-30,578.35,1897614
