DATE,VWAP,VOLUME
2024-01-25,240.35,12352497
2024-01-24,239.1,15276800
2024-01-23,242.75,13184700
2024-01-20,246.49,11652989
2024-01-19,247.36,16563079
2024-01-18,243.77,24804800
2024-01-17,244.37,28318086
2024-01-16,252.47,70456857
2024-01-15,264.25,68617372
2024-01-12,256.31,46763296
2024-01-11,248.05,45792818
2024-01-10,240.47,11798543
2024-01-09,242.84,10689245
2024-01-08,242.83,21118013
2024-01-05,244.98,29722064
2024-01-04,240.22,32808937
2024-01-03,234.39,9864949
2024-01-02,234.2,9216592
2024-01-01,235.17,7919961
2023-12-29,233.41,11614923
2023-12-28,233.91,10533952
2023-12-27,234.99,12430460
2023-12-26,235.01,11865886
2023-12-22,237.47,10871312
2023-12-21,235.95,17015304
2023-12-20,240.53,44628843
2023-12-19,239.47,13053454
2023-12-18,240.39,17001755
2023-12-15,238.8,26225287
2023-12-14,240.71,14352896
2023-12-13,238.67,13774944
2023-12-12,242.54,12749596
2023-12-11,245.43,8875953
2023-12-08,244.9,19056798
2023-12-07,248.8,23000400
2023-12-06,247.13,45262704
2023-12-05,239.48,60847483
2023-12-04,229.99,21079668
2023-12-01,228.06,17634910
2023-11-30,228.06,45432216
2023-11-29,226.35,14007708
2023-11-28,228.29,25668670
2023-11-24,224.83,31420610
2023-11-23,221.21,11267951
2023-11-22,220.69,15012272
2023-11-21,220.32,25625463
2023-11-20,216.58,20403368
2023-11-17,222.55,19607105
2023-11-16,225.77,17856032
2023-11-15,224.54,15782001
2023-11-13,224.09,12086991
2023-11-12,225.11,10542420
2023-11-10,219.34,18467219
2023-11-09,215.41,17250096
2023-11-08,215.53,17101608
2023-11-07,217.24,7558170
2023-11-06,218.03,11494092
2023-11-03,219.05,8569115
2023-11-02,217.63,13261567
2023-11-01,217.43,15862624
2023-10-31,217.88,17538202
2023-10-30,221.54,13508666
2023-10-27,220.67,20929447
2023-10-26,213.01,23734035
2023-10-25,209.94,22079260
2023-10-23,209.47,17817781
2023-10-20,214.74,11101464
2023-10-19,212.21,42127110
2023-10-18,217.98,27712062
2023-10-17,225.31,34190044
2023-10-16,224.65,10850724
2023-10-13,223.67,10137218
2023-10-12,225.79,7780605
2023-10-11,223.33,11765082
2023-10-10,221.56,10451289
2023-10-09,220.48,9696908
2023-10-06,225.14,7531900
2023-10-05,225.86,13894930
2023-10-04,225.73,23296548
2023-10-03,232.08,13185432
2023-09-29,229.48,12411231
2023-09-28,225.88,9143582
2023-09-27,227.92,10984321
2023-09-26,230.72,8058261
2023-09-25,229.26,13392150
2023-09-22,228.23,38327554
2023-09-21,230.68,33101551
2023-09-20,230.06,18317607
2023-09-18,235.92,24694419
2023-09-15,240.6,27416106
2023-09-14,242.68,14055236
2023-09-13,241.39,27810990
2023-09-12,246.21,39500716
2023-09-11,252.22,24982858
2023-09-08,252.58,36090005
2023-09-07,253.96,43856832
2023-09-06,252.2,225413157
2023-09-05,256.91,47127078
2023-09-04,256.95,99246736
