DATE,VWAP,VOLUME
2024-01-25,811.44,3240065
2024-01-24,800.54,1490515
2024-01-23,798.01,1533222
2024-01-20,811.79,506539
2024-01-19,815.03,1358166
2024-01-18,802.28,1991900
2024-01-17,818.05,1433551
2024-01-16,830.82,1920936
2024-01-15,826.43,1497605
2024-01-12,825.55,1326357
2024-01-11,825.82,1205504
2024-01-10,823.23,1265739
2024-01-09,825.84,1458862
2024-01-08,826.62,1107367
2024-01-05,834.53,2060548
2024-01-04,838.83,1878399
2024-01-03,842.52,3983411
2024-01-02,869.37,1615515
2024-01-01,879.71,778184
2023-12-29,879.07,1906630
2023-12-28,882.28,4482599
2023-12-27,869.14,2466359
2023-12-26,856.17,1294151
2023-12-22,849.17,1846933
2023-12-21,838.18,2106856
2023-12-20,849.87,1764901
2023-12-19,855.49,1285256
2023-12-18,851.39,4324786
2023-12-15,865.51,4058044
2023-12-14,851.71,2711444
2023-12-13,848.15,2170707
2023-12-12,854.67,2518863
2023-12-11,840.32,1630946
2023-12-08,843.34,7142037
2023-12-07,821.74,1717648
2023-12-06,824.78,1543909
2023-12-05,820.08,1338828
2023-12-04,819.52,2789349
2023-12-01,805.48,2064512
2023-11-30,799.95,3142500
2023-11-29,789.3,1481172
2023-11-28,782.14,858569
2023-11-24,782.37,2069730
2023-11-23,773.18,1068229
2023-11-22,769.86,1312655
2023-11-21,775.74,1846834
2023-11-20,764.59,1024654
2023-11-17,770.14,1567731
2023-11-16,769.13,1699954
2023-11-15,775.17,2443652
2023-11-13,758.83,942603
2023-11-12,757.22,133415
2023-11-10,754.24,1108868
2023-11-09,752.07,2579350
2023-11-08,751.97,2664277
2023-11-07,751.6,2288975
2023-11-06,750.03,2782755
2023-11-03,744.27,2526039
2023-11-02,730.24,1095177
2023-11-01,727.09,1845107
2023-10-31,733.28,1363728
2023-10-30,733.53,1162173
2023-10-27,730.33,1588987
2023-10-26,734.32,2519570
2023-10-25,751.05,2417579
2023-10-23,762.07,1715908
2023-10-20,769.82,1501944
2023-10-19,777.42,2130597
2023-10-18,789.9,1250892
2023-10-17,792.57,1050381
2023-10-16,788.45,2157341
2023-10-13,776.59,998547
2023-10-12,784.63,2139718
2023-10-11,777.95,1841618
2023-10-10,766.11,1351582
2023-10-09,755.66,725323
2023-10-06,764.08,2026927
2023-10-05,756.07,1459736
2023-10-04,758.34,1654158
2023-10-03,770.14,1099773
2023-09-29,778.8,1704218
2023-09-28,774.0,3157286
2023-09-27,780.7,2612372
2023-09-26,782.63,1727679
2023-09-25,778.91,2326745
2023-09-22,778.14,2147621
2023-09-21,781.28,2875491
2023-09-20,795.52,3359951
2023-09-18,810.0,1335464
2023-09-15,810.51,4454542
2023-09-14,815.5,2398032
2023-09-13,812.39,1380634
2023-09-12,825.53,2776481
2023-09-11,823.58,1715172
2023-09-08,815.99,1866220
2023-09-07,815.33,2652562
2023-09-06,811.46,2225037
2023-09-05,808.24,1770212
2023-09-04,815.65,3571051
2023-09-01,798.55,3513798
2023-08-31,783.59,3999415
2023-08-30,787.43,1978468
2023-08-29,781.41,1807893
2023-08-28,775.03,1769280
2023-08-25,778.15,1502054
2023-08-24,796.17,1726077
2023-08-23,798.82,1274976
2023-08-22,795.43,823108
2023-08-21,793.68,1033216
2023-08-18,788.1,1546387
2023-08-17,789.42,1434401
2023-08-16,793.97,1317570
2023-08-14,799.93,1866848
2023-08-11,821.53,3239511
2023-08-10,828.2,6313077
2023-08-09,817.43,3133311
2023-08-08,804.97,933777
2023-08-07,811.02,1422051
2023-08-04,807.9,1275614
2023-08-03,801.82,1829238
2023-08-02,807.27,1975596
2023-08-01,820.96,2406158
2023-07-31,815.75,4226070
2023-07-28,798.51,2111325
2023-07-27,801.0,2865447
2023-07-26,805.49,3062011
2023-07-25,796.41,4850069
2023-07-24,778.21,2710762
2023-07-21,803.99,8469798
2023-07-20,792.91,1780010
2023-07-19,792.64,1563134
2023-07-18,793.15,1527919
2023-07-17,803.55,1769593
2023-07-14,799.77,2011903
2023-07-13,805.27,3049961
2023-07-12,804.92,25929716
2023-07-11,802.44,3085989
2023-07-10,805.1,4777540
2023-07-07,791.76,2547821
2023-07-06,794.34,3316923
2023-07-05,794.19,2526894
2023-07-04,796.26,2473106
2023-07-03,798.68,4781944
2023-06-30,784.46,2515440
2023-06-28,782.17,8340755
2023-06-27,756.74,2783577
2023-06-26,743.72,1602537
2023-06-23,749.41,1704679
2023-06-22,754.55,1972478
2023-06-21,758.18,2768203
2023-06-20,776.99,2282549
2023-06-19,773.93,1422461
2023-06-16,776.04,2285788
2023-06-15,772.3,2222061
2023-06-14,772.58,4758206
2023-06-13,757.41,3419413
2023-06-12,750.11,1703619
2023-06-09,749.52,2408734
2023-06-08,751.84,9618332
2023-06-07,721.07,3667486
2023-06-06,712.41,2436996
2023-06-05,707.31,2454283
2023-06-02,700.97,3405152
2023-06-01,695.17,1995511
2023-05-31,696.23,14943096
2023-05-30,708.94,3317461
2023-05-29,704.9,1467219
2023-05-26,700.03,1461749
