DATE,VWAP,VOLUME
2024-01-25,1768.48,6702170
2024-01-24,1782.94,3268351
2024-01-23,1793.79,6780824
2024-01-20,1799.54,5456020
2024-01-19,1776.06,4560329
2024-01-18,1778.26,4293450
2024-01-17,1796.13,10836883
2024-01-16,1852.63,4650898
2024-01-15,1847.47,6172312
2024-01-12,1828.6,2172621
2024-01-11,1829.35,4170070
2024-01-10,1819.95,7052758
2024-01-09,1841.97,4339223
2024-01-08,1828.99,12253167
2024-01-05,1851.55,7799341
2024-01-04,1865.64,2865766
2024-01-03,1858.8,3781515
2024-01-02,1877.17,5120796
2024-01-01,1910.57,1425902
2023-12-29,1902.12,2446170
2023-12-28,1916.33,4950014
2023-12-27,1897.66,3407243
2023-12-26,1882.96,4350669
2023-12-22,1865.73,3309295
2023-12-21,1836.39,2403840
2023-12-20,1845.5,3968562
2023-12-19,1843.96,3088923
2023-12-18,1848.73,3758730
2023-12-15,1853.6,3877197
2023-12-14,1854.98,4878863
2023-12-13,1824.79,3251332
2023-12-12,1835.5,3814962
2023-12-11,1849.92,3205833
2023-12-08,1830.23,2985466
2023-12-07,1827.78,2500642
2023-12-06,1822.2,4695880
2023-12-05,1824.58,5571472
2023-12-04,1794.86,4579173
2023-12-01,1754.06,2002378
2023-11-30,1754.35,6254947
2023-11-29,1750.27,3473140
2023-11-28,1743.24,3349292
2023-11-24,1741.21,2561979
2023-11-23,1740.81,2836289
2023-11-22,1748.67,4513732
2023-11-21,1767.68,2705765
2023-11-20,1765.84,1923651
2023-11-17,1770.03,2710870
2023-11-16,1775.14,2079116
2023-11-15,1764.43,3432271
2023-11-13,1743.77,2855277
2023-11-12,1751.49,200366
2023-11-10,1740.28,1634799
2023-11-09,1748.46,1943711
2023-11-08,1744.84,3642837
2023-11-07,1739.29,3599603
2023-11-06,1739.56,1186685
2023-11-03,1736.96,1558958
2023-11-02,1742.87,2550558
2023-11-01,1725.56,2528105
2023-10-31,1735.28,4839336
2023-10-30,1708.3,1511563
2023-10-27,1699.41,2974830
2023-10-26,1702.42,6279280
2023-10-25,1743.13,3512668
2023-10-23,1746.88,7546442
2023-10-20,1759.16,4072383
2023-10-19,1742.42,1993179
2023-10-18,1755.98,3051680
2023-10-17,1760.59,3217357
2023-10-16,1755.35,1579957
2023-10-13,1762.85,2123927
2023-10-12,1765.82,2383827
2023-10-11,1772.91,3499844
2023-10-10,1750.29,3368982
2023-10-09,1726.93,1839513
2023-10-06,1741.49,1992323
2023-10-05,1736.68,2966801
2023-10-04,1718.13,6220979
2023-10-03,1723.3,5534869
2023-09-29,1737.21,3571729
2023-09-28,1741.66,8263197
2023-09-27,1760.84,3004206
2023-09-26,1765.55,3656167
2023-09-25,1777.37,2226567
2023-09-22,1761.0,3710123
2023-09-21,1774.79,4784751
2023-09-20,1789.64,5368143
2023-09-18,1802.13,3970112
2023-09-15,1816.27,4121540
2023-09-14,1821.46,2559423
2023-09-13,1825.25,5931870
2023-09-12,1807.72,3408966
2023-09-11,1806.09,2316902
2023-09-08,1793.37,2386182
2023-09-07,1780.88,2208089
2023-09-06,1769.56,6220223
2023-09-05,1774.53,4257343
2023-09-04,1766.81,4697683
2023-09-01,1768.46,2695210
2023-08-31,1765.09,8314010
2023-08-30,1782.65,2595896
2023-08-29,1789.7,2708692
2023-08-28,1787.84,1980536
2023-08-25,1778.33,2043350
2023-08-24,1784.25,4123791
2023-08-23,1768.63,3338285
2023-08-22,1764.86,3328812
2023-08-21,1760.41,3955468
2023-08-18,1760.15,4113292
2023-08-17,1774.21,5131739
2023-08-16,1783.7,1883940
2023-08-14,1794.58,3299919
2023-08-11,1788.4,4265616
2023-08-10,1810.25,5112099
2023-08-09,1826.3,2624324
2023-08-08,1831.9,4089623
2023-08-07,1831.31,3708310
2023-08-04,1828.93,5443532
2023-08-03,1817.28,7015292
2023-08-02,1827.3,4180451
2023-08-01,1850.29,4467942
2023-07-31,1857.23,4025207
2023-07-28,1875.17,2302033
2023-07-27,1877.21,6290001
2023-07-26,1890.71,2462073
2023-07-25,1878.76,7944916
2023-07-24,1905.36,7033093
2023-07-21,1969.47,3849750
2023-07-20,1935.69,9305585
2023-07-19,1906.02,3377787
2023-07-18,1892.48,5795645
2023-07-17,1884.57,3329856
2023-07-14,1871.68,7131916
2023-07-13,1882.81,5265370
2023-07-12,1880.14,4355083
2023-07-11,1879.81,4096757
2023-07-10,1856.32,3437542
2023-07-07,1863.32,2076544
2023-07-06,1872.78,3654241
2023-07-05,1859.88,3119185
2023-07-04,1852.49,6575587
2023-07-03,1847.48,3208540
2023-06-30,1842.36,3934720
2023-06-28,1839.86,5339982
2023-06-27,1835.56,2138665
2023-06-26,1825.18,2213679
2023-06-23,1835.29,2584063
2023-06-22,1837.58,3428210
2023-06-21,1843.41,2399108
2023-06-20,1830.74,4622905
2023-06-19,1829.12,7609913
2023-06-16,1847.35,3197657
2023-06-15,1845.67,4838188
2023-06-14,1856.22,5578543
2023-06-13,1861.16,9561827
2023-06-12,1875.96,2815173
2023-06-09,1875.25,14196924
2023-06-08,1902.83,5491614
2023-06-07,1945.19,3100414
2023-06-06,1949.21,4112841
2023-06-05,1938.24,2405909
2023-06-02,1939.15,3558072
2023-06-01,1940.85,5967432
2023-05-31,2008.64,88598126
2023-05-30,1968.89,7429705
2023-05-29,1957.88,3775509
2023-05-26,1937.38,3295412
2023-05-25,1922.15,5966757
2023-05-24,1920.52,3557537
2023-05-23,1923.76,4335524
2023-05-22,1940.98,3400880
2023-05-19,1933.16,3946927
2023-05-18,1924.26,4145228
2023-05-17,1913.55,5482017
2023-05-16,1959.78,4569497
2023-05-15,1968.52,2971692
2023-05-12,1955.17,3217081
2023-05-11,1962.48,4411824
2023-05-10,1951.73,3912439
2023-05-09,1960.25,3623075
2023-05-08,1960.15,3870941
2023-05-05,1951.72,3484218
2023-05-04,1936.26,3451579
2023-05-03,1924.86,3449007
2023-05-02,1917.97,4605771
2023-04-28,1922.97,4367612
2023-04-27,1899.5,5061293
2023-04-26,1874.35,3159518
2023-04-25,1888.53,4738419
2023-04-24,1889.73,2017406
2023-04-21,1896.19,1671341
2023-04-20,1893.4,2322777
2023-04-19,1883.02,1876656
2023-04-18,1895.23,2972721
2023-04-17,1885.09,10354299
2023-04-13,1853.9,2924116
2023-04-12,1843.31,3408713
2023-04-11,1840.07,9293763
2023-04-10,1760.38,1253171
2023-04-06,1754.66,1557355
2023-04-05,1753.45,2526350
2023-04-03,1745.51,2436866
2023-03-31,1732.64,3565755
2023-03-29,1714.82,2821000
2023-03-28,1698.26,2371652
2023-03-27,1704.98,2837204
2023-03-24,1693.74,5480609
2023-03-23,1690.05,5642151
2023-03-22,1701.16,3326099
2023-03-21,1702.58,1805180
2023-03-20,1693.04,4463937
2023-03-17,1689.15,8928301
2023-03-16,1663.74,3632063
2023-03-15,1674.8,4692363
2023-03-14,1653.16,14138986
2023-03-13,1693.03,8978938
2023-03-10,1702.24,4876144
2023-03-09,1724.22,6928316
2023-03-08,1735.61,5202608
2023-03-06,1751.75,5186846
2023-03-03,1740.37,3626269
2023-03-02,1734.47,4119935
2023-03-01,1740.08,5613386
2023-02-28,1731.14,4395098
2023-02-27,1719.17,2343798
2023-02-24,1706.29,2080363
2023-02-23,1704.6,2770110
2023-02-22,1706.41,3539149
2023-02-21,1734.04,2936934
2023-02-20,1745.73,3224839
2023-02-17,1767.03,2587909
2023-02-16,1794.89,2291602
2023-02-15,1777.96,2409292
2023-02-14,1769.82,1614893
2023-02-13,1771.08,2389142
2023-02-10,1771.61,1445942
2023-02-09,1758.81,2163825
2023-02-08,1769.19,1446690
2023-02-07,1764.48,3643187
2023-02-06,1749.02,3040209
2023-02-03,1761.93,2675212
2023-02-02,1748.87,4184470
2023-02-01,1753.9,3652098
2023-01-31,1729.55,4385384
2023-01-30,1714.17,4939556
