DATE,VWAP,VOLUME
2024-01-25,908.93,2629355
2024-01-24,891.88,3503761
2024-01-23,905.73,5296256
2024-01-20,929.74,7489946
2024-01-19,906.07,3328849
2024-01-18,889.82,4546830
2024-01-17,900.5,9015612
2024-01-16,887.24,12525303
2024-01-15,853.45,4450802
2024-01-12,830.79,1800261
2024-01-11,838.95,1576154
2024-01-10,842.23,2639631
2024-01-09,832.27,1408365
2024-01-08,832.18,2265484
2024-01-05,849.66,4193233
2024-01-04,839.27,2024609
2024-01-03,843.46,3684845
2024-01-02,844.6,3672560
2024-01-01,852.36,6424762
2023-12-29,832.88,4195993
2023-12-28,824.42,7403621
2023-12-27,810.01,10656808
2023-12-26,786.6,1907597
2023-12-22,804.45,10836454
2023-12-21,759.84,2869747
2023-12-20,782.82,2897254
2023-12-19,797.17,1396214
2023-12-18,802.71,2171792
2023-12-15,801.39,2964146
2023-12-14,814.68,4007659
2023-12-13,803.66,5973611
2023-12-12,788.64,5822501
2023-12-11,776.23,2160731
2023-12-08,787.5,6927164
2023-12-07,780.03,15595341
2023-12-06,741.12,9601936
2023-12-05,715.12,5078973
2023-12-04,707.08,13408726
2023-12-01,678.58,1616633
2023-11-30,687.4,4305902
2023-11-29,681.7,3497491
2023-11-28,683.21,8034353
2023-11-24,666.1,18997036
2023-11-23,614.19,736051
2023-11-22,610.08,600947
2023-11-21,612.51,718571
2023-11-20,612.4,502409
2023-11-17,614.18,1177051
2023-11-16,608.87,1367472
2023-11-15,607.32,840602
2023-11-13,603.23,1079051
2023-11-12,608.36,455277
2023-11-10,613.78,671906
2023-11-09,615.52,393625
2023-11-08,613.45,744275
2023-11-07,611.58,453744
2023-11-06,611.89,580132
2023-11-03,608.66,418848
2023-11-02,605.57,741948
2023-11-01,602.74,549716
2023-10-31,603.9,536471
2023-10-30,605.23,465617
2023-10-27,608.87,617526
2023-10-26,604.13,1084441
2023-10-25,615.66,1094888
2023-10-23,622.24,1105408
2023-10-20,635.22,654219
2023-10-19,635.73,657460
2023-10-18,640.81,875559
2023-10-17,647.62,1103994
2023-10-16,638.33,1139234
2023-10-13,636.1,615655
2023-10-12,638.6,1325826
2023-10-11,639.4,653919
2023-10-10,637.53,481417
2023-10-09,634.77,718556
2023-10-06,644.09,626615
2023-10-05,639.29,396155
2023-10-04,639.05,694550
2023-10-03,645.68,470219
2023-09-29,649.15,873339
2023-09-28,648.34,923774
2023-09-27,645.7,531459
2023-09-26,646.64,414742
2023-09-25,648.76,651991
2023-09-22,653.96,695541
2023-09-21,656.66,652802
2023-09-20,658.55,1074642
2023-09-18,667.18,732801
2023-09-15,664.91,1743786
2023-09-14,662.04,847932
2023-09-13,659.36,890096
2023-09-12,665.48,1594449
2023-09-11,680.21,1592447
2023-09-08,677.27,1578942
2023-09-07,679.99,1684464
2023-09-06,680.88,5680338
2023-09-05,664.22,1878186
2023-09-04,659.17,2492988
2023-09-01,646.8,793487
2023-08-31,650.51,710410
2023-08-30,653.69,574588
2023-08-29,655.3,489634
2023-08-28,653.77,731456
2023-08-25,650.2,698906
2023-08-24,660.44,606670
2023-08-23,661.76,813337
2023-08-22,662.28,1786271
2023-08-21,652.57,566994
2023-08-18,653.99,752476
2023-08-17,658.16,1191732
2023-08-16,650.89,701542
2023-08-14,654.33,1215416
2023-08-11,664.14,5254644
2023-08-10,644.42,634420
2023-08-09,644.58,672748
2023-08-08,646.75,1157301
2023-08-07,658.55,1110788
2023-08-04,658.17,2593055
2023-08-03,644.52,1008085
2023-08-02,647.44,2568000
2023-08-01,646.6,1987633
2023-07-31,636.32,1469797
2023-07-28,627.73,646004
2023-07-27,630.69,705149
2023-07-26,627.57,651954
2023-07-25,624.92,671845
2023-07-24,632.88,927514
2023-07-21,635.9,2019022
2023-07-20,626.19,1166529
2023-07-19,620.57,501945
2023-07-18,621.61,701393
2023-07-17,621.6,711158
2023-07-14,618.05,534996
2023-07-13,620.15,802085
2023-07-12,620.37,523272
2023-07-11,624.0,608461
2023-07-10,619.52,791576
2023-07-07,625.26,711064
2023-07-06,628.33,624168
2023-07-05,626.65,569014
2023-07-04,627.01,625593
2023-07-03,632.1,888170
2023-06-30,628.02,1371193
2023-06-28,619.23,1156188
2023-06-27,615.73,975533
2023-06-26,619.95,946727
2023-06-23,630.25,1538801
2023-06-22,645.8,3120722
2023-06-21,636.01,1580109
2023-06-20,628.47,3041047
2023-06-19,612.65,2500627
2023-06-16,603.19,1405526
2023-06-15,599.39,847451
2023-06-14,597.32,644399
2023-06-13,599.58,400863
2023-06-12,597.6,803879
2023-06-09,604.47,660925
2023-06-08,606.24,1424334
2023-06-07,601.48,809884
2023-06-06,597.58,480880
2023-06-05,598.91,641136
2023-06-02,598.48,507824
2023-06-01,597.7,694568
2023-05-31,595.42,720695
2023-05-30,602.81,720683
2023-05-29,605.84,1131333
2023-05-26,606.5,1195590
2023-05-25,606.83,5187933
2023-05-24,597.55,2488874
2023-05-23,588.25,2726826
2023-05-22,573.9,1506327
2023-05-19,564.94,515091
2023-05-18,571.63,964354
2023-05-17,568.61,862004
2023-05-16,570.08,902155
2023-05-15,569.22,2164688
2023-05-12,561.12,892781
2023-05-11,561.21,680822
2023-05-10,557.86,589178
2023-05-09,561.72,1015395
2023-05-08,563.87,1104965
2023-05-05,560.63,2503952
2023-05-04,554.56,4283342
2023-05-03,551.2,856689
2023-05-02,551.79,1224198
2023-04-28,549.86,1231240
2023-04-27,547.76,1151408
2023-04-26,548.54,498401
2023-04-25,550.88,987652
2023-04-24,549.63,446849
2023-04-21,547.61,655602
2023-04-20,551.6,731513
2023-04-19,548.04,482728
2023-04-18,549.13,612736
2023-04-17,545.67,947673
2023-04-13,550.57,562523
2023-04-12,550.15,682171
2023-04-11,551.48,659636
2023-04-10,551.02,818437
2023-04-06,551.97,1088256
2023-04-05,551.72,1156963
2023-04-03,544.12,1228058
2023-03-31,539.13,2030925
2023-03-29,535.74,2245923
2023-03-28,539.5,1821333
2023-03-27,551.1,1741356
2023-03-24,563.85,1305399
2023-03-23,571.76,748086
2023-03-22,574.13,931326
2023-03-21,575.19,779267
2023-03-20,574.92,725166
2023-03-17,578.43,696661
2023-03-16,573.64,972000
2023-03-15,580.5,817032
2023-03-14,580.32,879186
2023-03-13,587.84,1137818
2023-03-10,593.43,649101
2023-03-09,597.88,1465695
2023-03-08,605.45,900075
2023-03-06,617.89,1404596
2023-03-03,614.77,2101679
2023-03-02,602.18,1383893
2023-03-01,594.85,1822832
2023-02-28,574.1,2207400
2023-02-27,569.62,1912489
2023-02-24,586.3,1119544
2023-02-23,591.66,916630
2023-02-22,595.35,761922
2023-02-21,597.99,648784
2023-02-20,598.92,885378
2023-02-17,603.08,642400
2023-02-16,604.12,703040
2023-02-15,600.9,933878
2023-02-14,601.08,1528074
2023-02-13,610.42,1315642
2023-02-10,626.67,3943115
2023-02-09,614.12,1434333
2023-02-08,609.62,1374494
2023-02-07,609.12,2084510
2023-02-06,602.05,1567204
2023-02-03,595.05,2276729
2023-02-02,596.09,3377223
2023-02-01,619.87,6326960
2023-01-31,654.98,1811224
2023-01-30,657.07,3024474
