DATE,VWAP,VOLUME
2024-01-25,1069.09,977716
2024-01-24,1068.82,1124885
2024-01-23,1082.73,729495
2024-01-20,1135.81,120811
2024-01-19,1127.26,700082
2024-01-18,1121.39,759062
2024-01-17,1132.17,549154
2024-01-16,1193.11,382939
2024-01-15,1205.42,606927
2024-01-12,1201.43,2588785
2024-01-11,1132.68,425621
2024-01-10,1131.57,285426
2024-01-09,1124.61,680667
2024-01-08,1118.1,1225361
2024-01-05,1133.22,4672353
2024-01-04,1083.59,3271539
2024-01-03,997.87,460650
2024-01-02,1024.8,914756
2024-01-01,1035.64,407624
2023-12-29,1005.13,937259
2023-12-28,974.46,826653
2023-12-27,963.01,900980
2023-12-26,947.41,472142
2023-12-22,941.37,764884
2023-12-21,896.7,1059896
2023-12-20,916.89,775169
2023-12-19,915.65,1081968
2023-12-18,930.16,543487
2023-12-15,932.33,553971
2023-12-14,927.58,932009
2023-12-13,893.39,482246
2023-12-12,903.91,642453
2023-12-11,921.58,869134
2023-12-08,916.85,849971
2023-12-07,894.86,446220
2023-12-06,906.28,586426
2023-12-05,912.23,832271
2023-12-04,924.54,1345166
2023-12-01,919.12,2360793
2023-11-30,881.05,33598797
2023-11-29,858.19,2327814
2023-11-28,887.95,2749645
2023-11-24,884.74,1773089
2023-11-23,876.58,1913168
2023-11-22,856.64,2107463
2023-11-21,865.03,1906436
2023-11-20,864.39,2171092
2023-11-17,869.63,1596502
2023-11-16,867.28,2208645
2023-11-15,854.07,2894755
2023-11-13,855.48,743166
2023-11-12,859.7,102683
2023-11-10,859.6,1541176
2023-11-09,851.89,1092609
2023-11-08,845.92,1018713
2023-11-07,836.19,1837594
2023-11-06,867.58,1601646
2023-11-03,848.82,1805841
2023-11-02,841.7,3886302
2023-11-01,795.46,1249290
2023-10-31,786.51,1090566
2023-10-30,759.8,1300281
2023-10-27,751.14,1142622
2023-10-26,724.24,2148132
2023-10-25,763.53,1419305
2023-10-23,791.38,1023226
2023-10-20,799.72,1830050
2023-10-19,813.8,646069
2023-10-18,813.25,947806
2023-10-17,808.67,1252181
2023-10-16,815.22,817011
2023-10-13,813.01,889265
2023-10-12,805.68,1196326
2023-10-11,817.82,2342479
2023-10-10,797.62,2420207
2023-10-09,788.8,931789
2023-10-06,767.35,1152789
2023-10-05,758.78,1256107
2023-10-04,754.23,1438598
2023-10-03,788.4,546229
2023-09-29,800.4,1006883
2023-09-28,795.15,2433918
2023-09-27,797.7,2018797
2023-09-26,785.57,1079566
2023-09-25,739.65,1490197
2023-09-22,752.64,655291
2023-09-21,774.07,530678
2023-09-20,773.22,1140802
2023-09-18,784.7,436734
2023-09-15,799.09,1965261
2023-09-14,805.77,2582053
2023-09-13,766.36,2252565
2023-09-12,789.21,2446554
2023-09-11,792.28,1818016
2023-09-08,767.74,2715416
2023-09-07,739.09,1486084
2023-09-06,721.73,1713408
2023-09-05,731.8,2138692
2023-09-04,700.71,1749402
2023-09-01,671.01,941318
2023-08-31,672.76,601210
2023-08-30,677.81,639179
2023-08-29,679.9,2105735
2023-08-28,648.27,844704
2023-08-25,660.16,1076909
2023-08-24,695.27,745083
2023-08-23,698.19,828452
2023-08-22,700.85,1280561
2023-08-21,705.1,685085
2023-08-18,702.73,639879
2023-08-17,718.62,1215747
2023-08-16,703.59,1015281
2023-08-14,684.52,556188
2023-08-11,701.25,606185
2023-08-10,699.93,833794
2023-08-09,714.88,297136
2023-08-08,721.57,363322
2023-08-07,732.34,885078
2023-08-04,708.65,579831
2023-08-03,714.89,439527
2023-08-02,738.13,956794
2023-08-01,763.08,994590
2023-07-31,758.94,1027930
2023-07-28,735.69,1795663
2023-07-27,726.22,372354
2023-07-26,723.98,787213
2023-07-25,732.63,792562
2023-07-24,727.18,2387794
2023-07-21,703.19,961926
2023-07-20,691.3,504856
2023-07-19,698.76,385382
2023-07-18,701.43,338894
2023-07-17,706.33,624851
2023-07-14,711.51,756698
2023-07-13,710.32,2344967
2023-07-12,681.62,1321922
2023-07-11,668.38,488916
2023-07-10,679.82,683955
2023-07-07,709.75,1116960
2023-07-06,727.22,3435011
2023-07-05,695.4,1068883
2023-07-04,705.8,3209164
2023-07-03,686.33,1203748
