DATE,VWAP,VOLUME
2024-01-25,3594.44,2206540
2024-01-24,3586.69,3711521
2024-01-23,3602.16,1742142
2024-01-20,3644.77,468514
2024-01-19,3636.43,1913923
2024-01-18,3592.24,2148898
2024-01-17,3576.8,2699076
2024-01-16,3568.44,1791818
2024-01-15,3565.61,1783518
2024-01-12,3540.61,1782631
2024-01-11,3523.56,1105348
2024-01-10,3537.36,1534821
2024-01-09,3564.35,1807271
2024-01-08,3519.92,1993855
2024-01-05,3497.02,2069018
2024-01-04,3457.46,1651616
2024-01-03,3438.35,1283859
2024-01-02,3455.21,1511464
2024-01-01,3518.05,777080
2023-12-29,3517.41,968577
2023-12-28,3528.63,3371121
2023-12-27,3529.8,1389266
2023-12-26,3491.26,1072263
2023-12-22,3463.59,1681707
2023-12-21,3382.29,2292802
2023-12-20,3472.45,1876048
2023-12-19,3504.81,1311700
2023-12-18,3479.2,1767429
2023-12-15,3469.47,2632935
2023-12-14,3421.15,2425646
2023-12-13,3378.34,1509107
2023-12-12,3348.94,1888423
2023-12-11,3381.94,1534238
2023-12-08,3394.19,2428891
2023-12-07,3363.6,2128823
2023-12-06,3368.39,2057233
2023-12-05,3302.14,1659309
2023-12-04,3303.15,3095974
2023-12-01,3180.47,2112908
2023-11-30,3100.6,3131624
2023-11-29,3069.07,1801107
2023-11-28,3047.65,1210508
2023-11-24,3054.65,915121
2023-11-23,3052.05,1514688
2023-11-22,3078.17,1104208
2023-11-21,3078.23,1884782
2023-11-20,3088.51,1231164
2023-11-17,3084.02,1325050
2023-11-16,3061.15,1597607
2023-11-15,3064.04,1160184
2023-11-13,3043.91,531769
2023-11-12,3053.31,256389
2023-11-10,3028.87,947753
2023-11-09,3018.81,1719911
2023-11-08,2983.72,1013438
2023-11-07,2969.65,1112206
2023-11-06,2962.32,1235499
2023-11-03,2921.04,1136175
2023-11-02,2915.22,1451606
2023-11-01,2919.87,3875595
2023-10-31,2925.45,1556467
2023-10-30,2910.87,1693052
2023-10-27,2893.54,2399538
2023-10-26,2874.72,3286109
2023-10-25,2934.72,2108353
2023-10-23,2974.68,1614030
2023-10-20,3013.38,1667471
2023-10-19,3043.34,1599104
2023-10-18,3048.72,1350839
2023-10-17,3076.66,1847182
2023-10-16,3094.06,818794
2023-10-13,3082.24,1437808
2023-10-12,3080.04,1870280
2023-10-11,3097.38,2066921
2023-10-10,3086.11,1551789
2023-10-09,3068.46,1181760
2023-10-06,3091.63,1898118
2023-10-05,3074.7,3413447
2023-10-04,3022.81,3100946
2023-10-03,3044.59,3254492
2023-09-29,3032.62,2698016
2023-09-28,3020.21,4081102
2023-09-27,2962.27,2903693
2023-09-26,2923.88,953456
2023-09-25,2890.51,1049532
2023-09-22,2920.64,1965569
2023-09-21,2872.38,2444711
2023-09-20,2912.55,1399240
2023-09-18,2920.17,736631
2023-09-15,2913.25,1655275
2023-09-14,2917.49,1910041
2023-09-13,2914.12,2458417
2023-09-12,2980.82,7788759
2023-09-11,2908.25,1545803
2023-09-08,2902.97,3638510
2023-09-07,2806.61,4100519
2023-09-06,2726.52,1747425
2023-09-05,2732.22,1066447
2023-09-04,2716.79,1548282
2023-09-01,2703.79,1263430
2023-08-31,2698.55,2439625
2023-08-30,2728.5,1920079
2023-08-29,2710.46,1101830
2023-08-28,2677.63,1551734
2023-08-25,2647.37,1408427
2023-08-24,2724.37,2619182
2023-08-23,2712.78,1990672
2023-08-22,2677.38,1497180
2023-08-21,2641.98,1376318
2023-08-18,2659.94,1898966
2023-08-17,2656.9,1629067
2023-08-16,2677.57,1703875
2023-08-14,2644.73,1364413
2023-08-11,2643.44,1320121
2023-08-10,2638.91,1040041
2023-08-09,2635.47,906865
2023-08-08,2638.44,767310
2023-08-07,2640.44,1163125
