DATE,VWAP,VOLUME
2024-01-25,5542.2,911916
2024-01-24,5647.91,729576
2024-01-23,5639.7,754748
2024-01-20,5654.53,222222
2024-01-19,5623.74,974885
2024-01-18,5600.1,2798324
2024-01-17,6261.43,472635
2024-01-16,6234.18,255823
2024-01-15,6350.94,653754
2024-01-12,6175.89,899942
2024-01-11,5958.0,232299
2024-01-10,5928.88,259576
2024-01-09,5911.82,351316
2024-01-08,5878.87,193870
2024-01-05,5948.38,429330
2024-01-04,5888.84,618173
2024-01-03,5986.84,421251
2024-01-02,6166.34,475149
2024-01-01,6275.1,166927
2023-12-29,6278.05,245328
2023-12-28,6276.35,335511
2023-12-27,6307.99,357171
2023-12-26,6250.48,271488
2023-12-22,6175.5,540467
2023-12-21,6097.09,513420
2023-12-20,6189.71,886292
2023-12-19,6095.26,431913
2023-12-18,6148.78,413220
2023-12-15,6124.93,1618791
2023-12-14,5911.91,958532
2023-12-13,5687.91,387503
2023-12-12,5772.2,362937
2023-12-11,5747.5,497043
2023-12-08,5694.5,780096
2023-12-07,5593.94,273629
2023-12-06,5619.44,605990
2023-12-05,5497.37,268002
2023-12-04,5578.01,168191
2023-12-01,5572.77,195286
2023-11-30,5557.7,612934
2023-11-29,5568.44,354830
2023-11-28,5450.89,263892
2023-11-24,5470.08,152012
2023-11-23,5529.38,249485
2023-11-22,5547.2,203308
2023-11-21,5560.63,268090
2023-11-20,5581.48,457451
2023-11-17,5512.28,338819
2023-11-16,5465.53,466812
2023-11-15,5396.75,468132
2023-11-13,5242.6,140187
2023-11-12,5271.09,21565
2023-11-10,5237.46,229733
2023-11-09,5237.08,269946
2023-11-08,5219.01,236117
2023-11-07,5185.44,200866
2023-11-06,5145.46,155164
2023-11-03,5105.92,324952
2023-11-02,5049.11,312381
2023-11-01,5046.7,323448
2023-10-31,5084.3,259121
2023-10-30,5131.34,276530
2023-10-27,5186.69,183188
2023-10-26,5138.14,405185
2023-10-25,5238.62,293641
2023-10-23,5273.67,268286
2023-10-20,5439.66,548231
2023-10-19,5388.73,1808046
2023-10-18,5154.11,333664
2023-10-17,5208.06,313332
2023-10-16,5162.17,244025
2023-10-13,5118.54,272672
2023-10-12,5193.69,307844
2023-10-11,5293.68,238862
2023-10-10,5263.06,172958
2023-10-09,5204.85,353035
2023-10-06,5243.14,139350
2023-10-05,5227.21,283699
2023-10-04,5164.41,199894
2023-10-03,5200.42,255939
2023-09-29,5195.93,481064
2023-09-28,5300.22,484805
2023-09-27,5420.22,320128
2023-09-26,5375.62,159123
2023-09-25,5401.65,254576
2023-09-22,5413.09,180055
2023-09-21,5389.89,313418
2023-09-20,5480.29,145121
2023-09-18,5506.22,184125
2023-09-15,5524.58,296245
2023-09-14,5530.93,401195
2023-09-13,5514.72,247607
2023-09-12,5488.04,327724
2023-09-11,5505.47,239456
2023-09-08,5476.45,244392
2023-09-07,5448.36,602474
2023-09-06,5421.47,388092
2023-09-05,5431.97,600824
2023-09-04,5343.45,397768
2023-09-01,5271.04,435444
2023-08-31,5216.93,636436
2023-08-30,5174.92,349680
2023-08-29,5150.43,196122
2023-08-28,5128.36,165824
2023-08-25,5132.15,206278
2023-08-24,5178.55,296417
2023-08-23,5199.96,359052
2023-08-22,5134.17,175355
2023-08-21,5121.28,202004
2023-08-18,5065.2,338124
2023-08-17,5108.12,344151
2023-08-16,5206.8,405856
2023-08-14,5158.88,396400
2023-08-11,5127.13,353239
2023-08-10,5109.74,255038
2023-08-09,5089.32,201844
2023-08-08,5071.03,340699
2023-08-07,5012.23,451430
2023-08-04,4947.25,238713
2023-08-03,4856.48,346102
2023-08-02,4888.76,542161
2023-08-01,4960.56,442346
2023-07-31,4867.55,343283
2023-07-28,4840.71,217121
2023-07-27,4864.08,406914
2023-07-26,4897.45,384319
2023-07-25,4870.3,283808
2023-07-24,4906.0,254263
2023-07-21,4942.78,859135
2023-07-20,4981.95,361901
2023-07-19,4980.31,526765
2023-07-18,5005.89,1983506
2023-07-17,5198.26,1526990
2023-07-14,5026.02,1374038
2023-07-13,4890.83,837160
2023-07-12,4827.46,5055302
2023-07-11,4950.58,537188
2023-07-10,5014.14,560058
