DATE,VWAP,VOLUME
2024-01-25,1627.41,2038472
2024-01-24,1604.55,2543323
2024-01-23,1620.52,2772880
2024-01-20,1639.07,711300
2024-01-19,1644.09,2836976
2024-01-18,1609.83,2328588
2024-01-17,1600.9,2548169
2024-01-16,1627.1,2236688
2024-01-15,1628.55,1405514
2024-01-12,1614.52,3061539
2024-01-11,1635.48,2228002
2024-01-10,1630.09,1954233
2024-01-09,1630.04,2542484
2024-01-08,1625.06,1492195
2024-01-05,1645.68,1709313
2024-01-04,1653.75,2835768
2024-01-03,1658.32,1927812
2024-01-02,1661.8,2857334
2024-01-01,1705.61,1307485
2023-12-29,1736.08,2273255
2023-12-28,1717.64,2963938
2023-12-27,1677.56,1793638
2023-12-26,1659.4,1203594
2023-12-22,1637.84,2751274
2023-12-21,1637.23,3211338
2023-12-20,1672.97,3047660
2023-12-19,1699.44,1660221
2023-12-18,1715.62,1739425
2023-12-15,1721.54,3858594
2023-12-14,1690.28,3326228
2023-12-13,1652.49,2247441
2023-12-12,1644.36,2051527
2023-12-11,1655.74,2037178
2023-12-08,1676.43,1942667
2023-12-07,1694.46,2461051
2023-12-06,1698.46,2279220
2023-12-05,1687.33,3423953
2023-12-04,1655.66,3001010
2023-12-01,1640.08,2489755
2023-11-30,1645.03,5214960
2023-11-29,1606.73,3581220
2023-11-28,1559.99,2596766
2023-11-24,1553.16,1239270
2023-11-23,1546.53,1552635
2023-11-22,1547.17,1269475
2023-11-21,1560.72,2213144
2023-11-20,1552.86,2918577
2023-11-17,1586.8,2035309
2023-11-16,1560.31,3224223
2023-11-15,1541.12,2782942
2023-11-13,1532.61,1968032
2023-11-12,1530.61,340544
2023-11-10,1528.3,4872228
2023-11-09,1532.62,4831782
2023-11-08,1481.64,1342202
2023-11-07,1486.39,1940908
2023-11-06,1482.59,1271868
2023-11-03,1473.06,2456723
2023-11-02,1461.99,2091122
2023-11-01,1464.95,2627536
2023-10-31,1471.08,2555737
2023-10-30,1486.97,2637486
2023-10-27,1518.97,3341111
2023-10-26,1516.88,3343802
2023-10-25,1564.71,2510769
2023-10-23,1567.05,4069167
2023-10-20,1557.96,1435102
2023-10-19,1569.38,1239578
2023-10-18,1573.68,1212994
2023-10-17,1577.41,997962
2023-10-16,1569.82,1089610
2023-10-13,1562.94,1465554
2023-10-12,1563.66,1731806
2023-10-11,1550.73,1536986
2023-10-10,1534.77,1956653
2023-10-09,1528.82,2123175
2023-10-06,1548.27,1743027
2023-10-05,1530.68,1991367
2023-10-04,1514.78,2580901
2023-10-03,1548.6,3436776
2023-09-29,1558.54,1254881
2023-09-28,1563.62,2369699
2023-09-27,1590.55,1991198
2023-09-26,1594.86,1479841
2023-09-25,1598.36,3231962
2023-09-22,1601.02,3827771
2023-09-21,1598.98,2898266
2023-09-20,1641.12,6116670
2023-09-18,1643.96,6887528
2023-09-15,1596.74,5425897
2023-09-14,1555.96,2220196
2023-09-13,1544.36,2382637
2023-09-12,1547.8,3770868
2023-09-11,1578.07,1921950
2023-09-08,1568.94,1223910
2023-09-07,1566.5,1514369
2023-09-06,1571.48,1301466
2023-09-05,1572.71,1078759
2023-09-04,1579.78,2200142
2023-09-01,1594.46,2147299
2023-08-31,1578.93,3512885
2023-08-30,1580.41,3140040
2023-08-29,1553.95,1325882
2023-08-28,1542.12,2132512
2023-08-25,1526.22,1455320
2023-08-24,1542.05,2111147
2023-08-23,1543.98,1405076
2023-08-22,1549.55,975607
2023-08-21,1540.09,1487526
2023-08-18,1559.13,2202570
2023-08-17,1570.95,2377711
2023-08-16,1554.23,2361632
2023-08-14,1536.8,1875450
2023-08-11,1548.93,2402812
2023-08-10,1543.62,3600607
2023-08-09,1523.49,3713003
2023-08-08,1501.87,3426948
2023-08-07,1511.54,9257291
2023-08-04,1473.57,8066091
2023-08-03,1475.46,2222395
2023-08-02,1480.42,3188395
2023-08-01,1491.08,4184243
2023-07-31,1471.47,2460789
2023-07-28,1465.88,4714146
2023-07-27,1456.47,11879512
2023-07-26,1548.29,2100855
2023-07-25,1559.57,1996604
2023-07-24,1545.52,2129706
2023-07-21,1535.4,1668783
2023-07-20,1542.53,1538263
2023-07-19,1537.33,1081196
2023-07-18,1532.81,1059058
2023-07-17,1540.14,1520990
2023-07-14,1551.94,2174792
2023-07-13,1578.32,1859405
2023-07-12,1563.94,2658457
2023-07-11,1567.19,1563376
2023-07-10,1560.33,2276342
2023-07-07,1564.56,6905845
2023-07-06,1525.41,5628945
2023-07-05,1468.79,1456527
2023-07-04,1474.83,1595700
2023-07-03,1475.68,3615176
2023-06-30,1442.59,4114865
2023-06-28,1401.57,2611913
2023-06-27,1405.15,2737379
2023-06-26,1391.55,2281046
2023-06-23,1374.34,1258590
2023-06-22,1382.36,1296616
2023-06-21,1384.41,2008628
2023-06-20,1389.88,1042428
2023-06-19,1406.43,1476764
2023-06-16,1403.03,2132678
2023-06-15,1393.96,1720070
2023-06-14,1376.09,905086
2023-06-13,1374.16,2516583
2023-06-12,1377.34,1389300
2023-06-09,1369.64,1881329
2023-06-08,1390.27,1776230
2023-06-07,1405.42,2491079
2023-06-06,1404.61,2335838
2023-06-05,1382.09,5105293
2023-06-02,1333.58,2313841
2023-06-01,1324.42,2364455
2023-05-31,1318.27,5629378
