DATE,VWAP,VOLUME
2024-01-25,2045.94,265957
2024-01-24,2119.53,723721
2024-01-23,2170.51,141234
2024-01-20,2185.64,26435
2024-01-19,2160.9,308265
2024-01-18,2156.77,214120
2024-01-17,2202.09,206189
2024-01-16,2225.63,218783
2024-01-15,2201.95,100754
2024-01-12,2215.25,258466
2024-01-11,2233.73,1189430
2024-01-10,2116.75,584812
2024-01-09,2028.16,558898
2024-01-08,2010.13,293838
2024-01-05,2061.65,669666
2024-01-04,2098.49,588327
2024-01-03,2120.37,447782
2024-01-02,2098.07,1313720
2024-01-01,1983.02,97989
2023-12-29,1982.91,206530
2023-12-28,1985.65,224038
2023-12-27,1990.35,476644
2023-12-26,1921.27,248178
2023-12-22,1927.37,206448
2023-12-21,1898.91,289330
2023-12-20,1923.73,443045
2023-12-19,1940.21,279840
2023-12-18,1921.03,475455
2023-12-15,1889.03,4577479
2023-12-14,1868.68,1544597
2023-12-13,1860.51,1431718
2023-12-12,1840.8,26919105
2023-12-11,1920.3,225223
2023-12-08,1977.18,100528
2023-12-07,1988.91,180769
2023-12-06,1970.81,277862
2023-12-05,1942.6,552800
2023-12-04,1945.65,211858
2023-12-01,1922.95,183029
2023-11-30,1893.11,279598
2023-11-29,1909.92,106430
2023-11-28,1910.86,125665
2023-11-24,1923.43,97869
2023-11-23,1932.24,75203
2023-11-22,1939.16,149212
2023-11-21,1978.35,295838
2023-11-20,1999.21,801122
2023-11-17,1910.08,307131
2023-11-16,1880.06,170239
2023-11-15,1863.08,146241
2023-11-13,1841.32,86773
2023-11-12,1840.43,18155
2023-11-10,1839.02,102103
2023-11-09,1834.38,160916
2023-11-08,1853.9,777503
2023-11-07,1793.99,127778
2023-11-06,1744.83,321321
2023-11-03,1791.4,79326
2023-11-02,1782.59,324368
2023-11-01,1721.08,303228
2023-10-31,1749.56,207461
2023-10-30,1739.13,110192
2023-10-27,1737.26,114938
2023-10-26,1701.32,268477
2023-10-25,1723.06,148948
2023-10-23,1766.35,132448
2023-10-20,1802.18,96027
2023-10-19,1800.37,79418
2023-10-18,1821.23,176986
2023-10-17,1809.8,82680
2023-10-16,1815.8,221570
2023-10-13,1780.8,56719
2023-10-12,1783.9,85438
2023-10-11,1778.62,54993
2023-10-10,1782.61,59861
2023-10-09,1776.49,52615
2023-10-06,1779.36,203884
2023-10-05,1781.53,106130
2023-10-04,1797.32,241713
2023-10-03,1795.83,122697
2023-09-29,1801.56,379814
2023-09-28,1760.73,68207
2023-09-27,1753.69,54955
2023-09-26,1763.39,84803
2023-09-25,1735.87,78971
2023-09-22,1741.55,123106
2023-09-21,1710.91,471622
2023-09-20,1705.68,183570
2023-09-18,1741.22,135735
2023-09-15,1771.66,165612
2023-09-14,1804.93,426602
2023-09-13,1791.46,392747
2023-09-12,1784.07,564933
2023-09-11,1771.58,136095
2023-09-08,1761.66,541562
2023-09-07,1780.15,168270
2023-09-06,1788.38,271959
2023-09-05,1764.77,141018
2023-09-04,1735.09,266429
2023-09-01,1753.94,472576
2023-08-31,1779.42,318453
2023-08-30,1780.27,227462
2023-08-29,1783.18,132419
2023-08-28,1782.3,296616
2023-08-25,1790.98,292066
2023-08-24,1835.24,191685
2023-08-23,1836.77,219250
2023-08-22,1850.42,227294
2023-08-21,1846.56,261866
2023-08-18,1851.19,590476
2023-08-17,1829.81,206081
2023-08-16,1814.73,173663
2023-08-14,1822.27,246751
2023-08-11,1831.34,227997
2023-08-10,1835.24,264559
2023-08-09,1796.14,623390
2023-08-08,1779.25,945995
2023-08-07,1819.62,598554
2023-08-04,1909.82,783444
2023-08-03,1871.75,2327182
2023-08-02,1757.23,792991
2023-08-01,1767.28,410651
2023-07-31,1763.6,495740
2023-07-28,1822.5,199521
2023-07-27,1845.27,421438
2023-07-26,1853.61,387554
2023-07-25,1918.66,531253
2023-07-24,1916.17,219482
2023-07-21,1902.61,242413
2023-07-20,1899.21,700772
2023-07-19,1883.39,256530
2023-07-18,1862.88,375476
2023-07-17,1849.06,203252
2023-07-14,1831.52,276149
2023-07-13,1833.65,482228
2023-07-12,1847.17,972037
2023-07-11,1735.12,128332
2023-07-10,1727.81,192521
2023-07-07,1731.59,360481
2023-07-06,1707.97,206546
2023-07-05,1705.32,229369
2023-07-04,1686.74,463605
2023-07-03,1702.35,171333
2023-06-30,1708.95,162099
2023-06-28,1700.94,211474
2023-06-27,1687.39,248597
2023-06-26,1702.89,238572
2023-06-23,1713.84,845406
2023-06-22,1690.93,1225846
2023-06-21,1712.14,911759
2023-06-20,1736.84,572514
2023-06-19,1676.81,658756
2023-06-16,1650.3,839183
2023-06-15,1621.29,1105604
2023-06-14,1596.57,1505759
2023-06-13,1515.9,580211
2023-06-12,1477.66,99106
2023-06-09,1474.88,182349
2023-06-08,1467.26,174292
2023-06-07,1494.53,542372
2023-06-06,1478.33,687238
2023-06-05,1436.62,612827
2023-06-02,1467.09,1540408
2023-06-01,1385.29,574856
2023-05-31,1353.52,879563
2023-05-30,1364.76,258524
2023-05-29,1359.69,495981
2023-05-26,1327.11,83415
2023-05-25,1330.28,132683
2023-05-24,1323.5,177959
2023-05-23,1334.95,221060
2023-05-22,1309.9,914898
2023-05-19,1336.95,373144
2023-05-18,1359.61,255442
2023-05-17,1354.32,525476
2023-05-16,1375.58,728775
2023-05-15,1392.07,565868
2023-05-12,1403.41,1946969
2023-05-11,1346.77,5111576
2023-05-10,1385.51,5651542
2023-05-09,1350.11,33193796
